,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,626.00M,626.00M,90.00M,536.00M,143.00M,68.00M,211.00M,63.00M,18.00M,-14.00M,37.00M,1.00M,-36.00M,,292.00M,244.00M,1.00M,37.00M,-36.00M,23.00M,-36.00M,231.00M,65.00M,166.00M,-102.00M,150.88M,307.00M,39.00M,268.00M,,-0.17,0.2545,0.11,,2020-09,0.2548,0.11,,600.00M,0.125,,2020-09,AOR,
2020-06,614.00M,614.00M,86.00M,528.00M,145.00M,53.00M,198.00M,65.00M,18.00M,-107.00M,40.00M,2.00M,-38.00M,,281.00M,247.00M,2.00M,40.00M,-38.00M,-110.00M,-38.00M,99.00M,-50.00M,149.00M,-31.00M,226.38M,185.00M,46.00M,139.00M,,-0.05,0.3812,0.20,,2020-06,0.3660,0.19,,614.00M,0.125,,2020-06,AOR,
2020-03,614.00M,614.00M,97.00M,517.00M,150.00M,97.00M,247.00M,70.00M,18.00M,112.00M,50.00M,24.00M,-26.00M,,335.00M,182.00M,24.00M,50.00M,-26.00M,101.00M,-26.00M,257.00M,108.00M,149.00M,82.00M,66.51M,361.00M,54.00M,307.00M,,0.14,0.1125,0.39,,2020-03,0.1011,0.36,,640.00M,0.125,,2020-03,AOR,
2019-12,618.00M,618.00M,103.00M,515.00M,178.00M,85.00M,263.00M,72.00M,20.00M,281.00M,51.00M,38.00M,-13.00M,,355.00M,160.00M,38.00M,51.00M,-13.00M,263.00M,-13.00M,410.00M,57.00M,353.00M,2.492B,115.64M,517.00M,56.00M,461.00M,,4.01,0.1878,4.58,,2019-12,0.1831,4.40,,647.00M,0.125,,2019-12,AOR,
2019-09,608.00M,608.00M,97.00M,511.00M,189.00M,90.00M,279.00M,85.00M,21.00M,-17.00M,46.00M,8.00M,-38.00M,,385.00M,126.00M,8.00M,46.00M,-38.00M,-28.00M,-38.00M,60.00M,22.00M,38.00M,747.00M,49.34M,199.00M,93.00M,106.00M,,1.20,0.0783,1.27,,2019-09,0.0776,1.22,,644.00M,0.075,,2019-09,AOR,Restated
2019-06,650.00M,650.00M,96.00M,554.00M,184.00M,96.00M,280.00M,101.00M,20.00M,-13.00M,49.00M,10.00M,-39.00M,,401.00M,153.00M,10.00M,49.00M,-39.00M,-22.00M,-39.00M,92.00M,54.00M,38.00M,-12.00M,48.22M,299.00M,158.00M,141.00M,,-0.02,0.0765,0.04,,2019-06,0.0759,0.04,,642.00M,0.075,,2019-06,AOR,Restated
2019-03,617.00M,617.00M,124.00M,493.00M,175.00M,93.00M,268.00M,98.00M,21.00M,-34.00M,51.00M,13.00M,-38.00M,,387.00M,106.00M,13.00M,51.00M,-38.00M,-48.00M,-38.00M,20.00M,-17.00M,37.00M,-3.00M,61.09M,229.00M,158.00M,71.00M,,0.01,0.0879,0.05,,2019-03,0.0879,0.05,,635.00M,0.075,,2019-03,AOR,Restated
2018-12,615.00M,615.00M,110.00M,505.00M,166.00M,98.00M,264.00M,110.00M,19.00M,-50.00M,53.00M,11.00M,-42.00M,,393.00M,112.00M,11.00M,53.00M,-42.00M,-79.00M,-42.00M,-9.00M,10.00M,-19.00M,84.00M,19.69M,196.00M,152.00M,44.00M,,0.13,0.0307,0.10,,2018-12,0.0307,0.10,,637.00M,0.075,,2018-12,AOR,Restated
2018-09,612.00M,612.00M,116.00M,496.00M,175.00M,101.00M,276.00M,105.00M,20.00M,-52.00M,52.00M,11.00M,-41.00M,,401.00M,95.00M,11.00M,52.00M,-41.00M,-86.00M,-41.00M,-32.00M,30.00M,-62.00M,54.00M,-21.12M,173.00M,153.00M,20.00M,,0.09,-0.0351,-0.01,,2018-09,-0.0351,-0.01,,630.00M,0.075,,2018-09,AOR,Restated
2018-06,1.156B,1.156B,249.00M,907.00M,386.00M,133.00M,519.00M,237.00M,53.00M,-96.00M,52.00M,7.00M,-45.00M,,809.00M,98.00M,7.00M,52.00M,-45.00M,-122.00M,-45.00M,-69.00M,-4.00M,-65.00M,5.00M,33.70M,135.00M,152.00M,-17.00M,,0.01,0.0582,-0.10,,2018-06,0.0582,-0.10,,624.00M,0.075,,2018-06,AOR,Restated
2018-03,-1.065B,-1.065B,-305.00M,-760.00M,-398.00M,56.00M,-342.00M,-244.00M,-79.00M,-107.00M,57.00M,8.00M,-49.00M,,-665.00M,-95.00M,8.00M,57.00M,-49.00M,-114.00M,-49.00M,-258.00M,-37.00M,-221.00M,162.00M,-136.20M,-46.00M,155.00M,-201.00M,,-0.01,0.0863,-0.06,,2018-03,0.0753,-0.06,,677.00M,0.075,,2018-03,AOR,Restated
2017-12,1.209B,1.209B,249.00M,960.00M,372.00M,122.00M,494.00M,225.00M,52.00M,565.00M,58.00M,5.00M,-53.00M,,771.00M,189.00M,5.00M,58.00M,-53.00M,569.00M,-53.00M,705.00M,-606.00M,1.311B,31.00M,975.00M,920.00M,157.00M,763.00M,,0.05,1.577,2.17,,2017-12,1.466,2.01,,667.00M,0.075,,2017-12,AOR,Restated
2017-09,1.24B,1.24B,262.00M,978.00M,434.00M,160.00M,594.00M,241.00M,55.00M,-97.00M,57.00M,5.00M,-52.00M,,890.00M,88.00M,5.00M,57.00M,-52.00M,-105.00M,-52.00M,-69.00M,-53.00M,-16.00M,4.00M,46.40M,151.00M,163.00M,-12.00M,,0.01,0.0715,-0.02,,2017-09,0.0715,-0.02,,615.00M,0.075,,2017-09,AOR,Restated
2017-06,1.175B,1.175B,257.00M,918.00M,433.00M,149.00M,582.00M,233.00M,59.00M,-88.00M,84.00M,6.00M,-78.00M,,874.00M,44.00M,6.00M,84.00M,-78.00M,-100.00M,-78.00M,-134.00M,-24.00M,-110.00M,-23.00M,-26.36M,115.00M,165.00M,-50.00M,,-0.04,-0.0427,-0.22,,2017-06,-0.0427,-0.22,,609.00M,0.075,,2017-06,AOR,Restated
2017-03,1.115B,1.115B,259.00M,856.00M,453.00M,204.00M,657.00M,249.00M,56.00M,-72.00M,74.00M,7.00M,-67.00M,,962.00M,-106.00M,7.00M,74.00M,-67.00M,-75.00M,-67.00M,-248.00M,-71.00M,-177.00M,34.00M,-125.61M,-38.00M,136.00M,-174.00M,,0.06,-0.2068,-0.23,,2017-03,-0.2068,-0.23,,618.00M,0.075,,2017-03,AOR,Restated
2016-12,1.041B,1.041B,235.00M,806.00M,377.00M,131.00M,508.00M,204.00M,43.00M,-67.00M,55.00M,5.00M,-50.00M,,755.00M,51.00M,5.00M,55.00M,-50.00M,-62.00M,-50.00M,-61.00M,-5.00M,-56.00M,102.00M,5.64M,145.00M,151.00M,-6.00M,,0.16,0.0094,0.07,,2016-12,0.0094,0.07,,620.00M,0.075,,2016-12,AOR,Restated
2016-09,979.00M,979.00M,210.00M,769.00M,338.00M,145.00M,483.00M,200.00M,34.00M,-64.00M,52.00M,4.00M,-48.00M,,717.00M,52.00M,4.00M,52.00M,-48.00M,-54.00M,-48.00M,-50.00M,19.00M,-69.00M,-75.00M,-30.60M,135.00M,133.00M,2.00M,,-0.12,-0.0481,-0.23,,2016-09,-0.0481,-0.23,,620.00M,0.075,,2016-09,AOR,Restated
2016-06,884.00M,884.00M,149.00M,735.00M,291.00M,84.00M,375.00M,170.00M,14.00M,-70.00M,27.00M,5.00M,-22.00M,,559.00M,176.00M,5.00M,27.00M,-22.00M,-57.00M,-22.00M,97.00M,31.00M,66.00M,69.00M,113.60M,196.00M,72.00M,124.00M,,0.11,0.1877,0.22,,2016-06,0.1868,0.22,,620.00M,0.075,,2016-06,AOR,Restated
2016-03,873.00M,873.00M,147.00M,726.00M,308.00M,77.00M,385.00M,177.00M,16.00M,-20.00M,19.00M,4.00M,-15.00M,,578.00M,148.00M,4.00M,19.00M,-15.00M,-17.00M,-15.00M,116.00M,1.129B,-1.013B,3.058B,-1.001B,207.00M,72.00M,135.00M,,4.70,-1.542,3.15,,2016-03,-1.542,3.15,,649.00M,0.15,,2016-03,AOR,Restated
2015-12,909.00M,909.00M,150.00M,759.00M,308.00M,68.00M,376.00M,174.00M,13.00M,-50.00M,17.00M,1.00M,-16.00M,,563.00M,196.00M,1.00M,17.00M,-16.00M,-51.00M,-16.00M,129.00M,15.00M,114.00M,56.00M,158.00M,220.00M,74.00M,146.00M,,0.08,0.2362,0.26,,2015-12,0.2356,0.25,,671.00M,0.15,,2015-12,AOR,Restated
2015-09,906.00M,906.00M,160.00M,746.00M,336.00M,66.00M,402.00M,199.00M,14.00M,-31.00M,19.00M,2.00M,-17.00M,,615.00M,131.00M,2.00M,19.00M,-17.00M,-27.00M,-17.00M,87.00M,34.00M,53.00M,103.00M,71.91M,182.00M,76.00M,106.00M,,0.15,0.1077,0.23,,2015-09,0.1075,0.23,,687.00M,0.15,,2015-09,AOR,Restated
2015-06,912.00M,912.00M,158.00M,754.00M,340.00M,84.00M,424.00M,198.00M,14.00M,-35.00M,20.00M,3.00M,-17.00M,,636.00M,118.00M,3.00M,20.00M,-17.00M,-41.00M,-17.00M,60.00M,35.00M,25.00M,92.00M,46.00M,157.00M,77.00M,80.00M,,0.13,0.0708,0.17,,2015-06,0.0704,0.17,,691.00M,0.15,,2015-06,AOR,Restated
2015-03,899.00M,899.00M,176.00M,723.00M,385.00M,86.00M,471.00M,208.00M,21.00M,-72.00M,19.00M,2.00M,-17.00M,,700.00M,23.00M,2.00M,19.00M,-17.00M,-64.00M,-17.00M,-58.00M,-113.00M,55.00M,121.00M,98.20M,51.00M,90.00M,-39.00M,,0.18,0.3230,0.26,,2015-03,0.3123,0.25,,693.00M,0.15,,2015-03,AOR,Restated
2014-12,970.00M,970.00M,177.00M,793.00M,403.00M,91.00M,494.00M,193.00M,21.00M,-51.00M,19.00M,3.00M,-16.00M,,708.00M,85.00M,3.00M,19.00M,-16.00M,-50.00M,-16.00M,19.00M,44.00M,-25.00M,247.00M,5.60M,76.00M,38.00M,38.00M,,0.36,0.0044,0.32,,2014-12,0.0044,0.32,,689.00M,0.15,,2014-12,AOR,Restated
