,NetIncome,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,2.307B,,,41.00M,41.00M,609.00M,609.00M,-13.00M,,85.00M,,-48.00M,-329.00M,278.00M,49.00M,1.76B,,,,1.758B,,,2020-09,-886.00M,8.00M,8.00M,,-724.00M,-395.00M,-2.00M,,2020-09,-62.00M,-691.00M,-753.00M,,-406.00M,-406.00M,,,-1.417B,-1.417B,-9.00M,-2.56B,,2020-09,102.00M,68.00M,9.159B,,2020-09,,-55.00M,-406.00M,,2020-09,AOR,
2020-06,1.658B,,,40.00M,40.00M,589.00M,589.00M,84.00M,,40.00M,,293.00M,-317.00M,-515.00M,12.00M,327.00M,,,,-493.00M,,,2020-06,-704.00M,13.00M,13.00M,,-5.191B,11.00M,34.00M,,2020-06,3.384B,-8.00M,3.376B,,-564.00M,-564.00M,,,-1.328B,-1.328B,-17.00M,1.509B,,2020-06,-2.117B,-186.00M,8.989B,,2020-06,,5.301B,-564.00M,,2020-06,AOR,
2020-03,1.351B,,,40.00M,40.00M,533.00M,533.00M,25.00M,,61.00M,,-185.00M,-784.00M,-312.00M,-263.00M,-1.215B,,,,-2.574B,,,2020-03,-484.00M,5.00M,5.00M,,-454.00M,7.00M,1.00M,,2020-03,6.428B,2.956B,9.384B,,-573.00M,-573.00M,,,-1.349B,-1.349B,-78.00M,7.462B,,2020-03,5.788B,-66.00M,11.29B,,2020-03,,9.387B,-573.00M,,2020-03,AOR,
2019-12,1.778B,,,354.00M,354.00M,798.00M,798.00M,279.00M,,68.00M,,-308.00M,1.066B,383.00M,177.00M,21.00M,,,,1.647B,,,2019-12,-2.273B,107.00M,107.00M,,-89.00M,73.00M,30.00M,,2019-12,-500.00M,-99.00M,-599.00M,,-732.00M,-732.00M,,,-1.333B,-1.333B,-43.00M,-2.66B,,2019-12,-226.00M,89.00M,5.57B,,2019-12,,1.429B,-732.00M,,2019-12,AOR,
2019-09,2.11B,,,67.00M,67.00M,578.00M,578.00M,-26.00M,,51.00M,,122.00M,-344.00M,299.00M,72.00M,746.00M,,,,773.00M,,,2019-09,-792.00M,21.00M,21.00M,,-221.00M,10.00M,-32.00M,,2019-09,1.975B,-558.00M,1.417B,,-542.00M,-542.00M,,,-1.336B,-1.336B,-1.00M,-390.00M,,2019-09,2.271B,-35.00M,5.707B,,2019-09,,1.418B,-542.00M,,2019-09,AOR,Restated
2019-06,2.043B,,,51.00M,51.00M,558.00M,558.00M,5.00M,,61.00M,,-3.00M,-966.00M,-437.00M,46.00M,768.00M,,,,-589.00M,,,2019-06,-725.00M,40.00M,40.00M,,-291.00M,5.00M,0.00,,2019-06,-1.102B,541.00M,-561.00M,,-786.00M,-786.00M,,,-1.303B,-1.303B,-20.00M,-2.563B,,2019-06,-1.801B,-33.00M,3.471B,,2019-06,,541.00M,-786.00M,,2019-06,AOR,Restated
2019-03,1.422B,,,47.00M,47.00M,498.00M,498.00M,187.00M,,57.00M,,-246.00M,-406.00M,-435.00M,-382.00M,-1.087B,,,,-2.31B,,,2019-03,-442.00M,2.00M,2.00M,,-1.863B,9.00M,-6.00M,,2019-03,-729.00M,117.00M,-612.00M,,-940.00M,-940.00M,,,-1.332B,-1.332B,-95.00M,-2.876B,,2019-03,-5.521B,57.00M,5.305B,,2019-03,,1.239B,-940.00M,,2019-03,AOR,Restated
2018-12,6.867B,,,74.00M,74.00M,763.00M,763.00M,-804.00M,,53.00M,,-4.137B,1.046B,188.00M,167.00M,540.00M,,,,1.941B,,,2018-12,-1.704B,15.00M,15.00M,,-1.032B,1.685B,,,2018-12,-3.09B,33.00M,-3.057B,,-558.00M,-558.00M,0.00,0.00,-1.309B,-1.309B,-40.00M,-4.898B,,2018-12,-1.249B,-25.00M,10.77B,,2018-12,,1.00M,-558.00M,,2018-12,AOR,Restated
2018-09,2.509B,,,54.00M,54.00M,566.00M,566.00M,-366.00M,,57.00M,,-173.00M,-280.00M,275.00M,66.00M,940.00M,,,,1.001B,,,2018-09,-633.00M,76.00M,76.00M,,-51.00M,2.379B,,,2018-09,-4.00M,-5.473B,-5.477B,,-458.00M,-458.00M,0.00,0.00,-1.316B,-1.316B,-32.00M,-7.213B,,2018-09,-1.797B,-54.00M,12.04B,,2018-09,,-4.089B,-458.00M,,2018-09,AOR,Restated
2018-06,1.83B,,,47.00M,47.00M,574.00M,574.00M,561.00M,,66.00M,,-378.00M,-857.00M,-254.00M,123.00M,722.00M,,,,-266.00M,,,2018-06,-593.00M,34.00M,34.00M,,86.00M,2.904B,,,2018-06,-2.502B,-216.00M,-2.718B,,-491.00M,-491.00M,0.00,0.00,-1.145B,-1.145B,-6.00M,-4.34B,,2018-06,487.00M,-68.00M,13.89B,,2018-06,,-200.00M,-491.00M,,2018-06,AOR,Restated
2018-03,1.353B,,,46.00M,46.00M,496.00M,496.00M,50.00M,,80.00M,,-1.57B,-162.00M,-383.00M,-347.00M,-872.00M,,,,-1.764B,,,2018-03,-352.00M,9.00M,9.00M,,6.00M,1.733B,,,2018-03,0.00,4.29B,4.29B,,-493.00M,-493.00M,-2.00M,-2.00M,-1.16B,-1.16B,-78.00M,2.682B,,2018-03,2.769B,49.00M,13.48B,,2018-03,,4.291B,-495.00M,,2018-03,AOR,Restated
2017-12,-695.00M,,,80.00M,80.00M,765.00M,765.00M,2.786B,,86.00M,,3.00M,797.00M,256.00M,139.00M,-274.00M,,,,918.00M,,,2017-12,-1.495B,98.00M,98.00M,,108.00M,-856.00M,20.00M,,2017-12,2.834B,-2.565B,269.00M,,-536.00M,-536.00M,-1.00M,-1.00M,,-1.148B,-61.00M,-1.411B,,2017-12,407.00M,-29.00M,10.66B,,2017-12,,2.472B,-537.00M,,2017-12,AOR,Restated
