,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,421.41M,,421.41M,464.89M,,464.89M,146.98M,2.755M,328.28M,478.01M,178.30M,,,1.543B,,,,,1.131B,,,1.131B,-581.72M,549.29M,1.900B,432.89M,2.333B,,,50.79M,4.621B,,2020-09,117.59M,68.05M,185.64M,269.86M,455.50M,,11.99M,11.99M,21.33M,33.32M,102.04M,102.04M,,,590.85M,1.044B,111.18M,1.156B,13.01M,,8.568M,1.351B,1.942B,,2.954B,1.588B,1.623B,-240.19M,2.679B,,2020-09,AOR,
2020-06,463.16M,,463.16M,474.64M,9.452M,484.10M,128.10M,2.807M,286.01M,416.92M,159.29M,,,1.523B,0.00,51.80M,227.90M,628.97M,118.35M,,60.49M,1.088B,-551.83M,535.68M,1.890B,448.17M,2.338B,,6.957M,41.06M,4.587B,,2020-06,135.79M,91.38M,227.17M,243.30M,470.47M,,11.99M,11.99M,21.26M,33.25M,98.62M,98.62M,,0.427M,602.76M,1.164B,101.88M,1.266B,13.01M,,8.347M,1.488B,2.090B,,2.833B,1.571B,1.623B,-283.98M,2.497B,,2020-06,AOR,
2020-03,352.86M,,352.86M,554.86M,,554.86M,98.88M,2.433M,257.45M,358.77M,203.27M,,,1.470B,,,,,1.030B,,,1.030B,-506.09M,523.49M,1.884B,464.96M,2.349B,,,27.32M,4.511B,,2020-03,116.15M,68.28M,184.43M,235.20M,419.63M,,11.99M,11.99M,22.80M,34.78M,97.11M,97.11M,,,551.52M,1.365B,107.25M,1.472B,25.44M,,7.527M,1.703B,2.254B,,2.712B,1.534B,1.623B,-366.44M,2.256B,,2020-03,AOR,
2019-12,204.10M,,204.10M,528.04M,,528.04M,98.05M,2.063M,277.67M,377.78M,190.57M,,,1.300B,,,,,1.045B,,,1.045B,-539.51M,505.11M,1.871B,480.86M,2.352B,,,32.89M,4.354B,,2019-12,114.32M,42.90M,157.23M,217.85M,375.07M,,11.98M,11.98M,20.04M,32.02M,92.95M,92.95M,,,500.04M,1.288B,79.46M,1.367B,27.71M,,2.062M,1.596B,2.096B,,2.605B,1.522B,1.623B,-246.12M,2.258B,,2019-12,AOR,
2019-09,172.15M,,172.15M,493.84M,,493.84M,89.12M,2.252M,265.66M,357.03M,138.08M,,,1.161B,,,,,975.73M,,,975.73M,-511.11M,464.62M,1.856B,496.85M,2.353B,,,34.23M,4.155B,,2019-09,109.74M,90.97M,200.71M,231.25M,431.96M,,11.99M,11.99M,19.55M,31.54M,86.95M,86.95M,,,550.46M,1.208B,65.84M,1.274B,15.18M,,2.047M,1.487B,2.037B,,2.501B,1.530B,1.623B,-290.58M,2.117B,,2019-09,AOR,Restated
2019-06,147.13M,,147.13M,528.48M,9.834M,538.32M,80.86M,2.256M,266.52M,349.64M,110.28M,,,1.145B,0.00,52.41M,223.03M,589.33M,,,34.21M,898.98M,-511.52M,387.46M,1.856B,521.95M,2.378B,,4.592M,45.48M,4.108B,,2019-06,115.72M,98.80M,214.53M,240.56M,455.09M,,11.99M,11.99M,0.00,11.99M,88.67M,88.67M,,0.244M,555.99M,1.259B,0.00,1.259B,11.38M,,2.058M,1.479B,2.035B,,2.436B,1.511B,1.623B,-253.01M,2.072B,,2019-06,AOR,Restated
2019-03,146.51M,,146.51M,511.40M,,511.40M,79.94M,2.479M,237.51M,319.93M,124.85M,,,1.103B,0.00,52.74M,224.48M,577.45M,,,33.68M,888.34M,-505.85M,382.50M,1.939B,516.45M,2.456B,,,32.02M,4.099B,,2019-03,124.47M,52.74M,177.20M,191.13M,368.34M,,,12.35M,,12.35M,82.29M,82.29M,,,462.97M,1.323B,,1.323B,87.31M,,0.865M,1.614B,2.077B,,2.421B,1.476B,1.623B,-252.82M,2.021B,,2019-03,AOR,Restated
2018-12,149.47M,,149.47M,477.19M,,477.19M,73.26M,2.789M,220.46M,296.51M,140.37M,,,1.064B,0.00,52.51M,223.49M,561.26M,,,33.23M,870.49M,-488.98M,381.50M,1.759B,484.93M,2.244B,,,32.70M,3.860B,,2018-12,110.34M,49.88M,160.22M,191.56M,351.78M,,,11.98M,,11.98M,72.68M,72.68M,,,436.44M,1.186B,,1.186B,79.06M,,,1.467B,1.904B,,2.368B,1.461B,1.623B,-250.32M,1.956B,,2018-12,AOR,Restated
2018-09,230.19M,,230.19M,463.74M,,463.74M,74.22M,2.28M,206.06M,282.56M,111.76M,,,1.088B,0.00,53.29M,226.60M,549.48M,,,32.44M,861.80M,-479.98M,381.82M,1.192B,242.19M,1.434B,,,46.23M,3.068B,,2018-09,98.71M,76.14M,174.85M,169.46M,344.31M,,,11.98M,,11.98M,64.82M,64.82M,,,421.11M,517.64M,,517.64M,16.09M,,0.534M,746.17M,1.167B,,2.296B,1.464B,1.623B,-237.20M,1.900B,,2018-09,AOR,Restated
2018-06,188.70M,,188.70M,483.68M,,483.68M,75.42M,2.453M,190.83M,268.70M,124.63M,,,1.066B,0.00,54.09M,229.19M,545.41M,,,32.17M,860.86M,-474.31M,386.55M,1.069B,215.18M,1.284B,,,53.82M,3.064B,,2018-06,92.72M,180.56M,273.28M,163.30M,436.58M,,11.47M,11.47M,,11.47M,60.83M,60.83M,,2.373M,511.25M,269.99M,,269.99M,13.08M,,0.924M,493.69M,1.005B,,2.432B,1.451B,1.600B,-224.33M,2.059B,,2018-06,AOR,Restated
2018-03,704.28M,,704.28M,498.42M,,498.42M,86.69M,3.787M,198.22M,288.70M,113.00M,,,1.604B,0.00,55.32M,233.98M,567.99M,,,39.24M,896.52M,-498.54M,397.98M,1.081B,228.22M,1.309B,,,46.28M,3.534B,,2018-03,88.16M,124.57M,212.73M,190.73M,403.46M,,,,,,58.00M,58.00M,,,461.46M,810.00M,,810.00M,12.76M,,2.473M,1.006B,1.467B,,2.372B,1.424B,1.575B,-155.61M,2.067B,,2018-03,AOR,Restated
2017-12,858.90M,,858.90M,482.93M,,482.93M,79.25M,4.798M,212.02M,296.06M,116.45M,,,1.754B,0.00,55.86M,236.32M,557.72M,,,37.98M,887.88M,-486.34M,401.54M,1.075B,240.03M,1.315B,,,50.72M,3.564B,,2017-12,78.35M,16.28M,94.63M,189.37M,284.00M,,,1.019B,,1.019B,53.28M,53.28M,,,1.356B,,,,13.14M,,2.217M,188.06M,1.544B,,2.312B,1.410B,1.555B,-148.22M,2.020B,,2017-12,AOR,Restated
2017-09,811.10M,,811.10M,431.35M,,431.35M,71.58M,5.002M,223.89M,300.47M,115.02M,,,1.658B,0.00,55.97M,236.68M,543.75M,,,37.59M,873.99M,-473.19M,400.80M,1.072B,251.02M,1.323B,,,63.85M,3.490B,,2017-09,85.08M,33.98M,119.06M,179.23M,298.29M,,,,,,53.29M,53.29M,,,351.58M,1.019B,,1.019B,11.57M,,2.375M,1.089B,1.440B,,2.353B,1.396B,1.547B,-152.67M,2.050B,,2017-09,AOR,Restated
2017-06,821.94M,,821.94M,450.53M,,450.53M,75.66M,4.297M,188.36M,268.32M,103.22M,,,1.644B,0.00,55.31M,233.87M,525.43M,,,35.93M,850.54M,-456.30M,394.24M,1.065B,261.80M,1.327B,,,61.50M,3.468B,,2017-06,92.76M,47.38M,140.14M,167.61M,307.75M,,,,,,51.92M,51.92M,,0.46M,360.13M,1.079B,,1.079B,13.82M,,2.427M,1.148B,1.508B,,2.316B,1.379B,1.547B,-189.06M,1.960B,,2017-06,AOR,Restated
2017-03,827.31M,,827.31M,413.61M,,413.61M,82.44M,4.421M,173.01M,259.87M,104.57M,,,1.605B,0.00,55.14M,232.39M,506.56M,,,35.29M,829.38M,-441.97M,387.41M,1.050B,267.40M,1.317B,,,66.57M,3.423B,,2017-03,82.85M,34.85M,117.70M,169.90M,287.60M,,,,,,48.68M,48.68M,,,336.28M,1.168B,,1.168B,12.99M,,0.856M,1.231B,1.568B,,2.261B,1.353B,1.547B,-213.10M,1.855B,,2017-03,AOR,Restated
