,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,22.68M,,,58.07M,,,180.30M,180.30M,-15.40M,,8.515M,17.06M,1.497M,14.14M,-4.55M,-14.96M,,19.59M,3.54M,17.77M,,,2020-09,-28.39M,,,-80.86M,171.76M,-1.911M,60.59M,2020-09,135.32M,,135.32M,,-175.66M,-175.66M,-52.03M,-52.03M,12.97M,-182.73M,-262.13M,2020-09,251.64M,88.95M,-4.618M,,2020-09,,1.335B,-1.20B,-175.66M,5.121M,,2020-09,AOR,
2020-06,23.12M,,,31.18M,,,178.71M,178.71M,-5.503M,,6.163M,18.58M,8.937M,14.42M,3.622M,26.54M,,4.661M,4.262M,53.50M,,,2020-06,-27.69M,,,-29.50M,-225.01M,0.248M,-281.96M,2020-06,6.69M,,6.69M,,0.00,0.00,-51.97M,-51.97M,-1.553M,38.05M,-8.786M,2020-06,229.62M,23.93M,-1.909M,,2020-06,,506.69M,-500.00M,0.00,2.959M,,2020-06,AOR,
2020-03,-127.93M,,,230.13M,,,182.58M,182.58M,-72.20M,,14.00M,16.28M,18.27M,19.71M,-1.643M,-22.92M,,16.01M,5.469M,16.63M,,,2020-03,-39.29M,,,-89.53M,-0.012M,-3.178M,-132.01M,2020-03,224.37M,,224.37M,,-203.33M,-203.33M,-52.20M,-52.20M,38.87M,-51.05M,-43.34M,2020-03,141.12M,102.40M,-13.90M,,2020-03,,1.489B,-1.264B,-203.33M,5.981M,,2020-03,AOR,
2019-12,67.56M,,,-39.01M,,,179.49M,179.49M,-5.988M,,9.425M,12.58M,25.14M,1.763M,0.209M,10.80M,,3.588M,1.66M,18.02M,,,2019-12,-42.86M,,,-490.26M,0.202M,0.817M,-532.09M,2019-12,465.42M,,465.42M,,-199.45M,-199.45M,-41.51M,-41.51M,3.293M,17.51M,245.27M,2019-12,158.68M,-21.76M,4.204M,,2019-12,,489.42M,-24.00M,-199.45M,6.738M,,2019-12,AOR,
2019-09,21.76M,,,33.12M,,,174.99M,174.99M,-8.834M,,8.079M,12.73M,8.005M,-9.363M,-3.246M,-19.12M,,21.79M,-1.044M,-10.98M,,,2019-09,-38.60M,,,-132.52M,16.68M,-5.16M,-159.59M,2019-09,153.04M,,153.04M,,-172.96M,-172.96M,-41.87M,-41.87M,24.99M,-6.307M,-43.12M,2019-09,126.81M,36.17M,-4.301M,,2019-09,,1.328B,-1.175B,-172.96M,3.083M,,2019-09,AOR,Restated
2019-06,31.97M,,,-9.087M,,,171.56M,171.56M,11.35M,,9.286M,24.49M,4.032M,-6.477M,4.045M,21.08M,,-19.85M,1.041M,-0.166M,,,2019-06,-36.41M,,,-95.90M,-30.55M,-7.647M,-170.50M,2019-06,-30.00M,,-30.00M,,-94.57M,-94.57M,0.00,0.00,18.23M,-0.075M,-106.42M,2019-06,143.87M,-33.47M,16.42M,,2019-06,,90.00M,-120.00M,-94.57M,6.184M,,2019-06,AOR,Restated
2019-03,25.99M,,,2.08M,,,171.04M,171.04M,3.47M,,5.451M,23.41M,2.567M,1.931M,-0.13M,-18.71M,,1.104M,4.464M,-11.34M,,,2019-03,-36.37M,,,-55.29M,0.504M,6.181M,-84.98M,2019-03,-215.00M,,-215.00M,,0.00,0.00,0.00,0.00,69.69M,-12.74M,-158.05M,2019-03,178.30M,-20.36M,-14.07M,,2019-03,,0.00,-215.00M,0.00,5.593M,,2019-03,AOR,Restated
2018-12,57.15M,,,-9.95M,,,169.45M,169.45M,27.92M,,4.046M,10.19M,-25.67M,-24.77M,-9.979M,14.29M,,13.24M,,-7.22M,,,2018-12,-44.85M,,,-47.99M,-2.16M,-3.03M,-98.03M,2018-12,198.94M,,198.94M,,-342.04M,-342.04M,0.00,0.00,26.20M,-0.449M,-117.35M,2018-12,163.32M,11.10M,3.879M,,2018-12,,314.94M,-116.00M,-342.04M,5.12M,,2018-12,AOR,Restated
2018-09,16.14M,,,25.86M,,,167.70M,167.70M,-6.514M,,6.468M,10.43M,6.422M,-7.483M,-12.46M,-10.18M,,2.69M,,-27.43M,,,2018-09,-36.35M,,,-118.47M,0.859M,3.803M,-150.16M,2018-09,28.99M,,28.99M,,-108.02M,-108.02M,0.00,0.00,21.37M,-0.252M,-57.91M,2018-09,176.36M,-8.981M,-4.058M,,2018-09,,259.99M,-231.00M,-108.02M,5.231M,,2018-09,AOR,Restated
2018-06,-57.39M,,,87.28M,,,169.56M,169.56M,-23.69M,,7.232M,11.30M,22.17M,8.026M,-6.325M,22.34M,,5.983M,,30.03M,,,2018-06,-37.52M,,,-167.74M,-4.106M,-9.193M,-218.56M,2018-06,291.91M,,291.91M,,-306.98M,-306.98M,,,5.405M,2.336M,-7.332M,2018-06,164.82M,20.59M,-9.046M,,2018-06,,2.657B,-2.365B,-306.98M,9.146M,,2018-06,AOR,Restated
2018-03,31.54M,,,,,,165.40M,165.40M,2.277M,,8.446M,10.41M,2.784M,-5.198M,-9.277M,-29.47M,,1.665M,,-42.28M,,,2018-03,-31.10M,,,-117.62M,-0.686M,-2.193M,-151.60M,2018-03,71.85M,,71.85M,,-38.54M,-38.54M,,,6.901M,-6.155M,34.05M,2018-03,104.30M,61.03M,-0.504M,,2018-03,,896.85M,-825.00M,-38.54M,2.148M,,2018-03,AOR,Restated
2017-12,7.66M,,,20.40M,,,162.64M,162.64M,1.22M,,10.11M,9.355M,0.25M,-8.943M,1.28M,23.54M,,-3.431M,,12.45M,,,2017-12,-40.73M,,,-280.54M,0.216M,6.866M,-314.19M,2017-12,346.06M,,346.06M,,-331.16M,-331.16M,,,,-46.82M,23.03M,2017-12,172.46M,-64.17M,-4.001M,,2017-12,,851.06M,-505.00M,-331.16M,3.33M,,2017-12,AOR,Restated
2017-09,49.16M,,,-18.41M,,,161.91M,161.91M,-0.619M,,8.597M,9.423M,5.044M,-10.87M,-7.093M,-18.11M,,8.241M,,-27.83M,,,2017-09,-36.88M,,,-78.83M,-0.382M,-6.191M,-122.27M,2017-09,274.66M,,274.66M,,-378.93M,-378.93M,,,,10.78M,-93.49M,2017-09,197.19M,-28.49M,3.762M,,2017-09,,314.66M,-40.00M,-378.93M,2.762M,,2017-09,AOR,Restated
2017-06,9.234M,,,22.38M,,,159.52M,159.52M,-0.601M,,6.672M,10.19M,5.063M,-2.523M,-6.298M,27.31M,,0.945M,,19.43M,,,2017-06,-33.69M,,,-39.53M,,-11.15M,-84.36M,2017-06,5.153M,,5.153M,,-140.02M,-140.02M,,,,23.03M,-111.84M,2017-06,165.47M,35.69M,-3.969M,,2017-06,,850.15M,-845.00M,-140.02M,5.755M,,2017-06,AOR,Restated
2017-03,37.60M,,,-13.66M,,,159.03M,159.03M,,,7.047M,9.277M,6.733M,1.444M,-4.777M,-29.19M,,-1.199M,,-33.72M,,,2017-03,-35.75M,,,-42.65M,,-5.879M,-84.28M,2017-03,-115.00M,,-115.00M,,-4.419M,-4.419M,,,,7.147M,-112.27M,2017-03,185.97M,-24.24M,3.744M,,2017-03,,0.00,-115.00M,-4.419M,2.806M,,2017-03,AOR,Restated
2016-12,5.262M,,,17.12M,,,158.55M,158.55M,,,6.643M,8.163M,7.294M,-3.626M,-9.316M,11.57M,,11.62M,,10.26M,,,2016-12,-35.66M,,,-85.43M,,-7.539M,-128.02M,2016-12,-294.44M,,-294.44M,,-343.34M,-343.34M,,,,15.69M,-622.09M,2016-12,720.93M,-534.82M,-0.142M,,2016-12,,289.63M,-584.06M,-343.34M,1.522M,,2016-12,AOR,Restated
2016-09,-15.37M,,,37.68M,,,160.11M,160.11M,,,1.298M,8.075M,2.675M,-12.41M,-5.131M,-15.85M,,8.415M,,-24.98M,,,2016-09,-33.66M,,,-42.70M,,5.571M,-70.79M,2016-09,513.18M,,513.18M,,-52.32M,-52.32M,,,,-3.022M,457.83M,2016-09,162.64M,559.54M,-1.249M,,2016-09,,1.919B,-1.406B,-52.32M,2.272M,,2016-09,AOR,Restated
2016-06,32.71M,,,-47.37M,,,159.72M,159.72M,,,13.56M,8.892M,4.798M,8.679M,-13.58M,16.60M,,8.578M,,20.28M,,,2016-06,-34.60M,,,-56.87M,,-5.615M,-97.09M,2016-06,15.00M,,15.00M,,-100.02M,-100.02M,,,,-5.96M,-90.98M,2016-06,131.63M,22.03M,8.977M,,2016-06,,70.00M,-55.00M,-100.02M,3.502M,,2016-06,AOR,Restated
2016-03,53.64M,,,-44.76M,,,159.80M,159.80M,,,4.196M,7.785M,5.144M,0.09M,-12.27M,-22.83M,,-6.151M,,-41.16M,,,2016-03,-36.06M,,,-91.83M,,-4.447M,-132.34M,2016-03,15.00M,,15.00M,,-50.01M,-50.01M,,,,1.689M,-33.32M,2016-03,146.62M,-21.02M,6.032M,,2016-03,,70.00M,-55.00M,-50.01M,2.359M,,2016-03,AOR,Restated
2015-12,31.02M,,,-39.11M,,,161.46M,161.46M,,,19.51M,6.844M,3.913M,-8.267M,-10.01M,10.23M,,11.80M,,3.762M,,,2015-12,-46.40M,,,-200.82M,,-12.85M,-170.33M,2015-12,44.08M,,44.08M,,-50.01M,-50.01M,,,0.00,3.162M,-2.762M,2015-12,73.27M,15.20M,-0.302M,,2015-12,,489.08M,-445.00M,-50.01M,1.862M,,2015-12,AOR,Restated
2015-09,-155.95M,,,112.13M,,,164.33M,164.33M,-0.192M,,61.99M,6.702M,2.799M,17.78M,-28.78M,-6.649M,,-14.75M,,-32.39M,,,2015-09,-43.92M,,,-85.63M,,-0.573M,-130.12M,2015-09,230.00M,,230.00M,,-250.04M,-250.04M,,,0.00,4.77M,-15.27M,2015-09,69.85M,13.81M,-10.39M,,2015-09,,320.00M,-90.00M,-250.04M,1.902M,,2015-09,AOR,Restated
2015-06,28.30M,,,-15.70M,,,162.38M,162.38M,-0.365M,,2.875M,8.213M,3.894M,2.016M,-17.86M,15.16M,,7.997M,,7.313M,,,2015-06,-50.29M,,,-269.80M,,5.039M,-315.06M,2015-06,287.40M,,287.40M,,-150.02M,-150.02M,,,-15.64M,3.575M,125.31M,2015-06,62.37M,7.381M,0.094M,,2015-06,,804.90M,-517.50M,-150.02M,4.153M,,2015-06,AOR,Restated
2015-03,-79.03M,,,84.00M,,,171.85M,171.85M,0.557M,,5.027M,6.988M,3.293M,4.445M,-6.286M,-11.38M,,-1.056M,,-14.28M,,,2015-03,-68.10M,,,-53.28M,,-0.175M,-121.55M,2015-03,102.50M,,102.50M,,0.00,0.00,,,-135.24M,1.207M,-31.53M,2015-03,39.44M,25.32M,-2.397M,,2015-03,,135.00M,-32.50M,0.00,1.514M,,2015-03,AOR,Restated
2014-12,0.39M,0.00,,11.63M,,,162.21M,162.21M,1.573M,,8.475M,5.44M,-1.809M,-25.60M,-18.26M,12.35M,,32.28M,,0.776M,,,2014-12,-79.90M,,,-536.47M,2.998M,13.24M,-600.14M,2014-12,288.47M,,288.47M,,0.00,0.00,,,-282.15M,-1.38M,4.935M,2014-12,450.26M,-406.15M,-2.503M,,2014-12,,1.643B,-1.355B,0.00,1.148M,,2014-12,AOR,Restated
2014-09,-16.62M,0.00,,14.89M,,,159.41M,159.41M,-1.08M,,4.646M,6.417M,9.87M,-9.993M,-27.53M,-12.44M,,22.77M,,-27.19M,,,2014-09,-59.20M,,,-81.27M,0.00,3.134M,-137.34M,2014-09,659.74M,,659.74M,,0.00,0.00,,,-326.61M,-1.763M,331.37M,2014-09,107.65M,344.38M,-1.77M,,2014-09,,1.032B,-372.61M,0.00,2.023M,,2014-09,AOR,Restated
2014-06,-9.468M,0.00,,8.236M,,,161.00M,161.00M,-0.437M,,2.405M,6.196M,14.76M,-9.30M,-17.59M,10.11M,,8.816M,,-7.963M,,,2014-06,-39.91M,,,-39.82M,0.00,-5.36M,-85.09M,2014-06,-23.81M,,-23.81M,,0.00,0.00,,,-276.23M,-5.131M,-305.17M,2014-06,322.91M,-215.53M,0.269M,,2014-06,,99.98M,-123.79M,0.00,2.403M,,2014-06,AOR,Restated
2014-03,1.407M,-17.89M,,-15.94M,,,144.44M,144.44M,0.474M,,2.858M,4.618M,14.11M,8.644M,1.196M,-4.556M,,2.959M,,8.243M,,,2014-03,-32.24M,,,-927.65M,17.89M,0.444M,-941.56M,2014-03,975.47M,,975.47M,,,,,,0.00,-11.31M,964.16M,2014-03,122.11M,182.82M,17.98M,,2014-03,,1.658B,-683.00M,,1.951M,,2014-03,AOR,Restated
2013-12,-19.16M,6.893M,27.87M,29.00M,,,133.33M,133.33M,-3.972M,,10.72M,4.195M,-11.06M,5.434M,-12.84M,4.578M,,14.32M,,11.49M,,,2013-12,-65.52M,,,-330.32M,,28.11M,-367.73M,2013-12,212.31M,,212.31M,,,,,,-65.66M,2.671M,149.33M,2013-12,189.41M,-63.86M,-3.433M,,2013-12,,214.81M,-2.50M,,1.437M,,2013-12,AOR,Restated
