,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,498.00M,-8.00M,,0.00,271.00M,21.00M,33.00M,54.00M,54.00M,-17.00M,,38.00M,,23.00M,142.00M,,-4.00M,95.00M,,-12.00M,-281.00M,809.00M,,2020-09,-25.00M,7.00M,7.00M,,-4.00M,4.00M,-18.00M,,2020-09,-118.00M,,-118.00M,,-11.00M,-11.00M,-161.00M,-161.00M,2.00M,-340.00M,,2020-09,2.684B,33.00M,3.168B,,2020-09,,,1.276B,-11.00M,,2020-09,AOR,
2020-06,842.00M,-1.00M,,2.00M,1.00M,19.00M,32.00M,51.00M,51.00M,9.00M,,11.00M,,-2.00M,-46.00M,,4.00M,59.00M,,-65.00M,69.00M,937.00M,,2020-06,-7.00M,2.00M,2.00M,,-2.00M,4.00M,-3.00M,,2020-06,,,,,0.00,0.00,-162.00M,-162.00M,4.00M,-209.00M,,2020-06,1.952B,7.00M,2.684B,,2020-06,,,,0.00,,2020-06,AOR,
2020-03,689.00M,-7.00M,,0.00,-7.00M,20.00M,29.00M,49.00M,49.00M,-6.00M,,11.00M,,29.00M,76.00M,,-52.00M,-251.00M,,49.00M,83.00M,680.00M,,2020-03,-11.00M,,,,-183.00M,11.00M,-183.00M,,2020-03,,,,,-1.153B,-1.153B,-161.00M,-161.00M,8.00M,-1.401B,,2020-03,2.886B,-30.00M,1.952B,,2020-03,,,,-1.153B,,2020-03,AOR,
2019-12,586.00M,0.00,,0.00,0.00,21.00M,30.00M,51.00M,51.00M,13.00M,,25.00M,,44.00M,-85.00M,,-22.00M,126.00M,,26.00M,239.00M,1.004B,,2019-12,-38.00M,0.00,0.00,,-66.00M,-7.00M,-111.00M,,2019-12,218.00M,,218.00M,,-96.00M,-96.00M,-139.00M,-139.00M,2.00M,-67.00M,,2019-12,2.019B,41.00M,2.886B,,2019-12,,,1.086B,-96.00M,,2019-12,AOR,
2019-09,662.00M,-49.00M,,0.00,-49.00M,20.00M,29.00M,49.00M,49.00M,3.00M,,20.00M,,11.00M,45.00M,,-17.00M,21.00M,,1.00M,11.00M,762.00M,,2019-09,-31.00M,85.00M,85.00M,,-21.00M,0.00,33.00M,,2019-09,0.00,,0.00,,-500.00M,-500.00M,-140.00M,-140.00M,7.00M,-676.00M,,2019-09,1.92B,-20.00M,2.019B,,2019-09,,,0.00,-500.00M,,2019-09,AOR,Restated
2019-06,602.00M,0.00,,0.00,0.00,21.00M,31.00M,52.00M,52.00M,2.00M,,21.00M,,30.00M,-8.00M,,-8.00M,87.00M,,-24.00M,-42.00M,717.00M,,2019-06,-26.00M,0.00,0.00,,-3.00M,-3.00M,-32.00M,,2019-06,,,,,0.00,0.00,-140.00M,-140.00M,8.00M,-179.00M,,2019-06,1.436B,-22.00M,1.92B,,2019-06,,,,0.00,,2019-06,AOR,Restated
2019-03,453.00M,0.00,,85.00M,85.00M,20.00M,32.00M,52.00M,52.00M,28.00M,,12.00M,,8.00M,-87.00M,,-34.00M,-162.00M,,-59.00M,-10.00M,293.00M,,2019-03,-20.00M,,,,-1.00M,0.00,-21.00M,,2019-03,,,,,-644.00M,-644.00M,-141.00M,-141.00M,23.00M,-829.00M,,2019-03,1.958B,35.00M,1.436B,,2019-03,,,,-644.00M,,2019-03,AOR,Restated
2018-12,551.00M,0.00,,0.00,0.00,24.00M,31.00M,55.00M,55.00M,60.00M,,21.00M,,33.00M,-226.00M,,-2.00M,133.00M,,-49.00M,82.00M,663.00M,,2018-12,-25.00M,,,,-138.00M,-10.00M,-167.00M,,2018-12,0.00,,0.00,,-552.00M,-552.00M,-124.00M,-124.00M,10.00M,-709.00M,,2018-12,2.203B,-32.00M,1.958B,,2018-12,,,0.00,-552.00M,,2018-12,AOR,Restated
2018-09,535.00M,0.00,,0.00,0.00,20.00M,34.00M,54.00M,54.00M,-1.00M,,27.00M,,-60.00M,43.00M,,20.00M,-101.00M,,51.00M,-76.00M,498.00M,,2018-09,-28.00M,,,,-17.00M,4.00M,-41.00M,,2018-09,0.00,,0.00,,-8.00M,-8.00M,-126.00M,-126.00M,8.00M,-175.00M,,2018-09,1.935B,-14.00M,2.203B,,2018-09,,,0.00,-8.00M,,2018-09,AOR,Restated
2018-06,501.00M,,,0.00,0.00,19.00M,33.00M,52.00M,52.00M,7.00M,,33.00M,,79.00M,12.00M,,2.00M,72.00M,,-88.00M,-129.00M,543.00M,,2018-06,-27.00M,,,,-189.00M,-2.00M,-218.00M,,2018-06,86.00M,,86.00M,,0.00,0.00,-126.00M,-126.00M,6.00M,-88.00M,,2018-06,1.756B,-58.00M,1.935B,,2018-06,,,489.00M,0.00,,2018-06,AOR,Restated
2018-03,534.00M,,,0.00,0.00,21.00M,24.00M,45.00M,45.00M,15.00M,,13.00M,,1.00M,7.00M,,-21.00M,-318.00M,,19.00M,57.00M,360.00M,,2018-03,-33.00M,,,,-57.00M,3.00M,-87.00M,,2018-03,,,,,-1.10B,-1.10B,-127.00M,-127.00M,10.00M,-1.316B,,2018-03,2.779B,20.00M,1.756B,,2018-03,,,,-1.10B,,2018-03,AOR,Restated
2017-12,299.00M,,,,,21.00M,25.00M,46.00M,46.00M,,,34.00M,,109.00M,-132.00M,,7.00M,125.00M,,9.00M,317.00M,813.00M,,2017-12,-46.00M,0.00,0.00,,-3.00M,-5.00M,-54.00M,,2017-12,0.00,,0.00,,-155.00M,-155.00M,-105.00M,-105.00M,6.00M,-296.00M,,2017-12,2.312B,4.00M,2.779B,,2017-12,,,0.00,-155.00M,,2017-12,AOR,Restated
2017-09,452.00M,,,,,22.00M,24.00M,46.00M,46.00M,,,24.00M,,16.00M,-15.00M,,16.00M,89.00M,,-9.00M,-94.00M,529.00M,,2017-09,-21.00M,0.00,0.00,,-10.00M,0.00,-31.00M,,2017-09,0.00,,0.00,,-500.00M,-500.00M,-104.00M,-104.00M,31.00M,-593.00M,,2017-09,2.384B,23.00M,2.312B,,2017-09,,,0.00,-500.00M,,2017-09,AOR,Restated
2017-06,457.00M,,,,,20.00M,25.00M,45.00M,45.00M,,,22.00M,,13.00M,-61.00M,,-22.00M,93.00M,,-27.00M,-207.00M,321.00M,,2017-06,-33.00M,0.00,0.00,,-69.00M,,-102.00M,,2017-06,,,,,-145.00M,-145.00M,-106.00M,-106.00M,9.00M,-272.00M,,2017-06,2.411B,26.00M,2.384B,,2017-06,,,,-145.00M,,2017-06,AOR,Restated
2017-03,430.00M,,,,,19.00M,24.00M,43.00M,43.00M,,,19.00M,,13.00M,12.00M,,9.00M,-236.00M,,-58.00M,116.00M,353.00M,,2017-03,-23.00M,2.00M,2.00M,,-1.00M,0.00,-22.00M,,2017-03,,,,,-201.00M,-201.00M,-106.00M,-106.00M,29.00M,-346.00M,,2017-03,2.392B,34.00M,2.411B,,2017-03,,,,-201.00M,,2017-03,AOR,Restated
2016-12,569.00M,,-379.00M,,-379.00M,22.00M,25.00M,47.00M,47.00M,79.00M,,22.00M,,36.00M,-151.00M,,0.00,84.00M,,-9.00M,6.00M,303.00M,,2016-12,-48.00M,427.00M,427.00M,,-32.00M,0.00,313.00M,,2016-12,-421.00M,0.00,-421.00M,,0.00,0.00,-94.00M,-94.00M,4.00M,-558.00M,,2016-12,2.399B,-65.00M,2.392B,,2016-12,,,0.00,0.00,,2016-12,AOR,Restated
2016-09,924.00M,,-722.00M,,-722.00M,23.00M,24.00M,47.00M,47.00M,,,20.00M,,5.00M,13.00M,,19.00M,64.00M,,11.00M,234.00M,617.00M,,2016-09,-31.00M,1.071B,1.071B,,-93.00M,-1.00M,946.00M,,2016-09,493.00M,-309.00M,184.00M,,-750.00M,-750.00M,-95.00M,-95.00M,19.00M,-664.00M,,2016-09,1.567B,-67.00M,2.399B,,2016-09,,,493.00M,-750.00M,,2016-09,AOR,Restated
2016-06,412.00M,,,,,22.00M,23.00M,45.00M,45.00M,1.00M,,20.00M,,12.00M,-32.00M,,-2.00M,66.00M,,-45.00M,-27.00M,455.00M,,2016-06,-20.00M,0.00,0.00,,-45.00M,1.00M,-64.00M,,2016-06,,-163.00M,-163.00M,,-147.00M,-147.00M,-95.00M,-95.00M,34.00M,-399.00M,,2016-06,1.60B,-25.00M,1.567B,,2016-06,,,,-147.00M,,2016-06,AOR,Restated
2016-03,323.00M,,,,,18.00M,24.00M,42.00M,42.00M,-1.00M,,14.00M,,31.00M,-7.00M,,-12.00M,-345.00M,,24.00M,113.00M,185.00M,,2016-03,-16.00M,0.00,0.00,,-7.00M,-1.00M,-24.00M,,2016-03,,329.00M,329.00M,,-226.00M,-226.00M,-96.00M,-96.00M,31.00M,-41.00M,,2016-03,1.481B,-1.00M,1.60B,,2016-03,,,,-226.00M,,2016-03,AOR,Restated
2015-12,276.00M,,0.00,,0.00,26.00M,27.00M,53.00M,53.00M,114.00M,,23.00M,,26.00M,-74.00M,,11.00M,177.00M,,-24.00M,125.00M,712.00M,,2015-12,-65.00M,0.00,0.00,,-3.00M,-1.00M,-69.00M,,2015-12,0.00,143.00M,143.00M,,-473.00M,-473.00M,-89.00M,-89.00M,9.00M,-578.00M,,2015-12,1.441B,-25.00M,1.481B,,2015-12,0.00,,0.00,-473.00M,,2015-12,AOR,Restated
2015-09,281.00M,,-11.00M,,-11.00M,21.00M,17.00M,38.00M,38.00M,0.00,,18.00M,,99.00M,92.00M,,18.00M,56.00M,,12.00M,-61.00M,541.00M,,2015-09,-32.00M,0.00,0.00,,-2.391B,4.00M,-2.419B,,2015-09,1.984B,0.00,1.984B,,-227.00M,-227.00M,-89.00M,-89.00M,4.00M,1.634B,,2015-09,1.72B,-35.00M,1.441B,,2015-09,0.00,,1.984B,-227.00M,,2015-09,AOR,Restated
2015-06,382.00M,,,,,21.00M,12.00M,33.00M,33.00M,105.00M,,19.00M,,18.00M,-67.00M,,-14.00M,-2.00M,,-48.00M,22.00M,452.00M,,2015-06,-26.00M,14.00M,14.00M,,0.00,-6.00M,-18.00M,,2015-06,690.00M,-365.00M,325.00M,,-164.00M,-164.00M,-91.00M,-91.00M,16.00M,73.00M,,2015-06,1.176B,37.00M,1.72B,,2015-06,0.00,,690.00M,-164.00M,,2015-06,AOR,Restated
2015-03,329.00M,,,,,22.00M,11.00M,33.00M,33.00M,61.00M,,18.00M,,33.00M,-69.00M,,-10.00M,-1.864B,,-17.00M,137.00M,-1.349B,,2015-03,-16.00M,,,,-2.00M,-1.00M,-19.00M,,2015-03,,365.00M,365.00M,,-110.00M,-110.00M,-94.00M,-94.00M,57.00M,220.00M,,2015-03,2.497B,-44.00M,1.176B,,2015-03,-129.00M,,,-110.00M,,2015-03,AOR,Restated
2014-12,-984.00M,,,,,22.00M,12.00M,34.00M,34.00M,-212.00M,,28.00M,,1.552B,-21.00M,,1.00M,46.00M,,49.00M,-119.00M,389.00M,,2014-12,-40.00M,0.00,0.00,,-6.00M,16.00M,-30.00M,,2014-12,0.00,0.00,0.00,,0.00,0.00,-81.00M,-81.00M,34.00M,-61.00M,,2014-12,1.918B,-41.00M,2.497B,,2014-12,322.00M,,0.00,0.00,,2014-12,AOR,Restated
2014-09,215.00M,,,,,22.00M,12.00M,34.00M,34.00M,-35.00M,,25.00M,,98.00M,23.00M,,3.00M,37.00M,,4.00M,-35.00M,374.00M,,2014-09,-15.00M,83.00M,83.00M,,-49.00M,-2.00M,17.00M,,2014-09,0.00,,0.00,,0.00,0.00,-81.00M,-81.00M,26.00M,-49.00M,,2014-09,1.617B,-43.00M,1.918B,,2014-09,2.00M,,0.00,0.00,,2014-09,AOR,Restated
2014-06,310.00M,,,,,21.00M,12.00M,33.00M,33.00M,2.00M,,30.00M,,4.00M,1.00M,,-6.00M,48.00M,,-104.00M,10.00M,332.00M,,2014-06,-17.00M,0.00,0.00,,-1.00M,1.00M,-17.00M,,2014-06,0.00,,0.00,,-198.00M,-198.00M,-82.00M,-82.00M,40.00M,-256.00M,,2014-06,1.531B,19.00M,1.617B,,2014-06,8.00M,,0.00,-198.00M,,2014-06,AOR,Restated
2014-03,268.00M,,,,,21.00M,12.00M,33.00M,33.00M,0.00,,17.00M,,4.00M,-12.00M,,-5.00M,-296.00M,,35.00M,74.00M,114.00M,,2014-03,-20.00M,,,,-15.00M,0.00,-35.00M,,2014-03,,0.00,0.00,,-164.00M,-164.00M,-82.00M,-82.00M,93.00M,-96.00M,,2014-03,1.542B,0.00,1.531B,,2014-03,6.00M,,,-164.00M,,2014-03,AOR,Restated
2013-12,183.00M,,,,,21.00M,13.00M,34.00M,34.00M,40.00M,,26.00M,,120.00M,-20.00M,,14.00M,71.00M,,-45.00M,-121.00M,306.00M,,2013-12,-62.00M,-1.00M,-1.00M,,-47.00M,-2.00M,-112.00M,,2013-12,,0.00,0.00,,-128.00M,-128.00M,-76.00M,-76.00M,63.00M,-143.00M,,2013-12,1.577B,6.00M,1.542B,,2013-12,-92.00M,,,-128.00M,,2013-12,AOR,Restated
2013-09,244.00M,,,,,20.00M,13.00M,33.00M,33.00M,3.00M,,23.00M,,-37.00M,-4.00M,,-34.00M,28.00M,,-4.00M,-6.00M,250.00M,,2013-09,-12.00M,52.00M,52.00M,,0.00,-15.00M,25.00M,,2013-09,,0.00,0.00,,-350.00M,-350.00M,-76.00M,-76.00M,88.00M,-556.00M,,2013-09,1.90B,29.00M,1.577B,,2013-09,-71.00M,,,-350.00M,,2013-09,AOR,Restated
2013-06,273.00M,,,,,22.00M,13.00M,35.00M,35.00M,,,26.00M,,-75.00M,35.00M,,16.00M,49.00M,,-54.00M,-35.00M,273.00M,,2013-06,-21.00M,,,,0.00,,-21.00M,,2013-06,,0.00,0.00,,0.00,0.00,-77.00M,-77.00M,33.00M,-73.00M,,2013-06,1.905B,-13.00M,1.90B,,2013-06,-171.00M,,,0.00,,2013-06,AOR,Restated
