,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-10,10.12B,10.12B,7.062B,3.055B,1.986B,,,54.20M,1.30M,-52.90M,,1.986B,1.069B,1.30M,54.20M,-52.90M,,-52.90M,1.016B,149.34M,866.66M,,,,,1.289B,218.97M,1.070B,,2020-10,,,0.72,0.72,,,,,,2020-10,1.200B,1.214B,0.00,,2020-10,AOR,
2020-07,6.668B,6.668B,5.174B,1.493B,1.528B,,,59.00M,1.70M,-57.30M,,1.528B,-34.68M,1.70M,59.00M,-57.30M,,-57.30M,-92.02M,122.20M,-214.22M,,,,,187.05M,220.06M,-33.02M,,2020-07,,,-0.18,-0.18,,,,,,2020-07,1.199B,1.199B,0.00,,2020-07,AOR,
2020-04,4.409B,4.409B,4.414B,-5.577M,1.314B,,,31.60M,8.20M,-23.40M,,1.314B,-1.319B,8.20M,31.60M,-23.40M,,-23.40M,-1.343B,-455.36M,-887.49M,,,,,-1.092B,219.46M,-1.311B,,2020-04,,,-0.74,-0.74,,,,,,2020-04,1.198B,1.198B,0.23,,2020-04,AOR,
2020-01,12.21B,12.21B,8.742B,3.465B,2.135B,,,14.59M,11.56M,-3.026M,,2.135B,1.329B,11.56M,14.59M,-3.026M,,-3.026M,1.326B,341.48M,984.79M,,,,,1.561B,219.91M,1.341B,,2020-01,,,0.8185,0.8185,,,,,,2020-01,1.201B,1.219B,0.23,,2020-01,AOR,
2019-10,10.45B,10.45B,7.440B,3.011B,1.886B,,,15.00M,11.70M,-3.30M,,1.886B,1.125B,11.70M,15.00M,-3.30M,,-3.30M,1.122B,293.86M,828.26M,,,,,1.357B,219.56M,1.137B,,2019-10,,,0.69,0.69,,,,,,2019-10,1.206B,1.224B,0.23,,2019-10,AOR,Restated
2019-07,9.782B,9.782B,7.026B,2.756B,1.731B,,,14.90M,12.00M,-2.90M,,1.731B,1.024B,12.00M,14.90M,-2.90M,,-2.90M,1.021B,262.34M,758.96M,,,,,1.252B,215.63M,1.036B,,2019-07,,,0.63,0.63,,,,,,2019-07,1.211B,1.229B,0.23,,2019-07,AOR,Restated
2019-04,9.278B,9.278B,6.638B,2.640B,1.702B,,,14.60M,13.80M,-0.80M,,1.702B,937.30M,13.80M,14.60M,-0.80M,,-0.80M,936.48M,236.30M,700.18M,,,,,1.163B,212.20M,951.08M,,2019-04,,,0.58,0.58,,,,,,2019-04,1.215B,1.233B,0.195,,2019-04,AOR,Restated
2019-01,11.13B,11.13B,8.034B,3.094B,1.917B,0.00,,16.67M,18.18M,1.505M,,1.917B,1.177B,18.18M,16.67M,1.505M,0.00,1.505M,1.179B,337.04M,841.54M,,,,,1.414B,218.43M,1.195B,,2019-01,,,0.6824,0.6824,,,,,,2019-01,1.228B,1.245B,0.195,,2019-01,AOR,Restated
2018-10,9.826B,9.826B,6.983B,2.842B,1.756B,-36.12M,,16.50M,13.31M,-3.188M,,1.756B,1.086B,13.31M,16.50M,-3.188M,-36.12M,-3.188M,1.047B,284.26M,762.25M,,,,,1.268B,204.91M,1.063B,,2018-10,,,0.6413,0.62,,,,,,2018-10,1.237B,1.258B,0.195,,2018-10,AOR,Restated
2018-07,9.331B,9.331B,6.636B,2.695B,1.700B,,,15.96M,12.93M,-3.029M,,1.700B,995.59M,12.93M,15.96M,-3.029M,,-3.029M,992.56M,252.93M,739.63M,,,,,1.213B,204.02M,1.009B,,2018-07,,,0.59,0.59,,,,,,2018-07,1.247B,1.266B,0.195,,2018-07,AOR,Restated
