,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,841.14M,841.14M,432.50M,408.64M,113.69M,91.43M,205.12M,74.22M,-0.239M,,2.706M,2.706M,,293.03M,115.61M,2.706M,,2.706M,-0.894M,2.706M,117.42M,18.10M,99.32M,,,100.08M,171.17M,55.57M,115.61M,,,,,0.8766,0.87,0.86,,,0.86,,2020-09,114.44M,115.41M,,2020-09,AOR,
2020-06,831.31M,831.31M,476.69M,354.62M,84.78M,102.17M,186.95M,73.11M,0.00,,,8.218M,,272.48M,82.14M,,,8.218M,,8.218M,90.36M,1.856M,88.50M,,,88.50M,156.87M,74.72M,82.14M,,,,,0.78,0.78,0.77,,,0.77,,2020-06,113.86M,114.96M,,2020-06,AOR,
2020-03,760.54M,760.54M,395.64M,364.90M,79.97M,82.21M,162.18M,68.72M,0.384M,,16.92M,14.28M,,243.40M,121.50M,16.92M,,14.28M,-11.15M,14.28M,124.63M,1.912M,122.72M,,,122.34M,226.72M,69.49M,157.23M,,,,,1.077,1.08,1.07,,,1.07,,2020-03,113.40M,114.52M,,2020-03,AOR,
2019-12,930.13M,930.13M,437.09M,493.04M,137.07M,84.53M,221.60M,82.52M,0.246M,,11.94M,11.94M,,316.45M,176.59M,11.94M,,11.94M,0.246M,11.94M,188.78M,25.13M,163.64M,,,163.43M,237.47M,60.88M,176.59M,,,,,1.438,1.44,1.43,,,1.43,,2019-12,113.25M,114.25M,,2019-12,AOR,
2019-09,857.84M,857.84M,468.25M,389.59M,149.57M,76.66M,226.22M,76.20M,-0.327M,,8.054M,8.054M,,314.45M,75.15M,8.054M,,8.054M,-0.327M,8.054M,82.87M,11.06M,71.82M,,,72.10M,134.12M,58.98M,75.15M,,,,,0.6325,0.63,0.63,,,0.63,,2019-09,113.12M,114.08M,,2019-09,AOR,Restated
2019-06,540.46M,540.46M,241.47M,298.99M,91.82M,74.83M,166.65M,68.96M,-0.386M,,,10.42M,,246.87M,52.12M,,,10.42M,-0.386M,10.42M,62.16M,15.88M,46.28M,,,46.57M,99.31M,47.19M,52.12M,,,,,0.4126,0.41,0.41,,,0.41,,2019-06,112.62M,113.73M,,2019-06,AOR,Restated
2019-03,539.01M,539.01M,258.91M,280.09M,77.61M,75.54M,153.15M,56.59M,-1.214M,,18.37M,10.34M,,220.82M,59.28M,18.37M,,10.34M,-5.088M,10.34M,64.53M,7.698M,56.83M,,,57.90M,156.48M,58.10M,98.38M,,,,,0.5095,0.50,0.50,,,0.50,,2019-03,112.53M,116.04M,,2019-03,AOR,Restated
2018-12,1.249B,1.249B,898.48M,350.25M,161.32M,70.64M,231.96M,62.30M,5.93M,,8.071M,8.071M,,304.40M,45.85M,8.071M,,8.071M,5.93M,8.071M,59.85M,-120.10M,179.95M,,,175.62M,201.28M,155.43M,45.85M,,,,,1.552,1.59,1.57,,,1.57,,2018-12,113.43M,114.74M,,2018-12,AOR,Restated
2018-09,492.67M,492.67M,234.88M,257.79M,94.16M,67.32M,161.48M,60.56M,0.00,,4.975M,4.975M,,231.80M,25.99M,4.975M,,4.975M,,4.975M,30.96M,5.594M,25.37M,,,25.37M,54.43M,28.44M,25.99M,,,,,0.22,0.22,0.22,,,0.22,,2018-09,113.74M,116.10M,,2018-09,AOR,Restated
2018-06,387.98M,387.98M,131.36M,256.62M,58.31M,67.74M,126.04M,50.71M,0.242M,,,6.601M,,186.01M,70.60M,,,6.601M,0.242M,6.601M,77.45M,5.754M,71.69M,,,71.47M,93.45M,22.85M,70.60M,,,,,0.6280,0.63,0.62,,,0.62,,2018-06,112.94M,115.98M,,2018-06,AOR,Restated
2018-03,450.27M,450.27M,189.21M,261.06M,47.45M,60.45M,107.90M,54.13M,-1.73M,,,1.398M,,171.51M,89.56M,,,1.398M,0.323M,1.398M,91.28M,0.423M,90.85M,,,92.57M,131.11M,32.98M,98.13M,,,,,0.8151,0.80,0.77,,,0.77,,2018-03,114.24M,117.57M,,2018-03,AOR,Restated
2017-12,480.84M,480.84M,267.98M,212.86M,79.51M,65.95M,145.46M,49.98M,-0.70M,,,3.374M,,203.30M,9.552M,,,3.374M,-0.70M,3.374M,12.23M,-12.91M,25.14M,,,25.56M,49.97M,40.42M,9.552M,,,,,0.2237,0.22,0.21,,,0.21,,2017-12,113.71M,117.64M,,2017-12,AOR,Restated
2017-09,443.56M,443.56M,246.55M,197.01M,76.91M,60.82M,137.74M,50.00M,-1.713M,,,-2.969M,,206.62M,-9.606M,,,-2.969M,-1.713M,-2.969M,-14.29M,-11.55M,-2.736M,,,-1.708M,27.78M,37.39M,-9.606M,,,,,-0.0206,-0.03,-0.03,,,-0.03,,2017-09,109.43M,109.43M,,2017-09,AOR,Restated
2017-06,418.22M,418.22M,194.57M,223.65M,52.21M,60.60M,112.82M,42.27M,-10.60M,,,-2.808M,,162.83M,60.82M,,,-2.808M,-10.60M,-2.808M,47.41M,-12.86M,60.28M,,,68.00M,94.95M,34.13M,60.82M,,,,,0.6440,0.57,0.56,,,0.56,,2017-06,104.46M,117.75M,,2017-06,AOR,Restated
2017-03,571.56M,571.56M,314.90M,256.66M,38.31M,62.04M,100.35M,36.42M,,,,-6.402M,,145.15M,111.50M,,,-6.402M,6.01M,-6.402M,111.11M,11.83M,99.28M,,,94.82M,217.11M,105.61M,111.50M,,,,,0.9256,0.97,0.89,,,0.89,,2017-03,100.33M,108.94M,,2017-03,AOR,Restated
