,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,899.70M,918.37M,495.54M,422.83M,34.23M,34.23M,,,-18.71M,4.999M,,115.50M,0.572M,-114.93M,,288.59M,134.23M,0.572M,115.50M,-114.93M,-8.758M,-114.93M,10.54M,-3.195M,13.74M,-0.986M,,12.75M,17.20M,375.41M,,2020-09,0.04,-0.01,,0.03,,2020-09,,,0.0518,0.03,,2020-09,373.18M,376.30M,0.45,,2020-09,AOR,
2020-06,922.17M,941.66M,499.15M,442.51M,29.98M,29.98M,,,-6.586M,29.66M,,123.13M,1.54M,-121.59M,,409.23M,33.28M,1.54M,123.13M,-121.59M,-14.56M,-121.59M,-102.88M,56.36M,-159.24M,2.065M,,-157.17M,-153.28M,369.85M,,2020-06,-0.43,0.01,,-0.42,,2020-06,,,-0.4196,-0.42,,2020-06,372.98M,376.02M,0.45,,2020-06,AOR,
2020-03,983.16M,1.007B,481.70M,525.51M,42.54M,42.54M,,,-8.218M,,,116.70M,4.853M,-111.84M,,291.37M,234.13M,4.853M,116.70M,-111.84M,203.42M,-111.84M,325.71M,-149.02M,474.73M,-1.613M,,473.12M,313.97M,691.25M,,2020-03,1.27,0.00,,1.27,,2020-03,,,0.8367,1.26,,2020-03,372.83M,376.00M,0.7925,,2020-03,AOR,
2019-12,972.75M,995.13M,480.85M,514.28M,41.63M,41.63M,,,-4.19M,,,116.71M,0.875M,-115.83M,,390.54M,123.74M,0.875M,116.71M,-115.83M,5.681M,-115.83M,13.59M,0.694M,12.89M,-1.45M,,11.44M,14.10M,479.20M,,2019-12,0.03,0.00,,0.03,,2019-12,,,0.0371,0.03,,2019-12,372.74M,376.57M,0.7925,,2019-12,AOR,
2019-09,952.37M,982.54M,462.12M,520.42M,40.53M,40.53M,,,-41.74M,0.00,,113.97M,0.62M,-113.35M,,275.13M,245.28M,0.62M,113.97M,-113.35M,-43.01M,-113.35M,88.92M,2.005M,86.92M,-1.659M,,85.26M,126.02M,437.49M,,2019-09,0.23,0.00,,0.23,,2019-09,,,0.3382,0.23,,2019-09,372.43M,376.62M,0.7925,,2019-09,AOR,Restated
2019-06,921.99M,941.52M,436.42M,505.10M,43.08M,43.08M,,,-8.622M,0.00,,110.37M,9.202M,-101.17M,,269.27M,235.83M,9.202M,110.37M,-101.17M,19.48M,-101.17M,154.15M,-57.75M,211.90M,-1.369M,,210.53M,202.84M,490.70M,,2019-06,0.59,-0.01,,0.58,,2019-06,,,0.5590,0.58,,2019-06,361.72M,365.55M,0.7925,,2019-06,AOR,Restated
2019-03,925.46M,942.59M,431.14M,511.45M,40.76M,40.76M,,,-2.585M,,,110.62M,0.287M,-110.33M,,276.68M,234.77M,0.287M,110.62M,-110.33M,1.893M,-110.33M,126.33M,-1.257M,127.59M,-1.803M,,125.78M,123.70M,472.87M,,2019-03,0.36,-0.01,,0.35,,2019-03,,,0.3442,0.35,,2019-03,356.85M,360.62M,0.7925,,2019-03,AOR,Restated
2018-12,904.39M,922.91M,427.50M,495.40M,38.48M,38.48M,,,-12.10M,,,110.52M,0.357M,-110.17M,,282.75M,212.65M,0.357M,110.52M,-110.17M,-67.83M,-110.17M,34.65M,-28.65M,63.30M,-1.029M,,62.27M,63.55M,389.45M,,2018-12,0.18,-0.01,,0.17,,2018-12,,,0.1835,0.17,,2018-12,356.39M,360.00M,0.7925,,2018-12,AOR,Restated
2018-09,905.88M,923.98M,428.82M,495.16M,39.68M,39.68M,,,-43.98M,,,107.58M,12.55M,-95.03M,,258.26M,236.91M,12.55M,107.58M,-95.03M,-45.93M,-95.03M,95.95M,-7.327M,103.28M,-1.309M,,101.97M,134.07M,422.11M,,2018-09,0.29,0.00,,0.29,,2018-09,,,0.3793,0.28,,2018-09,356.32M,359.36M,0.79,,2018-09,AOR,Restated
2018-06,883.54M,939.96M,421.95M,518.01M,36.66M,36.66M,,,-4.401M,,,113.03M,2.347M,-110.68M,,260.29M,257.72M,2.347M,113.03M,-110.68M,21.53M,-110.68M,168.57M,-0.734M,169.30M,-2.781M,,166.52M,143.58M,505.23M,,2018-06,0.48,-0.01,,0.47,,2018-06,,,0.4061,0.46,,2018-06,356.23M,359.00M,0.79,,2018-06,AOR,Restated
2018-03,902.89M,934.07M,413.03M,521.04M,37.17M,37.17M,,,-28.31M,,,111.36M,9.634M,-101.73M,,270.32M,250.72M,9.634M,111.36M,-101.73M,-72.12M,-101.73M,76.87M,-3.242M,80.11M,-1.395M,,78.70M,99.35M,421.38M,,2018-03,0.22,0.00,,0.22,,2018-03,,,0.2775,0.22,,2018-03,356.11M,358.85M,0.79,,2018-03,AOR,Restated
2017-12,858.00M,890.11M,373.73M,516.38M,34.93M,34.93M,,,-1.53M,,,111.95M,5.18M,-106.77M,,267.58M,248.80M,5.18M,111.95M,-106.77M,707.40M,-106.77M,849.43M,-46.68M,896.11M,-1.251M,,392.55M,895.78M,1.194B,,2017-12,2.530,-0.0097,,1.11,,2017-12,,,2.514,1.09,,2017-12,355.97M,359.17M,0.79,,2017-12,AOR,Restated
