,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,AsOriginallyReported,Restated
2020-08,516.00M,,516.00M,7.132B,,7.132B,9.451B,974.00M,18.07B,0.00,3.253B,8.023B,13.50B,21.72B,1.016B,47.52B,-12.46B,35.06B,15.27B,10.75B,26.02B,7.338B,,677.00M,69.10B,87.17B,,2020-08,14.46B,110.00M,21.11B,,1.517B,1.071B,951.00M,3.539B,2.426B,5.965B,-2.00M,27.07B,12.20B,21.97B,34.18B,1.498B,1.498B,,,498.00M,3.294B,38.97B,66.04B,,34.21B,10.76B,20.58B,-3.771B,20.64B,AOR,
2020-05,768.00M,,768.00M,6.982B,,6.982B,9.563B,1.013B,18.33B,,,,,34.68B,,34.68B,,34.68B,14.95B,10.18B,25.13B,7.033B,,1.273B,68.12B,86.44B,,2020-05,14.03B,87.00M,19.98B,,2.193B,1.139B,1.048B,4.38B,2.288B,6.668B,1.00M,26.65B,12.11B,21.94B,34.05B,1.538B,1.538B,,,586.00M,2.88B,38.47B,65.12B,,34.24B,10.73B,20.38B,-3.871B,20.74B,AOR,
2020-02,792.00M,,792.00M,7.572B,,7.572B,9.652B,893.00M,18.91B,,,,,35.24B,,35.24B,,35.24B,16.79B,10.93B,27.72B,6.921B,,1.22B,71.09B,90.00B,,2020-02,14.97B,23.00M,20.40B,,2.517B,2.512B,956.00M,5.985B,2.278B,8.263B,,28.66B,10.62B,21.96B,32.58B,1.637B,1.637B,,,615.00M,2.786B,37.01B,65.67B,,36.35B,10.69B,19.92B,-3.407B,23.72B,AOR,
2019-11,811.00M,,811.00M,7.435B,,7.435B,10.54B,822.00M,19.60B,,,,,35.29B,,35.29B,,35.29B,16.80B,11.06B,27.86B,6.902B,,1.152B,71.20B,90.81B,,2019-11,15.40B,210.00M,20.98B,,2.623B,,3.601B,6.224B,2.288B,8.512B,1.00M,29.49B,10.63B,21.89B,32.52B,1.618B,1.618B,,,653.00M,2.859B,37.00B,66.49B,,35.81B,10.65B,19.50B,-3.313B,23.66B,AOR,
2019-08,1.023B,,1.023B,7.226B,,7.226B,9.333B,1.118B,18.70B,0.00,3.507B,8.023B,12.56B,,703.00M,24.79B,-11.31B,13.48B,16.56B,10.88B,27.44B,6.851B,,1.133B,48.90B,67.60B,,2019-08,14.34B,216.00M,20.03B,,2.40B,1.624B,1.714B,5.738B,0.00,5.738B,,25.77B,11.10B,0.00,11.10B,1.785B,1.785B,,,641.00M,4.794B,17.68B,43.45B,,35.82B,10.64B,19.06B,-3.897B,23.51B,AOR,Restated
2019-05,839.00M,,839.00M,7.239B,,7.239B,9.874B,1.069B,19.02B,,,,,13.72B,,13.72B,,13.72B,16.72B,11.32B,28.04B,6.673B,,1.133B,49.56B,68.59B,,2019-05,14.13B,263.00M,19.58B,,2.82B,948.00M,1.714B,5.482B,,5.482B,,25.06B,12.13B,,12.13B,1.86B,1.86B,,,638.00M,4.768B,18.76B,43.82B,,35.55B,10.60B,18.64B,-3.393B,24.13B,AOR,Restated
2019-02,818.00M,,818.00M,7.828B,,7.828B,10.19B,1.017B,19.85B,,,,,13.83B,,13.83B,,13.83B,17.03B,11.93B,28.96B,6.683B,,1.114B,50.58B,70.43B,,2019-02,14.35B,163.00M,19.95B,,3.027B,,2.329B,5.356B,,5.356B,,25.30B,12.68B,,12.68B,1.982B,1.982B,,,643.00M,5.051B,19.72B,45.02B,,34.93B,10.57B,18.04B,-2.705B,24.77B,AOR,Restated
2018-11,980.00M,,980.00M,7.144B,,7.144B,10.98B,983.00M,20.08B,,,,,13.82B,,13.82B,,13.82B,16.81B,11.58B,28.39B,6.57B,,1.074B,49.86B,69.94B,,2018-11,14.66B,611.00M,20.76B,249.00M,1.855B,500.00M,1.74B,4.344B,,4.344B,,25.10B,11.65B,,11.65B,1.793B,1.793B,,,654.00M,5.14B,18.58B,43.68B,,34.17B,10.52B,15.86B,-3.231B,25.61B,AOR,Restated
2018-08,785.00M,,785.00M,6.573B,,6.573B,9.565B,923.00M,17.85B,0.00,3.593B,7.874B,12.21B,,743.00M,24.42B,-10.51B,13.91B,16.91B,11.78B,28.70B,6.61B,,1.06B,50.28B,68.12B,,2018-08,13.57B,273.00M,19.70B,,430.00M,999.00M,537.00M,1.966B,,1.966B,,21.67B,12.43B,,12.43B,1.815B,1.815B,,,682.00M,5.522B,19.77B,41.44B,,33.55B,10.49B,15.05B,-3.002B,26.01B,AOR,Restated
2018-05,1.818B,,1.818B,5.893B,1.266B,7.159B,9.889B,1.122B,19.99B,,,,,13.94B,,13.94B,,13.94B,17.09B,12.11B,29.20B,6.272B,,754.00M,50.16B,70.15B,,2018-05,13.09B,371.00M,18.90B,,1.039B,999.00M,549.00M,2.587B,,2.587B,,21.48B,12.46B,,12.46B,1.973B,1.973B,,,734.00M,5.771B,20.20B,41.68B,,32.46B,10.44B,12.39B,-2.792B,27.74B,AOR,Restated
