,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,283.00M,,,,40.00M,,18.00M,58.00M,,115.00M,22.00M,,7.00M,97.00M,-80.00M,0.00,0.00,64.00M,,,42.00M,608.00M,,2020-09,-65.00M,,,0.00,,0.00,,2020-09,-348.00M,0.00,-348.00M,,0.00,0.00,,,0.00,,3.00M,-1.00M,-346.00M,,643.00M,197.00M,840.00M,,2020-09,,0.00,0.00,45.00M,100.00M,,2020-09,AOR,
2020-06,72.00M,,,,34.00M,,18.00M,52.00M,,117.00M,80.00M,,8.00M,-1.00M,-30.00M,74.00M,7.00M,30.00M,,,-18.00M,391.00M,,2020-06,-66.00M,,,0.00,,1.00M,,2020-06,-588.00M,-550.00M,-1.138B,,0.00,0.00,,,0.00,,0.00,-3.00M,-1.141B,,1.458B,-815.00M,643.00M,,2020-06,,0.00,0.00,1.00M,70.00M,,2020-06,AOR,
2020-03,150.00M,,,,62.00M,,19.00M,81.00M,,123.00M,-82.00M,,7.00M,-25.00M,-82.00M,-72.00M,-2.00M,-91.00M,,,79.00M,86.00M,,2020-03,-68.00M,,,145.00M,,364.00M,,2020-03,732.00M,320.00M,1.052B,,0.00,0.00,,,-254.00M,,6.00M,-12.00M,792.00M,,139.00M,1.319B,1.458B,,2020-03,,1.282B,0.00,0.00,108.00M,,2020-03,AOR,
2019-12,-14.00M,,,,11.00M,,29.00M,-13.00M,,128.00M,-5.00M,,7.00M,-32.00M,60.00M,-21.00M,1.00M,50.00M,,,51.00M,292.00M,,2019-12,-143.00M,,,0.00,,298.00M,,2019-12,0.00,-210.00M,-210.00M,,0.00,0.00,,,-253.00M,,5.00M,-3.00M,-461.00M,,153.00M,-14.00M,139.00M,,2019-12,,220.00M,0.00,-46.00M,60.00M,,2019-12,AOR,
2019-09,99.00M,,,,24.00M,,23.00M,47.00M,,135.00M,2.00M,,7.00M,-19.00M,40.00M,30.00M,2.00M,-58.00M,,,7.00M,292.00M,,2019-09,-98.00M,,,0.00,,1.00M,,2019-09,-302.00M,300.00M,-2.00M,,0.00,0.00,,,-253.00M,,4.00M,-3.00M,-254.00M,,212.00M,-59.00M,153.00M,,2019-09,,490.00M,0.00,-5.00M,123.00M,,2019-09,AOR,Restated
2019-06,128.00M,,,,33.00M,,18.00M,51.00M,,124.00M,-43.00M,,7.00M,-30.00M,-10.00M,28.00M,8.00M,127.00M,,,6.00M,396.00M,,2019-06,-84.00M,,,0.00,,1.00M,,2019-06,0.00,-105.00M,-105.00M,,0.00,0.00,,,-253.00M,,2.00M,-4.00M,-360.00M,,259.00M,-47.00M,212.00M,,2019-06,,140.00M,0.00,1.00M,60.00M,,2019-06,AOR,Restated
2019-03,-289.00M,,,,48.00M,,478.00M,526.00M,,123.00M,-123.00M,,9.00M,-5.00M,-77.00M,-60.00M,-5.00M,-82.00M,,,-31.00M,-14.00M,,2019-03,-59.00M,,,0.00,,271.00M,,2019-03,227.00M,-180.00M,47.00M,,-60.00M,-60.00M,,,-254.00M,,2.00M,-8.00M,-273.00M,,334.00M,-75.00M,259.00M,,2019-03,,984.00M,-60.00M,50.00M,127.00M,,2019-03,AOR,Restated
2018-12,-93.00M,,,,44.00M,,227.00M,255.00M,,125.00M,-39.00M,,11.00M,-54.00M,117.00M,-5.00M,-11.00M,-21.00M,,,6.00M,292.00M,,2018-12,-144.00M,,,,,-32.00M,,2018-12,-209.00M,425.00M,216.00M,,-93.00M,-93.00M,,,-254.00M,,0.00,1.00M,-130.00M,,348.00M,-14.00M,334.00M,,2018-12,,425.00M,-93.00M,15.00M,73.00M,,2018-12,AOR,Restated
2018-09,255.00M,,,,46.00M,,27.00M,73.00M,,122.00M,86.00M,,13.00M,-342.00M,46.00M,27.00M,-6.00M,-63.00M,,,-124.00M,87.00M,,2018-09,-105.00M,,,,,-10.00M,,2018-09,0.00,0.00,0.00,,-273.00M,-273.00M,,,-256.00M,,4.00M,0.00,-525.00M,,901.00M,-553.00M,348.00M,,2018-09,,0.00,-273.00M,22.00M,113.00M,,2018-09,AOR,Restated
2018-06,317.00M,,,,22.00M,,21.00M,43.00M,,119.00M,15.00M,,9.00M,-35.00M,-18.00M,30.00M,4.00M,103.00M,,,10.00M,597.00M,,2018-06,-97.00M,,,,,24.00M,,2018-06,0.00,0.00,0.00,,0.00,0.00,,,-243.00M,,23.00M,-1.00M,-221.00M,,598.00M,303.00M,901.00M,,2018-06,,0.00,0.00,41.00M,67.00M,,2018-06,AOR,Restated
