,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,OtherIncomeandExpenses,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,209.76M,209.76M,38.74M,171.03M,79.17M,30.52M,,,,109.69M,61.34M,11.58M,72.92M,10.70M,62.21M,,62.21M,60.66M,66.99M,5.657M,61.34M,1.38,,1.3459999999999999,1.38,1.36,,1.3259999999999998,1.36,45.10M,45.66M
2020-06,164.85M,164.85M,35.98M,128.87M,68.44M,26.36M,,,,94.80M,34.07M,27.01M,61.08M,16.49M,44.59M,,44.59M,42.84M,39.55M,5.48M,34.07M,0.99,,0.9511,0.99,0.98,,0.9416,0.98,45.01M,45.55M
2020-03,206.66M,206.66M,39.37M,167.29M,83.89M,25.35M,,,,109.24M,58.05M,-18.74M,39.31M,7.515M,31.80M,,31.80M,29.29M,64.06M,6.003M,58.05M,0.71,,0.6543,0.71,0.7,,0.6448,0.7,45.04M,45.46M
2019-12,221.58M,221.58M,40.00M,181.59M,85.67M,25.66M,,,,111.33M,70.26M,26.76M,97.02M,27.80M,69.22M,,69.22M,67.02M,75.63M,5.375M,70.26M,1.53,,1.4809999999999999,1.53,1.51,,1.462,1.51,45.14M,45.70M
2019-09,204.97M,204.97M,34.87M,170.11M,85.96M,23.97M,,,,109.92M,60.18M,-42.82M,17.36M,4.287M,13.07M,,13.07M,10.86M,64.87M,4.687M,60.18M,0.29,,0.2413,0.29,0.28,,0.2319,0.28,45.32M,45.91M
2019-06,207.67M,207.67M,37.07M,170.59M,86.08M,23.79M,,,,109.87M,60.72M,42.41M,103.14M,14.22M,88.92M,,88.92M,86.29M,65.09M,4.365M,60.72M,1.97,,1.912,1.97,1.93,,1.8730000000000002,1.93,45.22M,46.09M
2019-03,207.08M,207.08M,34.85M,172.23M,81.30M,25.55M,,,,106.84M,65.39M,33.14M,98.53M,24.57M,73.96M,,73.96M,71.88M,69.57M,4.185M,65.39M,1.64,,1.594,1.64,1.6,,1.555,1.6,45.09M,46.16M
2018-12,200.56M,200.56M,34.02M,166.54M,80.22M,23.96M,,,,104.18M,62.36M,2.155M,64.51M,19.65M,44.86M,,44.86M,43.35M,65.94M,3.589M,62.36M,1.0,,0.9664,1.0,0.97,,0.9372,0.97,45.05M,46.14M
2018-09,181.78M,181.78M,29.85M,151.93M,78.90M,22.72M,,,,101.61M,50.32M,1.513M,51.83M,1.706M,50.13M,,50.13M,48.51M,53.71M,3.388M,50.32M,1.11,,1.074,1.11,1.09,,1.055,1.09,44.96M,46.15M
2018-06,180.01M,180.01M,30.85M,149.16M,81.14M,21.27M,,,,102.41M,46.75M,1.739M,48.49M,-41.58M,90.07M,,90.07M,88.93M,49.71M,2.959M,46.75M,2.02,,1.995,2.02,1.95,,1.925,1.95,44.55M,46.17M
2018-03,174.44M,174.44M,30.10M,144.34M,75.50M,21.27M,,,,96.77M,47.57M,0.94M,48.51M,11.66M,36.85M,,36.85M,35.86M,50.47M,2.905M,47.57M,0.83,,0.8077,0.83,0.8,,0.7786,0.8,44.33M,46.20M
2017-12,154.02M,154.02M,24.99M,129.03M,66.56M,17.71M,,,,84.26M,44.77M,0.888M,45.65M,32.21M,13.45M,,13.45M,12.86M,47.55M,2.78M,44.77M,0.3,,0.2869,0.3,0.29,,0.2773,0.29,44.25M,45.87M
2017-09,132.82M,132.82M,21.63M,111.20M,60.08M,19.39M,,,,79.47M,31.73M,0.758M,32.48M,7.981M,24.50M,,24.50M,23.91M,34.58M,2.857M,31.73M,0.56,,0.5467,0.56,0.54,,0.5271,0.54,44.14M,45.70M
2017-06,132.47M,132.47M,21.86M,110.61M,60.60M,16.93M,,,,77.53M,33.08M,0.714M,33.79M,-3.582M,37.37M,,37.37M,36.99M,35.54M,2.463M,33.08M,0.85,,0.8413,0.85,0.82,,0.8116,0.82,43.90M,45.61M
