,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-10,386.53M,,,,57.05M,145.16M,202.22M,202.22M,-71.15M,36.56M,,-0.257M,,,,,,,118.70M,672.60M,-29.89M,,-29.89M,-1.433M,,0.579M,-30.74M,-450.00M,-450.00M,,-7.222M,-7.222M,-229.60M,-229.60M,10.65M,0.00,-676.17M,1.090B,-34.31M,-0.094M,1.056B,,0.00,-450.00M,-7.222M
2020-07,362.66M,,,,57.60M,143.86M,201.46M,201.46M,-7.412M,39.56M,,1.874M,,,,,,,-40.95M,557.20M,-20.80M,,-20.80M,-12.76M,,0.07M,-33.50M,0.00,0.00,,-17.65M,-17.65M,-228.80M,-228.80M,26.85M,0.436M,-219.16M,784.94M,304.54M,0.784M,1.090B,,0.00,0.00,-17.65M
2020-04,267.70M,,,,59.26M,144.05M,203.31M,203.31M,-21.41M,35.90M,,1.469M,,,,,,,-57.93M,429.04M,-60.16M,,-60.16M,,,-1.391M,-61.55M,95.65M,95.65M,,-113.58M,-113.58M,-228.60M,-228.60M,14.78M,-3.956M,-235.71M,654.41M,131.78M,-1.25M,784.94M,,745.65M,-650.00M,-113.58M
2020-01,203.87M,,,,59.86M,144.07M,203.93M,203.93M,-13.98M,37.50M,,42.33M,,,,,,,-124.01M,349.65M,-54.84M,,-54.84M,,,0.107M,-54.73M,0.00,0.00,,-106.03M,-106.03M,-199.16M,-199.16M,16.11M,-0.495M,-289.57M,648.32M,5.344M,0.742M,654.41M,,0.00,0.00,-106.03M
2019-10,277.69M,,,,61.64M,143.53M,205.16M,205.16M,-35.81M,37.58M,,9.839M,,,,,,,149.27M,657.90M,-51.08M,,-51.08M,-11.17M,,-1.512M,-63.76M,-200.00M,-200.00M,,-172.39M,-172.39M,-200.20M,-200.20M,10.39M,5.087M,-557.11M,612.16M,37.04M,-0.879M,648.32M,,0.00,-200.00M,-172.39M
2019-07,362.37M,,,,61.61M,142.52M,204.13M,204.13M,-33.60M,36.10M,,8.272M,,,,,,,-24.72M,552.55M,-58.10M,,-58.10M,0.00,,-0.547M,-58.64M,-300.00M,-300.00M,,-112.00M,-112.00M,-200.07M,-200.07M,19.23M,-1.774M,-594.62M,713.60M,-100.71M,-0.727M,612.16M,,1.25B,-1.55B,-112.00M
2019-04,367.94M,,,,59.14M,142.23M,201.38M,201.38M,-37.50M,40.23M,,11.74M,,,,,,,87.10M,670.88M,-75.21M,,-75.21M,,,0.637M,-74.57M,-250.00M,-250.00M,,-101.52M,-101.52M,-199.50M,-199.50M,67.68M,-5.575M,-488.92M,605.86M,107.39M,0.347M,713.60M,,0.00,-250.00M,-101.52M
2019-01,355.01M,,,,58.29M,142.29M,200.58M,200.58M,15.65M,36.39M,,11.06M,,,,,,,-246.93M,371.77M,-90.99M,,-90.99M,,,-5.222M,-96.22M,-100.00M,-100.00M,,-227.09M,-227.09M,-177.72M,-177.72M,19.23M,-0.569M,-486.15M,816.59M,-210.60M,-0.13M,605.86M,,75.00M,-175.00M,-227.09M
2018-10,404.86M,,,,58.87M,142.32M,201.19M,201.19M,-18.89M,37.45M,,14.55M,,,,,,,75.28M,714.44M,-86.00M,,-86.00M,0.00,,-3.015M,-89.02M,-225.00M,-225.00M,,-184.12M,-184.12M,-179.42M,-179.42M,10.67M,-2.883M,-580.75M,772.58M,44.68M,-0.66M,816.59M,,0.00,-225.00M,-184.12M
2018-07,408.56M,,,,56.65M,143.22M,199.86M,199.86M,-5.844M,36.90M,,11.92M,,,,,,,-30.65M,620.74M,-51.75M,,-51.75M,-0.50M,,-2.239M,-54.49M,-430.00M,-430.00M,,-11.95M,-11.95M,-178.89M,-178.89M,22.80M,-1.083M,-599.12M,806.52M,-32.88M,-1.066M,772.58M,,0.00,-430.00M,-11.95M
