,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,948.00M,,948.00M,3.504B,331.00M,321.00M,4.91B,8.762B,308.00M,5.484B,284.00M,22.77B,0.0,538.00M,5.429B,18.99B,1.037B,26.00B,-16.18B,9.816B,,,5.275B,4.771B,2.167B,22.03B,44.80B,3.347B,198.00M,6.346B,9.891B,892.00M,10.78B,211.00M,211.00M,251.00M,462.00M,344.00M,344.00M,1.969B,13.91B,7.922B,7.922B,1.344B,1.344B,19.00M,85.00M,2.196B,11.55B,25.45B,2.76B,19.31B,,,,,-2.749B,19.32B
2020-06,1.203B,,1.203B,3.669B,551.00M,363.00M,5.323B,7.626B,337.00M,5.045B,263.00M,22.01B,0.0,534.00M,5.399B,19.00B,963.00M,25.90B,-16.07B,9.833B,,,5.212B,5.239B,2.046B,22.33B,44.34B,2.897B,297.00M,6.132B,9.326B,989.00M,10.32B,541.00M,541.00M,239.00M,780.00M,286.00M,286.00M,1.121B,12.81B,8.632B,8.632B,1.347B,1.347B,18.00M,85.00M,2.157B,12.22B,25.03B,2.705B,19.29B,,,,,-2.705B,19.29B
2020-03,4.734B,,4.734B,3.434B,458.00M,422.00M,4.965B,8.83B,302.00M,5.098B,395.00M,26.15B,0.0,585.00M,5.339B,18.93B,951.00M,25.81B,-15.93B,9.883B,,,5.194B,5.143B,2.029B,22.25B,48.40B,3.44B,568.00M,6.077B,10.08B,905.00M,10.99B,3.89B,3.89B,218.00M,4.108B,512.00M,512.00M,1.469B,17.32B,8.613B,8.613B,1.347B,1.347B,24.00M,71.00M,2.071B,12.10B,29.42B,2.69B,19.03B,,,,,-2.764B,18.95B
2019-12,852.00M,,852.00M,3.281B,395.00M,410.00M,5.206B,9.17B,318.00M,4.458B,278.00M,21.35B,0.0,592.00M,5.381B,19.00B,1.021B,26.00B,-15.89B,10.11B,3.385B,2.091B,5.476B,5.132B,1.936B,22.65B,44.00B,3.746B,524.00M,5.306B,9.576B,1.088B,10.66B,1.209B,1.209B,215.00M,1.424B,604.00M,604.00M,742.00M,13.73B,7.672B,7.672B,1.194B,1.194B,17.00M,58.00M,2.114B,11.04B,24.77B,2.655B,18.96B,,,,,-2.405B,19.21B
2019-09,932.00M,26.00M,958.00M,2.984B,510.00M,364.00M,4.369B,8.075B,248.00M,4.389B,210.00M,19.18B,0.0,597.00M,5.309B,18.87B,960.00M,25.73B,-15.63B,10.10B,,,5.401B,5.409B,1.715B,22.63B,41.80B,2.973B,162.00M,5.168B,8.303B,1.009B,9.312B,1.257B,1.257B,186.00M,1.443B,319.00M,319.00M,642.00M,12.02B,7.631B,7.631B,1.302B,1.302B,22.00M,53.00M,1.903B,10.89B,22.91B,2.617B,18.65B,,,,,-2.395B,18.87B
2019-06,849.00M,4.00M,853.00M,3.026B,518.00M,412.00M,4.414B,8.294B,286.00M,4.381B,249.00M,19.55B,0.0,587.00M,5.455B,18.77B,1.028B,25.84B,-15.59B,10.24B,,,5.545B,5.457B,1.821B,23.07B,42.62B,3.067B,143.00M,5.009B,8.219B,1.231B,9.45B,1.711B,1.711B,,1.711B,367.00M,367.00M,768.00M,12.60B,7.701B,7.701B,1.305B,1.305B,24.00M,53.00M,1.976B,11.04B,23.64B,2.588B,18.50B,,,,,-2.13B,18.96B
2019-03,926.00M,9.00M,935.00M,3.201B,433.00M,457.00M,4.615B,8.946B,263.00M,4.241B,172.00M,20.26B,0.0,586.00M,5.404B,18.53B,1.121B,25.64B,-15.35B,10.30B,,,5.459B,5.354B,1.777B,22.89B,43.15B,3.538B,176.00M,4.922B,8.636B,1.135B,9.771B,2.209B,2.209B,,2.209B,477.00M,477.00M,621.00M,13.36B,7.675B,7.675B,1.25B,1.25B,15.00M,49.00M,1.906B,10.88B,24.24B,2.584B,18.55B,,,,,-2.242B,18.90B
2018-12,1.997B,,1.997B,2.683B,424.00M,358.00M,3.844B,8.813B,184.00M,4.506B,229.00M,20.59B,0.0,545.00M,5.171B,18.40B,987.00M,25.10B,-15.15B,9.953B,2.496B,1.545B,4.041B,5.317B,934.00M,20.24B,40.83B,3.545B,98.00M,4.905B,8.548B,939.00M,9.487B,690.00M,690.00M,0.00,690.00M,501.00M,501.00M,761.00M,11.78B,7.698B,7.698B,1.067B,1.067B,15.00M,49.00M,1.247B,10.06B,21.84B,2.56B,18.53B,,,,,-2.106B,18.98B
2018-09,915.00M,,915.00M,2.389B,582.00M,372.00M,3.756B,8.483B,257.00M,4.426B,203.00M,19.46B,0.0,462.00M,5.105B,18.21B,1.10B,24.88B,-14.99B,9.885B,,,4.065B,5.319B,930.00M,20.20B,39.66B,3.082B,255.00M,4.798B,8.135B,817.00M,8.952B,1.122B,1.122B,,1.122B,106.00M,106.00M,1.173B,11.65B,6.73B,6.73B,965.00M,965.00M,13.00M,46.00M,1.275B,9.016B,20.66B,2.541B,18.48B,,,,,-2.032B,18.99B
2018-06,851.00M,,851.00M,2.259B,728.00M,352.00M,3.682B,7.953B,255.00M,4.301B,256.00M,18.65B,0.0,464.00M,5.082B,18.24B,1.096B,24.88B,-14.93B,9.948B,,,3.834B,5.388B,938.00M,20.11B,38.76B,2.609B,343.00M,4.564B,7.516B,1.05B,8.566B,1.642B,1.642B,,1.642B,90.00M,90.00M,1.161B,11.72B,5.981B,5.981B,1.002B,1.002B,2.00M,53.00M,1.289B,8.325B,20.04B,2.489B,18.13B,,,,,-1.911B,18.71B
2018-03,797.00M,,797.00M,2.643B,494.00M,562.00M,4.277B,9.82B,259.00M,4.408B,312.00M,20.91B,0.0,473.00M,5.098B,18.19B,1.216B,24.98B,-14.86B,10.12B,,,3.97B,5.242B,859.00M,20.19B,41.10B,3.34B,281.00M,4.959B,8.58B,1.112B,9.692B,2.343B,2.343B,,2.343B,194.00M,194.00M,847.00M,13.28B,6.657B,6.657B,1.037B,1.037B,5.00M,59.00M,1.325B,9.078B,22.36B,2.428B,17.76B,,,,,-1.451B,18.73B
2017-12,804.00M,0.00,804.00M,2.424B,419.00M,500.00M,3.762B,9.173B,232.00M,4.826B,372.00M,19.92B,0.0,541.00M,5.043B,17.98B,1.224B,24.79B,-14.66B,10.14B,2.374B,1.544B,3.918B,5.18B,802.00M,20.04B,39.96B,3.894B,239.00M,5.352B,9.485B,997.00M,10.48B,870.00M,870.00M,,870.00M,519.00M,519.00M,464.00M,12.57B,6.623B,6.623B,1.053B,1.053B,9.00M,53.00M,1.342B,9.071B,21.64B,2.398B,17.55B,,,,,-1.637B,18.31B
