,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-10,1.537B,78.50M,1.616B,540.40M,,540.40M,,,,183.90M,,,2.340B,330.40M,,,290.00M,426.40M,,1.047B,-428.90M,617.90M,2.484B,278.90M,2.763B,,44.30M,179.40M,3.605B,5.944B,121.30M,43.20M,164.50M,149.10M,313.60M,,,,64.10M,64.10M,2.162B,2.162B,,2.812B,1.637B,398.20M,2.035B,85.10M,771.30M,856.40M,,152.00M,3.064B,5.875B,2.507B,-2.281B,,,,-156.40M,69.30M
2020-07,1.440B,79.70M,1.520B,490.10M,,490.10M,,,,194.30M,,,2.204B,311.50M,,,302.30M,416.20M,,1.03B,-436.00M,594.00M,2.459B,178.10M,2.637B,,51.50M,260.70M,3.543B,5.747B,99.20M,32.50M,131.70M,138.40M,270.10M,,,,53.80M,53.80M,2.102B,2.102B,,2.620B,1.636B,393.30M,2.029B,89.90M,776.80M,866.70M,,144.10M,3.060B,5.68B,2.493B,-2.271B,,,,-154.50M,67.30M
2020-04,1.390B,77.20M,1.467B,356.50M,,356.50M,,,,200.90M,,,2.024B,292.50M,,,295.30M,424.70M,,1.012B,-423.60M,588.90M,2.430B,193.40M,2.624B,,50.80M,256.30M,3.520B,5.544B,85.20M,25.20M,110.40M,99.90M,210.30M,,,,46.00M,46.00M,2.164B,2.164B,,2.578B,1.636B,402.00M,2.038B,81.00M,841.20M,922.20M,,126.00M,3.105B,5.683B,2.401B,-2.361B,,,,-179.10M,-139.10M
2020-01,1.775B,69.00M,1.844B,652.30M,,652.30M,,,,163.30M,,,2.659B,284.00M,,,292.70M,438.80M,,1.016B,-415.00M,600.50M,2.445B,207.10M,2.652B,,56.40M,211.00M,3.52B,6.179B,83.70M,21.20M,104.90M,168.30M,273.20M,,449.70M,449.70M,48.10M,497.80M,2.176B,2.176B,,3.219B,1.635B,411.70M,2.047B,82.50M,831.00M,913.50M,,119.80M,3.099B,6.318B,2.317B,-2.296B,,,,-160.30M,-139.10M
2019-10,956.20M,68.30M,1.024B,520.30M,,520.30M,,,,162.00M,,,1.707B,270.10M,,,287.70M,281.70M,,839.50M,-406.30M,433.20M,2.444B,225.20M,2.669B,,39.60M,188.20M,3.330B,5.037B,106.10M,11.10M,117.20M,129.70M,246.90M,,449.40M,449.40M,64.00M,513.40M,1.822B,1.822B,,2.840B,1.290B,239.80M,1.530B,103.80M,598.00M,701.80M,,116.60M,2.368B,5.208B,2.225B,-2.240B,,,,-156.30M,-171.50M
2019-07,923.90M,67.40M,991.30M,347.40M,,347.40M,,,,176.80M,,,1.516B,262.90M,,,308.60M,298.80M,,870.30M,-420.10M,450.20M,2.432B,243.20M,2.675B,,46.30M,185.70M,3.357B,4.873B,93.00M,5.90M,98.90M,114.40M,213.30M,,449.20M,449.20M,58.90M,508.10M,1.772B,1.772B,,2.707B,1.390B,258.10M,1.648B,98.90M,477.40M,576.30M,,116.00M,2.360B,5.067B,2.201B,-2.224B,,,,-170.70M,-194.30M
2019-04,883.20M,88.90M,972.10M,268.10M,,268.10M,,,,182.10M,,,1.422B,257.20M,,,303.50M,309.90M,,870.60M,-408.10M,462.50M,2.446B,261.80M,2.708B,,54.40M,161.30M,3.386B,4.808B,98.00M,6.50M,104.50M,117.70M,222.20M,,,,59.20M,59.20M,1.778B,1.778B,,2.221B,1.963B,265.60M,2.229B,93.90M,376.00M,469.90M,,115.90M,2.833B,5.054B,2.123B,-2.227B,,,,-141.60M,-245.30M
2019-01,886.00M,67.60M,953.60M,474.30M,,474.30M,,,,192.10M,,,1.62B,247.80M,,,324.10M,,,571.90M,-422.20M,149.70M,2.451B,280.80M,2.732B,,65.30M,162.60M,3.109B,4.729B,101.60M,13.20M,114.80M,142.30M,257.10M,,,,0.00,0.00,1.763B,1.763B,,2.301B,2.088B,0.00,2.088B,79.80M,328.10M,407.90M,,121.80M,2.639B,4.940B,2.072B,-2.147B,,,,-135.00M,-210.90M
2018-10,875.70M,202.50M,1.078B,309.00M,,309.00M,,,,202.80M,,,1.59B,240.20M,,,310.20M,,,550.40M,-405.70M,144.70M,1.645B,49.40M,1.695B,114.80M,71.70M,158.50M,2.184B,3.774B,88.60M,44.60M,133.20M,126.40M,259.60M,,,,,,1.518B,1.518B,,1.986B,1.588B,,1.588B,96.50M,274.50M,371.00M,,127.50M,2.127B,4.113B,2.009B,-2.190B,,,,-157.50M,-338.30M
2018-07,895.40M,274.40M,1.170B,234.40M,,234.40M,,,,194.60M,,,1.599B,235.90M,,,352.50M,,,588.40M,-441.60M,146.80M,1.659B,57.90M,1.717B,128.10M,81.50M,161.20M,2.234B,3.833B,82.20M,38.80M,121.00M,139.40M,260.40M,,,,,,1.492B,1.492B,,1.915B,1.587B,,1.587B,88.20M,308.00M,396.20M,,134.60M,2.160B,4.075B,2.012B,-2.103B,,,,-150.90M,-241.60M
