,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,572.00M,701.00M,715.00M,-14.00M,24.00M,,24.00M,,-444.00M,30.00M,7.00M,-23.00M,89.00M,113.00M,-127.00M,7.00M,30.00M,-23.00M,-439.00M,-23.00M,-589.00M,-158.00M,-431.00M,,,-431.00M,-106.10M,-454.00M,105.00M,-559.00M,-3.49,,,-0.8624,-3.49,-3.49,,,-0.8624,-3.49,123.65M,123.65M,0.0
2020-06,309.00M,421.00M,557.00M,-136.00M,4.00M,,4.00M,,-70.00M,16.00M,7.00M,-9.00M,78.00M,82.00M,-218.00M,7.00M,16.00M,-9.00M,-64.00M,-9.00M,-291.00M,-77.00M,-214.00M,,,-214.00M,-162.52M,-168.00M,107.00M,-275.00M,-1.74,,,-1.3219999999999998,-1.74,-1.74,,,-1.325,-1.74,123.30M,123.96M,0.0
2020-03,1.481B,1.636B,1.596B,40.00M,55.00M,,55.00M,,-163.00M,10.00M,9.00M,-1.00M,143.00M,198.00M,-158.00M,9.00M,10.00M,-1.00M,-158.00M,-1.00M,-317.00M,-85.00M,-232.00M,,,-232.00M,-112.71M,-199.00M,108.00M,-307.00M,-1.89,,,-0.9187,-1.89,-1.89,,,-0.9289,-1.89,122.82M,124.12M,0.375
2019-12,2.057B,2.228B,1.746B,482.00M,77.00M,,77.00M,,-5.00M,14.00M,11.00M,-3.00M,148.00M,225.00M,257.00M,11.00M,14.00M,-3.00M,-11.00M,-3.00M,243.00M,62.00M,181.00M,,,181.00M,184.72M,363.00M,106.00M,257.00M,1.47,,,1.5,1.47,1.46,,,1.49,1.46,123.13M,125.00M,0.35
2019-09,2.211B,2.389B,1.748B,641.00M,77.00M,,77.00M,,-5.00M,14.00M,11.00M,-3.00M,137.00M,214.00M,427.00M,11.00M,14.00M,-3.00M,-8.00M,-3.00M,416.00M,94.00M,322.00M,,,322.00M,325.87M,536.00M,106.00M,430.00M,2.61,,,2.641,2.61,2.6,,,2.6310000000000002,2.6,123.28M,124.07M,0.35
2019-06,2.111B,2.288B,1.693B,595.00M,87.00M,,87.00M,,-8.00M,17.00M,11.00M,-6.00M,136.00M,223.00M,372.00M,11.00M,17.00M,-6.00M,-15.00M,-6.00M,351.00M,89.00M,262.00M,,,262.00M,267.97M,473.00M,105.00M,368.00M,2.12,,,2.168,2.12,2.11,,,2.158,2.11,123.42M,124.30M,0.35
2019-03,1.716B,1.876B,1.615B,261.00M,72.00M,,72.00M,,-26.00M,18.00M,9.00M,-9.00M,138.00M,210.00M,51.00M,9.00M,18.00M,-9.00M,-36.00M,-9.00M,6.00M,2.00M,4.00M,,,4.00M,21.33M,130.00M,106.00M,24.00M,0.03,,,0.1706,0.03,0.03,,,0.1699,0.03,123.29M,123.92M,0.35
2018-12,1.907B,2.064B,1.748B,316.00M,81.00M,,81.00M,,-40.00M,16.00M,9.00M,-7.00M,149.00M,230.00M,86.00M,9.00M,16.00M,-7.00M,-43.00M,-7.00M,36.00M,13.00M,23.00M,,,23.00M,48.56M,160.00M,108.00M,52.00M,0.19,,,0.3973,0.19,0.19,,,0.3953,0.19,123.27M,124.49M,0.32
2018-09,2.043B,2.212B,1.673B,539.00M,79.00M,,79.00M,,-22.00M,17.00M,11.00M,-6.00M,141.00M,220.00M,319.00M,11.00M,17.00M,-6.00M,-29.00M,-6.00M,284.00M,67.00M,217.00M,,,217.00M,233.81M,400.00M,99.00M,301.00M,1.76,,,1.896,1.76,1.75,,,1.886,1.75,123.22M,123.86M,0.32
2018-06,1.997B,2.156B,1.617B,539.00M,88.00M,,88.00M,,-39.00M,21.00M,10.00M,-11.00M,141.00M,229.00M,310.00M,10.00M,21.00M,-11.00M,-40.00M,-11.00M,259.00M,66.00M,193.00M,,,193.00M,222.06M,377.00M,97.00M,280.00M,1.57,,,1.806,1.57,1.56,,,1.794,1.56,123.27M,124.04M,0.32
2018-03,1.684B,1.832B,1.553B,279.00M,78.00M,,78.00M,,-31.00M,19.00M,8.00M,-11.00M,141.00M,219.00M,60.00M,8.00M,19.00M,-11.00M,-43.00M,-11.00M,6.00M,2.00M,4.00M,,,4.00M,24.67M,119.00M,94.00M,25.00M,0.03,,,0.1978,0.03,0.03,,,0.1972,0.03,123.16M,123.63M,0.32
2017-12,1.796B,1.942B,1.543B,399.00M,91.00M,,91.00M,,-30.00M,22.00M,9.00M,-13.00M,141.00M,232.00M,167.00M,9.00M,22.00M,-13.00M,-28.00M,-13.00M,126.00M,-189.00M,315.00M,,,315.00M,333.00M,245.00M,97.00M,148.00M,2.56,,,2.707,2.56,2.55,,,2.697,2.55,122.34M,122.39M,0.3
2017-09,1.958B,2.11B,1.418B,692.00M,92.00M,,92.00M,,-23.00M,21.00M,9.00M,-12.00M,150.00M,242.00M,450.00M,9.00M,21.00M,-12.00M,-21.00M,-12.00M,417.00M,158.00M,259.00M,,,259.00M,273.29M,533.00M,95.00M,438.00M,2.1,,,2.2159999999999997,2.1,2.09,,,2.205,2.09,123.47M,124.22M,0.3
