,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,41.00M,1.00M,-99.00M,-110.00M,,,,398.00M,,0.00,99.00M,19.00M,-9.00M,18.00M,-127.00M,,,-25.00M,-124.00M,,304.00M,-239.00M,6.00M,-233.00M,-132.00M,,6.00M,-359.00M,131.00M,,131.00M,,,,,,-9.00M,-9.00M,-40.00M,82.00M,135.00M,27.00M,162.00M,,847.00M,-716.00M,,73.00M,129.00M
2020-06,-378.00M,0.00,138.00M,-2.00M,,,,418.00M,,20.00M,103.00M,-38.00M,-5.00M,-8.00M,-42.00M,,,16.00M,-77.00M,,84.00M,-335.00M,0.00,-335.00M,-71.00M,,-2.00M,-408.00M,76.00M,,76.00M,,,,,,-10.00M,-10.00M,-35.00M,31.00M,428.00M,-293.00M,135.00M,,340.00M,-264.00M,,-18.00M,86.00M
2020-03,-4.622B,-25.00M,103.00M,78.00M,,,,566.00M,,4.472B,62.00M,221.00M,30.00M,-20.00M,-253.00M,,,-32.00M,-54.00M,,502.00M,-531.00M,126.00M,-405.00M,-83.00M,,-21.00M,-509.00M,322.00M,,322.00M,,,,,,-94.00M,-94.00M,-40.00M,188.00M,247.00M,181.00M,428.00M,,322.00M,,,98.00M,126.00M
2019-12,-3.247B,-23.00M,-52.00M,-75.00M,,,,721.00M,,2.70B,655.00M,9.00M,-25.00M,-19.00M,-6.00M,,,51.00M,10.00M,,778.00M,-613.00M,128.00M,-485.00M,-164.00M,,-14.00M,-663.00M,161.00M,,161.00M,,,,,,-94.00M,-94.00M,-100.00M,-31.00M,163.00M,84.00M,247.00M,,161.00M,0.00,,176.00M,76.00M
2019-09,-117.00M,0.00,-14.00M,-14.00M,,,,711.00M,,9.00M,57.00M,28.00M,0.00,6.00M,-38.00M,,,-7.00M,-11.00M,,635.00M,-682.00M,343.00M,-339.00M,-570.00M,,-42.00M,-951.00M,85.00M,,85.00M,,,,,,-94.00M,-94.00M,-61.00M,-70.00M,549.00M,-386.00M,163.00M,,235.00M,-150.00M,,188.00M,99.00M
2019-06,-316.00M,-17.00M,21.00M,79.00M,,,,602.00M,,240.00M,96.00M,88.00M,17.00M,-13.00M,51.00M,,,12.00M,155.00M,,856.00M,-803.00M,238.00M,-565.00M,-320.00M,,-9.00M,-894.00M,-170.00M,,-170.00M,,,,,,-94.00M,-94.00M,524.00M,260.00M,327.00M,222.00M,549.00M,,830.00M,-1.00B,,120.00M,104.00M
2019-03,-2.00M,-3.00M,45.00M,42.00M,,,,646.00M,,0.00,69.00M,8.00M,-33.00M,5.00M,-96.00M,,,-41.00M,-157.00M,,598.00M,-863.00M,9.00M,-854.00M,-118.00M,,34.00M,-938.00M,159.00M,,159.00M,,,,,,-94.00M,-94.00M,-112.00M,-47.00M,714.00M,-387.00M,327.00M,,159.00M,,,165.00M,115.00M
2018-12,-350.00M,-13.00M,88.00M,75.00M,,,,634.00M,,501.00M,171.00M,263.00M,1.00M,11.00M,-25.00M,,,-16.00M,234.00M,,1.043B,-1.068B,87.00M,-981.00M,-91.00M,,-32.00M,-1.104B,0.00,,0.00,,,,,,-95.00M,-95.00M,582.00M,182.00M,593.00M,121.00M,714.00M,,0.00,0.00,,218.00M,58.00M
2018-09,161.00M,-1.00M,16.00M,109.00M,,,,610.00M,,10.00M,101.00M,-12.00M,2.00M,-52.00M,81.00M,,,-4.00M,15.00M,,1.006B,-942.00M,38.00M,-904.00M,0.00,,-22.00M,-926.00M,-228.00M,,-228.00M,,,,,,-96.00M,-96.00M,-135.00M,-459.00M,972.00M,-379.00M,593.00M,,992.00M,-1.22B,,275.00M,144.00M
2018-06,269.00M,-2.00M,-55.00M,-57.00M,,,,608.00M,,0.00,107.00M,-36.00M,24.00M,71.00M,99.00M,,,28.00M,186.00M,,1.113B,-1.017B,4.00M,-1.013B,0.00,,-11.00M,-1.024B,0.00,,0.00,,,,,,-96.00M,-96.00M,-98.00M,-194.00M,1.077B,-105.00M,972.00M,,0.00,0.00,,183.00M,60.00M
2018-03,206.00M,-7.00M,-49.00M,-56.00M,,,,553.00M,,,102.00M,-65.00M,-33.00M,-41.00M,-73.00M,,,22.00M,-190.00M,,615.00M,-877.00M,9.00M,-868.00M,0.00,,-22.00M,-890.00M,-150.00M,,-150.00M,,,,,,-95.00M,-95.00M,-71.00M,-316.00M,1.668B,-591.00M,1.077B,,0.00,-150.00M,,191.00M,140.00M
2017-12,518.00M,-11.00M,-42.00M,-53.00M,,,,573.00M,-1.18B,0.00,144.00M,-200.00M,15.00M,-56.00M,130.00M,,,777.00M,666.00M,,668.00M,-763.00M,15.00M,-748.00M,,,-45.00M,-793.00M,0.00,,0.00,,,,,,-95.00M,-95.00M,-54.00M,-149.00M,1.942B,-274.00M,1.668B,,0.00,0.00,,201.00M,64.00M
2017-09,105.00M,-296.00M,83.00M,-212.00M,,,,559.00M,,0.00,314.00M,-132.00M,-3.00M,-52.00M,60.00M,,,-85.00M,-212.00M,,554.00M,-773.00M,693.00M,-80.00M,,,-14.00M,-94.00M,0.00,,0.00,,,,,,-95.00M,-95.00M,-90.00M,-185.00M,1.667B,275.00M,1.942B,,0.00,0.00,,152.00M,139.00M
2017-06,613.00M,21.00M,-41.00M,-20.00M,,,,572.00M,-83.00M,0.00,168.00M,103.00M,8.00M,-8.00M,108.00M,,,-710.00M,-499.00M,,751.00M,-711.00M,285.00M,-426.00M,,,-10.00M,-436.00M,0.00,,0.00,,,,,,-95.00M,-95.00M,-74.00M,-169.00M,1.521B,146.00M,1.667B,,,0.00,,98.00M,62.00M
2017-03,267.00M,-341.00M,,-341.00M,,,,576.00M,83.00M,8.00M,137.00M,-41.00M,12.00M,-12.00M,-231.00M,,,-3.00M,-275.00M,,455.00M,-513.00M,426.00M,-87.00M,,,-6.00M,-93.00M,-70.00M,,-70.00M,,,,,,-95.00M,-95.00M,-53.00M,-218.00M,1.377B,144.00M,1.521B,,,-70.00M,,65.00M,140.00M
2016-12,-143.00M,0.00,,1.00M,,,,623.00M,-78.00M,94.00M,170.00M,-66.00M,-25.00M,127.00M,88.00M,,,28.00M,152.00M,,796.00M,-466.00M,60.00M,-406.00M,,,108.00M,-298.00M,-180.00M,,-180.00M,,,,,,-95.00M,-95.00M,-76.00M,-351.00M,1.23B,147.00M,1.377B,,,-180.00M,,49.00M,68.00M
2016-09,-526.00M,-5.00M,,-5.00M,,,,648.00M,-529.00M,836.00M,196.00M,-45.00M,-3.00M,-6.00M,15.00M,,,70.00M,31.00M,,651.00M,-440.00M,26.00M,-414.00M,,,18.00M,-396.00M,-1.00M,,-1.00M,,,,,,-95.00M,-95.00M,-130.00M,-226.00M,1.201B,29.00M,1.23B,,,-1.00M,,55.00M,139.00M
2016-06,-200.00M,-17.00M,,-17.00M,,,,669.00M,-225.00M,173.00M,142.00M,102.00M,-9.00M,-13.00M,41.00M,,,81.00M,202.00M,,744.00M,-478.00M,48.00M,-430.00M,,,19.00M,-411.00M,0.00,,0.00,,,,,,-94.00M,-94.00M,-42.00M,-136.00M,1.004B,197.00M,1.201B,,,0.00,,117.00M,65.00M
2016-03,-371.00M,1.00M,,1.00M,,,,678.00M,-1.00M,0.00,164.00M,135.00M,10.00M,-17.00M,-216.00M,,,-144.00M,-232.00M,,239.00M,-565.00M,0.00,-565.00M,,,10.00M,-555.00M,0.00,,0.00,,,,,,-95.00M,-95.00M,-52.00M,-147.00M,1.467B,-463.00M,1.004B,,,0.00,,84.00M,141.00M
2015-12,-5.055B,-77.00M,,-77.00M,,,,808.00M,-1.445B,3.145B,1.974B,78.00M,-33.00M,13.00M,-291.00M,,,1.057B,824.00M,0.00,174.00M,-879.00M,120.00M,-759.00M,391.00M,,105.00M,-263.00M,0.00,,0.00,,,,,,-94.00M,-94.00M,-5.00M,-99.00M,1.655B,-188.00M,1.467B,,,0.00,,303.00M,76.00M
2015-09,-4.119B,5.00M,,5.00M,,,,872.00M,1.318B,3.903B,290.00M,252.00M,-20.00M,7.00M,-449.00M,,,-1.302B,-1.512B,-46.00M,711.00M,-924.00M,29.00M,-895.00M,0.00,,-32.00M,-927.00M,-939.00M,,-939.00M,,,,,,-94.00M,-94.00M,-46.00M,-1.079B,2.95B,-1.295B,1.655B,,,-939.00M,,-8.00M,167.00M
2015-06,2.519B,-209.00M,,-209.00M,,,,-6.682B,1.617B,2.424B,450.00M,86.00M,52.00M,287.00M,489.00M,,,13.00M,927.00M,86.00M,1.132B,-1.224B,119.00M,-1.105B,854.00M,,5.00M,4.391B,-2.598B,,-2.598B,,,,,,-95.00M,-95.00M,-19.00M,-2.712B,229.00M,2.811B,2.95B,,-1.028B,-1.57B,,136.00M,129.00M
