,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,150.50M,,,,,39.10M,12.90M,52.00M,52.00M,0.70M,,10.70M,18.60M,,,13.70M,257.80M,-30.60M,0.10M,-27.70M,-2.80M,-10.00M,,5.60M,-34.90M,-1.30M,-149.60M,-150.90M,,-7.00M,-7.00M,-48.40M,-48.40M,,0.50M,-205.80M,262.60M,17.10M,5.00M,284.70M,,,-92.50M,-58.40M,-7.00M
2020-06,79.70M,,,0.00,0.00,37.80M,12.50M,50.30M,50.30M,10.00M,,-4.90M,12.30M,,,24.60M,179.60M,-35.50M,0.10M,-30.60M,-4.80M,-6.90M,,-0.10M,-42.40M,-767.20M,198.50M,-568.70M,,0.00,0.00,-48.40M,-48.40M,,-0.50M,-617.60M,742.00M,-480.40M,1.00M,262.60M,,,91.80M,-766.50M,0.00
2020-03,134.20M,,,0.00,0.00,36.80M,10.70M,47.50M,47.50M,6.40M,,6.30M,4.40M,,,-225.60M,4.40M,-39.40M,0.00,-33.20M,-6.20M,-245.90M,,-0.30M,-285.60M,993.30M,-106.00M,887.30M,,-45.20M,-45.20M,-48.40M,-48.40M,,-20.00M,773.70M,253.70M,492.50M,-4.20M,742.00M,,,994.40M,-1.10M,-45.20M
2019-12,162.50M,,,-2.80M,-2.80M,35.00M,10.60M,45.60M,45.60M,-40.50M,,9.00M,10.80M,,,78.60M,279.50M,-96.90M,0.10M,-86.40M,-10.40M,0.00,,1.40M,-95.40M,-0.90M,-74.20M,-75.10M,,-33.40M,-33.40M,-48.40M,-48.40M,,0.00,-156.90M,224.20M,27.20M,2.30M,253.70M,,,-68.90M,-0.90M,-33.40M
2019-09,144.60M,,,0.00,0.00,34.90M,9.10M,44.00M,44.00M,-9.80M,,9.00M,7.20M,,,17.60M,228.20M,-67.50M,0.30M,-52.80M,-14.40M,0.00,,-0.80M,-68.00M,-1.20M,-44.00M,-45.20M,,-87.70M,-87.70M,-48.60M,-48.60M,,3.00M,-178.50M,247.30M,-18.30M,-4.80M,224.20M,,,-44.00M,-1.20M,-87.70M
2019-06,143.40M,,,0.00,0.00,35.50M,9.40M,44.90M,44.90M,6.20M,,8.90M,7.00M,,,-19.00M,203.40M,-45.50M,0.10M,-37.90M,-7.50M,0.00,,-0.20M,-45.60M,-14.70M,-42.50M,-57.20M,,-27.90M,-27.90M,-48.80M,-48.80M,,-0.30M,-134.20M,225.70M,23.60M,-2.00M,247.30M,,,112.90M,-14.70M,-27.90M
2019-03,-146.90M,,,446.90M,446.90M,34.90M,9.60M,44.50M,44.50M,-172.80M,,7.60M,3.30M,,,-162.00M,35.40M,-47.30M,7.30M,-34.50M,-5.50M,-6.50M,,4.50M,-42.00M,-1.80M,155.40M,153.60M,,-88.70M,-88.70M,-43.90M,-43.90M,,-21.70M,-0.70M,232.00M,-7.30M,1.00M,225.70M,,,0.00,-1.80M,-88.70M
2018-12,97.10M,,,86.30M,86.30M,35.30M,9.70M,45.00M,45.00M,-24.90M,,9.50M,13.00M,,,32.90M,270.20M,-102.40M,0.00,-94.00M,-8.40M,-3.60M,,0.90M,-105.10M,491.30M,-379.00M,112.30M,,-217.80M,-217.80M,-44.40M,-44.40M,,-0.30M,-150.20M,217.60M,14.90M,-0.50M,232.00M,,,493.30M,-2.00M,-217.80M
2018-09,149.50M,,,6.70M,6.70M,37.10M,9.60M,46.70M,46.70M,-0.70M,,8.40M,10.90M,,,-254.50M,-21.80M,-60.80M,0.10M,-53.10M,-7.60M,0.00,,15.40M,-45.30M,-1.70M,193.10M,191.40M,,-72.20M,-72.20M,-45.30M,-45.30M,,0.00,73.90M,215.80M,6.80M,-5.00M,217.60M,,,-108.30M,-1.70M,-72.20M
2018-06,95.60M,,,0.20M,0.20M,34.80M,10.00M,44.80M,44.80M,0.90M,,9.00M,12.50M,,,20.30M,193.50M,-50.50M,2.40M,-41.50M,-6.60M,-0.10M,-0.30M,2.20M,-46.30M,-1.70M,4.00M,2.30M,,-51.30M,-51.30M,-45.70M,-45.70M,,-15.30M,-110.00M,187.50M,37.20M,-8.90M,215.80M,,,108.30M,-1.70M,-51.30M
2018-03,125.20M,,,0.50M,0.50M,34.30M,10.20M,44.50M,44.50M,-8.00M,,7.40M,24.00M,,,-190.50M,16.00M,-42.90M,6.90M,-28.70M,-7.30M,-0.10M,0.30M,,-35.80M,-1.00M,104.30M,103.30M,,-51.60M,-51.60M,-39.60M,-39.60M,,-33.90M,-21.80M,224.40M,-41.60M,4.70M,187.50M,,,,-1.00M,-51.60M
2017-12,-59.60M,,,0.00,0.00,34.00M,9.90M,43.90M,43.90M,159.20M,-1.20M,8.00M,12.50M,,,83.50M,255.80M,-91.20M,3.00M,-76.10M,-12.10M,-9.80M,2.00M,,-99.90M,-235.00M,130.90M,-104.10M,,-24.90M,-24.90M,-39.70M,-39.70M,-17.70M,21.70M,-164.70M,232.30M,-8.80M,0.90M,224.40M,,,16.30M,-31.20M,-24.90M
2017-09,108.30M,,,0.00,0.00,32.90M,11.10M,44.00M,44.00M,-13.60M,1.20M,9.00M,12.90M,,,44.20M,214.30M,-53.50M,2.80M,-42.10M,-8.60M,-8.60M,-0.60M,,-59.90M,-1.00M,-60.60M,-61.60M,,-34.50M,-34.50M,-39.60M,-39.60M,0.20M,-0.30M,-135.80M,209.40M,18.60M,4.30M,232.30M,,,0.00,-61.60M,-34.50M
2017-06,120.90M,,,0.00,0.00,30.90M,15.30M,46.20M,46.20M,2.60M,-0.20M,7.60M,12.90M,,,-36.60M,161.70M,-44.20M,0.20M,-36.00M,-8.00M,-226.30M,-2.60M,,-272.90M,-0.80M,97.30M,96.50M,,-35.70M,-35.70M,-39.80M,-39.80M,1.10M,-0.20M,21.90M,294.90M,-89.30M,3.80M,209.40M,,,-0.10M,96.60M,-35.70M
2017-03,112.20M,,,0.00,0.00,28.80M,15.80M,44.60M,44.60M,3.40M,0.20M,5.60M,15.20M,,,-178.80M,13.90M,-37.20M,0.00,-30.30M,-6.90M,-74.60M,1.20M,,-110.60M,525.90M,-256.80M,269.10M,,-34.60M,-34.60M,-36.40M,-36.40M,16.40M,-19.80M,194.70M,195.10M,98.00M,1.80M,294.90M,,,526.70M,-257.60M,-34.60M
2016-12,62.00M,,,0.00,-3.80M,28.70M,15.90M,44.60M,44.60M,,,7.10M,11.50M,,,22.70M,216.40M,-85.10M,4.20M,-67.80M,-13.10M,-9.70M,3.90M,,-86.70M,-0.80M,-7.10M,-7.90M,,-80.90M,-80.90M,-36.30M,-36.30M,-63.40M,70.90M,-117.60M,189.40M,12.10M,-6.40M,195.10M,,,-7.10M,-0.80M,-80.90M
2016-09,89.10M,,,0.00,0.60M,30.20M,15.90M,46.10M,46.10M,,,6.00M,10.60M,,,-15.20M,149.70M,-54.10M,1.10M,-42.50M,-10.50M,-227.50M,-0.80M,,-281.30M,-0.70M,137.40M,136.70M,,-21.40M,-21.40M,-36.60M,-36.60M,22.00M,4.00M,104.70M,216.10M,-26.90M,0.20M,189.40M,,,137.40M,-0.70M,-21.40M
2016-06,80.00M,,,41.40M,44.00M,29.60M,15.50M,45.10M,45.10M,,,6.60M,11.30M,,,25.20M,222.30M,-40.20M,3.10M,-33.00M,-4.10M,0.00,3.80M,,-33.30M,-0.70M,-64.80M,-65.50M,,-64.50M,-64.50M,-36.60M,-36.60M,25.40M,0.80M,-140.40M,169.60M,48.60M,-2.10M,216.10M,,,-64.80M,-0.70M,-64.50M
