,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,2.64B,2.64B,,,860.00M,736.00M,1.596B,,0.00,-614.00M,98.00M,5.00M,-93.00M,,1.711B,929.00M,5.00M,98.00M,-93.00M,-1.00M,-93.00M,835.00M,34.00M,801.00M,,,801.00M,801.96M,1.094B,161.00M,933.00M,19.56,,19.58,19.56,19.49,,19.51,19.49,40.94M,41.08M
2020-06,630.00M,630.00M,,,342.00M,626.00M,968.00M,,0.00,-34.00M,96.00M,12.00M,-84.00M,,1.08B,-450.00M,12.00M,96.00M,-84.00M,743.00M,-84.00M,209.00M,87.00M,122.00M,,,122.00M,-420.39M,462.00M,157.00M,305.00M,2.98,,-10.27,2.98,2.97,,-10.26,2.97,40.92M,41.00M
2020-03,2.288B,2.288B,,,1.228B,763.00M,1.991B,,100.00M,-589.00M,64.00M,32.00M,-32.00M,,2.108B,180.00M,32.00M,64.00M,-32.00M,-870.00M,-32.00M,-722.00M,-23.00M,-699.00M,,,-699.00M,144.03M,-495.00M,163.00M,-658.00M,-17.01,,3.505,-17.01,-17.01,,3.505,-17.01,41.09M,41.09M
2019-12,3.339B,3.339B,,,1.208B,842.00M,2.05B,,,,62.00M,39.00M,-23.00M,,2.167B,1.172B,39.00M,62.00M,-23.00M,271.00M,-23.00M,1.42B,249.00M,1.171B,,,1.171B,947.52M,1.644B,162.00M,1.482B,28.07,,22.71,28.07,27.75,,22.45,27.75,41.71M,42.20M
2019-09,5.04B,5.04B,,,1.691B,862.00M,2.553B,,0.00,0.00,70.00M,44.00M,-26.00M,,2.67B,2.37B,44.00M,70.00M,-26.00M,19.00M,-26.00M,2.363B,413.00M,1.95B,,,1.95B,1.934B,2.592B,159.00M,2.433B,46.01,,45.64,46.01,45.54,,45.17,45.54,42.39M,42.83M
2019-06,3.85B,3.85B,,,1.615B,869.00M,2.484B,,0.00,0.00,68.00M,34.00M,-34.00M,,2.603B,1.247B,34.00M,68.00M,-34.00M,-6.00M,-34.00M,1.207B,228.00M,979.00M,,,979.00M,983.87M,1.437B,162.00M,1.275B,22.62,,22.73,22.62,22.44,,22.55,22.44,43.25M,43.60M
2019-03,2.837B,2.837B,,,1.408B,757.00M,2.165B,,,0.00,66.00M,35.00M,-31.00M,,2.281B,556.00M,35.00M,66.00M,-31.00M,443.00M,-31.00M,968.00M,203.00M,765.00M,,,765.00M,415.03M,1.192B,158.00M,1.034B,17.01,,9.234,17.01,16.85,,9.148,16.85,45.01M,45.44M
2018-12,3.213B,3.213B,,,1.227B,734.00M,1.961B,,,,66.00M,46.00M,-20.00M,,2.07B,1.143B,46.00M,66.00M,-20.00M,-491.00M,-20.00M,632.00M,-14.00M,646.00M,,,646.00M,1.004B,807.00M,109.00M,698.00M,14.0,,21.77,14.0,13.86,,21.57,13.86,46.12M,46.48M
2018-09,4.849B,4.849B,,,1.717B,778.00M,2.495B,,,,68.00M,48.00M,-20.00M,,2.602B,2.247B,48.00M,68.00M,-20.00M,13.00M,-20.00M,2.24B,473.00M,1.767B,,,1.767B,1.757B,2.415B,107.00M,2.308B,37.39,,37.17,37.39,37.02,,36.81,37.02,47.27M,47.75M
2018-06,3.537B,3.537B,,,1.469B,740.00M,2.209B,,,,65.00M,46.00M,-19.00M,,2.316B,1.221B,46.00M,65.00M,-19.00M,8.00M,-19.00M,1.21B,232.00M,978.00M,,,978.00M,971.54M,1.382B,107.00M,1.275B,20.34,,20.21,20.34,20.13,,20.0,20.13,48.06M,48.55M
2018-03,2.928B,2.928B,,,1.373B,722.00M,2.095B,,,,70.00M,47.00M,-23.00M,,2.198B,730.00M,47.00M,70.00M,-23.00M,46.00M,-23.00M,753.00M,146.00M,607.00M,,,607.00M,569.92M,926.00M,103.00M,823.00M,12.56,,11.79,12.56,12.34,,11.59,12.34,48.35M,49.20M
2017-12,2.803B,2.803B,39.99M,2.763B,1.029B,649.90M,1.679B,,,,71.00M,46.70M,-24.30M,,1.777B,986.48M,46.70M,71.00M,-24.30M,-20.75M,-24.30M,941.43M,1.497B,-555.22M,,,-555.22M,-542.77M,1.110B,97.79M,1.012B,-11.41,,-11.15,-11.41,-11.41,,-11.16,-11.41,48.68M,49.62M
2017-09,4.434B,4.434B,54.18M,4.380B,1.508B,674.16M,2.182B,,,,66.34M,41.48M,-24.86M,,2.278B,2.102B,41.48M,66.34M,-24.86M,-10.10M,-24.86M,2.067B,346.45M,1.720B,,,1.720B,1.729B,2.229B,95.91M,2.133B,35.12,,35.29,35.12,34.43,,34.6,34.43,48.98M,49.97M
2017-06,3.025B,3.025B,67.42M,2.957B,1.404B,574.42M,1.978B,,,,60.94M,36.82M,-24.12M,,2.064B,893.26M,36.82M,60.94M,-24.12M,-6.021M,-24.12M,863.12M,142.91M,720.21M,,,720.21M,725.23M,1.010B,85.87M,924.06M,14.66,,14.76,14.66,14.39,,14.49,14.39,49.13M,50.06M
2017-03,2.419B,2.419B,80.40M,2.339B,1.173B,526.52M,1.699B,,,,55.72M,31.99M,-23.72M,,1.783B,556.46M,31.99M,55.72M,-23.72M,-5.127M,-23.72M,527.61M,71.99M,455.62M,,,455.62M,460.05M,666.76M,83.43M,583.33M,9.26,,9.35,9.26,9.11,,9.199,9.11,49.19M,50.02M
2016-12,2.348B,2.348B,58.76M,2.290B,909.51M,510.14M,1.420B,,-0.208M,-0.092M,55.34M,29.14M,-26.19M,,1.499B,790.35M,29.14M,55.34M,-26.19M,-1.73M,-26.19M,762.42M,88.50M,673.92M,,,673.92M,675.45M,897.43M,79.67M,817.76M,13.66,,13.69,13.66,13.47,,13.5,13.47,49.32M,50.11M
2016-09,3.691B,3.691B,101.49M,3.589B,1.238B,498.58M,1.736B,,0.00,-940.70M,55.48M,24.22M,-31.26M,,1.815B,1.774B,24.22M,55.48M,-31.26M,-945.13M,-31.26M,797.53M,291.52M,506.02M,,,506.02M,1.105B,931.76M,78.74M,853.01M,10.24,,22.36,10.24,10.13,,22.12,10.13,49.42M,49.98M
2016-06,2.556B,2.556B,126.08M,2.430B,1.139B,481.09M,1.620B,,12.86M,-12.86M,50.29M,21.29M,-29.00M,,1.697B,732.41M,21.29M,50.29M,-29.00M,-10.86M,-29.00M,692.55M,111.91M,580.64M,,,580.64M,589.74M,820.55M,77.71M,742.84M,11.71,,11.89,11.71,11.6,,11.78,11.6,49.60M,50.06M
