,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,690.37M,693.27M,264.32M,428.95M,27.86M,27.86M,,,-0.307M,,111.04M,,-111.04M,,194.32M,234.63M,,111.04M,-111.04M,-5.531M,-111.04M,118.06M,,118.06M,,,-25.58M,2.625M,92.48M,91.50M,396.09M,167.00M,229.10M,0.58,,,,0.5737,0.58,0.58,,,,0.5737,0.58,155.64M,155.67M,0.98
2020-06,652.29M,654.77M,244.24M,410.53M,37.74M,37.74M,,,-0.332M,,107.14M,1.305M,-105.84M,,215.93M,194.60M,1.305M,107.14M,-105.84M,209.82M,-105.84M,298.58M,,298.58M,,,-29.43M,2.625M,269.15M,117.32M,584.46M,178.73M,405.72M,1.71,,,,0.7329,1.71,1.71,,,,0.733,1.71,155.39M,155.41M,0.98
2020-03,749.32M,752.56M,273.02M,479.53M,36.45M,36.45M,,,-0.615M,,101.59M,3.017M,-98.57M,,207.55M,271.98M,3.017M,101.59M,-98.57M,403.74M,-98.57M,577.15M,,577.15M,,,-77.02M,2.625M,500.12M,205.12M,850.41M,171.68M,678.74M,3.2,,,,1.297,3.2,3.2,,,,1.3,3.2,155.01M,155.26M,0.98
2019-12,755.34M,757.50M,279.40M,478.10M,32.80M,32.80M,,,-2.099M,,102.88M,4.393M,-98.49M,,202.69M,275.41M,4.393M,102.88M,-98.49M,-0.915M,-98.49M,176.01M,,176.01M,,,-32.55M,2.625M,143.46M,143.44M,449.38M,170.49M,278.89M,0.91,,,,0.9099,0.91,0.91,,,,0.9099,0.91,154.67M,154.99M,0.98
2019-09,741.12M,743.55M,276.78M,466.78M,31.15M,31.15M,,,-28.55M,,106.47M,7.178M,-99.29M,,197.01M,269.77M,7.178M,106.47M,-99.29M,-29.11M,-99.29M,141.37M,,141.37M,,,-30.97M,2.625M,110.40M,131.17M,414.31M,166.47M,247.84M,0.7,,,,0.8344,0.7,0.7,,,,0.8342,0.7,154.58M,154.82M,0.95
2019-06,731.34M,733.74M,269.45M,464.29M,35.07M,35.07M,,,-0.417M,,102.36M,3.615M,-98.74M,,212.48M,251.80M,3.615M,102.36M,-98.74M,50.40M,-98.74M,203.46M,,203.46M,,,-36.52M,2.625M,166.94M,165.17M,483.84M,178.02M,305.82M,1.06,,,,1.0490000000000002,1.06,1.06,,,,1.0490000000000002,1.06,154.56M,154.87M,0.95
2019-03,722.37M,725.77M,268.78M,456.99M,41.76M,41.76M,,,-24.50M,,101.01M,3.753M,-97.26M,,206.36M,250.64M,3.753M,101.01M,-97.26M,-22.22M,-97.26M,131.16M,,131.16M,,,-30.43M,2.625M,100.73M,117.11M,397.37M,165.20M,232.17M,0.63,,,,0.736,0.63,0.63,,,,0.7358,0.63,154.52M,154.84M,0.95
2018-12,702.94M,705.16M,263.48M,441.67M,27.68M,27.68M,,,-28.50M,,100.38M,3.774M,-96.60M,,193.12M,248.55M,3.774M,100.38M,-96.60M,33.29M,-96.60M,185.24M,,185.24M,,,-34.10M,2.625M,151.14M,130.71M,451.06M,165.44M,285.62M,0.96,,,,0.8277,0.96,0.96,,,,0.828,0.96,154.47M,154.77M,0.95
2018-09,683.77M,686.28M,259.33M,426.95M,29.68M,29.68M,,,-0.914M,,95.37M,2.822M,-92.54M,,187.67M,239.28M,2.822M,95.37M,-92.54M,3.711M,-92.54M,150.44M,,150.44M,,,-28.70M,2.625M,121.74M,115.89M,403.81M,158.00M,245.81M,0.77,,,,0.7321,0.77,0.77,,,,0.7321,0.77,154.44M,154.68M,0.95
2018-06,662.51M,664.48M,248.50M,415.98M,28.47M,28.47M,,,-0.474M,,92.20M,2.579M,-89.62M,,184.88M,231.10M,2.579M,92.20M,-89.62M,19.09M,-89.62M,160.56M,,160.56M,,,-29.26M,2.625M,131.31M,117.93M,409.19M,156.42M,252.77M,0.83,,,,0.7434,0.83,0.83,,,,0.7435,0.83,154.42M,154.57M,0.8
