,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,3.237B,-304.00M,-274.00M,1.033B,1.033B,,,-12.17B,-6.216B,,-1.50B,-3.69B,11.81B,2.896B,,-3.046B,-982.00M,13.00M,13.00M,,230.00M,26.00M,8.489B,-8.096B,-2.717B,-10.81B,,0.00,0.00,0.00,0.00,0.00,-1.345B,-1.00M,8.309B,309.77B,13.75B,170.00M,323.70B,,0.00,7.128B,-15.22B,0.00,1.294B,2.751B
2020-06,1.317B,-748.00M,-679.00M,926.00M,926.00M,,,87.00M,3.121B,,4.595B,1.015B,-12.06B,-3.135B,,6.325B,-858.00M,10.00M,10.00M,,-32.54B,26.00M,-18.83B,10.33B,-14.80B,-4.467B,,0.00,0.00,0.00,0.00,0.00,-1.314B,-1.00M,36.36B,285.92B,23.86B,-5.00M,309.77B,,0.00,29.54B,-19.22B,0.00,1.102B,3.327B
2020-03,2.54B,-432.00M,-377.00M,927.00M,927.00M,,,14.88B,-2.931B,,-3.01B,1.605B,-44.77B,-50.50B,,-25.53B,-460.00M,2.00M,2.00M,,-35.06B,18.00M,-72.86B,15.85B,9.902B,25.75B,,-2.925B,-2.925B,1.50B,-1.50B,0.00,-1.365B,-406.00M,191.36B,193.92B,92.97B,-967.00M,285.92B,,1.50B,28.93B,-13.08B,-4.425B,1.441B,5.424B
2019-12,4.983B,-515.00M,-511.00M,1.039B,1.039B,,,803.00M,-383.00M,,1.858B,-531.00M,14.96B,14.71B,,22.52B,-976.00M,177.00M,177.00M,,-9.59B,91.00M,-11.28B,5.829B,9.819B,15.65B,,-5.076B,-5.076B,0.00,-1.50B,-1.50B,-1.399B,-4.00M,-38.22B,220.44B,-26.98B,455.00M,193.92B,,0.00,18.96B,-13.13B,-6.576B,1.153B,6.339B
2019-09,4.928B,-361.00M,-346.00M,983.00M,983.00M,,,2.695B,-10.68B,,8.308B,-4.102B,-712.00M,-7.933B,,2.398B,-1.011B,14.00M,14.00M,,-11.82B,34.00M,-17.39B,-11.14B,-7.212B,-18.36B,,-4.977B,-4.977B,1.496B,0.00,1.496B,-1.398B,-1.00M,32.84B,203.24B,17.85B,-647.00M,220.44B,,1.496B,8.325B,-19.47B,-4.977B,921.00M,8.343B
2019-06,4.782B,-468.00M,-463.00M,952.00M,952.00M,,,10.30B,1.656B,,-2.481B,3.877B,-20.45B,-17.80B,,-140.00M,-2.831B,30.00M,30.00M,,-5.979B,33.00M,-10.74B,4.437B,3.12B,7.557B,,-3.463B,-3.463B,0.00,0.00,0.00,-1.33B,-1.00M,8.775B,205.89B,-2.11B,-540.00M,203.24B,,0.00,16.30B,-11.86B,-3.463B,1.489B,7.069B
2019-03,4.712B,-130.00M,-122.00M,931.00M,931.00M,,,3.161B,-10.96B,,-2.961B,2.585B,-38.34B,-48.24B,,-37.62B,-518.00M,38.00M,38.00M,,9.126B,38.00M,16.04B,8.984B,6.976B,15.96B,,-4.055B,-4.055B,0.00,-480.00M,-480.00M,-1.32B,-358.00M,39.54B,188.10B,17.96B,-176.00M,205.89B,,0.00,15.55B,-6.568B,-4.535B,1.325B,6.931B
2018-12,4.321B,-80.00M,-61.00M,954.00M,954.00M,,,3.132B,-3.546B,,2.905B,-23.00M,-1.985B,-3.259B,,6.886B,-1.092B,38.00M,38.00M,0.00,-13.45B,34.00M,-16.56B,-3.303B,-1.425B,-4.728B,,-4.585B,-4.585B,0.00,-575.00M,-575.00M,-1.404B,-3.00M,-1.448B,199.29B,-11.12B,-64.00M,188.10B,,0.00,7.628B,-23.04B,-5.16B,1.052B,6.685B
2018-09,4.63B,-69.00M,-246.00M,945.00M,945.00M,,,-238.00M,1.972B,,-2.897B,1.837B,12.31B,14.75B,,21.75B,-992.00M,31.00M,31.00M,314.00M,1.273B,49.00M,-19.93B,156.00M,-3.462B,-3.306B,,-5.162B,-5.162B,0.00,0.00,0.00,-1.384B,-4.00M,-3.323B,200.90B,-1.51B,-106.00M,199.29B,,0.00,12.27B,-4.895B,-5.162B,1.022B,6.321B
2018-06,4.475B,-102.00M,-87.00M,929.00M,929.00M,,,-7.618B,7.582B,,-2.296B,-4.246B,2.603B,1.869B,,1.363B,-721.00M,42.00M,42.00M,,3.616B,49.00M,-4.505B,2.783B,1.139B,3.922B,,-2.308B,-2.308B,,-121.00M,-121.00M,-1.137B,0.00,1.936B,202.70B,-1.206B,-596.00M,200.90B,,,19.99B,-16.07B,-2.429B,1.501B,5.371B
2018-03,4.627B,-170.00M,-142.00M,926.00M,926.00M,,,-2.835B,155.00M,,-3.503B,1.561B,2.737B,2.577B,,6.956B,-969.00M,101.00M,101.00M,,1.167B,49.00M,-32.12B,2.887B,-8.358B,-5.471B,,-2.378B,-2.378B,,-97.00M,-97.00M,-1.095B,-475.00M,47.36B,180.52B,22.20B,-7.00M,202.70B,,,20.77B,-26.24B,-2.475B,738.00M,4.586B
2017-12,-18.78B,-152.00M,-136.00M,942.00M,942.00M,,,-694.00M,-2.171B,,1.987B,-4.613B,-7.015B,-13.53B,,-5.313B,-859.00M,85.00M,85.00M,0.00,469.00M,31.00M,4.709B,4.466B,6.303B,10.77B,,-5.47B,-5.47B,,0.00,0.00,-1.158B,-3.00M,-5.083B,186.11B,-5.687B,94.00M,180.52B,,,8.219B,-11.20B,-5.47B,-631.00M,4.071B
2017-09,4.138B,-213.00M,-781.00M,920.00M,920.00M,,,713.00M,2.669B,,-871.00M,4.544B,2.19B,11.02B,,18.15B,-855.00M,77.00M,77.00M,679.00M,-2.06B,54.00M,-31.50B,6.146B,1.63B,7.776B,,-5.436B,-5.436B,,0.00,0.00,-1.135B,-1.00M,13.00B,186.08B,-349.00M,376.00M,186.11B,,,16.24B,-8.468B,-5.436B,739.00M,4.275B
2017-06,3.851B,-221.00M,-201.00M,901.00M,901.00M,,,480.00M,-307.00M,,-2.554B,2.142B,-22.08B,-25.26B,,-18.56B,-861.00M,82.00M,82.00M,0.00,-4.29B,56.00M,-15.08B,16.64B,10.39B,27.04B,,-1.777B,-1.777B,,0.00,0.00,-760.00M,-4.00M,39.80B,180.04B,6.154B,-117.00M,186.08B,,,24.89B,2.142B,-1.777B,1.062B,4.079B
2017-03,4.108B,-192.00M,-171.00M,896.00M,896.00M,,,-3.455B,-5.498B,,-1.926B,-5.117B,4.487B,-6.105B,,-3.052B,-786.00M,133.00M,133.00M,2.732B,11.88B,46.00M,3.125B,-282.00M,-4.574B,-4.856B,,-1.858B,-1.858B,,0.00,0.00,-744.00M,-397.00M,19.14B,160.49B,19.21B,340.00M,180.04B,,,18.60B,-23.46B,-1.858B,913.00M,3.25B
2016-12,3.576B,-275.00M,-252.00M,1.006B,1.006B,,,1.175B,2.456B,,-4.667B,-1.302B,17.58B,16.71B,,25.40B,-664.00M,200.00M,200.00M,0.00,-9.669B,,17.48B,5.343B,1.174B,6.517B,,-4.123B,-4.123B,0.00,,0.00,-770.00M,-3.00M,-17.65B,23.42B,25.23B,-349.00M,160.49B,,0.00,21.52B,-15.00B,-4.123B,1.504B,2.307B
2016-09,3.87B,-287.00M,-254.00M,938.00M,938.00M,,,-2.124B,606.00M,,2.336B,-5.777B,3.754B,3.091B,,7.267B,-715.00M,77.00M,77.00M,0.00,4.813B,,-14.10B,2.716B,11.12B,13.84B,,-2.533B,-2.533B,0.00,,0.00,-689.00M,-1.00M,8.135B,22.14B,1.299B,-20.00M,23.42B,,0.00,24.77B,-10.94B,-2.533B,810.00M,4.034B
2016-06,4.021B,-200.00M,-82.00M,868.00M,868.00M,,,6.831B,2.207B,,-1.018B,7.354B,2.144B,8.577B,,21.60B,-675.00M,160.00M,160.00M,0.00,-4.935B,,-20.32B,-2.336B,-2.485B,-4.821B,,-1.322B,-1.322B,1.494B,,1.494B,-469.00M,-4.00M,-1.068B,22.24B,214.00M,-314.00M,22.14B,,1.494B,13.24B,-18.06B,-1.322B,1.357B,3.032B
2016-03,3.503B,-186.00M,-143.00M,908.00M,908.00M,,,1.118B,-3.043B,,-3.327B,-179.00M,-5.157B,-7.81B,,-538.00M,-702.00M,230.00M,230.00M,265.00M,-3.903B,,-37.19B,2.623B,-186.00M,2.437B,,-1.312B,-1.312B,1.004B,,1.004B,-359.00M,-308.00M,38.88B,20.90B,1.15B,190.00M,22.24B,,1.004B,13.90B,-11.47B,-1.312B,688.00M,2.694B
2015-12,3.38B,-41.00M,-3.164B,874.00M,874.00M,,,-10.05B,4.357B,,-1.069B,-3.134B,8.521B,2.282B,,-1.627B,-726.00M,106.00M,106.00M,-13.00B,-2.227B,,31.91B,-10.26B,-1.50B,-11.76B,,-1.652B,-1.652B,1.496B,,1.496B,-415.00M,-3.00M,-30.80B,21.73B,-522.00M,-304.00M,20.90B,,1.496B,8.941B,-20.71B,-1.652B,935.00M,3.59B
2015-09,4.301B,-151.00M,-56.00M,865.00M,865.00M,,,1.755B,10.74B,,2.419B,-1.576B,1.937B,14.57B,,23.02B,-1.001B,143.00M,143.00M,,-10.11B,,-8.413B,917.00M,-3.328B,-2.411B,,-1.95B,-1.95B,1.245B,,1.245B,-324.00M,-2.00M,-15.64B,,-1.039B,-751.00M,21.73B,,1.245B,8.495B,-10.91B,-1.95B,4.043B,8.441B
2015-06,4.84B,-183.00M,-140.00M,882.00M,882.00M,,,-367.00M,-11.67B,,-652.00M,3.189B,17.64B,9.523B,,16.25B,-731.00M,193.00M,193.00M,,-6.868B,,-16.21B,4.913B,-13.50B,-8.585B,,-1.553B,-1.553B,1.992B,,1.992B,-355.00M,-4.00M,1.526B,21.88B,1.572B,64.00M,,,1.992B,15.48B,-24.06B,-1.553B,-1.10B,-2.908B
2015-03,4.775B,-307.00M,-214.00M,885.00M,885.00M,,,2.058B,-1.146B,,-730.00M,386.00M,-2.795B,-7.166B,,2.093B,-740.00M,135.00M,135.00M,0.00,362.00M,,7.595B,-3.789B,-18.93B,-22.72B,,-297.00M,-297.00M,1.494B,,1.494B,-159.00M,-419.00M,-19.85B,32.11B,-10.16B,-64.00M,21.88B,,1.494B,11.70B,-34.42B,-297.00M,1.10B,2.908B
2014-12,345.00M,-222.00M,-579.00M,916.00M,916.00M,,,3.121B,3.631B,,-1.709B,2.717B,-4.20B,1.284B,,10.32B,-912.00M,163.00M,163.00M,,-4.316B,,16.70B,810.00M,-6.503B,-5.693B,,-380.00M,-380.00M,1.493B,,1.493B,-190.00M,-3.00M,-29.78B,35.98B,-2.767B,-1.101B,32.11B,,1.493B,13.39B,-19.08B,-380.00M,945.00M,4.23B
2014-09,2.857B,-136.00M,-43.00M,934.00M,934.00M,,,-1.922B,-329.00M,,2.849B,-9.577B,13.86B,6.664B,,10.06B,-267.00M,229.00M,229.00M,,-11.94B,,15.37B,2.823B,5.304B,8.127B,,-186.00M,-186.00M,0.00,,0.00,-159.00M,-1.00M,-23.47B,35.27B,1.963B,-1.255B,35.98B,,0.00,24.10B,-15.98B,-186.00M,601.00M,3.937B
2014-06,203.00M,-84.00M,-47.00M,896.00M,896.00M,,,5.425B,-6.464B,,-1.972B,12.31B,-13.27B,-11.69B,,-3.635B,-1.339B,129.00M,129.00M,,-10.28B,,7.908B,3.404B,141.00M,3.545B,,-302.00M,-302.00M,1.739B,,1.739B,-130.00M,-6.00M,-2.456B,33.38B,1.817B,71.00M,35.27B,,1.739B,18.80B,-15.25B,-302.00M,1.769B,2.834B
2014-03,3.907B,-128.00M,73.00M,843.00M,843.00M,,,-1.044B,-1.11B,,-858.00M,2.523B,23.03B,24.03B,,29.60B,-868.00M,102.00M,102.00M,,-2.524B,,-11.40B,876.00M,-41.00M,835.00M,,-364.00M,-364.00M,467.00M,,467.00M,-154.00M,-498.00M,-14.56B,29.88B,3.642B,-147.00M,33.38B,,467.00M,10.55B,-9.712B,-364.00M,1.317B,3.00B
2013-12,2.261B,16.00M,89.00M,248.00M,248.00M,,,4.532B,-3.983B,,-1.719B,-3.414B,-275.00M,-7.691B,,3.935B,-1.141B,261.00M,261.00M,,-8.288B,,-12.77B,-190.00M,40.00M,-150.00M,,-218.00M,-218.00M,1.417B,0.00,1.417B,-100.00M,-1.00M,6.037B,32.81B,-2.799B,-126.00M,29.88B,0.00,1.417B,12.68B,-12.83B,-218.00M,1.242B,5.136B
2013-09,3.135B,-63.00M,-24.00M,1.43B,1.43B,,,-3.202B,3.795B,,-605.00M,421.00M,1.535B,11.15B,,14.24B,-874.00M,160.00M,160.00M,,861.00M,,-23.37B,253.00M,-6.621B,-6.368B,,-437.00M,-437.00M,950.00M,0.00,950.00M,-140.00M,-3.00M,11.04B,31.14B,1.911B,-246.00M,32.81B,5.00M,950.00M,16.15B,-22.52B,-437.00M,801.00M,3.951B
2013-06,4.152B,-251.00M,-89.00M,818.00M,818.00M,,,7.657B,-5.843B,,9.931B,-5.608B,7.967B,5.763B,,20.04B,-741.00M,155.00M,155.00M,,-7.33B,,-26.93B,-8.727B,10.61B,1.887B,,-182.00M,-182.00M,1.25B,-94.00M,1.156B,-40.00M,-4.00M,7.482B,31.15B,585.00M,-590.00M,31.14B,-13.00M,1.25B,16.50B,-14.61B,-276.00M,1.325B,2.813B
2013-03,3.841B,-450.00M,-189.00M,807.00M,807.00M,,,-3.718B,-459.00M,,5.421B,721.00M,18.99B,21.97B,,25.02B,-734.00M,140.00M,140.00M,,9.865B,,-28.27B,-925.00M,-3.834B,-4.759B,,0.00,0.00,575.00M,,575.00M,-34.00M,-444.00M,-1.46B,36.45B,-4.707B,-596.00M,31.15B,-2.00M,575.00M,9.273B,-14.03B,0.00,1.127B,3.755B
2012-12,1.281B,-438.00M,-370.00M,243.00M,243.00M,,,19.83B,10.22B,,-495.00M,613.00M,-44.47B,-37.43B,,-17.93B,-1.729B,213.00M,213.00M,,-16.90B,,48.40B,-31.80B,2.863B,-28.94B,,-1.00M,-1.00M,2.25B,0.00,2.25B,-39.00M,0.00,-27.95B,33.80B,2.525B,126.00M,36.45B,6.00M,2.25B,4.024B,-32.97B,-1.00M,1.318B,4.554B
2012-09,460.00M,-615.00M,2.855B,752.00M,752.00M,,,-2.17B,506.00M,,-3.254B,732.00M,858.00M,-936.00M,,3.431B,-101.00M,561.00M,561.00M,,11.50B,,-4.071B,-20.43B,-9.784B,-30.21B,,0.00,0.00,0.00,0.00,0.00,-33.00M,-3.00M,88.00M,33.93B,-552.00M,427.00M,33.80B,,0.00,137.00M,-30.35B,0.00,737.00M,5.162B
2012-06,2.922B,-273.00M,-145.00M,774.00M,774.00M,,,-8.627B,1.611B,,5.415B,-2.873B,-5.098B,-2.836B,,-5.32B,-930.00M,152.00M,152.00M,,-2.876B,,24.38B,-22.06B,2.837B,-19.22B,,0.00,0.00,0.00,0.00,0.00,-37.00M,-4.00M,-10.96B,26.50B,8.098B,-676.00M,33.93B,,0.00,14.04B,-33.26B,0.00,929.00M,5.421B
2012-03,2.936B,-1.925B,-620.00M,738.00M,738.00M,,,4.284B,-11.40B,,-2.196B,71.00M,8.985B,-675.00M,,9.453B,-844.00M,163.00M,163.00M,,-2.758B,,-38.37B,-15.44B,1.92B,-13.52B,,-4.00M,-4.00M,0.00,,0.00,-34.00M,-187.00M,26.33B,28.70B,-2.593B,397.00M,26.50B,0.00,0.00,9.645B,-23.17B,-4.00M,916.00M,4.602B
2011-12,1.00B,-69.00M,2.185B,737.00M,737.00M,,-2.024B,-5.56B,10.82B,,-8.08B,15.96B,,35.07B,,33.98B,-1.001B,260.00M,260.00M,,-8.877B,,-28.67B,-12.81B,-11.20B,-24.00B,,0.00,3.75B,,,,-38.00M,-2.00M,-2.761B,28.95B,2.53B,-2.779B,28.70B,-16.00M,,1.267B,-39.14B,0.00,2.705B,21.23B
2011-09,3.77B,-765.00M,-765.00M,744.00M,744.00M,,146.00M,6.196B,1.551B,,14.98B,-5.883B,,12.79B,,25.98B,-917.00M,318.00M,318.00M,,17.52B,,11.64B,-14.87B,-7.071B,-21.94B,,-1.00M,-1.00M,,,,-27.00M,-5.00M,-37.00B,27.77B,615.00M,569.00M,28.95B,0.00,,5.844B,-20.71B,-1.00M,,
2011-06,3.27B,-583.00M,-583.00M,720.00M,720.00M,,171.00M,1.036B,7.057B,,3.651B,-12.76B,,-3.976B,,3.806B,-842.00M,323.00M,323.00M,,22.64B,,25.25B,-27.05B,-5.733B,-32.78B,,,0.00,,,,-38.00M,-3.00M,-32.38B,27.84B,-654.00M,578.00M,27.77B,2.669B,,13.07B,-40.12B,,-874.00M,-4.608B
2011-03,2.959B,-580.00M,-580.00M,671.00M,671.00M,,1.707B,1.757B,-11.04B,,4.403B,-1.13B,,-8.399B,,1.039B,-688.00M,422.00M,422.00M,,-23.01B,,-16.99B,-4.124B,-1.068B,-5.192B,,,0.00,,,,-4.00M,-220.00M,15.49B,27.97B,-461.00M,331.00M,27.84B,0.00,,10.06B,-14.19B,,874.00M,4.608B
2010-12,1.211B,-388.00M,1.023B,1.285B,1.285B,,,2.40B,6.157B,,14.72B,-42.57B,,1.848B,,11.40B,-1.558B,963.00M,963.00M,,18.68B,,12.69B,-11.22B,-10.07B,-21.28B,,-1.00M,3.749B,,,,-9.00M,-20.00M,-22.69B,26.34B,1.563B,67.00M,27.97B,163.00M,,7.855B,-29.14B,-1.00M,915.00M,5.92B
2010-09,2.542B,-962.00M,-962.00M,136.00M,136.00M,,,10.43B,-3.523B,,-87.55B,57.55B,,-35.16B,,-17.32B,-277.00M,492.00M,492.00M,,-25.17B,,-9.627B,-4.28B,-3.894B,-8.174B,,0.00,0.00,,,,0.00,-62.00M,27.91B,24.71B,961.00M,672.00M,26.34B,0.00,,10.79B,-18.97B,0.00,623.00M,5.188B
2010-06,2.70B,-523.00M,-523.00M,620.00M,620.00M,,,-16.27B,-3.138B,,24.77B,-8.183B,,13.20B,,6.183B,-250.00M,527.00M,527.00M,,-9.42B,,25.88B,-19.26B,658.00M,-18.60B,,-4.00M,-4.00M,,,,0.00,-598.00M,-33.17B,25.68B,-1.106B,137.00M,24.71B,-1.00M,,5.822B,-24.42B,-4.00M,967.00M,6.39B
