,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,WorkinProcessInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,242.00M,,242.00M,455.00M,,455.00M,,,,112.00M,174.00M,,201.00M,1.184B,,,,,31.97B,,31.97B,-10.52B,21.45B,10.08B,4.535B,14.61B,1.42B,,120.00M,37.60B,38.79B,264.00M,264.00M,444.00M,708.00M,114.00M,114.00M,316.00M,430.00M,787.00M,787.00M,,1.925B,,19.19B,5.713B,24.90B,,,,,,,2.456B,27.36B,29.28B,4.00M,-8.402B,17.90B,,,,-4.00M,9.502B
2020-06,2.514B,,2.514B,439.00M,,439.00M,,,,137.00M,154.00M,,192.00M,3.436B,,,,,31.45B,,31.45B,-10.24B,21.21B,10.08B,4.626B,14.70B,1.428B,,119.00M,37.46B,40.90B,280.00M,280.00M,515.00M,795.00M,99.00M,99.00M,307.00M,406.00M,763.00M,763.00M,,1.964B,,21.01B,5.615B,26.63B,,,,,,,2.482B,29.11B,31.08B,4.00M,-8.044B,17.87B,,,,-6.00M,9.826B
2020-03,310.00M,,310.00M,495.00M,,495.00M,,,,107.00M,157.00M,,178.00M,1.247B,,,,,30.97B,,30.97B,-9.953B,21.01B,10.08B,4.734B,14.81B,1.428B,,116.00M,37.37B,38.62B,296.00M,296.00M,383.00M,679.00M,949.00M,949.00M,300.00M,1.249B,741.00M,741.00M,,2.669B,,17.75B,5.567B,23.31B,,,,,,,2.513B,25.83B,28.50B,4.00M,-7.712B,17.84B,,,,-6.00M,10.12B
2019-12,323.00M,,323.00M,471.00M,,471.00M,,,,182.00M,125.00M,,148.00M,1.249B,,,,,,,,,13.41B,10.07B,5.62B,15.69B,1.357B,,,31.37B,32.62B,302.00M,302.00M,407.00M,709.00M,,111.00M,,111.00M,568.00M,568.00M,,1.388B,,16.31B,,16.31B,,,,,,,3.074B,19.39B,20.78B,4.00M,-5.896B,17.74B,,,,-5.00M,11.85B
2019-09,182.00M,,182.00M,667.00M,,667.00M,,,,99.00M,138.00M,,167.00M,1.253B,,,,,29.92B,,29.92B,-9.394B,20.53B,10.08B,4.968B,15.05B,1.413B,,,37.09B,38.34B,368.00M,368.00M,445.00M,813.00M,100.00M,100.00M,296.00M,396.00M,525.00M,525.00M,,1.734B,,17.75B,5.48B,23.23B,,,,,,,2.055B,25.28B,27.02B,4.00M,-6.503B,17.83B,,,,-5.00M,11.32B
2019-06,288.00M,,288.00M,591.00M,,591.00M,,,,111.00M,136.00M,,168.00M,1.294B,,,,,29.32B,,29.32B,-9.121B,20.20B,10.08B,5.074B,15.15B,1.391B,,,36.85B,38.15B,337.00M,337.00M,471.00M,808.00M,98.00M,98.00M,289.00M,387.00M,503.00M,503.00M,,1.698B,,17.47B,5.427B,22.90B,,,,,,,2.028B,24.93B,26.62B,4.00M,-6.277B,17.80B,,,,-5.00M,11.52B
2019-03,245.00M,,245.00M,545.00M,,545.00M,,,,85.00M,158.00M,,160.00M,1.193B,,,,,28.70B,,28.70B,-8.843B,19.85B,10.08B,5.178B,15.26B,1.373B,,,36.58B,37.78B,311.00M,311.00M,369.00M,680.00M,96.00M,96.00M,287.00M,383.00M,502.00M,502.00M,,1.565B,,17.12B,5.338B,22.46B,,,,,,,2.009B,24.47B,26.03B,4.00M,-6.022B,17.77B,,,,-5.00M,11.75B
2018-12,206.00M,,206.00M,455.00M,,455.00M,,,,197.00M,125.00M,,181.00M,1.164B,,,,,,,,,13.20B,10.08B,5.729B,15.80B,1.303B,,,31.19B,32.35B,272.00M,272.00M,426.00M,698.00M,,112.00M,,112.00M,554.00M,554.00M,,1.364B,,15.84B,,15.84B,,,,,,,3.014B,18.86B,20.22B,4.00M,-5.581B,17.71B,,,,-5.00M,12.13B
2018-09,323.00M,,323.00M,471.00M,,471.00M,,,,182.00M,125.00M,,148.00M,1.249B,,,,,,,21.72B,-8.292B,13.43B,10.07B,5.62B,15.69B,1.357B,,,31.40B,32.64B,302.00M,302.00M,407.00M,709.00M,,111.00M,,111.00M,484.00M,484.00M,,1.304B,,16.31B,,16.31B,,,,,,,2.732B,19.04B,20.35B,4.00M,-5.447B,17.74B,,,,-5.00M,12.30B
2018-06,206.00M,,206.00M,455.00M,,455.00M,,,,197.00M,125.00M,,181.00M,1.164B,,,,,,,21.24B,-8.023B,13.22B,10.08B,5.729B,15.80B,1.303B,,,31.21B,32.37B,272.00M,272.00M,426.00M,698.00M,,112.00M,,112.00M,476.00M,476.00M,,1.286B,,15.84B,,15.84B,,,,,,,2.678B,18.52B,19.81B,4.00M,-5.144B,17.71B,,,,-5.00M,12.57B
