,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.622B,1.622B,892.00M,730.00M,0.00,122.00M,128.00M,1.00M,-127.00M,,428.00M,302.00M,1.00M,128.00M,-127.00M,-58.00M,-127.00M,117.00M,-10.00M,127.00M,-6.00M,,,52.00M,121.00M,127.73M,551.00M,306.00M,245.00M,0.14,-0.01,,,0.1413,0.13,0.14,-0.01,,,0.1413,0.13,545.00M,548.00M,0.15
2020-06,1.575B,1.575B,914.00M,661.00M,0.00,129.00M,135.00M,1.00M,-134.00M,,426.00M,235.00M,1.00M,135.00M,-134.00M,63.00M,-134.00M,164.00M,29.00M,135.00M,-30.00M,,,46.00M,105.00M,135.82M,596.00M,297.00M,299.00M,0.17,-0.06,,,0.1716,0.11,0.17,-0.06,,,0.1715,0.11,528.00M,531.00M,0.15
2020-03,2.167B,2.167B,1.347B,820.00M,-185.00M,136.00M,147.00M,1.00M,-146.00M,,418.00M,402.00M,1.00M,147.00M,-146.00M,-1.656B,-146.00M,-1.40B,-347.00M,-1.053B,-146.00M,,,29.00M,-1.199B,-907.50M,-970.00M,283.00M,-1.253B,-2.15,-0.29,,,-1.86,-2.44,-2.15,-0.29,,,-1.86,-2.44,502.00M,502.00M,0.29
2019-12,6.756B,6.756B,5.804B,952.00M,-48.00M,126.00M,147.00M,,-167.00M,,475.00M,477.00M,,147.00M,-167.00M,-1.00M,-167.00M,309.00M,63.00M,246.00M,,,,29.00M,157.00M,284.21M,805.00M,305.00M,456.00M,0.25,,,,0.3261,0.25,0.25,,,,0.3257,0.25,502.00M,505.00M,0.2875
2019-09,1.658B,1.658B,872.00M,786.00M,0.00,113.00M,143.00M,4.00M,-139.00M,,429.00M,357.00M,4.00M,143.00M,-139.00M,79.00M,-139.00M,297.00M,46.00M,251.00M,19.00M,,,29.00M,270.00M,253.54M,781.00M,341.00M,440.00M,0.44,0.04,,,0.4451,0.48,0.44,0.03,,,0.445,0.47,502.00M,505.00M,0.2875
2019-06,1.658B,1.658B,994.00M,664.00M,0.00,113.00M,144.00M,2.00M,-142.00M,,435.00M,229.00M,2.00M,144.00M,-142.00M,79.00M,-142.00M,166.00M,15.00M,151.00M,44.00M,,,30.00M,195.00M,154.64M,653.00M,343.00M,310.00M,0.24,0.09,,,0.2473,0.33,0.24,0.09,,,0.2472,0.33,502.00M,505.00M,0.2875
2019-03,2.229B,2.229B,1.592B,637.00M,0.00,126.00M,133.00M,14.00M,-119.00M,,426.00M,211.00M,14.00M,133.00M,-119.00M,65.00M,-119.00M,157.00M,14.00M,143.00M,26.00M,,,29.00M,169.00M,145.73M,612.00M,322.00M,290.00M,0.23,0.05,,,0.2354,0.28,0.23,0.05,,,0.2354,0.28,502.00M,504.00M,0.2875
2018-12,3.036B,3.036B,2.509B,527.00M,,99.00M,115.00M,,-115.00M,,360.00M,167.00M,,115.00M,-115.00M,129.00M,-115.00M,181.00M,61.00M,120.00M,,,,30.00M,120.00M,122.65M,557.00M,261.00M,296.00M,0.18,,,,0.1853,0.18,0.18,,,,0.1853,0.18,503.00M,503.00M,0.2775
2018-09,2.212B,2.212B,1.565B,647.00M,,95.00M,106.00M,,-106.00M,,421.00M,226.00M,,106.00M,-106.00M,89.00M,-106.00M,209.00M,51.00M,158.00M,,,,5.00M,158.00M,158.76M,641.00M,326.00M,315.00M,0.35,,,,0.3518,0.35,0.35,,,,0.3517,0.35,432.00M,435.00M,0.2775
2018-06,2.186B,2.186B,1.556B,630.00M,,101.00M,105.00M,,-105.00M,,443.00M,187.00M,,105.00M,-105.00M,-170.00M,-105.00M,-88.00M,-13.00M,-75.00M,,,,,-75.00M,122.73M,359.00M,342.00M,17.00M,-0.17,,,,0.2877,-0.17,-0.17,,,,0.2877,-0.17,432.00M,432.00M,0.2775
2018-03,3.155B,3.155B,2.479B,676.00M,,111.00M,94.00M,,-94.00M,,425.00M,251.00M,,94.00M,-94.00M,55.00M,-94.00M,212.00M,47.00M,165.00M,,,,,165.00M,178.26M,620.00M,314.00M,306.00M,0.38,,,,0.4108,0.38,0.38,,,,0.4106,0.38,431.00M,434.00M,0.2775
2017-12,2.638B,2.638B,1.94B,698.00M,,103.00M,97.00M,,-97.00M,,390.00M,308.00M,,97.00M,-97.00M,75.00M,-97.00M,286.00M,-1.01B,1.296B,,,,,1.296B,1.289B,670.00M,287.00M,383.00M,3.01,,,,2.995,3.01,2.99,,,,2.975,2.99,431.00M,434.00M,0.2675
2017-09,2.098B,2.098B,1.439B,659.00M,,93.00M,98.00M,,-98.00M,,362.00M,297.00M,,98.00M,-98.00M,68.00M,-98.00M,267.00M,98.00M,169.00M,,,,,169.00M,168.37M,634.00M,269.00M,365.00M,0.39,,,,0.3885,0.39,0.39,,,,0.3885,0.39,431.00M,434.00M,0.2675
2017-06,2.143B,2.143B,1.55B,593.00M,,99.00M,97.00M,,-97.00M,,353.00M,240.00M,,97.00M,-97.00M,68.00M,-97.00M,211.00M,76.00M,135.00M,,,,,135.00M,128.60M,562.00M,254.00M,308.00M,0.31,,,,0.2952,0.31,0.31,,,,0.2953,0.31,431.00M,434.00M,0.2675
2017-03,2.735B,2.735B,2.122B,613.00M,,96.00M,98.00M,,-98.00M,,322.00M,291.00M,,98.00M,-98.00M,106.00M,-98.00M,299.00M,107.00M,192.00M,,,,,192.00M,170.24M,623.00M,226.00M,397.00M,0.45,,,,0.3995,0.45,0.44,,,,0.3897,0.44,431.00M,433.00M,0.2675
2016-12,2.081B,2.081B,1.425B,656.00M,,96.00M,103.00M,,-103.00M,,349.00M,307.00M,,103.00M,-103.00M,-42.00M,-103.00M,162.00M,61.00M,101.00M,,,,,101.00M,110.98M,518.00M,253.00M,265.00M,0.23,,,,0.2531,0.23,0.23,,,,0.2528,0.23,431.00M,437.00M,0.2575
2016-09,1.889B,1.889B,1.188B,701.00M,,93.00M,106.00M,,-106.00M,,417.00M,284.00M,,106.00M,-106.00M,98.00M,-106.00M,276.00M,97.00M,179.00M,,,,,179.00M,175.75M,706.00M,324.00M,382.00M,0.42,,,,0.4125,0.42,0.41,,,,0.4025,0.41,431.00M,433.00M,0.2575
2016-06,1.574B,1.574B,1.009B,565.00M,,94.00M,109.00M,,-109.00M,,383.00M,182.00M,,109.00M,-109.00M,-65.00M,-109.00M,8.00M,10.00M,-2.00M,,,,,-2.00M,64.00M,406.00M,289.00M,117.00M,-0.01,,,,0.1431,-0.01,-0.01,,,,0.1431,-0.01,431.00M,431.00M,0.2575
2016-03,1.984B,1.984B,1.373B,611.00M,,101.00M,111.00M,,-111.00M,,361.00M,250.00M,,111.00M,-111.00M,101.00M,-111.00M,240.00M,86.00M,154.00M,,,,,154.00M,132.24M,611.00M,260.00M,351.00M,0.36,,,,0.3094,0.36,0.36,,,,0.3097,0.36,430.00M,433.00M,0.2575
2015-12,1.791B,1.791B,1.234B,557.00M,,85.00M,111.00M,,-111.00M,,331.00M,226.00M,,111.00M,-111.00M,-933.00M,-111.00M,-818.00M,-309.00M,-509.00M,,,,,-509.00M,-503.40M,-461.00M,246.00M,-707.00M,-1.18,,,,-1.167,-1.18,-1.18,,,,-1.167,-1.18,430.00M,430.00M,0.2475
2015-09,1.63B,1.63B,1.006B,624.00M,,91.00M,113.00M,,-113.00M,,359.00M,265.00M,,113.00M,-113.00M,-787.00M,-113.00M,-635.00M,-244.00M,-391.00M,,,,,-391.00M,-387.90M,-254.00M,268.00M,-522.00M,-0.91,,,,-0.9028,-0.91,-0.91,,,,-0.9028,-0.91,430.00M,430.00M,0.2475
2015-06,1.532B,1.532B,1.017B,515.00M,,90.00M,116.00M,,-116.00M,,329.00M,186.00M,,116.00M,-116.00M,44.00M,-116.00M,114.00M,37.00M,77.00M,,,,,77.00M,85.16M,469.00M,239.00M,230.00M,0.18,,,,0.199,0.18,0.18,,,,0.1989,0.18,430.24M,431.73M,0.2475
2015-03,2.433B,2.433B,1.852B,581.00M,,108.00M,117.00M,,-117.00M,,325.00M,256.00M,,117.00M,-117.00M,70.00M,-117.00M,209.00M,78.00M,131.00M,,,,,131.00M,126.59M,543.00M,217.00M,326.00M,0.3,,,,0.2897,0.3,0.3,,,,0.2898,0.3,430.00M,431.00M,0.2475
2014-12,2.372B,2.372B,1.824B,548.00M,,98.00M,120.00M,,-120.00M,,327.00M,221.00M,,120.00M,-120.00M,108.00M,-120.00M,209.00M,33.00M,176.00M,,,,,176.00M,148.21M,558.00M,229.00M,329.00M,0.41,,,,0.3454,0.41,0.41,,,,0.3461,0.41,430.00M,435.00M,0.2375
2014-09,1.807B,1.807B,1.195B,612.00M,,86.00M,118.00M,,-118.00M,,379.00M,233.00M,,118.00M,-118.00M,98.00M,-118.00M,213.00M,70.00M,143.00M,,,,,143.00M,136.97M,624.00M,293.00M,331.00M,0.33,,,,0.316,0.33,0.33,,,,0.316,0.33,430.00M,432.00M,0.2375
2014-06,1.884B,1.884B,1.349B,535.00M,,93.00M,119.00M,,-119.00M,,349.00M,186.00M,,119.00M,-119.00M,102.00M,-119.00M,169.00M,62.00M,107.00M,,,,,107.00M,93.14M,544.00M,256.00M,288.00M,0.25,,,,0.2178,0.25,0.25,,,,0.2178,0.25,430.00M,431.00M,0.2375
2014-03,3.163B,3.163B,2.522B,641.00M,,111.00M,114.00M,,-114.00M,,346.00M,295.00M,,114.00M,-114.00M,113.00M,-114.00M,294.00M,109.00M,185.00M,,,,,185.00M,176.81M,643.00M,235.00M,408.00M,0.43,,,,0.4109,0.43,0.43,,,,0.411,0.43,429.00M,431.00M,0.2375
2013-12,2.184B,2.184B,1.662B,522.00M,,98.00M,114.00M,,-114.00M,,311.00M,211.00M,,114.00M,-114.00M,78.00M,-114.00M,175.00M,62.00M,113.00M,,,,,113.00M,109.77M,502.00M,213.00M,289.00M,0.27,,,,0.2625,0.27,0.26,,,,0.2525,0.26,428.00M,431.00M,0.2075
2013-09,1.64B,1.64B,1.059B,581.00M,,89.00M,118.00M,,-118.00M,,337.00M,244.00M,,118.00M,-118.00M,103.00M,-118.00M,229.00M,78.00M,151.00M,,,,,151.00M,143.08M,595.00M,248.00M,347.00M,0.35,,,,0.3315,0.35,0.35,,,,0.3316,0.35,429.00M,431.00M,0.2075
2013-06,1.894B,1.894B,1.326B,568.00M,,92.00M,119.00M,,-119.00M,,345.00M,223.00M,,119.00M,-119.00M,40.00M,-119.00M,144.00M,244.00M,-100.00M,,,,,-100.00M,-101.95M,516.00M,253.00M,263.00M,-0.23,,,,-0.2345,-0.23,-0.23,,,,-0.2345,-0.23,429.00M,431.00M,0.2075
2013-03,2.388B,2.388B,1.708B,680.00M,,108.00M,133.00M,,-133.00M,,348.00M,332.00M,,133.00M,-133.00M,34.00M,-133.00M,233.00M,86.00M,147.00M,,,,,147.00M,132.51M,606.00M,240.00M,366.00M,0.34,,,,0.3061,0.34,0.34,,,,0.3063,0.34,428.00M,430.00M,0.2075
2012-12,2.138B,2.138B,1.485B,653.00M,0.00,93.00M,139.00M,,-139.00M,,343.00M,310.00M,,139.00M,-139.00M,39.00M,-139.00M,210.00M,76.00M,134.00M,,,,,134.00M,119.32M,599.00M,250.00M,349.00M,0.32,,,,0.2856,0.32,0.31,,,,0.2759,0.31,427.00M,430.00M,0.2025
2012-09,1.705B,1.705B,978.00M,727.00M,-116.00M,86.00M,141.00M,,-141.00M,,387.00M,340.00M,,141.00M,-141.00M,-71.00M,-141.00M,128.00M,118.00M,10.00M,,,,,10.00M,69.15M,570.00M,301.00M,269.00M,0.02,,,,0.1585,0.02,0.02,,,,0.1576,0.02,427.00M,430.00M,0.2025
2012-06,1.525B,1.525B,860.00M,665.00M,,88.00M,142.00M,,-142.00M,,363.00M,302.00M,,142.00M,-142.00M,40.00M,-142.00M,200.00M,74.00M,126.00M,,,,,126.00M,112.14M,617.00M,275.00M,342.00M,0.29,,,,0.2575,0.29,0.29,,,,0.2578,0.29,427.00M,430.00M,0.2025
2012-03,2.084B,2.084B,1.424B,660.00M,,98.00M,147.00M,,-147.00M,,322.00M,338.00M,,147.00M,-147.00M,28.00M,-147.00M,219.00M,72.00M,147.00M,,,,,147.00M,138.29M,590.00M,224.00M,366.00M,0.34,,,,0.3196,0.34,0.34,,,,0.3196,0.34,426.00M,428.00M,0.2025
2011-12,2.145B,2.145B,2.901B,-756.00M,-19.00M,94.00M,146.00M,,-146.00M,,-1.03B,274.00M,,146.00M,-146.00M,31.00M,-146.00M,159.00M,42.00M,117.00M,,0.00,,,117.00M,117.00M,514.00M,209.00M,305.00M,-1.102,,0.0,,-1.102,0.28,-1.102,,-0.0032,,-1.102,0.28,426.00M,432.00M,0.1975
2011-09,1.881B,1.881B,735.00M,1.146B,362.00M,88.00M,145.00M,,-145.00M,,789.00M,357.00M,,145.00M,-145.00M,378.00M,-145.00M,590.00M,204.00M,386.00M,,587.00M,,,973.00M,143.93M,988.00M,253.00M,735.00M,2.28,0.0,0.0,,1.712,2.28,2.27,0.0,1.368,,1.706,2.27,426.00M,429.00M,0.1975
2011-06,1.837B,1.837B,778.00M,1.059B,4.00M,87.00M,143.00M,,-143.00M,446.00M,756.00M,303.00M,,143.00M,-143.00M,30.00M,-143.00M,190.00M,71.00M,119.00M,,,,,119.00M,105.22M,556.00M,223.00M,333.00M,0.28,0.0,,,0.2477,0.28,0.28,0.0,,,0.2478,0.28,426.00M,428.00M,0.1975
2011-03,2.587B,2.587B,1.476B,1.111B,5.00M,107.00M,149.00M,,-149.00M,,747.00M,364.00M,,149.00M,-149.00M,20.00M,-149.00M,235.00M,87.00M,148.00M,,,,,148.00M,139.18M,585.00M,201.00M,384.00M,0.35,0.0,,,0.3293,0.35,0.35,0.0,,,0.3294,0.35,425.00M,427.00M,0.1975
2010-12,2.098B,2.098B,2.772B,-674.00M,-7.00M,88.00M,151.00M,,-151.00M,,-976.00M,302.00M,,151.00M,-151.00M,13.00M,-151.00M,164.00M,40.00M,124.00M,,0.00,,,124.00M,128.54M,519.00M,204.00M,315.00M,0.288,,0.0,,0.2987,0.29,0.288,,0.0,,0.2986,0.29,425.00M,428.00M,0.195
