,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-10,2.34B,2.34B,1.527B,813.00M,208.00M,137.00M,345.00M,20.00M,10.00M,-1.00M,55.00M,0.00,-55.00M,,375.00M,438.00M,0.00,55.00M,-55.00M,23.00M,-55.00M,406.00M,97.00M,309.00M,0.00,,0.00,309.00M,309.76M,537.00M,76.00M,461.00M,1.02,0.0,,1.023,1.02,1.02,0.0,,1.023,1.02,302.00M,304.00M,0.35
2020-07,2.108B,2.108B,1.361B,747.00M,265.00M,186.00M,451.00M,24.00M,10.00M,1.00M,61.00M,1.00M,-60.00M,,485.00M,262.00M,1.00M,61.00M,-60.00M,-95.00M,-60.00M,107.00M,21.00M,86.00M,0.00,,0.00,86.00M,85.20M,255.00M,87.00M,168.00M,0.28,0.0,,0.2773,0.28,0.28,0.0,,0.2774,0.28,302.00M,304.00M,0.35
2020-04,2.238B,2.238B,1.466B,772.00M,239.00M,208.00M,447.00M,25.00M,11.00M,0.00,55.00M,0.00,-55.00M,,483.00M,289.00M,0.00,55.00M,-55.00M,-16.00M,-55.00M,218.00M,52.00M,166.00M,2.00M,,0.00,168.00M,200.24M,352.00M,79.00M,273.00M,0.55,0.01,,0.6634,0.56,0.55,0.01,,0.6626,0.55,302.00M,304.00M,0.35
2020-01,2.162B,2.162B,1.42B,742.00M,237.00M,148.00M,385.00M,22.00M,11.00M,-7.00M,149.00M,3.00M,-146.00M,,418.00M,324.00M,3.00M,149.00M,-146.00M,26.00M,-146.00M,204.00M,33.00M,171.00M,1.037B,,0.00,1.208B,176.87M,434.00M,81.00M,353.00M,0.57,3.43,,0.5894,4.0,0.56,3.41,,0.5793,3.97,302.00M,304.00M,0.35
2019-10,2.183B,2.183B,1.445B,738.00M,206.00M,133.00M,339.00M,22.00M,11.00M,-67.00M,80.00M,0.00,-80.00M,,372.00M,366.00M,0.00,80.00M,-80.00M,-49.00M,-80.00M,237.00M,68.00M,169.00M,-3.00M,,0.00,166.00M,219.62M,398.00M,81.00M,317.00M,0.56,-0.01,,0.7282,0.55,0.56,-0.01,,0.7271,0.55,301.00M,303.00M,0.35
2019-07,1.78B,1.78B,1.174B,606.00M,195.00M,166.00M,361.00M,25.00M,12.00M,-25.00M,85.00M,1.00M,-84.00M,,398.00M,208.00M,1.00M,85.00M,-84.00M,-125.00M,-84.00M,-1.00M,4.00M,-5.00M,-3.00M,,0.00,-8.00M,14.71M,181.00M,97.00M,84.00M,-0.02,-0.01,,0.0455,-0.03,-0.02,-0.01,,0.0453,-0.03,301.00M,302.00M,0.35
2019-04,1.953B,1.953B,1.298B,655.00M,215.00M,178.00M,393.00M,23.00M,13.00M,-2.00M,89.00M,0.00,-89.00M,,429.00M,226.00M,0.00,89.00M,-89.00M,19.00M,-89.00M,156.00M,33.00M,123.00M,-39.00M,,0.00,84.00M,118.27M,353.00M,108.00M,245.00M,0.41,-0.13,,0.3943,0.28,0.41,-0.13,,0.3943,0.28,301.00M,302.00M,0.35
2019-01,2.172B,2.172B,1.466B,706.00M,221.00M,146.00M,367.00M,20.00M,12.00M,-2.00M,91.00M,0.00,-91.00M,,399.00M,307.00M,0.00,91.00M,-91.00M,18.00M,-91.00M,234.00M,58.00M,176.00M,-235.00M,,0.00,-59.00M,176.00M,444.00M,119.00M,325.00M,0.58,-0.78,,0.58,-0.2,0.58,-0.78,,0.58,-0.2,301.00M,302.00M,0.35
2018-10,2.202B,2.202B,1.476B,726.00M,211.00M,148.00M,359.00M,23.00M,11.00M,-18.00M,91.00M,1.00M,-90.00M,,393.00M,333.00M,1.00M,91.00M,-90.00M,-7.00M,-90.00M,236.00M,56.00M,180.00M,14.00M,,0.00,194.00M,200.60M,449.00M,122.00M,327.00M,0.6,0.05,,0.6684,0.64,0.6,0.05,,0.6682,0.64,301.00M,302.00M,0.35
2018-07,872.00M,872.00M,617.00M,255.00M,83.00M,119.00M,202.00M,12.00M,11.00M,-51.00M,76.00M,0.00,-76.00M,,225.00M,30.00M,0.00,76.00M,-76.00M,80.00M,-76.00M,34.00M,0.00,34.00M,60.00M,,0.00,94.00M,94.00M,238.00M,128.00M,110.00M,0.12,0.2,,0.3193,0.32,0.12,0.2,,0.3187,0.31,301.00M,302.00M,0.35
