,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-11,703.18M,,703.18M,910.27M,,967.07M,,,,534.13M,125.46M,,772.94M,3.103B,,,,,1.498B,,,1.498B,,1.498B,2.890B,430.92M,3.321B,252.45M,280.49M,5.352B,8.455B,274.02M,0.00,274.02M,791.16M,1.065B,,249.87M,249.87M,42.68M,292.55M,,,,1.508B,2.291B,117.49M,2.408B,376.41M,376.41M,563.48M,,3.348B,4.857B,1.388B,7.510B,51.61M,5.254B,,,,-97.41M,3.598B
2020-08,421.54M,,421.54M,866.41M,,866.41M,18.56M,26.75M,442.86M,488.16M,133.69M,,756.36M,2.666B,,,,,1.538B,,,1.538B,,1.538B,2.886B,674.15M,3.560B,240.43M,39.07M,5.377B,8.043B,252.51M,23.25M,275.76M,406.79M,682.55M,,249.81M,249.81M,43.41M,293.22M,,,,1.093B,2.290B,121.73M,2.412B,385.15M,385.15M,547.90M,,3.345B,4.439B,1.345B,7.597B,30.16M,5.251B,,,,-115.95M,3.605B
2020-05,145.40M,,145.40M,870.37M,,870.37M,18.66M,29.50M,360.74M,408.90M,114.62M,,770.41M,2.310B,0.0,188.72M,682.77M,2.348B,159.97M,54.55M,40.19M,3.474B,-1.911B,1.563B,2.870B,681.16M,3.551B,214.85M,31.13M,5.360B,7.670B,231.00M,27.10M,258.09M,321.81M,579.90M,0.00,,0.00,43.03M,43.03M,,,,885.20M,2.540B,122.70M,2.662B,388.58M,388.58M,498.51M,,3.549B,4.435B,1.103B,7.297B,171.52M,5.182B,,,,-153.38M,3.235B
2020-02,234.44M,,234.44M,942.85M,,966.34M,14.31M,27.22M,311.39M,352.92M,125.52M,,818.49M,2.498B,,,,,1.600B,,,1.600B,,1.600B,2.874B,688.55M,3.563B,212.80M,28.90M,5.404B,7.902B,243.25M,,243.25M,430.64M,673.89M,,199.80M,199.80M,44.04M,243.84M,,,,1.067B,2.539B,126.99M,2.666B,423.68M,423.68M,421.20M,,3.511B,4.578B,1.092B,7.152B,154.16M,4.979B,,,,-94.81M,3.324B
2019-11,226.54M,,226.54M,949.12M,,974.00M,15.55M,27.15M,305.61M,348.30M,123.59M,,817.86M,2.490B,,,,,1.595B,,,1.595B,,1.595B,2.853B,687.79M,3.541B,218.87M,42.77M,5.397B,7.887B,254.61M,,254.61M,674.24M,928.85M,,199.79M,199.79M,44.26M,244.05M,,,,1.297B,2.539B,130.58M,2.669B,443.86M,443.86M,372.07M,,3.485B,4.782B,1.067B,6.917B,134.04M,4.976B,,,,-36.84M,3.105B
2019-08,102.13M,,102.13M,917.54M,,917.54M,16.54M,25.62M,294.13M,336.29M,137.68M,,796.19M,2.290B,,,,,1.585B,,,1.585B,,1.585B,2.850B,696.74M,3.546B,208.99M,31.30M,5.372B,7.662B,237.24M,9.238M,246.48M,395.42M,641.90M,139.00M,199.78M,338.78M,43.01M,381.79M,,,,1.123B,2.538B,125.68M,2.664B,436.76M,436.76M,387.82M,,3.488B,4.611B,1.036B,6.939B,110.44M,4.974B,,,,-60.65M,3.051B
2019-05,96.64M,,96.64M,910.12M,,917.60M,17.81M,28.82M,287.96M,334.59M,103.32M,,784.13M,2.236B,0.0,189.83M,684.70M,2.207B,,67.13M,43.23M,3.192B,-1.762B,1.431B,2.842B,702.33M,3.545B,192.35M,32.58M,5.200B,7.437B,226.02M,0.00,226.02M,310.15M,536.17M,112.50M,199.76M,312.26M,0.00,312.26M,,,,1.128B,2.538B,0.00,2.538B,438.18M,438.18M,330.52M,,3.306B,4.434B,840.33M,6.691B,227.93M,4.718B,,,,-39.15M,3.003B
2019-02,80.86M,,80.86M,878.04M,,920.59M,18.63M,32.52M,288.65M,339.80M,108.97M,,773.53M,2.224B,,,,,,,,,,1.424B,2.848B,713.44M,3.561B,191.82M,32.81M,5.210B,7.434B,214.57M,,214.57M,425.47M,640.04M,217.50M,,217.50M,,217.50M,,,,994.35M,2.537B,,2.537B,439.01M,439.01M,283.86M,,3.260B,4.254B,826.18M,6.465B,197.33M,4.310B,,,,0.412M,3.179B
2018-11,88.48M,,88.48M,904.06M,,940.66M,14.00M,32.42M,275.45M,321.87M,106.61M,,758.25M,2.216B,,,,,,,,,,1.411B,2.845B,723.15M,3.568B,183.55M,26.74M,5.189B,7.405B,211.90M,,211.90M,611.64M,823.54M,173.50M,,173.50M,,173.50M,,,,1.115B,2.536B,,2.536B,435.46M,435.46M,291.28M,,3.263B,4.378B,804.23M,6.262B,166.84M,4.209B,,,,3.865M,3.027B
2018-08,118.36M,,118.36M,838.19M,,845.07M,17.22M,31.84M,254.71M,303.77M,112.47M,,724.71M,2.104B,,,,,,,,,,1.395B,2.850B,732.29M,3.582B,180.26M,25.56M,5.183B,7.287B,214.01M,,214.01M,380.78M,594.79M,,,,,,,,,679.09M,2.536B,,2.536B,424.34M,424.34M,301.94M,,3.262B,3.941B,796.99M,6.240B,140.37M,3.841B,,,,9.861M,3.346B
