,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,3.536B,3.607B,1.631B,1.976B,1.151B,-1.151B,203.00M,306.00M,-306.00M,,798.00M,1.178B,306.00M,-306.00M,-870.00M,-306.00M,2.00M,-110.00M,112.00M,19.00M,,225.00M,16.00M,356.00M,1.177B,989.00M,681.00M,308.00M,0.42,-0.01,,,1.4280000000000002,0.41,0.42,-0.01,,,1.4280000000000002,0.41,833.80M,833.80M,0.94
2020-06,3.47B,3.585B,1.585B,2.00B,531.00M,-531.00M,256.00M,449.00M,-449.00M,,929.00M,1.071B,449.00M,-449.00M,-2.31B,-449.00M,-1.688B,-556.00M,-1.132B,,,-37.00M,16.00M,-1.169B,-812.90M,-501.00M,738.00M,-1.239B,-1.41,,,,-0.9858,-1.41,-1.41,,,,-0.9858,-1.41,839.40M,839.40M,0.94
2020-03,4.323B,4.496B,2.14B,2.356B,768.00M,-768.00M,284.00M,490.00M,-490.00M,,957.00M,1.399B,490.00M,-490.00M,-1.167B,-490.00M,-258.00M,-19.00M,-239.00M,,,-31.00M,16.00M,-270.00M,441.44M,991.00M,759.00M,232.00M,-0.34,,,,0.5088,-0.34,-0.34,,,,0.5088,-0.34,838.20M,838.20M,0.94
2019-12,5.771B,6.066B,2.722B,3.344B,316.00M,-154.00M,342.00M,640.00M,-640.00M,,1.284B,2.06B,640.00M,-640.00M,306.00M,-640.00M,1.726B,190.00M,1.536B,,,-1.00M,9.00M,1.009B,1.672B,3.308B,742.00M,2.366B,1.311,,,,1.4769999999999999,1.311,1.311,,,,1.4769999999999999,1.311,826.50M,826.90M,0.9175
2019-09,3.623B,3.782B,1.805B,1.977B,85.00M,-85.00M,202.00M,370.00M,-370.00M,,788.00M,1.189B,370.00M,-370.00M,44.00M,-370.00M,863.00M,-84.00M,947.00M,38.00M,,-10.00M,7.00M,975.00M,999.05M,1.996B,763.00M,1.233B,1.14,0.05,,,1.216,1.19,1.12,0.05,,,1.196,1.17,813.00M,813.00M,0.9175
2019-06,3.746B,3.97B,2.252B,1.718B,312.00M,-312.00M,284.00M,452.00M,-452.00M,,945.00M,773.00M,452.00M,-452.00M,-220.00M,-452.00M,101.00M,43.00M,58.00M,,,-4.00M,,54.00M,281.76M,1.291B,738.00M,553.00M,0.07,,,,0.3538,0.07,0.05,,,,0.3338,0.05,802.50M,802.60M,0.9175
2019-03,3.631B,3.858B,2.562B,1.296B,835.00M,-835.00M,292.00M,469.00M,-469.00M,,943.00M,353.00M,469.00M,-469.00M,-447.00M,-469.00M,-563.00M,114.00M,-677.00M,,,-3.00M,,-680.00M,-70.45M,640.00M,734.00M,-94.00M,-0.86,,,,-0.0914,-0.86,-0.86,,,,-0.0914,-0.86,793.10M,793.10M,0.9175
2018-12,3.264B,3.361B,1.977B,1.384B,256.00M,124.00M,161.00M,440.00M,-440.00M,,674.00M,710.00M,440.00M,-440.00M,487.00M,-440.00M,757.00M,95.00M,662.00M,,,-21.00M,,641.00M,532.56M,1.771B,574.00M,1.197B,0.9413,,,,0.7769,0.9413,0.9413,,,,0.7773,0.9413,659.60M,661.20M,0.835
2018-09,3.362B,3.451B,1.586B,1.865B,12.00M,-12.00M,177.00M,378.00M,-378.00M,,703.00M,1.162B,378.00M,-378.00M,361.00M,-378.00M,1.145B,262.00M,883.00M,,,-29.00M,,854.00M,863.25M,2.123B,600.00M,1.523B,1.31,,,,1.324,1.31,1.3,,,,1.314,1.3,653.90M,654.90M,0.835
2018-06,2.945B,3.088B,1.583B,1.505B,134.00M,-134.00M,166.00M,361.00M,-361.00M,,629.00M,876.00M,361.00M,-361.00M,51.00M,-361.00M,566.00M,88.00M,478.00M,,,-29.00M,,449.00M,562.17M,1.461B,534.00M,927.00M,0.69,,,,0.8634,0.69,0.69,,,,0.8633,0.69,652.80M,653.10M,0.835
2018-03,3.324B,3.466B,1.893B,1.573B,1.00M,-1.00M,199.00M,314.00M,-314.00M,,697.00M,876.00M,314.00M,-314.00M,99.00M,-314.00M,661.00M,135.00M,526.00M,,,-23.00M,,503.00M,503.80M,1.547B,572.00M,975.00M,0.77,,,,0.7712,0.77,0.77,,,,0.7712,0.77,650.50M,650.50M,0.835
2017-12,3.535B,3.21B,1.756B,1.454B,,,149.00M,300.00M,-300.00M,,633.00M,821.00M,300.00M,-300.00M,99.00M,-300.00M,620.00M,-713.00M,1.333B,,,-21.00M,,1.312B,1.312B,1.473B,553.00M,920.00M,2.247,,,,2.247,2.247,2.247,,,,2.247,2.247,643.80M,643.80M,0.77
2017-09,3.06B,3.179B,1.38B,1.799B,,,162.00M,305.00M,-305.00M,,647.00M,1.152B,305.00M,-305.00M,121.00M,-305.00M,968.00M,272.00M,696.00M,,,-31.00M,,665.00M,665.00M,1.834B,561.00M,1.273B,1.03,,,,1.03,1.03,1.03,,,,1.03,1.03,642.50M,642.50M,0.755
2017-06,2.714B,2.813B,1.425B,1.388B,,,168.00M,308.00M,-308.00M,,635.00M,753.00M,308.00M,-308.00M,108.00M,-308.00M,553.00M,136.00M,417.00M,,,-27.00M,,390.00M,390.00M,1.401B,540.00M,861.00M,0.62,,,,0.62,0.62,0.62,,,,0.62,0.62,629.20M,629.20M,0.755
2017-03,3.277B,3.384B,1.647B,1.737B,,,189.00M,292.00M,-292.00M,,658.00M,1.079B,292.00M,-292.00M,162.00M,-292.00M,949.00M,275.00M,674.00M,,,-42.00M,,632.00M,632.00M,1.789B,548.00M,1.241B,1.01,,,,1.01,1.01,1.01,,,,1.01,1.01,628.10M,628.10M,0.755
2016-12,2.969B,3.086B,1.887B,1.199B,,,148.00M,295.00M,-295.00M,,595.00M,604.00M,295.00M,-295.00M,276.00M,-295.00M,585.00M,94.00M,491.00M,,,-34.00M,,457.00M,457.00M,1.404B,524.00M,880.00M,0.7277,,,,0.7277,0.7277,0.7277,,,,0.7277,0.7277,627.20M,627.20M,0.7
2016-09,3.057B,3.132B,1.442B,1.69B,,,145.00M,250.00M,-250.00M,,545.00M,1.145B,250.00M,-250.00M,63.00M,-250.00M,958.00M,230.00M,728.00M,,,-38.00M,,690.00M,690.00M,1.68B,472.00M,1.208B,1.1,,,,1.1,1.1,1.1,,,,1.1,1.1,625.90M,626.00M,0.7
2016-06,2.502B,2.598B,1.317B,1.281B,,,139.00M,239.00M,-239.00M,,500.00M,781.00M,239.00M,-239.00M,72.00M,-239.00M,614.00M,152.00M,462.00M,,,-10.00M,,452.00M,452.00M,1.282B,429.00M,853.00M,0.73,,,,0.73,0.73,0.73,,,,0.73,0.73,615.60M,617.00M,0.7
2016-03,2.829B,2.921B,1.524B,1.397B,,,164.00M,226.00M,-226.00M,,515.00M,882.00M,226.00M,-226.00M,54.00M,-226.00M,710.00M,179.00M,531.00M,,,-7.00M,,524.00M,524.00M,1.36B,424.00M,936.00M,0.88,,,,0.88,0.88,0.88,,,,0.88,0.88,596.60M,598.20M,0.7
2015-12,2.469B,2.556B,1.441B,1.115B,,,119.00M,230.00M,-230.00M,,477.00M,638.00M,230.00M,-230.00M,69.00M,-230.00M,477.00M,111.00M,366.00M,,,-9.00M,,357.00M,357.00M,1.126B,419.00M,707.00M,0.6,,,,0.6,0.6,0.6,,,,0.6,0.6,595.70M,596.70M,0.6475
