,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,4.554B,4.554B,3.563B,991.00M,539.00M,-265.00M,96.00M,25.00M,-71.00M,,1.064B,-73.00M,25.00M,96.00M,-71.00M,-162.00M,-71.00M,-306.00M,-60.00M,-246.00M,,,2.00M,-244.00M,-30.94M,319.00M,529.00M,-210.00M,-0.96,,,-0.1216,-0.96,-0.96,,,-0.1216,-0.96,254.13M,254.13M,0.0
2020-06,4.502B,4.502B,3.629B,873.00M,539.00M,-72.00M,106.00M,23.00M,-83.00M,,1.031B,-158.00M,23.00M,106.00M,-83.00M,16.00M,-83.00M,-225.00M,-26.00M,-199.00M,,,-6.00M,-205.00M,-141.35M,377.00M,496.00M,-119.00M,-0.81,,,-0.5591,-0.81,-0.81,,,-0.5591,-0.81,253.63M,253.63M,0.0
2020-03,4.815B,4.815B,3.773B,1.042B,536.00M,-3.858B,95.00M,35.00M,-60.00M,,1.062B,-20.00M,35.00M,95.00M,-60.00M,-3.482B,-60.00M,-3.562B,-61.00M,-3.501B,0.00,,6.00M,-3.495B,296.93M,-2.936B,531.00M,-3.467B,-13.79,0.0,,1.165,-13.79,-13.79,0.0,,1.165,-13.79,253.56M,253.56M,0.21
2019-12,5.021B,5.021B,3.827B,1.194B,518.00M,-127.00M,93.00M,33.00M,-60.00M,,997.00M,197.00M,33.00M,93.00M,-60.00M,-10.00M,-60.00M,127.00M,37.00M,90.00M,0.00,,-8.00M,82.00M,172.04M,703.00M,483.00M,220.00M,0.32,0.0,,0.673,0.32,0.32,0.0,,0.6717,0.32,255.09M,256.05M,0.21
2019-09,4.851B,4.851B,3.679B,1.172B,489.00M,-2.287B,104.00M,67.00M,-37.00M,,956.00M,216.00M,67.00M,104.00M,-37.00M,-2.178B,-37.00M,-1.999B,116.00M,-2.115B,,,-4.00M,-2.119B,-449.49M,-1.423B,472.00M,-1.895B,-8.19,,,-1.7369999999999999,-8.19,-8.19,,,-1.7369999999999999,-8.19,258.71M,258.71M,0.21
2019-06,4.89B,4.89B,3.622B,1.268B,507.00M,-142.00M,91.00M,30.00M,-61.00M,,977.00M,291.00M,30.00M,91.00M,-61.00M,-24.00M,-61.00M,206.00M,38.00M,168.00M,,,-5.00M,163.00M,278.87M,771.00M,474.00M,297.00M,0.61,,,1.044,0.61,0.61,,,1.041,0.61,267.00M,268.97M,0.21
2019-03,5.28B,5.28B,3.836B,1.444B,459.00M,-47.00M,85.00M,36.00M,-49.00M,,964.00M,480.00M,36.00M,85.00M,-49.00M,-77.00M,-49.00M,354.00M,83.00M,271.00M,0.00,,3.00M,274.00M,309.98M,948.00M,509.00M,439.00M,1.02,0.0,,1.1540000000000001,1.02,1.01,0.0,,1.1420000000000001,1.01,268.75M,271.62M,0.19
2018-12,5.178B,5.178B,3.725B,1.453B,491.00M,-76.00M,81.00M,27.00M,-54.00M,,999.00M,454.00M,27.00M,81.00M,-54.00M,69.00M,-54.00M,469.00M,3.00M,466.00M,0.00,,-4.00M,462.00M,537.54M,1.062B,512.00M,550.00M,1.68,0.0,,1.954,1.68,1.66,0.0,,1.931,1.66,275.66M,278.99M,0.19
2018-09,5.013B,5.013B,3.518B,1.495B,569.00M,-157.00M,83.00M,33.00M,-50.00M,,1.053B,442.00M,33.00M,83.00M,-50.00M,-60.00M,-50.00M,332.00M,73.00M,259.00M,0.00,,3.00M,262.00M,384.46M,908.00M,493.00M,415.00M,0.93,0.0,,1.365,0.93,0.92,0.0,,1.349,0.92,281.37M,285.78M,0.19
2018-06,5.282B,5.282B,3.867B,1.415B,440.00M,-185.00M,85.00M,32.00M,-53.00M,,911.00M,504.00M,32.00M,85.00M,-53.00M,-91.00M,-53.00M,360.00M,129.00M,231.00M,35.00M,,-7.00M,259.00M,342.77M,954.00M,509.00M,445.00M,0.79,0.12,,1.208,0.91,0.78,0.12,,1.1909999999999998,0.9,284.44M,289.30M,0.19
