,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,-42.47M,70.98M,279.11M,350.09M,,823.05M,-33.31M,78.99M,33.81M,,13.60M,-260.83M,7.439M,35.73M,161.88M,51.66M,-6.091M,-10.21M,1.214B,-486.14M,,-486.14M,,151.67M,-334.47M,-4.864M,,-4.864M,,-9.764M,-9.764M,,,-217.14M,-217.14M,0.00,0.00,-231.77M,2.417B,647.31M,1.745M,3.066B,,0.00,-4.864M,-9.764M,,
2020-06,-909.38M,-13.23M,765.75M,752.52M,,706.68M,-252.47M,305.42M,39.57M,,8.708M,469.29M,-18.10M,-1.625B,194.68M,1.675M,414.24M,-562.97M,88.07M,-448.57M,,-448.57M,,-396.67M,-845.24M,479.03M,,479.03M,,-0.402M,-0.402M,,,-217.04M,-217.04M,8.548M,-2.635M,267.50M,2.907B,-489.67M,-0.68M,2.417B,,1.484B,-1.005B,-0.402M,,
2020-03,9.813M,-16.46M,-1.121B,-1.138B,,1.000B,44.77M,1.573B,40.07M,,-8.798M,722.16M,102.67M,378.95M,58.30M,-66.08M,-132.08M,1.064B,2.585B,-1.689B,,-1.689B,,157.88M,-1.531B,-3.621M,,-3.621M,,-4.655M,-4.655M,,,-167.06M,-167.06M,0.066M,,-175.27M,2.028B,878.71M,0.173M,2.907B,,,-3.621M,-4.655M,,
2019-12,636.52M,-119.96M,153.87M,33.90M,,959.21M,123.08M,228.14M,42.42M,,0.088M,-85.94M,34.69M,-13.64M,-36.57M,-38.30M,-76.38M,-216.15M,1.807B,-1.368B,,-1.368B,,171.27M,-1.197B,-3.261M,,-3.261M,,-2.914M,-2.914M,,,-167.35M,-167.35M,8.388M,0.00,-165.14M,1.583B,445.04M,-0.174M,2.028B,,,-3.261M,-2.914M,,
2019-09,615.12M,0.523M,22.52M,23.04M,,953.60M,184.28M,105.28M,54.67M,,22.43M,63.89M,66.86M,42.17M,-92.81M,39.79M,-16.64M,103.25M,2.062B,-1.491B,,-1.491B,,34.39M,-1.456B,-3.235M,,-3.235M,,-13.84M,-13.84M,,,-166.17M,-166.17M,0.863M,-0.092M,-182.47M,1.160B,422.73M,-0.109M,1.583B,,0.00,-3.235M,-13.84M,,
2019-06,847.84M,-8.009M,-166.86M,-174.86M,,957.30M,217.97M,112.13M,38.57M,,6.919M,239.25M,7.72M,-128.95M,494.32M,-4.014M,72.35M,680.68M,2.687B,-1.563B,,-1.563B,,-69.73M,-1.633B,-903.21M,,-903.21M,,-2.155M,-2.155M,,,-127.14M,-127.14M,8.292M,-4.924M,-1.029B,1.136B,24.73M,-0.059M,1.160B,,0.00,-903.21M,-2.155M,,
2019-03,635.43M,3.836M,41.43M,45.26M,,879.60M,106.32M,72.36M,39.09M,,4.022M,-309.00M,-18.98M,309.08M,-6.935M,-54.09M,-94.38M,-174.30M,1.608B,-2.000B,,-2.000B,,109.43M,-1.891B,-3.19M,,-3.19M,,-6.248M,-6.248M,,,-127.55M,-127.55M,0.403M,,-136.58M,1.556B,-419.82M,-0.006M,1.136B,,,-3.19M,-6.248M,,
2018-12,892.77M,-79.90M,-210.77M,-290.68M,,919.96M,212.45M,186.09M,39.05M,,-6.647M,185.35M,-108.59M,-153.75M,-22.10M,25.72M,205.60M,132.23M,2.085B,-1.302B,,-1.302B,,10.26M,-1.292B,-353.17M,,-353.17M,,-4.898M,-4.898M,,,-126.97M,-126.97M,8.462M,0.00,-476.57M,1.274B,316.76M,-35.26M,1.556B,,,-353.17M,-4.898M,,
2018-09,1.191B,-115.94M,-39.81M,-155.76M,,918.18M,334.12M,44.62M,49.00M,,4.078M,-243.78M,-94.60M,22.12M,-40.49M,38.39M,122.76M,-195.59M,2.190B,-1.649B,,-1.649B,,-139.48M,-1.789B,-1.698M,,-1.698M,,-26.54M,-26.54M,,,-107.46M,-107.46M,0.953M,0.028M,-134.72M,1.008B,266.23M,-0.313M,1.274B,,,-1.698M,-26.54M,,
2018-06,696.73M,6.317M,119.51M,125.83M,,848.67M,176.22M,51.71M,31.80M,,16.61M,-200.10M,-85.42M,402.91M,-53.98M,-24.11M,-45.27M,-5.967M,1.942B,-1.684B,,-1.684B,,50.74M,-1.633B,-1.683M,,-1.683M,,-15.25M,-15.25M,,,-106.58M,-106.58M,9.692M,-0.028M,-113.85M,816.09M,194.58M,-2.455M,1.008B,,,-1.683M,-15.25M,,
