,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.302B,2.302B,1.165B,1.137B,521.35M,124.46M,645.81M,-149.97M,126.81M,53.24M,-53.24M,212.97M,985.60M,151.23M,53.24M,-53.24M,-150.54M,-53.24M,-52.56M,-10.09M,-42.47M,,,-42.47M,82.23M,823.74M,823.05M,0.687M,-0.07,,,0.1453,-0.07,-0.07,,,0.1453,-0.07,579.06M,579.06M,0.375
2020-06,1.213B,1.213B,1.049B,164.23M,444.44M,131.86M,576.30M,-292.18M,80.32M,54.21M,-54.21M,175.61M,832.23M,-668.00M,54.21M,-54.21M,-423.04M,-54.21M,-1.145B,-235.88M,-909.38M,,,-909.38M,-578.73M,-384.37M,706.68M,-1.091B,-1.57,,,-0.9987,-1.57,-1.57,,,-0.9987,-1.57,578.72M,578.72M,0.375
2020-03,3.474B,3.474B,1.458B,2.016B,1.109B,114.27M,1.223B,-1.556B,157.36M,44.69M,-44.69M,227.33M,1.608B,408.29M,44.69M,-44.69M,-332.59M,-44.69M,31.00M,21.19M,9.813M,,,9.813M,265.83M,1.076B,1.000B,75.69M,0.02,,,0.4626,0.02,0.02,,,0.4612,0.02,578.46M,580.28M,0.2875
2019-12,4.228B,4.228B,1.421B,2.806B,1.237B,125.19M,1.362B,-108.17M,199.75M,40.70M,-40.70M,209.92M,1.772B,1.034B,40.70M,-40.70M,-162.37M,-40.70M,831.21M,194.69M,636.52M,,,636.52M,767.10M,1.831B,959.21M,871.90M,1.1,,,1.3259999999999998,1.1,1.1,,,1.325,1.1,578.19M,579.54M,0.2875
2019-09,4.188B,4.188B,1.430B,2.758B,1.343B,135.76M,1.479B,-105.80M,203.10M,39.62M,-39.62M,227.77M,1.910B,847.86M,39.62M,-39.62M,-10.78M,-39.62M,797.46M,182.34M,615.12M,,,615.12M,630.44M,1.791B,953.60M,837.08M,1.06,,,1.087,1.06,1.06,,,1.0859999999999999,1.06,577.84M,581.27M,0.2875
2019-06,4.487B,4.487B,1.417B,3.069B,1.501B,121.78M,1.623B,-104.12M,204.41M,49.91M,-49.91M,184.59M,2.012B,1.058B,49.91M,-49.91M,81.68M,-49.91M,1.089B,241.52M,847.84M,,,847.84M,790.76M,2.097B,957.30M,1.139B,1.47,,,1.371,1.47,1.46,,,1.3619999999999999,1.46,577.46M,580.25M,0.22
2019-03,4.040B,4.040B,1.327B,2.712B,1.270B,106.67M,1.377B,-76.19M,192.91M,54.91M,-54.91M,169.55M,1.739B,973.30M,54.91M,-54.91M,-91.16M,-54.91M,827.24M,191.81M,635.43M,,,635.43M,709.94M,1.762B,879.60M,882.14M,1.1,,,1.229,1.1,1.1,,,1.228,1.1,577.21M,580.22M,0.22
2018-12,4.370B,4.370B,1.379B,2.991B,1.349B,116.90M,1.466B,-106.18M,190.09M,56.02M,-56.02M,237.25M,1.894B,1.097B,56.02M,-56.02M,47.13M,-56.02M,1.088B,195.57M,892.77M,,,892.77M,871.51M,2.064B,919.96M,1.144B,1.55,,,1.5130000000000001,1.55,1.54,,,1.5030000000000001,1.54,577.02M,580.44M,0.22
2018-09,4.682B,4.682B,1.354B,3.328B,1.327B,111.28M,1.438B,71.33M,209.04M,63.63M,-63.63M,193.13M,1.840B,1.487B,63.63M,-63.63M,22.55M,-63.63M,1.446B,255.41M,1.191B,,,1.191B,1.175B,2.428B,918.18M,1.510B,2.06,,,2.033,2.06,2.05,,,2.023,2.05,577.25M,581.56M,0.185
2018-06,4.401B,4.401B,1.272B,3.129B,1.420B,104.08M,1.525B,-58.02M,194.27M,63.44M,-63.44M,201.06M,1.920B,1.209B,63.44M,-63.44M,-252.46M,-63.44M,892.94M,196.20M,696.73M,,,696.73M,886.98M,1.805B,848.67M,956.38M,1.21,,,1.54,1.21,1.2,,,1.528,1.2,576.14M,580.38M,0.185
