,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,95.36M,,,5.924M,0.246M,6.17M,203.50M,,203.50M,203.50M,,1.586M,,4.80M,3.364M,,46.54M,31.22M,7.137M,-0.451M,84.46M,399.24M,-34.61M,,-3.754M,,-1.038M,0.00,,-148.89M,-27.98M,0.00,-27.98M,,,,,,,-224.24M,-0.773M,-225.01M,1.301M,-8.97M,-260.67M,245.53M,-10.32M,235.21M,,10.23M,-38.22M,,-0.428M,75.54M
2020-06,271.48M,,,-138.50M,1.042M,-137.46M,208.86M,,208.86M,208.86M,,1.651M,,5.631M,3.371M,,-54.96M,-43.04M,-2.328M,-0.578M,-100.90M,252.64M,-33.94M,,-11.02M,,-0.168M,-0.508M,,299.34M,401.64M,-612.65M,-211.02M,,,,,,,-224.19M,-0.772M,-224.96M,1.661M,-12.90M,-447.21M,140.77M,104.76M,245.53M,,6.465B,-6.676B,,0.162M,72.60M
2020-03,332.67M,,,-202.32M,1.157M,-201.16M,215.43M,,215.43M,215.43M,,1.627M,,7.844M,5.104M,,61.65M,-18.39M,-21.80M,-0.621M,20.84M,382.45M,-42.86M,,-4.516M,,-5.458M,-0.001M,,266.01M,-1.863M,-405.18M,-407.04M,,,,,,,-211.24M,-0.773M,-212.01M,12.02M,-17.65M,-624.69M,117.00M,23.77M,140.77M,,2.626B,-3.033B,,0.266M,75.56M
2019-12,301.31M,,,-171.68M,0.961M,-160.45M,216.68M,,216.68M,216.68M,,1.431M,,3.672M,4.344M,,-59.60M,27.15M,28.62M,-0.485M,-4.313M,362.80M,-52.90M,,-2.816M,,-0.531M,0.00,,-113.64M,-656.60M,663.45M,6.851M,,,,,,,-210.72M,-0.772M,-211.49M,11.51M,-23.63M,-216.76M,84.60M,32.40M,117.00M,,2.764B,-2.757B,,-0.333M,95.64M
2019-09,277.85M,,,-126.71M,1.152M,-122.18M,214.49M,,214.49M,214.49M,,1.111M,,3.995M,-4.795M,,44.98M,-22.48M,10.95M,-0.613M,32.84M,403.41M,-47.48M,,-0.673M,,-0.501M,0.00,,-289.02M,-482.21M,354.38M,-127.83M,,,,,,,-210.45M,-1.545M,-211.99M,19.25M,-18.68M,-339.25M,309.47M,-224.87M,84.60M,,10.02B,-10.15B,,0.164M,75.29M
2019-06,321.30M,,,-134.53M,-68.76M,-203.29M,203.44M,,203.44M,203.44M,,1.539M,,6.976M,20.01M,,-51.22M,15.94M,1.473M,-0.617M,-34.43M,317.23M,-47.96M,,-0.448M,,-2.291M,-0.018M,,-22.12M,507.99M,-344.84M,163.14M,,,,,,,-210.19M,-0.773M,-210.97M,19.15M,-50.48M,-79.15M,93.51M,215.96M,309.47M,,4.395B,-4.232B,,0.223M,96.34M
2019-03,109.26M,,,4.41M,0.707M,5.117M,208.24M,,208.24M,208.24M,,1.448M,,9.806M,3.536M,,75.20M,-14.32M,-24.86M,-0.554M,35.45M,373.54M,-35.04M,,-1.018M,,-6.281M,-0.251M,,-347.04M,286.50M,-154.34M,132.16M,,,,,,,-199.75M,0.00,-199.75M,30.99M,-12.72M,-49.32M,116.31M,-22.81M,93.51M,,6.269B,-6.137B,,0.531M,74.78M
2018-12,122.39M,,,4.629M,0.674M,5.303M,201.86M,,201.86M,201.86M,,1.325M,,4.862M,4.775M,,-67.13M,22.65M,15.47M,,-29.01M,312.10M,-51.73M,,-1.35M,,-1.711M,0.00,,-108.01M,-5.472M,-0.184M,-5.656M,,,,,,,-198.94M,-1.545M,-200.48M,25.46M,4.152M,-176.53M,88.75M,27.56M,116.31M,,7.073B,-7.078B,,-0.081M,89.19M
2018-09,223.85M,,,-110.08M,0.985M,-109.10M,194.62M,,194.62M,194.62M,,1.761M,,5.238M,22.47M,,39.15M,-18.97M,-0.982M,,19.20M,358.74M,-53.14M,,-1.01M,,-1.761M,0.00,,-184.64M,-123.96M,153.56M,29.60M,,,,,,,-198.87M,-0.773M,-199.64M,4.276M,-8.449M,-174.22M,88.88M,-0.127M,88.75M,,6.079B,-6.049B,,0.29M,80.05M
2018-06,118.41M,,,3.57M,1.031M,4.601M,192.94M,,192.94M,192.94M,,1.135M,,6.754M,4.928M,,-30.01M,15.81M,9.293M,,-4.907M,324.44M,-50.19M,,-0.954M,,-0.30M,0.00,,-231.47M,-1.553M,111.49M,109.94M,,,,,,,-198.83M,-0.772M,-199.60M,1.517M,-10.65M,-98.80M,94.71M,-5.834M,88.88M,,3.658B,-3.549B,,0.182M,92.51M
2018-03,220.55M,,,-137.42M,0.977M,-114.34M,196.31M,,196.31M,196.31M,,0.931M,,10.28M,6.309M,,60.72M,-15.40M,-4.953M,,40.37M,361.02M,-37.94M,,-1.191M,,-2.799M,0.00,,147.30M,-230.35M,-65.44M,-295.79M,,,,,,,-185.48M,-0.773M,-186.26M,3.281M,-35.60M,-514.37M,100.76M,-6.051M,94.71M,,2.020B,-2.315B,,0.462M,96.40M
2017-12,130.08M,,,-10.46M,1.217M,-9.239M,200.78M,,200.78M,200.78M,,2.47M,,4.998M,4.696M,,-65.88M,22.58M,4.561M,,-38.74M,295.65M,-60.08M,,-0.73M,,-0.71M,,,-78.52M,-105.83M,69.91M,-35.92M,,,,,,,-185.11M,-0.773M,-185.88M,19.41M,-8.156M,-210.54M,94.18M,6.586M,100.76M,,1.175B,-1.211B,,-0.324M,102.47M
2017-09,144.20M,,,-12.56M,0.398M,-12.17M,184.10M,,184.10M,184.10M,,0.783M,,4.972M,3.703M,,62.12M,16.82M,5.808M,,84.75M,411.02M,-54.08M,,-0.122M,,-2.836M,,,-471.17M,567.67M,-534.52M,33.15M,,,,,,,-185.02M,0.00,-185.02M,5.676M,-12.59M,-158.79M,313.11M,-218.94M,94.18M,,2.928B,-2.895B,,0.34M,60.47M
2017-06,204.16M,,,-83.04M,0.682M,-81.80M,179.90M,,179.90M,179.90M,,0.831M,,7.154M,3.209M,,-43.53M,-28.79M,13.37M,,-58.94M,255.21M,-50.36M,,-0.365M,,-0.784M,,,28.04M,-417.73M,449.68M,31.94M,,,,,,,-184.94M,-0.773M,-185.72M,5.538M,-8.122M,-156.35M,186.22M,126.89M,313.11M,,2.191B,-2.159B,,0.156M,110.67M
2017-03,149.94M,,,-51.32M,1.073M,-38.55M,178.97M,,178.97M,178.97M,,0.715M,,7.873M,4.282M,,55.91M,-11.06M,-44.82M,,0.026M,303.90M,-39.59M,,-0.289M,,-1.704M,,,-72.64M,-353.74M,294.69M,-59.05M,,,,,,,-184.30M,-1.545M,-185.85M,4.716M,-23.95M,-264.13M,219.09M,-32.86M,186.22M,,1.310B,-1.369B,,0.468M,86.67M
2016-12,302.38M,,,-168.58M,1.045M,-52.87M,177.41M,,177.41M,177.41M,,0.713M,,4.99M,3.835M,,-55.93M,26.90M,-3.109M,-10.21M,-42.35M,394.80M,-48.89M,,-1.264M,,-1.44M,0.00,83.69M,151.78M,476.77M,20.41M,497.18M,,,,,,,-1.281B,0.00,-1.281B,9.802M,-184.01M,-957.92M,517.59M,-411.34M,219.09M,,1.112B,-614.94M,,0.161M,98.78M
2016-09,217.46M,,,-93.00M,-7.75M,-100.75M,179.23M,,179.23M,179.23M,,0.816M,,4.811M,3.801M,,44.80M,-25.70M,17.15M,1.933M,38.19M,344.24M,-51.31M,,-1.208M,,-1.997M,4.287M,-52.92M,-119.84M,-10.49M,0.00,-10.49M,,,,,,,-184.13M,-0.773M,-184.91M,1.553M,-10.82M,-204.66M,497.84M,19.74M,517.59M,,0.00,-10.49M,,0.167M,69.89M
2016-06,228.40M,,,-107.69M,0.80M,-106.89M,176.13M,,176.13M,176.13M,,1.115M,,10.76M,3.755M,,-36.36M,12.77M,-17.73M,0.913M,-40.40M,273.69M,-42.60M,,-2.054M,,-0.929M,67.10M,162.57M,120.77M,-76.43M,0.00,-76.43M,,,,,,,-184.05M,-0.772M,-184.82M,6.495M,-9.912M,-264.67M,368.05M,129.79M,497.84M,,0.00,-76.43M,,0.642M,93.10M
2016-03,3.732B,,,-3.707B,1.104M,-3.706B,172.88M,,172.88M,172.88M,,1.448M,,9.967M,-13.32M,,17.15M,17.18M,-37.69M,7.368M,3.997M,201.38M,-35.11M,,-1.205M,,-0.90M,1.43M,-193.34M,5.751B,-1.985B,-387.69M,-2.372B,,,,,,,-3.123B,-0.773M,-3.123B,21.67M,-152.59M,-5.627B,42.28M,325.77M,368.05M,,1.571B,-3.943B,,0.524M,220.38M
2015-12,213.72M,14.39M,,-34.99M,-15.02M,-35.63M,181.03M,,181.03M,181.03M,,0.556M,,5.338M,1.064M,,-65.91M,-16.38M,7.797M,0.512M,-73.98M,293.28M,-49.28M,,-1.607M,,-0.021M,2.148M,62.84M,-285.10M,-183.79M,357.93M,174.13M,,,,,-3.597M,-3.597M,-201.18M,-0.80M,-201.98M,23.49M,-2.865M,-10.82M,37.37M,-2.639M,155.12M,,1.641B,-1.467B,-3.597M,0.212M,108.35M
2015-09,205.46M,-14.39M,,-59.20M,15.43M,-58.16M,196.06M,,196.06M,196.06M,,0.671M,,5.252M,1.343M,,39.99M,-20.88M,17.04M,0.158M,36.31M,388.30M,-52.90M,,-0.429M,,-18.21M,0.00,-31.37M,-205.16M,-58.21M,29.92M,-28.28M,,,,,0.00,0.00,-201.13M,-0.833M,-201.96M,3.829M,-11.46M,-237.88M,92.11M,-54.74M,37.37M,,240.92M,-269.21M,0.00,0.157M,109.44M
2015-06,298.62M,,,-144.62M,-12.47M,-157.08M,194.28M,,194.28M,194.28M,,1.158M,,10.41M,1.523M,,-20.64M,-0.316M,-1.972M,-0.504M,-23.43M,327.15M,-45.28M,,-1.486M,,-2.376M,0.387M,100.37M,-26.33M,443.95M,-471.20M,-27.26M,,,,,0.00,0.00,-201.03M,-0.833M,-201.87M,2.454M,-31.46M,-258.13M,49.42M,42.69M,92.11M,,3.414B,-3.441B,0.00,0.177M,105.85M
2015-03,190.22M,,,-75.72M,-2.963M,-78.68M,194.52M,,194.52M,194.52M,,0.493M,,13.61M,-0.316M,,40.58M,-4.237M,-8.646M,-0.166M,27.53M,347.90M,-38.64M,,-0.469M,,-2.41M,0.00,-131.85M,-179.22M,-124.07M,137.63M,13.56M,,,,,-12.61M,-12.61M,-181.41M,-0.891M,-182.30M,34.14M,-12.12M,-159.34M,40.08M,9.338M,49.42M,,3.152B,-3.139B,-12.61M,0.718M,113.11M
