,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.344B,2.344B,1.138B,1.205B,244.45M,57.52M,11.80M,197.11M,134.07M,1.50M,-132.57M,145.05M,644.13M,561.23M,1.50M,134.07M,-132.57M,27.70M,-132.57M,456.38M,108.24M,348.14M,,,-1.88M,,346.26M,336.50M,892.42M,301.97M,590.45M,1.01,,,0.9815,1.01,1.01,,,0.9816,1.01,343.08M,343.77M,0.0
2020-06,1.952B,1.953B,962.19M,990.91M,240.52M,23.40M,10.80M,178.02M,134.28M,1.00M,-133.28M,115.35M,557.29M,433.63M,1.00M,134.28M,-133.28M,29.20M,-133.28M,329.61M,75.50M,254.11M,,,-1.88M,,252.23M,242.52M,727.81M,263.91M,463.90M,0.75,,,0.7213,0.75,0.75,,,0.7213,0.75,337.95M,338.56M,0.5675
2020-03,2.374B,2.374B,1.219B,1.155B,236.21M,49.78M,,181.59M,134.72M,,-134.72M,148.39M,615.97M,539.12M,,134.72M,-134.72M,24.10M,-134.72M,428.51M,91.88M,336.63M,,,-1.88M,,334.75M,334.75M,849.21M,285.99M,563.22M,1.01,,,1.01,1.01,1.01,,,1.01,1.01,331.10M,332.94M,0.5675
2019-12,2.027B,2.050B,1.083B,967.84M,228.65M,11.62M,-34.70M,173.40M,133.54M,,-144.34M,118.58M,532.25M,435.60M,,133.54M,-144.34M,39.78M,-144.34M,330.98M,79.06M,251.92M,,,-1.88M,,250.04M,276.45M,704.79M,240.27M,464.52M,0.77,,,0.8514,0.77,0.76,,,0.8408,0.76,324.34M,327.05M,0.535
2019-09,2.176B,2.176B,1.061B,1.114B,222.60M,73.85M,10.50M,171.96M,135.22M,2.90M,-132.32M,136.83M,605.25M,509.24M,2.90M,135.22M,-132.32M,24.10M,-132.32M,400.99M,80.23M,320.76M,,,-1.88M,,318.88M,312.72M,832.66M,296.45M,536.21M,0.98,,,0.961,0.98,0.98,,,0.9611,0.98,324.04M,326.01M,0.535
2019-06,1.878B,1.884B,948.91M,935.59M,219.08M,38.94M,-239.64M,181.08M,132.70M,,-132.70M,105.84M,544.95M,390.64M,,132.70M,-132.70M,-193.78M,-132.70M,64.15M,30.82M,33.33M,,,-1.88M,,31.45M,206.39M,454.88M,258.03M,196.85M,0.1,,,0.6473,0.1,0.1,,,0.646,0.1,319.66M,320.39M,0.535
2019-03,2.416B,2.416B,1.310B,1.105B,214.95M,70.96M,,184.59M,131.73M,,-131.73M,140.12M,610.61M,494.70M,,131.73M,-131.73M,30.98M,-131.73M,393.95M,83.39M,310.56M,,,-1.88M,,308.68M,308.68M,811.59M,285.91M,525.68M,0.97,,,0.97,0.97,0.97,,,0.97,0.97,317.62M,318.32M,0.535
2018-12,2.013B,2.035B,1.060B,974.61M,207.85M,77.92M,0.00,182.60M,126.07M,,-126.07M,106.22M,574.59M,400.02M,,126.07M,-126.07M,27.71M,-126.07M,301.66M,68.48M,233.19M,,,-1.88M,,231.31M,231.31M,713.50M,285.77M,427.73M,0.73,,,0.73,0.73,0.73,,,0.73,0.73,317.38M,318.13M,0.505
2018-09,2.271B,2.271B,1.187B,1.085B,208.67M,92.71M,0.00,187.29M,125.20M,,-125.20M,129.96M,618.64M,466.02M,,125.20M,-125.20M,16.72M,-125.20M,357.54M,66.28M,291.26M,,,-1.88M,,289.38M,289.38M,784.12M,301.38M,482.74M,0.91,,,0.91,0.91,0.91,,,0.91,0.91,317.36M,317.97M,0.505
2018-06,1.854B,1.854B,947.77M,906.08M,199.14M,36.20M,0.00,177.43M,126.40M,,-126.40M,101.96M,514.73M,391.35M,,126.40M,-126.40M,50.15M,-126.40M,315.10M,70.45M,244.65M,,,-1.88M,,242.77M,242.77M,676.85M,235.34M,441.50M,0.76,,,0.76,0.76,0.76,,,0.76,0.76,317.34M,317.89M,0.505
