,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,937.00M,,937.00M,2.323B,,2.323B,1.362B,,9.403B,14.02B,,,,,,,,1.63B,35.91B,15.65B,51.56B,2.772B,647.00M,1.741B,58.35B,72.37B,373.00M,93.00M,,466.00M,1.512B,1.978B,121.00M,,121.00M,244.00M,365.00M,1.14B,1.14B,9.403B,13.26B,20.41B,482.00M,20.89B,4.532B,170.00M,4.702B,737.00M,260.00M,824.00M,26.68B,39.94B,8.00M,13.14B,23.77B,4.397B,-831.00M,31.69B
2020-06,869.00M,,869.00M,2.512B,,2.512B,1.114B,,12.99B,17.48B,,,,,,,,1.688B,36.09B,16.64B,52.72B,2.763B,606.00M,1.83B,59.61B,77.09B,400.00M,89.00M,,489.00M,1.472B,1.961B,149.00M,,149.00M,210.00M,359.00M,1.157B,1.157B,12.99B,16.76B,21.02B,492.00M,21.52B,4.481B,159.00M,4.64B,1.445B,258.00M,892.00M,27.30B,44.06B,8.00M,12.88B,23.77B,4.429B,-644.00M,31.58B
2020-03,896.00M,,896.00M,2.582B,,2.582B,1.055B,,8.40B,12.93B,,,,,,,,1.708B,35.70B,17.00B,52.70B,2.814B,566.00M,1.878B,59.66B,72.60B,370.00M,115.00M,,485.00M,1.472B,1.957B,157.00M,,157.00M,181.00M,338.00M,1.17B,1.17B,8.40B,12.12B,21.18B,454.00M,21.63B,4.227B,154.00M,4.381B,1.444B,259.00M,922.00M,27.19B,39.31B,8.00M,12.88B,23.69B,3.922B,-811.00M,31.84B
2019-12,893.00M,,893.00M,2.782B,,2.782B,1.503B,,11.87B,17.05B,0.0,61.00M,540.00M,2.059B,,2.66B,-1.054B,1.606B,36.04B,17.64B,53.68B,2.72B,533.00M,1.954B,60.49B,77.54B,392.00M,137.00M,,529.00M,1.523B,2.052B,150.00M,,150.00M,137.00M,287.00M,1.142B,1.142B,11.87B,15.73B,21.36B,247.00M,21.61B,4.247B,155.00M,4.402B,1.616B,262.00M,941.00M,27.22B,42.94B,8.00M,12.53B,23.74B,3.118B,-180.00M,32.98B
2019-09,1.028B,,1.028B,2.653B,,2.653B,1.33B,,12.98B,17.99B,,,,,,,,1.639B,35.52B,17.74B,53.25B,2.618B,481.00M,1.881B,59.87B,77.86B,402.00M,,,402.00M,1.564B,1.966B,248.00M,,248.00M,120.00M,368.00M,1.037B,1.037B,12.98B,16.66B,21.92B,203.00M,22.12B,4.11B,129.00M,4.239B,1.091B,92.00M,989.00M,27.44B,44.10B,8.00M,12.28B,23.67B,2.909B,-379.00M,32.67B
2019-06,8.441B,,8.441B,989.00M,,989.00M,779.00M,,,10.21B,,,,,,,,418.00M,5.702B,2.102B,7.804B,,445.00M,764.00M,9.431B,19.64B,107.00M,,491.00M,598.00M,283.00M,881.00M,,9.00M,9.00M,74.00M,83.00M,957.00M,957.00M,,2.054B,13.75B,,13.75B,713.00M,106.00M,819.00M,,,474.00M,15.04B,17.09B,8.00M,12.08B,1.056B,10.41B,-193.00M,2.546B
2019-03,452.00M,,452.00M,1.044B,,1.044B,779.00M,,,2.275B,,,,,,,,409.00M,5.703B,2.117B,7.82B,,435.00M,737.00M,9.401B,11.68B,98.00M,,498.00M,596.00M,349.00M,945.00M,,7.00M,7.00M,78.00M,85.00M,978.00M,978.00M,,2.12B,5.868B,,5.868B,745.00M,103.00M,848.00M,,,446.00M,7.162B,9.282B,8.00M,11.86B,1.034B,10.42B,-85.00M,2.394B
2018-12,415.00M,,415.00M,1.049B,,1.049B,274.00M,,486.00M,2.224B,0.0,10.00M,256.00M,961.00M,,1.227B,-829.00M,398.00M,5.702B,2.143B,7.845B,65.00M,419.00M,311.00M,9.038B,11.26B,127.00M,18.00M,,145.00M,238.00M,383.00M,0.00,,0.00,4.00M,4.00M,944.00M,944.00M,480.00M,2.01B,5.95B,5.00M,5.955B,745.00M,89.00M,834.00M,0.00,0.00,170.00M,6.959B,8.969B,8.00M,11.64B,1.057B,10.34B,-67.00M,2.293B
2018-09,673.00M,,673.00M,949.00M,,949.00M,716.00M,,,2.338B,,,,,,,,385.00M,5.45B,1.802B,7.252B,,410.00M,363.00M,8.41B,10.75B,97.00M,,499.00M,596.00M,266.00M,862.00M,,,452.00M,,452.00M,840.00M,840.00M,,2.32B,4.823B,,4.823B,715.00M,75.00M,790.00M,,,154.00M,5.767B,8.087B,8.00M,11.35B,1.045B,9.662B,-79.00M,2.661B
2018-06,348.00M,,348.00M,932.00M,,932.00M,524.00M,,,1.804B,,,,,,,,374.00M,5.456B,1.833B,7.289B,,398.00M,353.00M,8.414B,10.22B,95.00M,,302.00M,397.00M,242.00M,639.00M,,,1.00M,,1.00M,873.00M,873.00M,,1.655B,4.805B,,4.805B,692.00M,71.00M,763.00M,,,145.00M,5.713B,7.368B,8.00M,11.12B,1.023B,9.237B,-66.00M,2.85B
