,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,23.34M,0.00,5.65M,1.06M,6.81M,125.28M,125.28M,-31.25M,-62.85M,7.932M,,-40.77M,53.00M,105.40M,4.699M,-109.86M,,,,53.25M,81.75M,-83.27M,,-83.27M,-0.038M,,1.325M,-81.98M,700.62M,700.62M,,-2.107M,-2.107M,-57.17M,-57.17M,,-22.61M,618.73M,902.51M,618.49M,3.89M,1.525B,,800.42M,-99.81M,-2.107M,47.53M,19.32M
2020-06,-150.41M,-33.83M,32.26M,-0.134M,-1.749M,130.18M,130.18M,34.70M,167.00M,7.959M,,-30.62M,-92.09M,49.70M,2.963M,1.566M,,,,-37.86M,119.20M,-45.99M,,-45.99M,-0.055M,,0.47M,-45.57M,-15.93M,-15.93M,,-0.181M,-0.181M,-57.18M,-57.18M,,-10.77M,-84.06M,909.13M,-10.43M,3.813M,902.51M,,56.00M,-71.93M,-0.181M,3.537M,37.30M
2020-03,-293.29M,,-41.64M,-1.164M,-17.20M,140.58M,140.58M,-150.73M,560.46M,6.33M,,9.337M,300.72M,-50.47M,6.741M,-322.39M,,,,-65.39M,190.10M,-83.75M,,-83.75M,-2.345M,,,-86.09M,22.09M,22.09M,,-1.062M,-1.062M,-57.25M,-57.25M,,-35.24M,-71.46M,885.16M,32.55M,-8.583M,909.13M,,612.00M,-589.91M,-1.062M,1.201M,26.71M
2019-12,81.07M,,17.01M,-0.493M,16.36M,134.58M,134.58M,-24.29M,30.71M,11.63M,,-181.27M,-14.98M,139.01M,-14.08M,-41.53M,,,,68.42M,137.21M,-98.71M,,-98.51M,-17.89M,,0.248M,-116.15M,29.61M,29.61M,,-61.11M,-61.11M,-57.16M,-57.16M,,-30.26M,-118.92M,981.86M,-97.86M,1.167M,885.16M,,96.00M,-66.39M,-61.11M,15.74M,39.88M
2019-09,297.98M,0.00,-11.57M,0.28M,-11.16M,127.02M,127.02M,44.77M,34.06M,9.073M,,-57.32M,-3.954M,-40.70M,3.69M,38.40M,,,,-2.563M,441.85M,-74.59M,,-74.59M,0.00,,0.133M,-74.46M,-6.375M,-6.375M,,-204.98M,-204.98M,-54.50M,-54.50M,,-33.62M,-299.47M,914.64M,67.93M,-0.714M,981.86M,,94.50M,-100.88M,-204.98M,24.64M,26.31M
2019-06,216.82M,0.00,10.54M,0.111M,10.74M,126.91M,126.91M,25.97M,200.51M,12.19M,,-23.35M,217.26M,-10.68M,7.477M,-31.12M,,,,182.95M,752.73M,-56.73M,,-56.73M,0.72M,,0.43M,-55.58M,-0.875M,-0.875M,,-189.17M,-189.17M,-56.66M,-56.66M,,-33.03M,-279.74M,496.14M,417.41M,1.091M,914.64M,,71.00M,-71.88M,-189.17M,135.90M,40.88M
2019-03,276.49M,,20.91M,-0.111M,20.79M,121.42M,121.42M,32.22M,-232.35M,9.374M,,-75.08M,-316.40M,3.967M,6.543M,369.84M,,,,63.95M,216.82M,-63.74M,,-63.74M,-663.38M,,0.395M,-726.72M,18.59M,18.59M,,-77.82M,-77.82M,-56.85M,-56.85M,,-34.05M,-150.13M,1.155B,-660.04M,1.424M,496.14M,,104.00M,-85.41M,-77.82M,2.686M,26.74M
2018-12,163.32M,,-28.51M,-0.612M,-26.90M,113.72M,113.72M,-25.24M,329.23M,16.08M,,-91.44M,152.52M,170.41M,3.749M,-380.91M,,,,-54.24M,424.52M,-101.95M,,-98.85M,-0.091M,,-2.411M,-101.35M,34.55M,34.55M,-0.128M,-185.73M,-185.86M,-57.62M,-57.62M,,-31.98M,-240.91M,1.076B,82.25M,-3.179M,1.155B,-0.128M,113.55M,-79.00M,-185.73M,140.12M,40.55M
2018-09,362.13M,,14.80M,0.235M,15.09M,108.88M,108.88M,45.66M,17.84M,8.79M,,-35.20M,-12.34M,-55.11M,-8.036M,-45.96M,,,,-121.45M,401.75M,-59.60M,,-59.60M,-54.09M,,0.60M,-113.09M,21.00M,21.00M,0.056M,-123.97M,-123.91M,-58.42M,-58.42M,,-32.37M,-193.70M,979.87M,94.96M,0.843M,1.076B,0.056M,-49.50M,70.50M,-123.97M,63.96M,24.84M
2018-06,362.91M,,0.289M,-0.015M,0.347M,110.38M,110.38M,29.16M,-106.93M,8.509M,,-18.96M,19.10M,-130.20M,-0.756M,120.79M,,,,8.94M,394.36M,-79.94M,,-79.94M,0.00,,-0.059M,-80.00M,4.50M,4.50M,0.302M,-28.10M,-27.79M,-58.64M,-58.64M,,-32.07M,-114.00M,781.47M,200.36M,-1.955M,979.87M,0.302M,78.50M,-74.00M,-28.10M,45.70M,47.42M
