,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,533.50M,,533.50M,1.408B,1.408B,1.463B,464.64M,,,3.869B,,,,,584.85M,,584.85M,,584.85M,2.489B,510.40M,2.999B,356.44M,,,,3.941B,7.810B,1.007B,138.20M,1.145B,778.35M,1.924B,507.37M,110.02M,617.39M,62.91M,680.30M,,,,2.604B,515.36M,200.61M,715.97M,32.41M,32.41M,636.99M,294.70M,370.74M,1.414B,4.018B,1.425M,3.314B,11.04M,,,,-171.33M,3.155B
2020-06,296.11M,,296.11M,1.101B,1.101B,1.407B,605.18M,,,3.409B,,,,,547.37M,,547.37M,,547.37M,2.471B,527.88M,2.999B,362.56M,,,,3.909B,7.318B,734.96M,210.44M,945.40M,687.37M,1.633B,503.18M,109.59M,612.76M,61.71M,674.48M,,,,2.307B,515.80M,163.34M,679.14M,56.92M,56.92M,630.46M,279.22M,374.04M,1.389B,3.697B,1.424M,3.172B,16.48M,,,,-199.25M,2.991B
2020-03,617.37M,,617.37M,1.199B,1.199B,1.328B,474.59M,,,3.619B,,,,,543.16M,,543.16M,,543.16M,2.471B,554.75M,3.025B,331.59M,,,,3.900B,7.519B,780.85M,170.21M,951.06M,700.22M,1.651B,381.90M,109.51M,491.41M,63.15M,554.56M,,,,2.206B,865.82M,162.98M,1.029B,73.22M,73.22M,631.22M,272.13M,333.42M,1.708B,3.913B,1.424M,3.183B,17.56M,,,,-227.65M,2.975B
2019-12,106.10M,,106.10M,1.246B,1.246B,1.429B,445.36M,,,3.227B,0.0,18.03M,121.82M,554.65M,231.66M,104.09M,1.030B,-468.95M,561.31M,2.462B,572.88M,3.035B,164.66M,43.54M,66.07M,53.11M,3.925B,7.151B,880.27M,165.17M,1.045B,793.76M,1.839B,23.98M,109.85M,133.82M,65.35M,199.17M,,,,2.038B,622.91M,176.27M,799.18M,64.99M,64.99M,632.09M,287.26M,331.17M,1.483B,3.521B,1.434M,3.116B,47.77M,,,,-167.37M,2.998B
2019-09,75.26M,,75.26M,1.279B,1.279B,1.357B,404.65M,,,3.116B,,,,,551.25M,,551.25M,,551.25M,2.441B,603.17M,3.044B,385.74M,,,,3.981B,7.097B,854.66M,111.05M,965.71M,658.58M,1.624B,107.84M,109.19M,217.03M,67.37M,284.40M,,,,1.909B,872.23M,182.50M,1.055B,68.64M,68.64M,629.78M,283.32M,322.38M,1.729B,3.638B,1.463M,2.958B,65.64M,,,,-195.43M,2.830B
2019-06,84.92M,,84.92M,1.204B,1.204B,1.368B,452.35M,,,3.109B,,,,,551.54M,,551.54M,,551.54M,2.431B,631.34M,3.062B,389.65M,,,,4.004B,7.112B,745.62M,108.59M,854.21M,650.86M,1.505B,242.79M,9.136M,251.92M,68.29M,320.21M,,,,1.825B,973.15M,178.24M,1.151B,72.18M,72.18M,618.94M,287.71M,329.57M,1.841B,3.666B,1.478M,2.900B,65.36M,,,,-139.94M,2.827B
2019-03,88.12M,,88.12M,1.193B,1.193B,1.370B,457.57M,,,3.109B,,,,,563.52M,,563.52M,,563.52M,2.414B,654.67M,3.068B,404.00M,,,,4.036B,7.145B,695.20M,162.48M,857.69M,643.60M,1.501B,299.91M,9.117M,309.03M,68.46M,377.49M,,,,1.879B,973.50M,187.31M,1.161B,76.85M,76.85M,617.75M,286.70M,327.06M,1.851B,3.730B,1.49M,2.859B,86.13M,,,,-149.88M,2.797B
2018-12,56.88M,,56.88M,1.169B,1.169B,1.416B,451.03M,,,4.175B,0.0,17.98M,127.01M,656.18M,,103.93M,905.10M,-590.88M,314.22M,2.081B,376.61M,2.458B,260.95M,66.05M,49.86M,1.177B,4.325B,8.501B,785.76M,154.61M,940.37M,741.11M,1.681B,951.46M,8.28M,959.74M,0.00,959.74M,,,577.61M,3.219B,980.34M,0.00,980.34M,27.22M,27.22M,580.46M,312.16M,357.74M,1.740B,4.959B,1.514M,3.209B,0.00,,,,-248.77M,2.961B
2018-09,119.74M,,119.74M,1.628B,1.628B,1.933B,513.72M,,,4.194B,,,,,,,,,374.05M,2.686B,618.20M,3.304B,518.42M,,,,4.196B,8.390B,1.136B,180.16M,1.316B,756.14M,2.072B,1.145B,12.48M,1.157B,,1.157B,,,,3.230B,1.000B,,1.000B,45.95M,45.95M,443.58M,282.50M,415.04M,1.744B,4.974B,1.524M,3.191B,,,,,-219.65M,2.973B
2018-06,111.32M,,111.32M,1.561B,1.561B,1.930B,459.32M,,,4.062B,,,,,,,,,368.60M,2.256B,612.86M,2.869B,510.45M,,,,3.748B,7.810B,1.118B,172.95M,1.291B,670.24M,1.961B,1.179B,12.48M,1.192B,,1.192B,,,,3.153B,985.38M,,985.38M,48.13M,48.13M,9.371M,292.99M,407.46M,1.734B,4.887B,1.532M,3.123B,,,,,-211.39M,2.914B
2018-03,99.24M,,99.24M,1.576B,1.576B,2.015B,430.11M,,,4.121B,,,,,,,,,377.00M,2.318B,649.46M,2.967B,449.73M,,,,3.794B,7.915B,1.021B,214.38M,1.235B,652.87M,1.888B,954.14M,14.16M,968.30M,,968.30M,,,,2.856B,1.001B,,1.001B,54.45M,54.45M,9.936M,670.02M,421.68M,2.147B,5.003B,1.54M,2.998B,,,,,-97.89M,2.902B
2017-12,174.66M,,174.66M,1.523B,1.523B,1.934B,454.75M,,,4.086B,0.0,21.02M,143.25M,719.99M,,106.24M,990.50M,-615.50M,375.00M,2.301B,671.02M,2.972B,268.36M,35.02M,46.32M,80.92M,3.778B,7.864B,1.153B,188.87M,1.342B,728.78M,2.071B,741.65M,16.66M,758.31M,,758.31M,,,,2.829B,907.76M,,907.76M,50.43M,50.43M,12.91M,832.14M,420.28M,2.211B,5.040B,1.537M,2.940B,,,,,-130.07M,2.811B
2017-09,79.88M,,79.88M,1.545B,1.545B,1.692B,465.81M,,,3.783B,,,,,,,,,361.71M,2.225B,667.00M,2.892B,450.77M,,,,3.704B,7.487B,1.029B,148.63M,1.178B,610.27M,1.788B,631.86M,17.25M,649.11M,,649.11M,,,,2.437B,907.59M,,907.59M,91.79M,91.79M,8.571M,737.75M,292.18M,2.029B,4.466B,1.57M,3.165B,0.00,,,,-154.47M,3.012B
2017-06,74.65M,,74.65M,1.409B,1.409B,1.567B,412.90M,,,3.464B,,,,,,,,,351.38M,2.173B,636.81M,2.809B,472.92M,,,,3.634B,7.097B,882.67M,152.72M,1.035B,599.83M,1.635B,577.48M,17.24M,594.72M,,594.72M,,,,2.230B,807.62M,,807.62M,89.76M,89.76M,8.375M,747.02M,288.48M,1.933B,4.163B,0.792M,3.135B,0.00,,,,-209.53M,2.926B
2017-03,62.89M,,62.89M,1.363B,1.363B,1.624B,342.55M,,,3.392B,,,,,,,,,336.46M,2.059B,599.18M,2.658B,458.03M,,,,3.452B,6.845B,843.78M,168.53M,1.012B,582.79M,1.595B,671.72M,18.60M,690.33M,,690.33M,,,,2.285B,708.42M,,708.42M,79.11M,79.11M,8.169M,719.39M,256.88M,1.764B,4.049B,0.795M,3.068B,0.00,,,,-281.82M,2.787B
2016-12,62.38M,,62.38M,1.254B,1.254B,1.666B,360.51M,,,3.343B,0.0,19.44M,127.10M,623.16M,,95.05M,864.74M,-530.84M,333.91M,2.020B,623.12M,2.643B,299.25M,27.49M,49.01M,65.11M,3.418B,6.760B,1.007B,151.75M,1.159B,658.25M,1.817B,437.48M,65.92M,503.40M,,503.40M,,,,2.321B,715.46M,,715.46M,51.59M,51.59M,7.738M,607.64M,264.26M,1.639B,3.960B,1.588M,2.982B,126.74M,,,,-317.04M,2.793B
2016-09,76.19M,,76.19M,1.368B,1.368B,1.468B,373.85M,,,3.286B,,,,,,,,,324.11M,1.976B,593.26M,2.569B,454.70M,,,,3.348B,6.634B,931.09M,158.16M,1.089B,599.82M,1.689B,333.12M,17.46M,350.58M,,350.58M,,,,2.040B,718.02M,,718.02M,143.61M,143.61M,7.861M,571.37M,257.76M,1.691B,3.730B,0.806M,2.997B,119.92M,,,,-222.18M,2.895B
2016-06,63.56M,,63.56M,1.296B,1.296B,1.483B,377.66M,57.64M,,3.278B,,,,,,,,,320.10M,1.955B,593.92M,2.549B,487.40M,,,,3.356B,6.634B,881.67M,148.86M,1.031B,625.38M,1.656B,237.81M,17.19M,255.00M,,255.00M,,,,1.911B,700.05M,,700.05M,248.31M,248.31M,7.89M,568.69M,250.02M,1.767B,3.678B,0.818M,3.010B,151.06M,,,,-214.61M,2.948B
2016-03,71.61M,,71.61M,1.275B,1.275B,1.500B,363.96M,60.10M,,3.271B,,,,,,,,,324.28M,1.925B,603.25M,2.528B,476.92M,,,,3.330B,6.601B,809.12M,159.64M,968.76M,577.38M,1.546B,424.03M,17.33M,441.36M,,441.36M,,,,1.988B,666.28M,,666.28M,257.88M,257.88M,2.536M,530.00M,242.68M,1.697B,3.684B,0.821M,2.934B,188.77M,,,,-209.70M,2.914B
