,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,1.34B,,-645.00M,-35.00M,-680.00M,138.00M,23.00M,161.00M,161.00M,0.00,47.00M,28.00M,1.103B,228.00M,577.00M,-1.01B,,919.00M,1.815B,-250.00M,,-250.00M,0.00,102.00M,,-148.00M,0.00,-96.00M,-96.00M,,-5.00M,-5.00M,-83.00M,-83.00M,2.00M,-663.00M,-845.00M,7.163B,822.00M,7.985B,,-85.00M,-11.00M,-5.00M,742.00M,44.00M
2020-06,1.828B,,-2.00M,-25.00M,-27.00M,128.00M,22.00M,150.00M,150.00M,0.00,46.00M,10.00M,-232.00M,890.00M,-654.00M,1.064B,,1.06B,3.067B,-226.00M,,-226.00M,0.00,-1.426B,,-1.652B,-2.00M,-37.00M,-39.00M,,-8.00M,-8.00M,-83.00M,-83.00M,9.00M,-185.00M,-306.00M,6.054B,1.109B,7.163B,,-94.00M,55.00M,-8.00M,36.00M,75.00M
2020-03,473.00M,,-49.00M,-8.00M,-57.00M,124.00M,21.00M,145.00M,145.00M,-3.00M,36.00M,-13.00M,-953.00M,1.086B,-1.47B,1.203B,,-107.00M,474.00M,-192.00M,,-192.00M,-709.00M,-309.00M,,-1.21B,2.09B,143.00M,2.233B,,-17.00M,-17.00M,-73.00M,-73.00M,19.00M,574.00M,2.736B,4.054B,2.00B,6.054B,,2.288B,-55.00M,-17.00M,,40.00M
2019-12,512.00M,,-39.00M,2.00M,-37.00M,123.00M,17.00M,140.00M,140.00M,183.00M,44.00M,37.00M,-211.00M,-216.00M,-216.00M,303.00M,,-367.00M,512.00M,-230.00M,,-230.00M,0.00,-571.00M,,-801.00M,-400.00M,-50.00M,-450.00M,,-60.00M,-60.00M,-75.00M,-75.00M,35.00M,-634.00M,-1.184B,5.527B,-1.473B,4.054B,,-48.00M,-402.00M,-60.00M,-60.00M,76.00M
2019-09,689.00M,,-18.00M,-1.00M,-19.00M,142.00M,17.00M,159.00M,159.00M,0.00,43.00M,8.00M,56.00M,378.00M,882.00M,284.00M,,1.562B,2.442B,-210.00M,,-210.00M,0.00,-356.00M,,-566.00M,337.00M,67.00M,404.00M,,-1.00B,-1.00B,-74.00M,-74.00M,5.00M,-462.00M,-1.127B,4.778B,749.00M,5.527B,,1.056B,-652.00M,-1.00B,232.00M,26.00M
2019-06,940.00M,,-7.00M,-12.00M,-19.00M,122.00M,18.00M,140.00M,140.00M,0.00,43.00M,27.00M,1.063B,-182.00M,-446.00M,-132.00M,,303.00M,1.434B,-157.00M,,-157.00M,0.00,101.00M,,-56.00M,0.00,-323.00M,-323.00M,,0.00,0.00,-74.00M,-74.00M,1.00M,-81.00M,-477.00M,3.877B,901.00M,4.778B,,16.00M,-339.00M,0.00,346.00M,81.00M
2019-03,566.00M,,2.00M,-3.00M,-1.00M,118.00M,18.00M,136.00M,136.00M,-21.00M,33.00M,18.00M,-940.00M,1.162B,-102.00M,16.00M,,165.00M,896.00M,-139.00M,,-139.00M,0.00,284.00M,,145.00M,0.00,0.00,0.00,,-10.00M,-10.00M,-68.00M,-68.00M,17.00M,554.00M,493.00M,2.343B,1.534B,3.877B,,17.00M,-17.00M,-10.00M,,29.00M
2018-12,355.00M,0.00,0.00,-2.00M,-2.00M,114.00M,20.00M,134.00M,134.00M,29.00M,32.00M,10.00M,47.00M,-158.00M,455.00M,-1.224B,,-891.00M,-333.00M,-176.00M,,-176.00M,0.00,-271.00M,,-447.00M,650.00M,217.00M,867.00M,,-796.00M,-796.00M,-70.00M,-70.00M,-2.00M,-1.018B,-1.019B,4.142B,-1.799B,2.343B,,1.217B,-350.00M,-796.00M,120.00M,75.00M
2018-09,644.00M,-4.00M,-8.00M,-9.00M,-21.00M,112.00M,19.00M,131.00M,131.00M,469.00M,36.00M,27.00M,408.00M,0.00,719.00M,-132.00M,,-2.341B,-1.055B,-164.00M,,-164.00M,-1.90B,-289.00M,,-2.353B,0.00,122.00M,122.00M,,-201.00M,-201.00M,-69.00M,-69.00M,4.00M,-1.137B,-1.281B,8.831B,-4.689B,4.142B,,55.00M,67.00M,-201.00M,106.00M,22.00M
2018-06,193.00M,790.00M,-53.00M,0.00,737.00M,109.00M,21.00M,130.00M,130.00M,-387.00M,34.00M,23.00M,-197.00M,117.00M,-494.00M,-205.00M,,-855.00M,-125.00M,-138.00M,,-138.00M,-185.00M,441.00M,,118.00M,,-52.00M,-52.00M,,-42.00M,-42.00M,-69.00M,-69.00M,32.00M,114.00M,-17.00M,8.855B,-24.00M,8.831B,,-2.00M,-50.00M,-42.00M,401.00M,76.00M
2018-03,491.00M,,-29.00M,0.00,-29.00M,109.00M,30.00M,139.00M,139.00M,83.00M,35.00M,47.00M,-422.00M,293.00M,-1.164B,885.00M,,2.92B,3.686B,-134.00M,,-134.00M,-169.00M,-102.00M,,-405.00M,,228.00M,228.00M,,-51.00M,-51.00M,-57.00M,-57.00M,11.00M,1.401B,1.532B,4.042B,4.813B,8.855B,,245.00M,-17.00M,-51.00M,4.00M,22.00M
2017-12,184.00M,0.00,14.00M,0.00,14.00M,107.00M,21.00M,128.00M,128.00M,186.00M,41.00M,41.00M,68.00M,-291.00M,-213.00M,0.00,,-3.505B,-2.911B,-148.00M,,-148.00M,-21.00M,-996.00M,,-1.165B,-6.00M,-30.00M,-36.00M,,-1.546B,-1.546B,-58.00M,-58.00M,1.00M,-108.00M,-1.747B,9.865B,-5.823B,4.042B,,794.00M,-830.00M,-1.546B,292.00M,92.00M
2017-09,499.00M,0.00,0.00,0.00,0.00,102.00M,18.00M,120.00M,120.00M,-56.00M,33.00M,47.00M,1.508B,121.00M,176.00M,324.00M,,2.22B,2.863B,-143.00M,,-143.00M,-1.00M,-554.00M,,-698.00M,0.00,3.00M,3.00M,,-241.00M,-241.00M,-58.00M,-58.00M,7.00M,-150.00M,-439.00M,8.139B,1.726B,9.865B,,0.00,3.00M,-241.00M,512.00M,32.00M
2017-06,650.00M,,-2.00M,,-2.00M,101.00M,18.00M,119.00M,119.00M,-27.00M,57.00M,31.00M,-592.00M,77.00M,-130.00M,-225.00M,,-934.00M,-106.00M,-111.00M,,-111.00M,-2.00M,-39.00M,,-152.00M,-6.00M,-332.00M,-338.00M,,-4.00M,-4.00M,-57.00M,-57.00M,20.00M,351.00M,-28.00M,8.425B,-286.00M,8.139B,,-175.00M,-163.00M,-4.00M,694.00M,82.00M
2017-03,1.115B,,-26.00M,,-26.00M,100.00M,18.00M,118.00M,118.00M,29.00M,26.00M,36.00M,-558.00M,198.00M,-415.00M,542.00M,,2.907B,4.205B,-122.00M,,-122.00M,-7.00M,-797.00M,,-926.00M,991.00M,135.00M,1.126B,,-1.574B,-1.574B,-47.00M,-47.00M,34.00M,1.73B,1.269B,3.877B,4.548B,8.425B,,1.16B,-34.00M,-1.574B,,10.00M
2016-12,-401.00M,,-31.00M,,-31.00M,99.00M,18.00M,117.00M,117.00M,-125.00M,39.00M,84.00M,-554.00M,-486.00M,845.00M,810.00M,,-2.456B,-2.773B,-132.00M,,-132.00M,0.00,-696.00M,,-828.00M,0.00,28.00M,28.00M,,-29.00M,-29.00M,-44.00M,-44.00M,11.00M,743.00M,709.00M,6.769B,-2.892B,3.877B,,0.00,-91.00M,-29.00M,65.00M,83.00M
2016-09,450.00M,,-26.00M,,-26.00M,99.00M,18.00M,117.00M,117.00M,78.00M,28.00M,49.00M,1.788B,-209.00M,259.00M,-1.071B,,3.807B,4.503B,-139.00M,,-139.00M,-6.00M,-92.00M,,-237.00M,0.00,-10.00M,-10.00M,,-2.00M,-2.00M,-43.00M,-43.00M,0.00,129.00M,74.00M,2.429B,4.34B,6.769B,,0.00,,-2.00M,315.00M,10.00M
2016-06,311.00M,,-19.00M,,-19.00M,96.00M,20.00M,116.00M,116.00M,-39.00M,25.00M,36.00M,-816.00M,144.00M,7.00M,-12.00M,,-726.00M,-296.00M,-131.00M,,-131.00M,-1.00M,263.00M,,131.00M,0.00,-65.00M,-65.00M,,-2.00M,-2.00M,-43.00M,-43.00M,0.00,-97.00M,-207.00M,2.801B,-372.00M,2.429B,,0.00,44.00M,-2.00M,531.00M,82.00M
2016-03,254.00M,,-20.00M,,-20.00M,94.00M,21.00M,115.00M,115.00M,15.00M,23.00M,32.00M,-576.00M,138.00M,-685.00M,1.21B,,83.00M,502.00M,-125.00M,,-125.00M,0.00,-303.00M,,-428.00M,0.00,-44.00M,-44.00M,,-71.00M,-71.00M,-47.00M,-47.00M,0.00,318.00M,156.00M,2.571B,230.00M,2.801B,,0.00,-44.00M,-71.00M,5.00M,10.00M
2015-12,101.00M,-3.00M,-58.00M,,-61.00M,91.00M,21.00M,112.00M,112.00M,-15.00M,17.00M,79.00M,-236.00M,54.00M,208.00M,11.00M,,104.00M,337.00M,-139.00M,,-138.00M,6.00M,-165.00M,,-297.00M,,293.00M,293.00M,,-5.00M,-5.00M,-43.00M,-43.00M,1.00M,688.00M,934.00M,1.597B,974.00M,2.571B,,288.00M,5.00M,-5.00M,141.00M,82.00M
2015-09,314.00M,0.00,-51.00M,,-51.00M,85.00M,22.00M,107.00M,107.00M,41.00M,23.00M,14.00M,1.143B,141.00M,357.00M,-1.063B,,584.00M,1.032B,-125.00M,,-125.00M,0.00,-480.00M,,-605.00M,,-303.00M,-303.00M,,-9.00M,-9.00M,-43.00M,-43.00M,-1.00M,-724.00M,-1.08B,2.25B,-653.00M,1.597B,,-290.00M,-13.00M,-9.00M,302.00M,10.00M
2015-06,431.00M,-267.00M,-28.00M,,-295.00M,90.00M,24.00M,114.00M,114.00M,30.00M,25.00M,20.00M,-443.00M,17.00M,-292.00M,-128.00M,,-933.00M,-608.00M,-136.00M,,-136.00M,1.017B,435.00M,,1.316B,,321.00M,321.00M,,-305.00M,-305.00M,-42.00M,-42.00M,3.00M,-381.00M,-404.00M,1.946B,304.00M,2.25B,,300.00M,-25.00M,-305.00M,710.00M,86.00M
2015-03,430.00M,,-9.00M,,-9.00M,88.00M,26.00M,114.00M,114.00M,-58.00M,44.00M,18.00M,-644.00M,289.00M,-1.145B,1.051B,,-432.00M,107.00M,-123.00M,,-123.00M,,29.00M,,-94.00M,,-46.00M,-46.00M,,-66.00M,-66.00M,-44.00M,-44.00M,18.00M,136.00M,-2.00M,1.935B,11.00M,1.946B,,,,-66.00M,26.00M,9.00M
2014-12,145.00M,0.00,-11.00M,,-11.00M,88.00M,36.00M,124.00M,124.00M,-34.00M,22.00M,46.00M,-196.00M,-201.00M,8.00M,175.00M,,-99.00M,193.00M,-167.00M,,-167.00M,-15.00M,487.00M,,305.00M,-500.00M,67.00M,-433.00M,,-602.00M,-602.00M,-43.00M,-43.00M,-16.00M,-174.00M,-1.268B,2.705B,-770.00M,1.935B,,0.00,-433.00M,-602.00M,178.00M,60.00M
2014-09,290.00M,0.00,-6.00M,,-6.00M,83.00M,29.00M,112.00M,112.00M,9.00M,21.00M,12.00M,1.069B,-102.00M,-46.00M,-403.00M,,516.00M,954.00M,-145.00M,,-145.00M,0.00,-627.00M,,-772.00M,1.733B,-27.00M,1.706B,,-118.00M,-118.00M,-43.00M,-43.00M,0.00,-615.00M,930.00M,1.593B,1.112B,2.705B,,1.733B,-27.00M,-118.00M,251.00M,10.00M
2014-06,344.00M,0.00,-2.00M,,-2.00M,78.00M,28.00M,106.00M,106.00M,-13.00M,22.00M,-17.00M,-613.00M,346.00M,-348.00M,-43.00M,,-673.00M,-200.00M,-110.00M,,-110.00M,3.00M,682.00M,,575.00M,,27.00M,27.00M,,-103.00M,-103.00M,-42.00M,-42.00M,20.00M,-346.00M,-444.00M,1.662B,-69.00M,1.593B,,0.00,-109.00M,-103.00M,589.00M,63.00M
2014-03,368.00M,,-1.00M,,-1.00M,79.00M,28.00M,107.00M,107.00M,-26.00M,33.00M,33.00M,-524.00M,539.00M,-566.00M,684.00M,,190.00M,671.00M,-106.00M,,-106.00M,66.00M,-131.00M,,-171.00M,,-136.00M,-136.00M,,-49.00M,-49.00M,-44.00M,-44.00M,25.00M,228.00M,24.00M,1.138B,524.00M,1.662B,,,,-49.00M,12.00M,10.00M
2013-12,-30.00M,,-8.00M,,-8.00M,,,114.00M,114.00M,11.00M,19.00M,86.00M,-162.00M,-178.00M,-165.00M,289.00M,,-208.00M,-16.00M,-131.00M,,-127.00M,-25.00M,113.00M,,-39.00M,,130.00M,130.00M,,-206.00M,-206.00M,-43.00M,-43.00M,4.00M,53.00M,-62.00M,1.255B,-117.00M,1.138B,,79.00M,,-206.00M,10.00M,64.00M
2013-09,368.00M,,-4.00M,,-4.00M,,,106.00M,106.00M,39.00M,22.00M,16.00M,771.00M,-91.00M,-57.00M,-28.00M,,600.00M,1.147B,-123.00M,,-123.00M,-149.00M,-723.00M,,-995.00M,0.00,27.00M,27.00M,,-94.00M,-94.00M,-42.00M,-42.00M,20.00M,-327.00M,-416.00M,1.519B,-264.00M,1.255B,,0.00,,-94.00M,213.00M,10.00M
