,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.761B,1.563B,3.324B,464.00M,,,464.00M,142.00M,246.00M,27.00M,415.00M,126.00M,,,,4.329B,,,,,1.455B,,,1.455B,,1.455B,897.00M,149.00M,1.046B,,19.00M,555.00M,3.075B,7.404B,156.00M,46.00M,202.00M,75.00M,277.00M,,,507.00M,507.00M,54.00M,561.00M,154.00M,154.00M,,1.115B,666.00M,678.00M,1.344B,,,,,,245.00M,1.589B,2.704B,2.00M,4.466B,3.737B,3.517B,,,,12.00M,4.70B
2020-06,1.77B,1.498B,3.268B,385.00M,,,385.00M,147.00M,261.00M,27.00M,435.00M,106.00M,,,,4.194B,,,,,1.439B,,,1.439B,,1.439B,894.00M,156.00M,1.05B,,13.00M,552.00M,3.054B,7.248B,135.00M,44.00M,179.00M,68.00M,247.00M,,,503.00M,503.00M,48.00M,551.00M,153.00M,153.00M,,1.115B,659.00M,681.00M,1.34B,,,,,,230.00M,1.57B,2.685B,2.00M,4.287B,3.649B,3.389B,,,,14.00M,4.563B
2020-03,1.991B,1.341B,3.332B,472.00M,,,472.00M,114.00M,243.00M,27.00M,384.00M,136.00M,,,,4.324B,,,,,1.449B,,,1.449B,,1.449B,824.00M,138.00M,962.00M,,91.00M,435.00M,2.937B,7.261B,130.00M,54.00M,184.00M,55.00M,239.00M,,,499.00M,499.00M,46.00M,545.00M,158.00M,158.00M,,1.054B,652.00M,696.00M,1.348B,,,,,,224.00M,1.572B,2.626B,2.00M,4.24B,3.631B,3.244B,,,,6.00M,4.635B
2019-12,2.042B,1.372B,3.414B,573.00M,,,573.00M,108.00M,225.00M,26.00M,359.00M,105.00M,,,,4.451B,0.0,,44.00M,718.00M,555.00M,73.00M,622.00M,2.012B,-568.00M,1.444B,824.00M,145.00M,969.00M,,64.00M,388.00M,2.865B,7.316B,149.00M,86.00M,235.00M,64.00M,299.00M,,,,,45.00M,45.00M,167.00M,167.00M,,665.00M,1.141B,695.00M,1.836B,,,,0.00,0.00,202.00M,2.038B,2.703B,2.00M,4.067B,3.56B,3.021B,,,,5.00M,4.613B
2019-09,1.815B,1.351B,3.166B,541.00M,,,541.00M,123.00M,270.00M,24.00M,417.00M,98.00M,,,,4.222B,0.0,,44.00M,689.00M,555.00M,91.00M,587.00M,1.966B,-536.00M,1.43B,824.00M,152.00M,976.00M,,88.00M,373.00M,2.867B,7.089B,143.00M,96.00M,239.00M,58.00M,297.00M,,,,,49.00M,49.00M,161.00M,161.00M,,619.00M,1.131B,691.00M,1.822B,,,,0.00,0.00,209.00M,2.031B,2.65B,2.00M,3.828B,3.51B,2.906B,,,,5.00M,4.439B
2019-06,1.943B,1.23B,3.173B,470.00M,,,470.00M,124.00M,271.00M,25.00M,420.00M,93.00M,,,,4.156B,0.0,,44.00M,710.00M,558.00M,59.00M,596.00M,1.967B,-555.00M,1.412B,824.00M,162.00M,986.00M,,69.00M,350.00M,2.817B,6.973B,139.00M,66.00M,205.00M,64.00M,269.00M,,,,,44.00M,44.00M,167.00M,167.00M,,612.00M,1.12B,698.00M,1.818B,,,,0.00,0.00,211.00M,2.029B,2.641B,2.00M,3.594B,3.436B,2.705B,,,,5.00M,4.332B
2019-03,2.27B,1.345B,3.615B,457.00M,,,457.00M,115.00M,234.00M,63.00M,412.00M,61.00M,,,,4.545B,0.0,,44.00M,694.00M,574.00M,46.00M,622.00M,1.98B,-554.00M,1.426B,831.00M,175.00M,1.006B,,87.00M,326.00M,2.845B,7.39B,137.00M,83.00M,220.00M,64.00M,284.00M,,,631.00M,631.00M,52.00M,683.00M,169.00M,169.00M,,1.241B,1.112B,718.00M,1.83B,,,,85.00M,37.00M,212.00M,2.079B,3.32B,2.00M,3.298B,3.385B,2.702B,,,,2.00M,3.985B
2018-12,1.144B,2.368B,3.512B,514.00M,,,514.00M,117.00M,218.00M,51.00M,386.00M,78.00M,,,,4.49B,0.0,,285.00M,644.00M,,100.00M,567.00M,1.596B,-521.00M,1.075B,831.00M,185.00M,1.016B,,70.00M,308.00M,2.469B,6.959B,184.00M,82.00M,266.00M,63.00M,329.00M,,,1.107B,1.107B,0.00,1.107B,175.00M,175.00M,,1.804B,890.00M,0.00,890.00M,,,,87.00M,61.00M,359.00M,1.31B,3.114B,2.00M,3.083B,3.29B,2.616B,,,,-1.00M,3.758B
2018-09,1.346B,2.043B,3.389B,433.00M,,,433.00M,98.00M,224.00M,52.00M,374.00M,66.00M,,,,4.262B,0.0,,279.00M,602.00M,,156.00M,505.00M,1.542B,-482.00M,1.06B,831.00M,195.00M,1.026B,,86.00M,325.00M,2.497B,6.759B,156.00M,94.00M,250.00M,48.00M,298.00M,,,1.107B,1.107B,22.00M,1.129B,154.00M,154.00M,,1.735B,860.00M,,860.00M,,,,91.00M,218.00M,352.00M,1.43B,3.165B,2.00M,2.872B,3.093B,2.462B,,,,-2.00M,3.503B
2018-06,1.344B,1.168B,2.512B,395.00M,,,395.00M,101.00M,212.00M,49.00M,362.00M,68.00M,,,,3.337B,0.0,,279.00M,602.00M,,148.00M,483.00M,1.512B,-476.00M,1.036B,831.00M,205.00M,1.036B,,108.00M,334.00M,2.514B,5.851B,149.00M,67.00M,216.00M,45.00M,261.00M,,,625.00M,625.00M,21.00M,646.00M,168.00M,168.00M,,1.217B,723.00M,,723.00M,,,,94.00M,217.00M,343.00M,1.283B,2.50B,2.00M,2.673B,2.939B,2.356B,,,,-1.00M,3.257B
