,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.126B,2.126B,1.749B,376.80M,,9.90M,,,-55.90M,50.80M,6.10M,-44.70M,,80.90M,295.90M,6.10M,50.80M,-44.70M,-58.60M,-44.70M,192.60M,-86.30M,278.50M,,,1.20M,,279.70M,320.51M,314.40M,71.00M,243.40M,0.72,,,0.8247,0.72,0.71,,,0.8136,0.71,389.60M,393.90M,0.255
2020-06,2.026B,2.026B,1.795B,230.30M,,4.10M,,,-132.50M,49.80M,5.90M,-43.90M,,77.20M,153.10M,5.90M,49.80M,-43.90M,-134.10M,-43.90M,-24.90M,19.00M,-43.90M,,,-1.70M,,-45.60M,51.12M,98.00M,73.10M,24.90M,-0.12,,,0.1284,-0.12,-0.12,,,0.1284,-0.12,389.40M,389.40M,0.255
2020-03,2.360B,2.360B,2.189B,171.10M,,22.40M,,,-23.30M,44.80M,10.70M,-34.10M,,95.20M,75.90M,10.70M,44.80M,-34.10M,-21.80M,-34.10M,20.00M,17.20M,2.60M,,,2.10M,,4.70M,21.71M,137.60M,72.80M,64.80M,0.01,,,0.0539,0.01,0.01,,,0.0534,0.01,387.70M,391.70M,0.255
2019-12,2.902B,2.902B,2.321B,581.20M,,24.50M,,,-23.90M,48.20M,9.50M,-38.70M,,89.90M,491.30M,9.50M,48.20M,-38.70M,-24.80M,-38.70M,427.80M,86.10M,342.20M,,,-13.30M,,328.90M,347.99M,541.40M,65.40M,476.00M,0.85,,,0.8993,0.85,0.84,,,0.8885,0.84,387.00M,393.90M,0.235
2019-09,2.438B,2.438B,2.079B,359.10M,,9.80M,,,-7.70M,49.70M,9.50M,-40.20M,,78.80M,280.30M,9.50M,49.70M,-40.20M,-7.40M,-40.20M,232.70M,64.60M,168.40M,,,-2.80M,,165.60M,171.16M,351.40M,69.00M,282.40M,0.43,,,0.4444,0.43,0.42,,,0.4342,0.42,386.70M,391.80M,0.235
2019-06,2.520B,2.520B,2.163B,357.40M,,18.10M,,,-5.30M,51.60M,7.70M,-43.90M,,91.10M,266.30M,7.70M,51.60M,-43.90M,-5.90M,-43.90M,216.50M,43.60M,172.80M,,,-3.30M,,169.50M,173.73M,341.10M,73.00M,268.10M,0.44,,,0.451,0.44,0.43,,,0.4408,0.43,386.20M,391.20M,0.235
2019-03,2.361B,2.361B,2.167B,194.50M,,41.40M,,,-40.40M,49.80M,7.80M,-42.00M,,112.50M,82.00M,7.80M,49.80M,-42.00M,-38.70M,-42.00M,1.30M,10.50M,-9.50M,,,1.50M,,-8.00M,21.49M,122.20M,71.10M,51.10M,-0.02,,,0.0567,-0.02,-0.02,,,0.0567,-0.02,384.50M,384.50M,0.235
2018-12,2.856B,2.856B,2.247B,609.00M,,81.00M,,,-11.90M,49.40M,7.80M,-41.60M,,149.90M,459.10M,7.80M,49.40M,-41.60M,-13.60M,-41.60M,403.90M,62.20M,342.50M,,,-16.30M,,326.20M,336.27M,522.20M,68.90M,453.30M,0.85,,,0.8762,0.85,0.84,,,0.8658,0.84,383.60M,390.80M,0.21
2018-09,2.298B,2.298B,1.970B,327.30M,,21.60M,,,-5.80M,27.60M,5.30M,-22.30M,,65.60M,261.70M,5.30M,27.60M,-22.30M,-15.30M,-22.30M,224.10M,60.70M,163.50M,,,-2.50M,,161.00M,165.23M,295.70M,44.00M,251.70M,0.42,,,0.4311,0.42,0.41,,,0.4209,0.41,382.60M,388.40M,0.21
2018-06,2.392B,2.392B,2.070B,322.00M,,28.80M,,,-19.80M,26.10M,4.70M,-21.40M,,72.80M,249.20M,4.70M,26.10M,-21.40M,-16.30M,-21.40M,211.50M,63.60M,147.80M,,,-2.00M,,145.80M,159.65M,281.60M,44.00M,237.60M,0.38,,,0.4161,0.38,0.37,,,0.4055,0.37,383.60M,389.50M,0.21
