,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,TotalPayables,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,324.98M,556.79M,881.77M,239.86M,,239.86M,,,1.122B,,,,94.81M,,94.81M,,94.81M,589.67M,,,218.72M,10.40B,11.52B,,5.366M,5.366M,5.366M,,,,5.366M,5.357B,88.89M,5.446B,62.47M,17.94M,517.18M,5.981B,5.987B,4.345M,-288.49M,5.759B,0.02M,,5.475B
2020-06,201.69M,633.55M,835.24M,250.15M,,250.15M,,,1.085B,,,,96.44M,,96.44M,,96.44M,585.36M,,,214.03M,10.47B,11.56B,,5.366M,5.366M,5.366M,,,,5.366M,5.350B,90.36M,5.441B,61.86M,17.94M,477.54M,5.936B,5.942B,4.345M,-200.49M,5.753B,0.02M,,5.557B
2020-03,451.80M,,451.80M,220.22M,,220.22M,,,672.01M,,,,97.79M,,97.79M,,97.79M,585.59M,,,361.19M,10.63B,11.31B,,126.47M,126.47M,126.47M,,,,126.47M,5.709B,91.55M,5.800B,62.88M,17.94M,488.17M,6.306B,6.433B,4.345M,-942.03M,5.747B,0.02M,,4.810B
2019-12,123.95M,,123.95M,218.69M,,218.69M,,,342.64M,,,,99.12M,,99.12M,,99.12M,578.12M,,150.33M,204.04M,10.66B,11.00B,170.08M,126.27M,296.36M,296.36M,,,,296.36M,5.316B,92.71M,5.408B,64.02M,17.94M,346.18M,5.773B,6.069B,4.338M,-904.68M,5.765B,0.02M,,4.865B
2019-09,141.31M,,141.31M,191.44M,,191.44M,,,332.75M,,,,98.21M,,98.21M,,98.21M,585.47M,,,400.93M,10.75B,11.09B,,126.20M,126.20M,126.20M,,,,126.20M,5.313B,91.62M,5.404B,72.59M,23.70M,556.52M,5.984B,6.111B,4.251M,-883.74M,5.781B,0.029M,,4.902B
2019-06,113.99M,,113.99M,,,182.37M,,,296.36M,,,,100.00M,,100.00M,,100.00M,584.98M,,,398.73M,10.74B,11.04B,,130.46M,130.46M,130.46M,,,,130.46M,4.906B,93.23M,4.999B,73.56M,23.69M,520.56M,5.543B,5.673B,4.264M,-835.93M,6.126B,0.043M,,5.294B
2019-03,143.67M,,143.67M,183.65M,,183.65M,,,327.32M,,,,104.18M,,104.18M,,104.18M,566.93M,,,372.24M,10.74B,11.07B,,130.44M,130.44M,130.44M,,,,130.44M,4.869B,97.13M,4.966B,76.98M,23.68M,553.33M,5.543B,5.673B,4.263M,-804.24M,6.120B,0.043M,,5.320B
2018-12,143.58M,,143.58M,184.53M,,184.53M,,,328.11M,,,,,,0.00,,0.00,570.92M,,156.16M,259.89M,10.67B,11.00B,174.90M,130.26M,305.16M,305.16M,,,,305.16M,4.874B,0.00,4.874B,77.25M,23.68M,385.33M,5.283B,5.588B,4.257M,-787.71M,6.117B,0.043M,,5.334B
2018-09,146.39M,12.03M,158.41M,183.44M,29.22M,212.66M,,,371.07M,,,,,,,,,580.74M,,,383.01M,10.74B,11.11B,,130.26M,130.26M,130.26M,,,,130.26M,4.887B,,4.887B,77.85M,20.07M,615.61M,5.523B,5.653B,4.257M,-743.35M,6.117B,0.043M,0.00,5.378B
2018-06,305.58M,13.13M,318.71M,180.45M,31.13M,211.58M,,,530.29M,,,,,,,,,568.70M,,,348.31M,10.76B,11.29B,,130.26M,130.26M,130.26M,,,,130.26M,5.069B,,5.069B,77.77M,16.15M,587.68M,5.673B,5.803B,4.257M,-710.98M,6.118B,0.043M,0.072M,5.411B
