,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,619.36M,619.36M,202.34M,417.01M,82.95M,115.47M,0.919M,-8.813M,-7.037M,7.428M,206.77M,210.25M,-7.037M,-8.813M,-7.037M,194.40M,24.88M,169.51M,,,169.51M,177.20M,234.45M,24.20M,210.25M,0.64,,,0.6688,0.64,0.63,,,0.6585,0.63,266.83M,269.53M,0.48
2020-06,545.37M,545.37M,183.00M,362.37M,72.89M,110.17M,0.81M,-0.678M,-5.767M,-0.172M,183.70M,178.66M,-5.767M,-3.399M,-5.767M,169.50M,-37.80M,207.30M,,,207.30M,207.79M,237.18M,36.38M,200.80M,0.78,,,0.7819,0.78,0.77,,,0.7718,0.77,266.64M,268.55M,0.48
2020-03,561.92M,561.92M,195.48M,366.44M,71.64M,109.09M,0.756M,-0.523M,-1.622M,1.077M,182.57M,183.87M,-1.622M,-0.523M,-1.622M,181.72M,20.54M,161.19M,,,161.19M,161.65M,208.01M,24.14M,183.87M,0.6,,,0.6017,0.6,0.59,,,0.5917,0.59,269.00M,271.58M,0.48
2019-12,551.07M,551.07M,190.55M,360.52M,76.07M,111.91M,0.756M,-2.728M,-0.017M,-0.001M,188.74M,171.78M,-0.017M,-2.728M,-0.017M,169.04M,22.99M,146.05M,,,146.05M,148.41M,195.87M,24.09M,171.78M,0.54,,,0.5487,0.54,0.53,,,0.5386,0.53,270.33M,273.27M,0.48
2019-09,533.04M,533.04M,189.72M,343.32M,76.12M,108.99M,0.756M,-1.434M,1.829M,0.025M,185.88M,157.44M,1.829M,-1.434M,1.829M,157.83M,17.68M,140.16M,,,140.16M,141.43M,181.36M,23.92M,157.44M,0.52,,,0.5247,0.52,0.51,,,0.5146,0.51,271.39M,274.44M,0.48
2019-06,556.54M,556.54M,200.15M,356.39M,75.13M,105.14M,0.756M,-1.715M,1.057M,0.083M,181.10M,175.29M,1.057M,1.307M,1.057M,177.65M,-189.91M,367.56M,,,367.56M,368.81M,245.34M,25.57M,219.77M,1.35,,,1.355,1.35,1.33,,,1.335,1.33,272.37M,276.07M,0.46
2019-03,542.38M,542.38M,201.55M,340.83M,74.12M,107.08M,0.756M,-1.744M,3.318M,,181.95M,158.88M,3.318M,-1.744M,3.318M,160.46M,29.84M,130.61M,,,130.61M,132.03M,186.07M,27.18M,158.88M,0.48,,,0.4852,0.48,0.47,,,0.4751,0.47,273.22M,276.61M,0.46
2018-12,576.91M,576.91M,203.86M,373.05M,77.85M,110.30M,0.756M,-1.932M,0.472M,,188.91M,184.14M,0.472M,-1.932M,0.472M,182.68M,50.78M,131.89M,,,131.89M,133.29M,210.94M,26.80M,184.14M,0.48,,,0.485,0.48,0.47,,,0.475,0.47,276.25M,280.01M,0.46
2018-09,638.50M,638.50M,208.26M,430.24M,81.52M,112.71M,0.773M,-0.994M,-0.546M,0.06M,195.06M,235.18M,-0.546M,-0.994M,-0.546M,233.64M,36.21M,197.42M,,,197.42M,198.26M,266.37M,31.19M,235.18M,0.71,,,0.713,0.71,0.7,,,0.703,0.7,278.04M,282.45M,0.46
2018-06,633.15M,633.15M,214.48M,418.67M,82.61M,112.06M,0.844M,-0.833M,-2.055M,-0.072M,195.44M,223.23M,-2.055M,2.527M,-2.055M,223.70M,29.53M,194.17M,,,194.17M,194.90M,284.14M,35.21M,248.93M,0.7,,,0.7026,0.7,0.68,,,0.6825,0.68,279.34M,284.03M,0.42
2018-03,648.60M,648.60M,224.65M,423.95M,81.30M,114.39M,0.876M,-2.272M,-2.534M,0.266M,196.84M,227.11M,-2.534M,-2.272M,-2.534M,222.30M,28.68M,193.63M,,,193.63M,195.61M,264.31M,37.20M,227.11M,0.69,,,0.697,0.69,0.68,,,0.6869,0.68,280.85M,285.88M,0.42
2017-12,622.64M,622.64M,212.96M,409.68M,85.32M,115.90M,0.995M,-7.373M,-3.121M,-0.959M,201.26M,208.42M,-3.121M,-7.373M,-3.121M,197.93M,272.94M,-75.02M,,,-75.02M,-70.59M,244.23M,35.81M,208.42M,-0.27,,,-0.2543,-0.27,-0.27,,,-0.2543,-0.27,281.56M,281.56M,0.36
2017-09,575.68M,575.68M,201.84M,373.83M,73.68M,108.60M,1.752M,-5.475M,-4.214M,-0.844M,183.19M,190.64M,-4.214M,-5.475M,-4.214M,180.95M,26.42M,154.53M,,,154.53M,159.21M,227.40M,36.75M,190.64M,0.55,,,0.5666,0.55,0.54,,,0.5563,0.54,282.17M,286.44M,0.36
