,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,9.083B,9.083B,7.243B,1.84B,855.00M,855.00M,,154.00M,-154.00M,855.00M,985.00M,154.00M,-154.00M,336.00M,-154.00M,1.167B,181.00M,986.00M,,,,986.00M,986.00M,1.638B,317.00M,1.321B,5.91,,,,5.91,5.91,5.89,,,,5.89,5.89,166.80M,167.30M,1.45
2020-06,8.884B,8.884B,7.058B,1.826B,832.00M,832.00M,,154.00M,-154.00M,832.00M,994.00M,154.00M,-154.00M,363.00M,-154.00M,1.203B,198.00M,1.005B,,,,1.005B,1.005B,1.665B,308.00M,1.357B,6.02,,,,6.02,6.02,6.01,,,,6.01,6.01,166.90M,167.30M,1.45
2020-03,8.62B,8.62B,6.898B,1.722B,788.00M,788.00M,,125.00M,-125.00M,788.00M,934.00M,125.00M,-125.00M,244.00M,-125.00M,1.053B,185.00M,868.00M,,,,868.00M,868.00M,1.475B,297.00M,1.178B,5.18,,,,5.18,5.18,5.15,,,,5.15,5.15,167.70M,168.40M,1.32
2019-12,8.721B,8.721B,6.615B,2.106B,970.00M,970.00M,,130.00M,-130.00M,970.00M,1.136B,130.00M,-130.00M,-1.575B,-130.00M,-569.00M,-160.00M,-409.00M,,,,-409.00M,-409.00M,-345.00M,94.00M,-439.00M,-2.39,,,,-2.39,-2.39,-2.39,,,,-2.39,-2.39,168.40M,169.10M,1.32
2019-09,8.475B,8.475B,6.748B,1.727B,776.00M,776.00M,,123.00M,-123.00M,776.00M,951.00M,123.00M,-123.00M,227.00M,-123.00M,1.055B,122.00M,933.00M,,,,933.00M,933.00M,1.496B,318.00M,1.178B,5.52,,,,5.52,5.52,5.49,,,,5.49,5.49,169.10M,169.90M,1.32
2019-06,8.456B,8.456B,6.726B,1.73B,784.00M,784.00M,,137.00M,-137.00M,784.00M,946.00M,137.00M,-137.00M,219.00M,-137.00M,1.028B,167.00M,861.00M,,,,861.00M,861.00M,1.469B,304.00M,1.165B,5.07,,,,5.07,5.07,5.06,,,,5.06,5.06,169.70M,170.30M,1.32
2019-03,8.189B,8.189B,6.493B,1.696B,760.00M,760.00M,,138.00M,-138.00M,760.00M,936.00M,138.00M,-138.00M,236.00M,-138.00M,1.034B,171.00M,863.00M,,,,863.00M,863.00M,1.474B,302.00M,1.172B,5.08,,,,5.08,5.08,5.06,,,,5.06,5.06,170.00M,170.70M,1.2
2018-12,8.156B,8.156B,6.469B,1.687B,744.00M,744.00M,,142.00M,-142.00M,744.00M,943.00M,142.00M,-142.00M,-398.00M,-142.00M,403.00M,47.00M,356.00M,,,,356.00M,356.00M,811.00M,266.00M,545.00M,2.11,,,,2.11,2.11,2.09,,,,2.09,2.09,171.90M,172.80M,1.2
2018-09,8.085B,8.085B,6.096B,1.989B,817.00M,817.00M,,133.00M,-133.00M,817.00M,1.172B,133.00M,-133.00M,325.00M,-133.00M,1.364B,120.00M,1.244B,,,,1.244B,1.244B,1.75B,253.00M,1.497B,7.15,,,,7.15,7.15,7.11,,,,7.11,7.11,174.10M,174.90M,1.2
2018-06,7.119B,7.119B,5.563B,1.556B,739.00M,739.00M,,144.00M,-144.00M,739.00M,817.00M,144.00M,-144.00M,303.00M,-144.00M,976.00M,187.00M,789.00M,,,,789.00M,789.00M,1.279B,159.00M,1.12B,4.52,,,,4.52,4.52,4.5,,,,4.5,4.5,174.50M,175.40M,1.2
