,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,697.00M,,697.00M,1.126B,,,1.126B,,330.00M,273.00M,83.00M,,,3.087B,4.819B,,,4.819B,-1.901B,2.918B,579.00M,721.00M,1.30B,1.204B,,315.00M,3.087B,314.00M,9.138B,12.22B,753.00M,,753.00M,651.00M,1.404B,3.00M,3.00M,69.00M,72.00M,,,510.00M,1.986B,311.00M,5.792B,297.00M,6.089B,17.00M,17.00M,,,318.00M,,0.00,1.57B,8.305B,10.29B,4.00M,-1.157B,8.511B,5.234B,,-190.00M,1.934B
2020-06,418.00M,,418.00M,1.015B,,,1.015B,,388.00M,320.00M,144.00M,,,3.076B,4.83B,,,4.83B,-1.868B,2.962B,579.00M,733.00M,1.312B,1.166B,,439.00M,3.17B,212.00M,9.261B,12.34B,736.00M,,736.00M,581.00M,1.317B,7.00M,7.00M,69.00M,76.00M,,,764.00M,2.157B,307.00M,5.81B,458.00M,6.268B,17.00M,17.00M,,,299.00M,,0.00,1.539B,8.43B,10.59B,4.00M,-1.331B,8.505B,5.234B,,-194.00M,1.75B
2020-03,759.00M,,759.00M,915.00M,,,915.00M,,372.00M,341.00M,208.00M,,,3.479B,4.851B,,,4.851B,-1.832B,3.019B,579.00M,769.00M,1.348B,1.052B,,434.00M,3.265B,225.00M,9.343B,12.82B,708.00M,,708.00M,550.00M,1.258B,640.00M,640.00M,71.00M,711.00M,,,883.00M,2.852B,303.00M,5.807B,473.00M,6.28B,15.00M,15.00M,,,370.00M,,,1.466B,8.434B,11.29B,4.00M,-1.57B,8.498B,5.189B,,-207.00M,1.536B
2019-12,345.00M,,345.00M,1.025B,,,1.025B,,383.00M,277.00M,198.00M,,,3.088B,4.707B,102.00M,,4.809B,-1.752B,3.057B,579.00M,789.00M,1.368B,1.182B,,310.00M,3.286B,240.00M,9.443B,12.53B,722.00M,,722.00M,663.00M,1.385B,88.00M,88.00M,73.00M,161.00M,,,813.00M,2.359B,298.00M,5.803B,483.00M,6.286B,17.00M,17.00M,,,322.00M,,20.00M,1.571B,8.514B,10.87B,4.00M,-1.616B,8.501B,5.039B,,-192.00M,1.658B
2019-09,243.00M,,243.00M,1.376B,,,1.376B,,364.00M,301.00M,168.00M,,,3.187B,4.856B,,,4.856B,-1.759B,3.097B,591.00M,828.00M,1.419B,1.161B,,358.00M,53.00M,252.00M,6.34B,9.527B,866.00M,,866.00M,625.00M,1.491B,302.00M,302.00M,73.00M,375.00M,,,698.00M,2.564B,294.00M,5.798B,500.00M,6.298B,70.00M,70.00M,,,364.00M,,19.00M,1.489B,8.534B,11.10B,4.00M,-4.991B,8.494B,4.92B,,-158.00M,-1.571B
2019-06,294.00M,,294.00M,1.049B,,,1.049B,,370.00M,308.00M,174.00M,,,3.045B,4.793B,,,4.793B,-1.684B,3.109B,573.00M,561.00M,1.134B,1.131B,,426.00M,55.00M,271.00M,6.126B,9.171B,723.00M,,723.00M,601.00M,1.324B,87.00M,87.00M,74.00M,161.00M,,,809.00M,2.294B,290.00M,5.794B,513.00M,6.307B,71.00M,71.00M,,,374.00M,,19.00M,1.464B,8.525B,10.82B,4.00M,-5.355B,8.488B,4.686B,,-99.00M,-1.648B
2019-03,859.00M,,859.00M,898.00M,,,898.00M,,391.00M,296.00M,403.00M,,,3.458B,4.777B,,,4.777B,-1.61B,3.167B,573.00M,580.00M,1.153B,1.105B,,347.00M,45.00M,255.00M,6.072B,9.53B,697.00M,,697.00M,550.00M,1.247B,124.00M,124.00M,74.00M,198.00M,,,500.00M,1.945B,286.00M,6.366B,529.00M,6.895B,62.00M,62.00M,,,350.00M,,18.00M,1.512B,9.123B,11.07B,4.00M,-5.548B,8.473B,4.371B,,-96.00M,-1.538B
2018-12,563.00M,,563.00M,1.024B,,,1.024B,,412.00M,335.00M,304.00M,,,3.60B,4.753B,106.00M,,4.859B,-1.811B,3.048B,573.00M,591.00M,1.164B,1.075B,,317.00M,46.00M,1.378B,7.028B,10.63B,863.00M,,863.00M,680.00M,1.543B,72.00M,72.00M,0.00,72.00M,,,783.00M,2.398B,282.00M,6.449B,0.00,6.449B,65.00M,65.00M,,,304.00M,,19.00M,1.645B,9.464B,11.86B,4.00M,-6.022B,8.51B,3.632B,,-94.00M,-1.234B
2018-09,1.359B,,1.359B,1.297B,,10.00M,1.326B,,408.00M,278.00M,237.00M,,,4.295B,,,,6.251B,-2.652B,3.599B,539.00M,602.00M,1.141B,1.171B,,392.00M,11.00M,841.00M,7.155B,11.45B,824.00M,,838.00M,660.00M,1.498B,593.00M,593.00M,,593.00M,,,632.00M,2.723B,278.00M,6.658B,,6.658B,18.00M,18.00M,,,357.00M,0.00,19.00M,1.786B,9.663B,12.39B,4.00M,-6.001B,8.453B,3.334B,,-58.00M,-936.00M
2018-06,980.00M,,980.00M,1.371B,,15.00M,1.443B,,485.00M,399.00M,510.00M,,,4.768B,,,,17.31B,-4.534B,12.77B,539.00M,1.86B,2.399B,1.749B,,426.00M,126.00M,705.00M,18.18B,22.95B,975.00M,,1.004B,852.00M,1.856B,952.00M,952.00M,,952.00M,,,855.00M,3.663B,274.00M,14.82B,,14.82B,17.00M,17.00M,,,285.00M,2.437B,69.00M,1.735B,17.21B,20.88B,4.00M,-5.92B,8.481B,2.871B,,-60.00M,-366.00M
2018-03,764.00M,,764.00M,903.00M,,,976.00M,,528.00M,567.00M,618.00M,,,4.557B,,,,18.59B,-4.679B,13.91B,539.00M,1.726B,2.265B,1.691B,,354.00M,136.00M,838.00M,19.20B,23.75B,787.00M,,819.00M,823.00M,1.642B,956.00M,956.00M,,956.00M,,,1.11B,3.708B,272.00M,15.41B,,15.41B,20.00M,20.00M,,,264.00M,2.392B,80.00M,1.737B,17.79B,21.49B,4.00M,-5.982B,8.379B,2.474B,,-61.00M,-134.00M
2017-12,770.00M,,770.00M,900.00M,,,1.08B,,453.00M,200.00M,450.00M,,,4.437B,8.028B,201.00M,,8.229B,-2.255B,5.974B,539.00M,507.00M,1.046B,874.00M,,159.00M,6.00M,10.86B,18.92B,23.36B,684.00M,,741.00M,917.00M,1.658B,204.00M,204.00M,,204.00M,,,1.492B,3.354B,269.00M,9.18B,,9.18B,21.00M,21.00M,,458.00M,143.00M,2.314B,78.00M,1.078B,18.03B,21.39B,4.00M,-6.268B,8.376B,2.386B,,-72.00M,-346.00M
2017-09,1.223B,,1.223B,1.274B,,5.00M,1.279B,,630.00M,385.00M,740.00M,,,4.765B,,,,21.77B,-6.437B,15.33B,662.00M,1.838B,2.50B,1.808B,,206.00M,205.00M,654.00M,20.70B,25.47B,911.00M,,911.00M,994.00M,1.905B,1.247B,1.247B,,1.247B,,,553.00M,3.705B,265.00M,15.66B,,15.66B,21.00M,21.00M,,,307.00M,2.507B,85.00M,1.726B,18.08B,21.78B,4.00M,-4.713B,8.369B,2.386B,,-91.00M,1.183B
2017-06,752.00M,,752.00M,1.162B,,9.00M,1.171B,,713.00M,419.00M,746.00M,,,4.478B,,,,21.48B,-6.18B,15.30B,662.00M,1.893B,2.555B,1.764B,,226.00M,211.00M,669.00M,20.73B,25.20B,757.00M,,774.00M,974.00M,1.748B,1.042B,1.042B,,1.042B,,,730.00M,3.52B,262.00M,15.84B,,15.84B,20.00M,20.00M,,,293.00M,2.462B,51.00M,1.721B,18.20B,21.72B,4.00M,-4.874B,8.383B,2.392B,,-100.00M,1.021B
2017-03,1.513B,,1.513B,974.00M,,13.00M,987.00M,,1.14B,457.00M,674.00M,,,5.453B,,,,24.54B,-6.602B,17.94B,662.00M,1.957B,2.619B,1.775B,,226.00M,223.00M,1.182B,23.97B,29.42B,872.00M,,872.00M,887.00M,1.759B,1.688B,1.688B,,1.688B,,,750.00M,4.197B,291.00M,17.67B,,17.67B,20.00M,20.00M,,,315.00M,2.388B,44.00M,2.856B,21.21B,25.41B,4.00M,-4.238B,8.375B,2.392B,,-124.00M,1.625B
2016-12,938.00M,,938.00M,1.058B,,16.00M,1.074B,,721.00M,406.00M,596.00M,,,6.73B,20.09B,619.00M,,20.70B,-5.336B,15.37B,662.00M,1.973B,2.635B,1.73B,,181.00M,225.00M,3.812B,23.95B,30.68B,782.00M,,813.00M,990.00M,1.803B,516.00M,516.00M,,516.00M,,,2.383B,4.702B,287.00M,15.96B,,15.96B,20.00M,20.00M,,510.00M,284.00M,2.405B,46.00M,1.235B,21.53B,26.24B,4.00M,-3.787B,8.358B,2.399B,,-135.00M,2.041B
2016-09,2.435B,,2.435B,1.362B,,55.00M,1.417B,,1.017B,385.00M,817.00M,,,7.035B,,,,24.63B,-6.424B,18.20B,999.00M,2.106B,3.105B,1.505B,,256.00M,189.00M,1.198B,24.46B,31.49B,945.00M,,945.00M,1.15B,2.095B,1.221B,1.221B,,1.221B,,,985.00M,4.301B,284.00M,18.02B,,18.02B,47.00M,47.00M,,,475.00M,2.451B,19.00M,2.854B,21.70B,26.00B,4.00M,-2.791B,8.37B,2.399B,,-142.00M,3.042B
2016-06,1.389B,,1.389B,1.251B,,61.00M,1.312B,,1.124B,450.00M,631.00M,,,6.389B,,,,24.49B,-6.107B,18.38B,999.00M,2.18B,3.179B,1.481B,,348.00M,175.00M,1.468B,25.03B,31.42B,898.00M,,898.00M,982.00M,1.88B,1.215B,1.215B,,1.215B,,,1.419B,4.514B,334.00M,17.89B,,17.89B,42.00M,42.00M,,,539.00M,2.599B,23.00M,2.956B,21.79B,26.30B,4.00M,-3.179B,8.306B,2.406B,,-203.00M,2.522B
2016-03,1.659B,,1.659B,1.018B,,75.00M,1.093B,,1.161B,562.00M,798.00M,,,7.386B,,,,25.86B,-7.093B,18.76B,999.00M,2.256B,3.255B,1.475B,,465.00M,185.00M,1.151B,25.29B,32.68B,845.00M,,845.00M,981.00M,1.826B,465.00M,465.00M,,465.00M,,,2.047B,4.338B,330.00M,18.68B,,18.68B,37.00M,37.00M,,,627.00M,2.656B,23.00M,2.963B,22.66B,27.00B,308.00M,-2.977B,8.299B,2.406B,304.00M,-195.00M,3.029B
2015-12,1.518B,,1.518B,1.157B,,53.00M,1.21B,20.00M,1.252B,561.00M,982.00M,,,7.444B,23.87B,627.00M,,24.49B,-5.761B,18.73B,999.00M,2.31B,3.309B,1.606B,,305.00M,167.00M,1.319B,25.44B,32.88B,869.00M,,869.00M,810.00M,1.679B,481.00M,481.00M,,481.00M,,,2.215B,4.375B,326.00M,18.98B,,18.98B,19.00M,19.00M,,588.00M,493.00M,2.727B,29.00M,2.329B,22.77B,27.15B,306.00M,-3.007B,8.296B,2.413B,302.00M,-173.00M,3.009B
2015-09,2.265B,,2.265B,1.492B,,88.00M,1.58B,,1.149B,528.00M,864.00M,169.00M,,8.135B,,,,30.95B,-8.969B,21.98B,2.503B,2.371B,4.874B,1.619B,,522.00M,1.427B,1.426B,31.85B,39.99B,1.173B,,1.173B,1.222B,2.395B,457.00M,457.00M,,457.00M,,,1.484B,4.336B,322.00M,19.60B,,19.60B,20.00M,20.00M,,,619.00M,2.613B,29.00M,2.926B,23.51B,27.85B,303.00M,3.358B,8.382B,2.33B,299.00M,-188.00M,9.525B
2015-06,2.146B,,2.146B,1.413B,,84.00M,1.497B,,1.153B,549.00M,732.00M,193.00M,,8.075B,,,,30.92B,-8.611B,22.30B,2.555B,2.428B,4.983B,1.653B,,491.00M,1.454B,1.405B,32.29B,40.36B,1.08B,,1.08B,1.082B,2.162B,636.00M,636.00M,,636.00M,,,1.671B,4.469B,318.00M,19.66B,,19.66B,18.00M,18.00M,,,522.00M,2.638B,33.00M,3.031B,23.58B,28.05B,300.00M,3.346B,8.365B,2.166B,296.00M,-170.00M,9.675B
2015-03,2.164B,,2.164B,1.179B,,135.00M,1.314B,,1.109B,542.00M,843.00M,188.00M,,8.189B,,,,30.54B,-8.261B,22.28B,2.52B,2.491B,5.011B,1.358B,,591.00M,1.484B,1.421B,32.14B,40.33B,1.045B,,1.045B,1.047B,2.092B,465.00M,465.00M,,465.00M,,,1.952B,4.509B,314.00M,20.05B,,20.05B,20.00M,20.00M,,,650.00M,1.848B,19.00M,3.098B,24.15B,28.66B,297.00M,3.413B,8.362B,2.059B,293.00M,-191.00M,9.822B
2014-12,2.116B,,2.116B,1.322B,,207.00M,1.529B,18.00M,1.247B,519.00M,644.00M,,,8.48B,29.49B,770.00M,,30.26B,-7.89B,22.37B,2.574B,2.567B,5.141B,1.356B,,480.00M,1.58B,1.062B,31.99B,40.47B,1.06B,,1.06B,805.00M,1.865B,474.00M,474.00M,,474.00M,,,2.52B,4.859B,310.00M,19.70B,,19.70B,21.00M,21.00M,,727.00M,438.00M,1.914B,19.00M,2.424B,23.64B,28.50B,295.00M,3.588B,8.327B,1.983B,291.00M,-174.00M,10.05B
2014-09,1.953B,,1.953B,1.554B,,694.00M,2.248B,,1.051B,478.00M,714.00M,79.00M,,7.952B,,,,29.76B,-7.584B,22.18B,2.452B,2.88B,5.332B,1.366B,,427.00M,1.476B,1.335B,32.12B,40.07B,1.098B,,1.098B,1.20B,2.298B,854.00M,854.00M,,854.00M,,,1.391B,4.543B,306.00M,19.92B,,19.92B,24.00M,24.00M,,,326.00M,1.752B,28.00M,2.953B,23.59B,28.13B,253.00M,3.564B,8.314B,1.939B,249.00M,-5.00M,10.19B
2014-06,1.481B,,1.481B,1.482B,,699.00M,2.181B,,996.00M,546.00M,858.00M,79.00M,,7.842B,,,,28.81B,-7.23B,21.58B,2.116B,1.434B,3.55B,1.441B,,413.00M,1.50B,1.307B,29.79B,37.63B,1.103B,,1.103B,1.065B,2.168B,833.00M,833.00M,,833.00M,,,1.745B,4.746B,302.00M,18.16B,,18.16B,71.00M,71.00M,,,354.00M,1.16B,,2.765B,21.66B,26.40B,253.00M,3.445B,8.303B,1.94B,249.00M,5.00M,10.07B
2014-03,3.187B,,3.187B,1.149B,,185.00M,1.334B,,781.00M,603.00M,896.00M,78.00M,,8.452B,,,,26.53B,-6.885B,19.64B,2.038B,1.30B,3.338B,1.019B,,333.00M,1.416B,759.00M,26.51B,34.96B,1.082B,,1.082B,950.00M,2.032B,685.00M,685.00M,,685.00M,,,1.508B,4.225B,298.00M,16.80B,,16.80B,24.00M,24.00M,,,257.00M,884.00M,,2.711B,20.09B,24.32B,253.00M,3.594B,7.842B,1.94B,249.00M,10.00M,9.759B
