,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-11,272.40M,-0.40M,-0.40M,,,48.60M,48.60M,-5.20M,9.00M,12.20M,47.80M,-140.00M,-27.10M,40.80M,,,-46.50M,-172.80M,215.70M,-33.90M,3.80M,-30.10M,,-223.20M,-0.80M,-254.10M,,0.80M,0.80M,,0.00,0.00,-223.50M,-223.50M,56.40M,86.70M,-79.60M,1.256B,-118.00M,1.138B,,0.80M,,0.00
2020-08,211.60M,-0.30M,-0.30M,,,49.60M,49.60M,-1.50M,9.50M,13.30M,47.30M,-66.20M,8.30M,-55.60M,,,-1.60M,-115.10M,215.00M,-20.70M,,-20.70M,,-215.00M,-0.60M,-236.30M,,1.00M,1.00M,,-28.80M,-28.80M,-223.20M,-223.20M,1.30M,-133.10M,-382.80M,1.660B,-404.10M,1.256B,,1.00M,,-28.80M
2020-05,220.70M,-8.90M,-8.90M,,,51.70M,51.70M,3.70M,10.10M,10.90M,47.00M,54.90M,14.00M,21.60M,,,-39.30M,51.20M,388.20M,-35.10M,,-35.10M,0.20M,444.00M,-1.60M,407.50M,0.00,-46.10M,-46.10M,,0.00,0.00,-222.60M,-222.60M,1.30M,-941.00M,-1.208B,2.072B,-412.70M,1.660B,,-46.10M,,0.00
2020-02,354.50M,-0.60M,-0.60M,,,50.10M,50.10M,-5.00M,10.30M,12.70M,46.70M,56.20M,28.90M,-12.00M,,,-56.30M,16.80M,488.10M,-32.00M,,-32.00M,-6.30M,-158.50M,-4.00M,-200.80M,0.00,-0.10M,-0.10M,,0.00,0.00,-222.50M,-222.50M,12.10M,575.70M,365.20M,1.42B,652.50M,2.072B,,-0.10M,,0.00
2019-11,258.70M,-0.90M,-0.90M,,,55.00M,55.00M,1.00M,10.40M,13.30M,46.40M,-45.30M,-58.30M,25.10M,,,-36.70M,-115.20M,269.80M,-33.50M,0.00,-33.50M,,56.50M,-2.50M,20.50M,,-5.20M,-5.20M,,0.00,0.00,-222.30M,-222.30M,15.30M,-19.60M,-231.80M,1.362B,58.50M,1.42B,,-5.20M,,0.00
2019-08,264.20M,-0.90M,-0.90M,,,52.90M,52.90M,-3.70M,10.00M,10.50M,46.00M,-9.50M,13.80M,-39.60M,,,-51.20M,-86.50M,294.80M,-26.40M,,-26.40M,,572.80M,-1.70M,544.70M,,56.50M,56.50M,,-171.90M,-171.90M,-222.00M,-222.00M,-7.40M,-68.40M,-413.20M,935.20M,426.30M,1.362B,,56.50M,,-171.90M
2019-05,230.40M,-0.10M,-0.10M,,,55.80M,55.80M,-6.00M,10.20M,12.60M,45.40M,-10.70M,-7.40M,-30.90M,,,-51.80M,-100.80M,248.70M,-35.80M,,-35.80M,-8.10M,-1.044B,-1.80M,-1.090B,-3.70M,-53.60M,-57.30M,,-24.10M,-24.10M,-222.90M,-222.90M,6.10M,-1.631B,-1.929B,3.706B,-2.770B,935.20M,,-57.30M,,-24.10M
2019-02,324.60M,-0.10M,-0.10M,,,53.00M,53.00M,-0.20M,11.10M,10.80M,45.30M,-33.70M,35.10M,138.60M,,,-59.50M,80.50M,525.60M,-27.20M,,-27.20M,-984.10M,421.50M,-2.50M,-592.30M,800.00M,-3.70M,796.30M,,0.00,0.00,-201.20M,-201.20M,11.20M,1.698B,2.304B,1.468B,2.238B,3.706B,,796.30M,,0.00
2018-11,235.80M,0.10M,0.10M,,,36.80M,36.80M,8.30M,13.30M,11.90M,44.90M,-28.10M,-41.90M,-15.00M,,,-43.80M,-128.80M,223.50M,-36.40M,,-36.40M,,-65.70M,-0.20M,-102.30M,,0.60M,0.60M,,0.00,0.00,-201.30M,-201.30M,2.50M,-75.10M,-273.30M,1.620B,-152.10M,1.468B,,0.60M,,0.00
2018-08,243.60M,0.10M,0.10M,,,35.90M,35.90M,2.60M,14.40M,10.90M,44.60M,-39.90M,15.20M,-15.20M,,,-38.80M,-78.70M,273.70M,-24.40M,,-24.40M,,181.20M,-0.80M,156.00M,,56.70M,56.70M,,-32.80M,-32.80M,-201.40M,-201.40M,9.70M,-942.50M,-1.110B,2.300B,-680.60M,1.620B,,56.70M,,-32.80M
