,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,1.531B,3.00M,,-532.60M,-529.60M,70.90M,14.20M,85.10M,85.10M,29.90M,16.70M,46.60M,-1.350B,-102.10M,321.70M,,,-633.60M,346.80M,1.480B,-65.70M,8.70M,-57.00M,,-1.515B,191.30M,-1.380B,0.00,,0.00,,-45.40M,-45.40M,,,-58.50M,-13.40M,-71.90M,0.00,0.00,-117.30M,109.10M,-18.00M,,91.10M,,0.00,,-45.40M
2020-06,1.790B,1.70M,,-890.80M,-889.10M,67.70M,14.10M,81.80M,81.80M,23.60M,21.90M,45.50M,-3.80M,76.90M,187.90M,,,402.20M,1.224B,2.253B,-48.30M,1.30M,-47.00M,,-2.436B,266.00M,-2.217B,0.00,,0.00,,-2.60M,-2.60M,,,-58.50M,0.00,-58.50M,7.30M,-243.00M,-296.80M,370.40M,-261.30M,,109.10M,,0.00,,-2.60M
2020-03,699.10M,0.10M,,553.60M,553.70M,62.60M,14.50M,77.10M,77.10M,18.90M,23.30M,42.20M,-321.70M,188.30M,-189.90M,,,162.90M,253.70M,1.626B,-62.40M,3.50M,-58.90M,,-994.90M,,-1.054B,986.30M,,986.30M,,-26.50M,-26.50M,,,-1.375B,-13.40M,-1.389B,,,-429.00M,227.40M,143.00M,,370.40M,,986.30M,,-26.50M
2019-12,1.075B,11.10M,,-369.40M,-358.30M,68.80M,14.60M,83.40M,83.40M,19.20M,25.50M,44.70M,99.40M,-167.70M,-308.90M,,,26.10M,283.80M,1.128B,-82.30M,13.40M,-68.90M,,-541.80M,-274.60M,-885.30M,0.00,,0.00,,-3.20M,-3.20M,,,-58.50M,0.00,-58.50M,0.00,0.00,-61.70M,46.20M,181.20M,,227.40M,,0.00,,-3.20M
2019-09,843.60M,1.50M,,-65.40M,-63.90M,56.40M,15.80M,72.20M,72.20M,12.20M,18.70M,30.90M,-767.00M,-120.80M,314.70M,,,-35.90M,875.90M,1.759B,-78.00M,15.30M,-62.70M,,-1.594B,-17.00M,-1.674B,0.00,,0.00,,-59.70M,-59.70M,,,-58.40M,-13.40M,-71.80M,0.00,0.00,-131.50M,92.90M,-46.70M,,46.20M,,0.00,,-59.70M
2019-06,979.00M,-6.70M,,-179.90M,-186.60M,62.00M,18.00M,80.00M,80.00M,1.70M,26.80M,28.50M,-186.00M,108.70M,314.30M,,,-468.50M,605.30M,1.506B,-127.40M,18.40M,-109.00M,,-1.690B,297.60M,-1.502B,0.00,,0.00,,-2.30M,-2.30M,,,-58.40M,0.00,-58.40M,1.60M,-11.20M,-70.30M,158.70M,-65.80M,,92.90M,,0.00,,-2.30M
2019-03,1.083B,5.10M,,-414.50M,-409.40M,52.60M,17.90M,70.50M,70.50M,0.20M,19.20M,19.40M,-839.40M,-137.00M,291.50M,,,444.70M,1.105B,1.868B,-75.80M,6.20M,-69.60M,,-207.80M,,-277.40M,0.00,,0.00,,-26.10M,-26.10M,,,-1.468B,-13.40M,-1.481B,,,-1.507B,75.00M,83.70M,,158.70M,,0.00,,-26.10M
2018-12,259.80M,24.70M,,572.20M,596.90M,52.60M,18.00M,70.60M,70.60M,4.60M,23.20M,27.80M,73.90M,69.90M,-286.20M,,,-197.80M,128.20M,1.083B,-101.20M,1.30M,-99.90M,296.90M,-1.576B,0.70M,-1.378B,544.50M,,544.50M,,-0.30M,-0.30M,0.00,0.00,0.00,0.00,0.00,0.00,,247.30M,122.70M,-47.70M,,75.00M,0.00,544.50M,0.00,-0.30M
2018-09,930.20M,5.70M,,-182.10M,-176.40M,51.20M,18.00M,69.20M,69.20M,6.50M,15.50M,22.00M,-626.20M,-89.80M,332.40M,,,10.50M,873.20M,1.718B,-62.80M,1.40M,-61.40M,-1.00M,-1.281B,-356.90M,-1.700B,0.00,,0.00,,-39.30M,-39.30M,0.00,0.00,0.00,-13.50M,-13.50M,0.00,,-52.80M,157.70M,-35.00M,,122.70M,0.00,0.00,0.00,-39.30M
2018-06,701.20M,0.50M,,-32.80M,-32.30M,45.70M,18.00M,63.70M,63.70M,8.20M,21.10M,29.30M,-358.00M,53.00M,417.20M,,,-234.40M,974.30M,1.736B,-66.20M,5.20M,-61.00M,-295.90M,-1.697B,278.50M,-1.776B,0.00,,0.00,,-2.20M,-2.20M,0.00,0.00,0.00,0.00,0.00,2.70M,,0.50M,196.60M,-38.90M,,157.70M,0.00,0.00,0.00,-2.20M
