,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,2.96B,,,-67.00M,-67.00M,339.00M,339.00M,150.00M,56.00M,313.00M,,-34.00M,-2.151B,-219.00M,413.00M,29.00M,,-48.00M,-1.976B,,1.741B,-348.00M,,,,-26.00M,123.00M,-87.00M,-338.00M,-220.00M,1.00M,-219.00M,153.00M,0.00,153.00M,-734.00M,-734.00M,-36.00M,-836.00M,6.12B,567.00M,20.00M,6.707B,153.00M,561.00M,-780.00M,0.00
2020-06,845.00M,,,-220.00M,-220.00M,363.00M,363.00M,-109.00M,12.00M,296.00M,,-33.00M,1.229B,-641.00M,243.00M,-68.00M,,-45.00M,718.00M,,1.872B,-418.00M,,,,-31.00M,-2.781B,74.00M,-3.156B,-11.00M,1.00M,-10.00M,2.00M,-110.00M,-108.00M,-733.00M,-733.00M,-152.00M,-1.003B,8.403B,-2.287B,4.00M,6.12B,2.00M,3.159B,-3.169B,-110.00M
2020-03,468.00M,,,30.00M,30.00M,340.00M,340.00M,-219.00M,265.00M,309.00M,,-49.00M,-345.00M,-280.00M,554.00M,48.00M,,-38.00M,-61.00M,,1.083B,-345.00M,,,,-53.00M,-1.211B,43.00M,-1.566B,,0.00,0.00,151.00M,-1.578B,-1.427B,-705.00M,-705.00M,-77.00M,-2.209B,11.11B,-2.692B,-14.00M,8.403B,151.00M,558.00M,-558.00M,-1.578B
2019-12,925.00M,,,-79.00M,-79.00M,351.00M,351.00M,-131.00M,72.00M,294.00M,,-26.00M,-262.00M,-17.00M,225.00M,-119.00M,,-115.00M,-288.00M,,1.118B,-296.00M,,,,-75.00M,155.00M,13.00M,-203.00M,,0.00,0.00,23.00M,-762.00M,-739.00M,-710.00M,-710.00M,-210.00M,-1.659B,11.84B,-744.00M,14.00M,11.11B,23.00M,558.00M,-558.00M,-762.00M
2019-09,506.00M,,,-16.00M,-16.00M,350.00M,350.00M,-230.00M,24.00M,339.00M,,-65.00M,-78.00M,368.00M,-18.00M,63.00M,,-16.00M,319.00M,,1.227B,-317.00M,,,,-67.00M,92.00M,-45.00M,-337.00M,0.00,-498.00M,-498.00M,150.00M,-705.00M,-555.00M,-711.00M,-711.00M,-1.176B,-2.94B,13.92B,-2.05B,-34.00M,11.84B,150.00M,1.181B,-1.679B,-705.00M
2019-06,2.149B,,,-331.00M,-331.00M,353.00M,353.00M,3.164B,42.00M,246.00M,,-17.00M,1.251B,-46.00M,-1.901B,-10.00M,,9.00M,-697.00M,,4.909B,-248.00M,,,,-67.00M,78.00M,29.00M,-208.00M,0.00,1.00M,1.00M,87.00M,-69.00M,18.00M,-755.00M,-755.00M,-179.00M,-915.00M,10.14B,3.786B,2.00M,13.92B,87.00M,1.511B,-1.51B,-69.00M
2019-03,663.00M,,,-46.00M,-46.00M,345.00M,345.00M,-295.00M,113.00M,222.00M,,-156.00M,-215.00M,-31.00M,81.00M,173.00M,,-60.00M,-52.00M,,794.00M,-170.00M,,,,-62.00M,38.00M,85.00M,-109.00M,,0.00,0.00,149.00M,0.00,149.00M,-752.00M,-752.00M,-41.00M,-644.00M,10.07B,41.00M,3.00M,10.14B,149.00M,1.513B,-1.513B,0.00
2018-12,1.068B,,,37.00M,37.00M,353.00M,353.00M,-663.00M,159.00M,230.00M,,-34.00M,415.00M,-18.00M,-981.00M,-148.00M,,-62.00M,-794.00M,,356.00M,-152.00M,,,,-56.00M,58.00M,-2.00M,-152.00M,,-6.00M,-6.00M,28.00M,-1.019B,-991.00M,-750.00M,-750.00M,-140.00M,-1.887B,11.78B,-1.683B,-3.00M,10.07B,28.00M,1.784B,-1.79B,-1.019B
2018-09,-513.00M,,,-23.00M,-23.00M,396.00M,396.00M,-477.00M,308.00M,224.00M,-96.00M,-3.00M,264.00M,92.00M,-491.00M,-48.00M,,-56.00M,-239.00M,,-423.00M,-159.00M,,,,-134.00M,-3.00M,62.00M,-234.00M,-3.942B,-2.183B,-6.125B,216.00M,-21.16B,-20.94B,-866.00M,-866.00M,-64.00M,-27.99B,40.45B,-28.65B,-22.00M,11.78B,216.00M,1.746B,-7.871B,-21.16B
2018-06,1.202B,,,-28.00M,-28.00M,414.00M,414.00M,-508.00M,20.00M,189.00M,63.00M,-98.00M,376.00M,2.00M,460.00M,14.00M,,-53.00M,799.00M,,2.053B,-214.00M,,,,-22.00M,1.417B,-47.00M,1.134B,-1.571B,954.00M,-617.00M,52.00M,-1.00B,-948.00M,-911.00M,-911.00M,-156.00M,-2.632B,39.95B,555.00M,-51.00M,40.45B,52.00M,3.822B,-4.439B,-1.00B
2018-03,330.00M,,,-50.00M,-50.00M,388.00M,388.00M,-228.00M,11.00M,222.00M,33.00M,77.00M,-487.00M,81.00M,69.00M,120.00M,,-50.00M,-267.00M,,516.00M,-185.00M,,,,-48.00M,4.973B,2.00M,4.742B,,266.00M,266.00M,201.00M,-200.00M,1.00M,-845.00M,-845.00M,-131.00M,-709.00M,35.36B,4.549B,35.00M,39.95B,201.00M,3.447B,-3.181B,-200.00M
2017-12,-5.983B,,,-23.00M,-23.00M,363.00M,363.00M,5.694B,9.00M,248.00M,0.00,-25.00M,581.00M,162.00M,873.00M,-62.00M,,-75.00M,1.479B,,1.762B,-226.00M,,,,-122.00M,-2.913B,,-3.261B,,967.00M,967.00M,134.00M,-225.00M,-91.00M,-844.00M,-844.00M,-197.00M,-165.00M,37.03B,-1.664B,-3.00M,35.36B,134.00M,2.116B,-1.149B,-225.00M
2017-09,148.00M,,,-155.00M,-155.00M,397.00M,397.00M,55.00M,90.00M,202.00M,-76.00M,-40.00M,-83.00M,-18.00M,1.961B,25.00M,,-82.00M,1.803B,,2.424B,-262.00M,,,,-143.00M,19.22B,1.985B,20.80B,0.00,-1.00M,-1.00M,166.00M,-315.00M,-149.00M,-841.00M,-841.00M,-138.00M,-1.129B,14.91B,22.10B,20.00M,37.03B,166.00M,1.71B,-1.711B,-315.00M
2017-06,865.00M,,,-139.00M,-139.00M,393.00M,393.00M,-237.00M,15.00M,227.00M,42.00M,-83.00M,670.00M,63.00M,-1.58B,4.00M,,-69.00M,-912.00M,,171.00M,-177.00M,,,,-19.00M,-904.00M,-2.00M,-1.102B,10.95B,-999.00M,9.954B,41.00M,-300.00M,-259.00M,-844.00M,-844.00M,-169.00M,8.682B,7.124B,7.751B,34.00M,14.91B,41.00M,12.69B,-2.734B,-300.00M
2017-03,750.00M,,,-89.00M,-89.00M,342.00M,342.00M,-117.00M,-27.00M,246.00M,34.00M,101.00M,-1.822B,109.00M,1.166B,123.00M,,4.00M,-420.00M,,820.00M,-122.00M,,,,-1.325B,1.577B,-51.00M,79.00M,,249.00M,249.00M,159.00M,-283.00M,-124.00M,-783.00M,-783.00M,-13.00M,-671.00M,6.885B,228.00M,11.00M,7.124B,159.00M,2.386B,-2.137B,-283.00M
2016-12,681.00M,,,-147.00M,-147.00M,329.00M,329.00M,-113.00M,175.00M,239.00M,,-4.00M,131.00M,-354.00M,749.00M,-16.00M,,-84.00M,426.00M,,1.586B,-129.00M,,,,-57.00M,2.774B,-1.907B,681.00M,,0.00,0.00,131.00M,-444.00M,-313.00M,-784.00M,-784.00M,-214.00M,-1.311B,5.946B,956.00M,-17.00M,6.885B,131.00M,2.727B,-2.727B,-444.00M
2016-09,1.599B,0.00,,-146.00M,-146.00M,336.00M,336.00M,36.00M,-60.00M,213.00M,110.00M,-882.00M,-271.00M,-218.00M,584.00M,93.00M,,-37.00M,151.00M,,2.316B,-150.00M,,,0.00,-149.00M,-913.00M,-47.00M,-1.259B,0.00,1.00M,1.00M,246.00M,-225.00M,21.00M,-782.00M,-782.00M,-229.00M,-989.00M,5.885B,68.00M,-7.00M,5.946B,246.00M,2.316B,-2.315B,-225.00M
2016-06,1.443B,0.00,,-69.00M,-69.00M,356.00M,356.00M,-47.00M,79.00M,236.00M,-1.00M,912.00M,-215.00M,90.00M,302.00M,32.00M,,-319.00M,-110.00M,,1.84B,-136.00M,,,0.00,-40.00M,-665.00M,47.00M,-794.00M,0.00,-200.00M,-200.00M,151.00M,-100.00M,51.00M,-781.00M,-781.00M,-13.00M,-943.00M,5.775B,103.00M,7.00M,5.885B,151.00M,2.305B,-2.505B,-100.00M
2016-03,1.164B,0.00,,-24.00M,-24.00M,372.00M,372.00M,-86.00M,88.00M,247.00M,0.00,60.00M,-392.00M,-212.00M,-621.00M,55.00M,,86.00M,-1.084B,,737.00M,-125.00M,,,0.00,-173.00M,-488.00M,67.00M,-719.00M,,949.00M,949.00M,172.00M,-1.548B,-1.376B,-710.00M,-710.00M,-20.00M,-1.157B,6.913B,-1.139B,1.00M,5.775B,172.00M,3.239B,-2.29B,-1.548B
2015-12,1.496B,-380.00M,,-49.00M,-429.00M,364.00M,364.00M,-103.00M,65.00M,247.00M,-2.00M,-13.00M,646.00M,291.00M,148.00M,66.00M,,-37.00M,1.114B,,2.739B,-128.00M,,,232.00M,-450.00M,-452.00M,82.00M,-716.00M,,-1.00M,-1.00M,99.00M,-2.05B,-1.951B,-717.00M,-717.00M,4.00M,-2.665B,7.56B,-642.00M,-5.00M,6.913B,99.00M,1.089B,-1.09B,-2.05B
2015-09,1.061B,0.00,,-101.00M,-101.00M,326.00M,326.00M,-112.00M,52.00M,233.00M,-5.00M,13.00M,112.00M,215.00M,-61.00M,104.00M,,-153.00M,217.00M,,1.684B,-179.00M,105.00M,105.00M,0.00,-2.694B,1.425B,-9.00M,-1.352B,0.00,1.00M,1.00M,216.00M,-2.23B,-2.014B,-738.00M,-738.00M,2.00M,-2.749B,9.987B,-2.417B,-10.00M,7.56B,216.00M,1.27B,-1.269B,-2.23B
2015-06,1.184B,0.00,,-122.00M,-122.00M,297.00M,297.00M,86.00M,221.00M,271.00M,-20.00M,1.00M,100.00M,281.00M,-262.00M,241.00M,,-162.00M,198.00M,,2.116B,-366.00M,161.00M,161.00M,0.00,-134.00M,-1.135B,-56.00M,-1.53B,9.937B,-95.00M,9.842B,154.00M,-5.405B,-5.251B,-757.00M,-757.00M,70.00M,3.904B,5.492B,4.49B,5.00M,9.987B,154.00M,11.66B,-1.813B,-5.405B
2015-03,1.052B,0.00,,-111.00M,-111.00M,304.00M,304.00M,80.00M,104.00M,249.00M,-30.00M,1.00M,165.00M,-100.00M,-1.201B,-998.00M,,-173.00M,-2.307B,,-658.00M,-196.00M,,,0.00,-80.00M,1.282B,40.00M,1.046B,,1.094B,1.094B,301.00M,-1.947B,-1.646B,-688.00M,-688.00M,27.00M,-1.213B,6.325B,-825.00M,-8.00M,5.492B,301.00M,1.095B,-1.00M,-1.947B
2014-12,1.971B,0.00,,-166.00M,-166.00M,287.00M,287.00M,-7.00M,140.00M,273.00M,-48.00M,-31.00M,173.00M,-303.00M,288.00M,-140.00M,,-73.00M,-55.00M,,2.364B,-253.00M,,,0.00,-111.00M,-1.394B,22.00M,-1.736B,,0.00,0.00,116.00M,-1.664B,-1.548B,-697.00M,-697.00M,42.00M,-2.203B,7.907B,-1.575B,-7.00M,6.325B,116.00M,0.00,0.00,-1.664B
2014-09,1.894B,,,-141.00M,-141.00M,297.00M,297.00M,54.00M,10.00M,253.00M,-41.00M,-12.00M,-324.00M,-271.00M,18.00M,-28.00M,,-90.00M,-695.00M,,1.619B,-230.00M,0.00,0.00,,-448.00M,575.00M,16.00M,-87.00M,0.00,0.00,0.00,292.00M,-1.195B,-903.00M,-702.00M,-702.00M,42.00M,-1.563B,7.944B,-31.00M,-6.00M,7.907B,292.00M,0.00,0.00,-1.195B
2014-06,2.237B,,,-297.00M,-297.00M,292.00M,292.00M,-24.00M,174.00M,274.00M,-70.00M,15.00M,139.00M,-37.00M,51.00M,9.00M,,-90.00M,72.00M,,2.673B,-158.00M,37.00M,37.00M,,-100.00M,1.124B,3.00M,906.00M,0.00,0.00,0.00,194.00M,-1.35B,-1.156B,-705.00M,-705.00M,-115.00M,-1.976B,6.337B,1.603B,4.00M,7.944B,194.00M,0.00,0.00,-1.35B
2014-03,1.959B,,,-243.00M,-243.00M,289.00M,289.00M,10.00M,141.00M,250.00M,-70.00M,-22.00M,-884.00M,-84.00M,423.00M,58.00M,,-13.00M,-500.00M,,1.814B,-587.00M,,,,-32.00M,-2.265B,-19.00M,-2.903B,,0.00,0.00,512.00M,-1.002B,-490.00M,-589.00M,-589.00M,211.00M,-868.00M,8.292B,-1.957B,-2.00M,6.337B,512.00M,0.00,,-1.002B
2013-12,1.209B,,,-145.00M,-145.00M,272.00M,272.00M,258.00M,497.00M,282.00M,-99.00M,2.00M,788.00M,237.00M,-490.00M,69.00M,,-99.00M,505.00M,,2.781B,-210.00M,,,,-315.00M,101.00M,81.00M,445.00M,,,,441.00M,-1.002B,-561.00M,-590.00M,-590.00M,78.00M,-1.073B,6.142B,2.153B,1.00M,8.292B,441.00M,,,-1.002B
2013-09,1.501B,,93.00M,-130.00M,-37.00M,273.00M,273.00M,48.00M,37.00M,274.00M,-53.00M,-53.00M,-235.00M,399.00M,409.00M,-98.00M,,45.00M,520.00M,,2.51B,-240.00M,,,,-13.00M,4.666B,-8.00M,4.409B,53.00M,,53.00M,561.00M,-3.321B,-2.76B,-592.00M,-592.00M,-13.00M,-3.312B,2.533B,3.607B,2.00M,6.142B,561.00M,0.00,53.00M,-3.321B
2013-06,1.578B,,-93.00M,-60.00M,-153.00M,255.00M,255.00M,59.00M,190.00M,281.00M,-75.00M,67.00M,-21.00M,-245.00M,70.00M,90.00M,,-19.00M,-125.00M,,2.077B,-314.00M,,,,-47.00M,-1.953B,-2.00M,-2.316B,42.00M,,42.00M,217.00M,-1.039B,-822.00M,-604.00M,-604.00M,112.00M,-1.272B,4.093B,-1.511B,-3.00M,2.533B,217.00M,534.00M,-492.00M,-1.039B
2013-03,1.863B,,31.00M,-83.00M,-52.00M,248.00M,248.00M,-34.00M,35.00M,267.00M,-42.00M,-57.00M,-239.00M,-207.00M,591.00M,-150.00M,,-7.00M,-12.00M,,2.216B,-289.00M,,,,-93.00M,-2.106B,44.00M,-2.444B,,,,407.00M,0.00,407.00M,-431.00M,-431.00M,38.00M,14.00M,4.293B,-214.00M,-4.00M,4.093B,407.00M,,,0.00
2012-12,1.903B,,-31.00M,-96.00M,-127.00M,241.00M,241.00M,195.00M,15.00M,283.00M,-61.00M,24.00M,-185.00M,-247.00M,-11.00M,-51.00M,,-4.00M,-498.00M,,1.975B,-205.00M,,,,-39.00M,-1.009B,26.00M,-1.227B,,,,340.00M,-250.00M,90.00M,-428.00M,-428.00M,63.00M,-275.00M,3.807B,473.00M,0.00,4.293B,340.00M,,,-250.00M
2012-09,1.262B,0.00,92.00M,-155.00M,-63.00M,257.00M,257.00M,156.00M,167.00M,283.00M,-41.00M,-200.00M,-207.00M,-199.00M,245.00M,-209.00M,,-42.00M,-412.00M,,1.409B,-250.00M,,,0.00,-156.00M,411.00M,-7.00M,-2.00M,0.00,,0.00,356.00M,-841.00M,-485.00M,-425.00M,-425.00M,-107.00M,-1.017B,3.412B,390.00M,5.00M,3.807B,356.00M,0.00,0.00,-841.00M
2012-06,1.203B,0.00,-31.00M,4.00M,-27.00M,221.00M,221.00M,-261.00M,,264.00M,-29.00M,-36.00M,-54.00M,-32.00M,-241.00M,-21.00M,,-65.00M,-413.00M,,922.00M,-399.00M,,,0.00,-348.00M,-2.532B,-23.00M,-3.302B,-113.00M,151.00M,38.00M,223.00M,-373.00M,-150.00M,-429.00M,-429.00M,354.00M,-187.00M,5.998B,-2.567B,-19.00M,3.412B,223.00M,478.00M,-440.00M,-373.00M
2012-03,2.199B,-1.179B,-30.00M,-129.00M,-1.338B,211.00M,211.00M,382.00M,-20.00M,241.00M,-75.00M,56.00M,-157.00M,-71.00M,43.00M,14.00M,,403.00M,232.00M,,1.888B,-276.00M,,,1.925B,-29.00M,-3.068B,-57.00M,-1.505B,232.00M,-151.00M,81.00M,907.00M,0.00,907.00M,-367.00M,-367.00M,17.00M,638.00M,4.964B,1.021B,13.00M,5.998B,907.00M,232.00M,-151.00M,0.00
2011-12,1.395B,,-31.00M,-89.00M,-120.00M,208.00M,208.00M,118.00M,20.00M,247.00M,-23.00M,6.00M,-38.00M,50.00M,-17.00M,-24.00M,,-43.00M,-72.00M,,1.779B,-359.00M,,,,-300.00M,-1.413B,4.00M,-2.068B,,,,228.00M,-99.00M,129.00M,-362.00M,-362.00M,42.00M,-191.00M,5.462B,-480.00M,-18.00M,4.964B,228.00M,,,-99.00M
2011-09,1.048B,,,-32.00M,-155.00M,241.00M,241.00M,,66.00M,256.00M,-16.00M,41.00M,-161.00M,-19.00M,737.00M,,,-162.00M,325.00M,,1.82B,-193.00M,,,0.00,-399.00M,-1.371B,37.00M,-1.926B,,,0.00,255.00M,-142.00M,113.00M,,-361.00M,94.00M,-154.00M,5.746B,-260.00M,-24.00M,5.462B,255.00M,295.00M,-295.00M,-142.00M
2011-06,1.03B,,,-74.00M,-74.00M,185.00M,185.00M,,0.00,193.00M,-35.00M,-16.00M,-2.00M,38.00M,-46.00M,,,-125.00M,-135.00M,,1.264B,-219.00M,,,0.00,-3.136B,1.462B,-45.00M,-1.938B,,0.00,0.00,368.00M,0.00,368.00M,,-360.00M,45.00M,53.00M,6.367B,-621.00M,0.00,5.746B,368.00M,0.00,0.00,0.00
2011-03,994.00M,,,-104.00M,-103.00M,434.00M,434.00M,,103.00M,201.00M,1.387B,5.00M,-53.00M,-36.00M,68.00M,,,102.00M,81.00M,,1.768B,-79.00M,,,0.00,-23.00M,-1.093B,16.00M,-1.179B,,0.00,0.00,1.233B,0.00,1.233B,,-316.00M,141.00M,1.058B,4.711B,1.647B,9.00M,6.367B,1.233B,177.00M,-177.00M,0.00
2010-12,1.17B,,,-127.00M,-128.00M,201.00M,201.00M,,11.00M,174.00M,-1.519B,-32.00M,76.00M,-45.00M,-213.00M,,,353.00M,171.00M,,48.00M,-102.00M,,,,-66.00M,715.00M,7.00M,554.00M,,0.00,0.00,791.00M,0.00,791.00M,,-309.00M,79.00M,561.00M,3.547B,1.163B,1.00M,4.711B,791.00M,1.083B,-1.083B,0.00
2010-09,865.00M,,,-134.00M,-264.00M,171.00M,171.00M,,23.00M,159.00M,-11.00M,108.00M,73.00M,-87.00M,-104.00M,,,184.00M,6.00M,,1.093B,-1.177B,,,,-49.00M,312.00M,1.071B,157.00M,0.00,0.00,0.00,170.00M,-123.00M,47.00M,,-305.00M,3.00M,-255.00M,2.541B,995.00M,11.00M,3.547B,170.00M,0.00,0.00,-123.00M
2010-06,767.00M,,,-92.00M,-92.00M,166.00M,166.00M,,29.00M,149.00M,-3.00M,-97.00M,-126.00M,-45.00M,104.00M,,,13.00M,-54.00M,,951.00M,-117.00M,,,,-17.00M,511.00M,-946.00M,-569.00M,1.064B,0.00,1.064B,35.00M,-1.178B,-1.143B,,-309.00M,2.00M,-386.00M,2.553B,-4.00M,-8.00M,2.541B,35.00M,1.064B,0.00,-1.178B
2010-03,774.00M,,,-80.00M,-80.00M,167.00M,167.00M,,16.00M,153.00M,-18.00M,-39.00M,-52.00M,-49.00M,145.00M,,,-186.00M,-142.00M,,793.00M,-108.00M,,,,-22.00M,-121.00M,-4.00M,-255.00M,,0.00,0.00,332.00M,-1.715B,-1.383B,,-279.00M,18.00M,-1.644B,3.66B,-1.106B,-1.00M,2.553B,332.00M,0.00,0.00,-1.715B
