,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,-33.69M,-33.69M,308.61M,-342.30M,,,246.78M,,89.90M,-89.90M,259.35M,5.017M,-254.33M,,563.92M,-906.22M,5.017M,259.35M,-254.33M,-178.76M,-254.33M,-1.339B,-1.339B,,-7.444M,-1.347B,-1.257B,-762.82M,317.14M,-1.080B,-6.29,,,-5.87,-6.29,-6.29,,,-5.87,-6.29,214.16M,214.16M,0.0
2020-06,175.60M,175.60M,680.42M,-504.82M,,,301.42M,,156.50M,-156.50M,218.89M,5.206M,-213.68M,,621.18M,-1.126B,5.206M,218.89M,-213.68M,-292.18M,-213.68M,-1.632B,-1.632B,,-7.444M,-1.639B,-1.483B,-1.093B,319.76M,-1.413B,-7.83,,,-7.082999999999999,-7.83,-7.83,,,-7.082999999999999,-7.83,209.38M,209.38M,0.0
2020-03,2.033B,2.033B,1.511B,521.93M,,,395.89M,,1.108B,-1.108B,92.91M,5.534M,-87.38M,,720.22M,-198.29M,5.534M,92.91M,-87.38M,-1.151B,-87.38M,-1.437B,-1.437B,,-7.444M,-1.444B,-336.36M,-1.020B,324.33M,-1.344B,-6.91,,,-1.61,-6.91,-6.91,,,-1.61,-6.91,209.10M,209.10M,0.78
2019-12,2.517B,2.517B,1.482B,1.036B,,,414.71M,,,,94.76M,5.194M,-89.56M,,736.47M,299.42M,5.194M,94.76M,-89.56M,70.61M,-89.56M,280.47M,280.47M,,-7.338M,273.14M,273.14M,696.99M,321.76M,375.23M,1.31,,,1.31,1.31,1.3,,,1.3,1.3,209.19M,209.62M,0.78
2019-09,3.187B,3.187B,1.623B,1.564B,,,352.72M,,0.00,0.00,102.04M,5.625M,-96.41M,,673.02M,890.79M,5.625M,102.04M,-96.41M,95.99M,-96.41M,890.36M,890.36M,,-7.125M,883.24M,883.24M,1.313B,320.30M,992.40M,4.21,,,4.21,4.21,4.2,,,4.2,4.2,209.58M,210.12M,0.78
2019-06,2.807B,2.807B,1.545B,1.262B,,,376.87M,,0.00,0.00,111.30M,6.342M,-104.96M,,688.47M,573.65M,6.342M,111.30M,-104.96M,11.26M,-104.96M,479.96M,479.96M,,-7.125M,472.83M,472.83M,902.86M,311.60M,591.26M,2.26,,,2.26,2.26,2.25,,,2.25,2.25,209.53M,210.05M,0.7
2019-03,2.440B,2.440B,1.414B,1.026B,,,414.95M,,0.00,0.00,100.42M,9.784M,-90.63M,,707.23M,318.83M,9.784M,100.42M,-90.63M,28.61M,-90.63M,256.81M,256.81M,,-7.125M,249.68M,249.68M,649.51M,292.28M,357.22M,1.19,,,1.19,1.19,1.19,,,1.19,1.19,209.32M,209.87M,0.7
2018-12,2.332B,2.332B,1.360B,971.89M,,,327.69M,,,,97.42M,6.138M,-91.28M,,607.86M,364.03M,6.138M,97.42M,-91.28M,47.71M,-91.28M,320.45M,320.45M,,-4.75M,315.70M,315.70M,698.04M,280.17M,417.87M,1.51,,,1.51,1.51,1.5,,,1.5,1.5,208.98M,210.30M,0.7
2018-09,2.796B,2.796B,1.411B,1.385B,,,325.17M,,,,86.51M,5.831M,-80.68M,,585.09M,799.73M,5.831M,86.51M,-80.68M,91.34M,-80.68M,810.39M,810.39M,,0.00,810.39M,810.39M,1.157B,259.92M,896.90M,3.88,,,3.88,3.88,3.86,,,3.86,3.86,209.05M,209.93M,0.7
2018-06,2.338B,2.338B,1.314B,1.023B,,,312.92M,,,,81.86M,13.10M,-68.77M,,566.30M,456.90M,13.10M,81.86M,-68.77M,78.17M,-68.77M,466.30M,466.30M,,0.00,466.30M,466.30M,801.54M,253.38M,548.16M,2.2,,,2.2,2.2,2.19,,,2.19,2.19,211.67M,212.51M,0.6
