,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,234.40M,,,,13.20M,116.80M,130.00M,130.00M,197.90M,,30.20M,-4.80M,69.70M,3.90M,34.50M,,-129.90M,-21.80M,137.90M,-12.10M,,,-5.501B,-2.70M,-5.516B,3.86B,,3.86B,2.80M,,2.80M,-53.40M,-53.40M,24.80M,-30.70M,3.804B,1.871B,-1.574B,5.40M,302.10M,2.80M,3.86B,,
2020-06,219.20M,0.00,,0.00,12.30M,101.20M,113.50M,113.50M,,,30.50M,5.80M,-18.70M,-8.80M,89.00M,,28.60M,90.10M,449.10M,-10.20M,,,-150.30M,,-160.50M,600.00M,,600.00M,1.70M,,1.70M,-53.50M,-53.50M,35.60M,-12.20M,571.60M,999.80M,860.20M,10.80M,1.871B,1.70M,600.00M,0.00,
2020-03,240.30M,0.00,,0.00,12.80M,101.80M,114.60M,114.60M,,,27.70M,-8.00M,26.00M,-10.30M,-70.20M,,43.80M,-10.70M,363.90M,-10.50M,,,-6.50M,,-17.00M,0.00,,0.00,2.80M,,2.80M,-53.10M,-53.10M,12.10M,-0.50M,-38.70M,709.70M,308.20M,-18.10M,999.80M,2.80M,,,
2019-12,871.10M,-599.90M,,-599.90M,13.30M,103.60M,116.90M,116.90M,-150.40M,,24.10M,1.80M,-84.20M,7.90M,47.00M,,-23.10M,-52.40M,466.20M,-13.00M,,,900.90M,-0.10M,887.80M,-925.00M,,-925.00M,1.60M,,1.60M,-48.20M,-48.20M,-3.90M,0.40M,-975.10M,323.00M,378.90M,7.80M,709.70M,1.60M,-60.00M,-865.00M,
2019-09,277.50M,1.10M,,1.10M,12.50M,93.80M,106.30M,106.30M,150.40M,,26.10M,-6.80M,24.00M,-6.80M,34.80M,,52.90M,104.90M,404.50M,-17.10M,,,-1.813B,0.10M,-1.830B,1.485B,,1.485B,1.60M,,1.60M,-47.90M,-47.90M,5.80M,-9.50M,1.435B,320.80M,9.80M,-7.60M,323.00M,1.60M,1.26B,225.00M,
2019-06,249.70M,1.10M,,1.10M,11.70M,86.50M,98.20M,98.20M,,,29.00M,5.70M,-62.10M,1.10M,-1.20M,,-20.70M,-82.90M,300.80M,-15.00M,,,-535.90M,-0.40M,-551.30M,230.00M,,230.00M,1.40M,,1.40M,-47.90M,-47.90M,11.00M,-13.10M,181.40M,392.50M,-69.10M,-2.60M,320.80M,1.40M,0.00,-225.00M,
2019-03,369.60M,-89.60M,,-89.60M,11.70M,82.90M,94.60M,94.60M,,,25.30M,-15.80M,63.60M,-19.50M,-92.80M,,-5.70M,-54.40M,290.30M,-17.80M,,,217.20M,-2.20M,197.20M,-455.00M,,-455.00M,2.20M,,2.20M,-47.70M,-47.70M,22.00M,14.20M,-464.30M,364.40M,23.20M,4.90M,392.50M,2.20M,,,
2018-12,257.10M,0.00,,0.00,12.20M,81.90M,94.10M,94.10M,,,52.70M,1.80M,-47.30M,8.60M,51.20M,,45.90M,58.40M,464.10M,-17.20M,,,-87.50M,0.00,-104.70M,-275.00M,,-275.00M,1.30M,,1.30M,-43.40M,-43.40M,-36.00M,5.80M,-347.30M,363.40M,12.10M,-11.10M,364.40M,1.30M,930.00M,-1.205B,
2018-09,247.60M,0.00,,15.90M,12.10M,82.60M,94.70M,94.70M,,,27.10M,2.20M,2.20M,-15.20M,48.40M,,-4.70M,30.70M,418.20M,-13.90M,,,-6.00M,0.10M,-19.80M,-395.00M,,-395.00M,1.30M,,1.30M,-42.20M,-42.20M,13.90M,-35.20M,-457.20M,421.80M,-58.80M,0.40M,363.40M,1.30M,105.00M,-500.00M,
2018-06,228.40M,0.00,,0.00,12.60M,77.70M,90.30M,90.30M,,,28.00M,4.40M,-59.20M,-6.20M,15.10M,,-34.70M,-85.00M,266.10M,-15.90M,,,-1.143B,0.20M,-1.159B,1.00B,,1.00B,1.20M,,1.20M,-42.40M,-42.40M,8.90M,0.30M,968.00M,366.20M,75.00M,-19.40M,421.80M,1.20M,465.00M,535.00M,
