,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,218.50M,249.84M,96.40M,153.44M,,,23.60M,,,,-0.045M,,,24.12M,0.58M,-26.69M,6.627M,122.74M,30.69M,0.58M,24.12M,-26.69M,16.67M,-26.69M,20.68M,20.68M,,,-1.216M,5.602M,19.46M,6.977M,140.46M,95.67M,44.79M,0.19,,,,0.019,0.19,0.19,,,,0.0289,0.19,73.02M,77.49M,0.885
2020-06,235.83M,253.70M,90.39M,163.31M,,,23.51M,,,,-0.373M,,,30.72M,0.648M,-32.73M,,119.45M,43.86M,0.648M,30.72M,-32.73M,55.50M,-32.73M,66.63M,66.63M,,,-4.093M,6.09M,62.53M,20.41M,195.95M,98.60M,97.34M,0.74,,,,0.1835,0.74,0.74,,,,0.2149,0.74,75.69M,80.22M,0.885
2020-03,261.16M,314.30M,107.86M,206.45M,,,19.57M,,,,-0.065M,,,37.99M,0.499M,-39.99M,,87.85M,118.60M,0.499M,37.99M,-39.99M,48.51M,-39.99M,127.11M,127.11M,,,-5.909M,6.404M,121.20M,76.44M,235.89M,70.78M,165.11M,1.47,,,,0.8951,1.47,1.47,,,,0.9278,1.47,77.86M,82.57M,0.295
2019-12,292.88M,308.08M,114.87M,193.22M,,,25.58M,,,,-0.369M,,,45.28M,0.561M,-47.81M,0.00,89.66M,103.55M,0.561M,45.28M,-47.81M,-31.48M,-47.81M,24.26M,24.26M,,,-0.36M,6.463M,23.90M,38.21M,136.72M,67.18M,69.54M,0.21,,,,0.3927,0.21,0.21,,,,0.3798,0.21,78.37M,84.32M,0.885
2019-09,299.55M,313.63M,117.77M,195.87M,,,23.84M,,,,3.755M,,,48.72M,0.608M,-51.22M,7.047M,101.35M,94.51M,0.608M,48.72M,-51.22M,-2.568M,-51.22M,40.72M,40.72M,,,-1.095M,6.47M,39.63M,34.30M,163.02M,73.58M,89.44M,0.4,,,,0.3353,0.4,0.4,,,,0.3386,0.4,82.29M,86.71M,0.85
2019-06,296.58M,313.02M,113.31M,199.72M,,,25.48M,,,,67.37M,,,49.53M,2.374M,-49.87M,,94.94M,104.77M,2.374M,49.53M,-49.87M,118.84M,-49.87M,173.74M,173.74M,,,-6.172M,6.466M,167.57M,118.39M,295.45M,72.17M,223.28M,1.94,,,,1.347,1.94,1.94,,,,1.3769999999999998,1.94,82.97M,87.40M,0.85
2019-03,290.15M,304.26M,112.68M,191.57M,,,25.98M,,,,-2.096M,,,51.10M,0.58M,-53.27M,,94.32M,97.25M,0.58M,51.10M,-53.27M,8.787M,-53.27M,52.77M,52.77M,,,-2.515M,6.462M,50.25M,52.55M,174.96M,71.08M,103.87M,0.52,,,,0.5476,0.52,0.52,,,,0.5461,0.52,83.31M,87.81M,0.85
2018-12,305.47M,317.04M,109.34M,207.69M,,,26.03M,,,,-15.32M,,,52.86M,0.887M,-54.67M,220.85M,318.34M,-110.65M,0.887M,52.86M,-54.67M,107.00M,-54.67M,-58.32M,-58.32M,,,3.68M,6.579M,-54.64M,3.411M,66.68M,72.14M,-5.459M,-0.73,,,,-0.0384,-0.73,-0.73,,,,-0.0732,-0.73,83.94M,88.38M,0.85
2018-09,299.84M,307.54M,115.16M,192.38M,,,20.59M,,,,-5.414M,,,55.57M,0.406M,-57.80M,6.691M,98.03M,94.35M,0.406M,55.57M,-57.80M,62.90M,-57.80M,99.45M,99.45M,,,-4.661M,6.584M,94.79M,101.37M,228.40M,73.38M,155.03M,1.03,,,,1.107,1.03,1.03,,,,1.103,1.03,85.57M,90.43M,0.8125
2018-06,287.69M,301.12M,110.40M,190.71M,,,22.48M,,,,10.80M,,,53.96M,0.348M,-57.16M,,90.39M,100.32M,0.348M,53.96M,-57.16M,72.74M,-57.16M,115.90M,115.90M,,,-5.759M,6.584M,110.14M,113.05M,241.32M,71.46M,169.86M,1.19,,,,1.2229999999999999,1.19,1.19,,,,1.222,1.19,87.18M,92.08M,0.8125
