,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-10,,1.236B,,1.236B,758.34M,50.93M,813.06M,192.33M,308.17M,,,2.549B,0.0,19.96M,129.75M,860.81M,465.82M,242.83M,1.719B,-769.53M,949.64M,3.365B,254.32M,3.619B,497.55M,405.95M,5.481B,8.030B,30.00M,27.74M,,57.74M,593.66M,651.40M,27.08M,27.08M,73.17M,100.26M,1.388B,1.388B,,2.140B,100.82M,462.41M,563.23M,104.85M,374.59M,,,4.963M,14.77M,977.77M,3.118B,1.528M,3.795B,1.653B,488.61M,,,-54.07M,4.907B
2020-07,,1.050B,,1.050B,638.49M,,659.45M,159.81M,316.83M,,,2.186B,,,,,956.77M,,956.77M,,956.77M,3.356B,275.34M,3.632B,463.89M,416.54M,5.477B,7.663B,37.13M,20.65M,,57.78M,512.78M,570.56M,24.25M,24.25M,71.86M,96.11M,1.390B,1.390B,,2.056B,107.10M,470.22M,577.32M,111.92M,381.40M,,,5.392M,19.93M,1.006B,3.062B,1.519M,3.598B,1.624B,554.30M,,,-72.82M,4.596B
2020-04,,856.42M,,856.42M,634.81M,,653.62M,166.44M,284.28M,,,1.961B,,,,,933.19M,,933.19M,,933.19M,3.311B,279.31M,3.591B,430.10M,392.79M,5.362B,7.322B,51.76M,16.75M,,68.51M,395.30M,463.81M,121.41M,121.41M,72.46M,193.88M,1.397B,1.397B,,2.054B,114.37M,462.09M,576.46M,125.15M,368.81M,,,5.863M,17.46M,987.32M,3.042B,1.509M,3.356B,1.656B,634.67M,,,-104.03M,4.275B
2020-01,,700.36M,,700.36M,799.08M,,821.02M,148.06M,281.99M,,,1.951B,,,,,917.66M,,917.66M,,917.66M,3.232B,282.14M,3.514B,407.48M,397.08M,5.251B,7.203B,26.58M,18.81M,,45.39M,328.77M,374.16M,208.58M,208.58M,68.27M,276.85M,1.405B,1.405B,,2.056B,122.52M,459.15M,581.67M,96.71M,362.36M,,,5.863M,18.56M,992.48M,3.048B,1.502M,3.268B,1.627B,664.35M,,,-83.31M,4.149B
2019-10,,728.60M,,728.60M,524.77M,38.18M,578.75M,141.52M,290.05M,,,1.739B,0.0,18.85M,68.71M,751.34M,,273.98M,1.113B,-683.35M,429.53M,3.171B,279.37M,3.451B,390.13M,380.53M,4.666B,6.405B,19.82M,15.90M,,35.72M,486.64M,522.36M,17.61M,17.61M,0.00,17.61M,1.212B,1.212B,,1.752B,120.09M,0.00,120.09M,90.10M,339.92M,,,5.863M,73.90M,563.83M,2.316B,1.503M,3.164B,1.635B,625.64M,,,-92.45M,4.083B
2019-07,,686.78M,,686.78M,457.39M,,487.14M,155.11M,288.62M,,,1.618B,,,,,,,,,372.57M,3.143B,283.30M,3.426B,339.35M,383.51M,4.536B,6.153B,14.85M,3.175M,,18.02M,456.78M,474.80M,,16.65M,,16.65M,1.139B,1.139B,,1.630B,125.28M,,125.28M,91.23M,339.74M,,,5.863M,90.42M,583.29M,2.214B,1.504M,3.003B,1.598B,572.10M,,,-96.65M,3.934B
2019-04,424.72M,631.16M,,631.16M,526.69M,,586.54M,166.33M,259.85M,,,1.644B,,,,,,,,,344.18M,3.144B,306.93M,3.451B,352.67M,380.68M,4.550B,6.194B,31.22M,6.983M,,38.20M,334.63M,372.83M,,165.69M,,165.69M,1.194B,1.194B,,1.733B,126.15M,,126.15M,60.82M,305.66M,,,5.863M,79.39M,545.86M,2.279B,1.50M,2.913B,1.659B,567.50M,,,-96.72M,3.910B
2019-01,469.91M,592.30M,,592.30M,762.29M,,817.84M,137.56M,249.93M,,,1.798B,,,,,,,,,317.90M,3.146B,332.19M,3.478B,337.82M,358.53M,4.547B,6.344B,26.02M,13.37M,,39.38M,309.32M,348.71M,,414.73M,,414.73M,1.262B,1.262B,,2.026B,127.14M,,127.14M,63.01M,292.29M,,,5.863M,66.82M,534.18M,2.560B,1.493M,2.821B,1.654B,600.11M,,,-97.85M,3.779B
2018-10,,723.12M,,723.12M,554.22M,,630.74M,122.41M,67.53M,,,1.544B,0.0,18.85M,68.52M,665.19M,,183.43M,935.99M,-626.68M,309.31M,3.143B,360.40M,3.504B,404.17M,246.74M,4.602B,6.146B,85.05M,27.46M,,112.50M,493.28M,605.78M,,343.77M,,343.77M,1.153B,1.153B,,2.102B,125.54M,,125.54M,116.86M,329.02M,,,5.863M,53.40M,558.54M,2.661B,1.493M,2.544B,1.645B,597.68M,,,-113.18M,3.479B
2018-07,,741.24M,,741.24M,501.33M,,545.71M,,178.64M,,,1.466B,,,,,,,,,290.45M,3.139B,394.48M,3.533B,167.43M,252.20M,4.330B,5.795B,49.47M,6.909M,,56.38M,399.56M,455.95M,,497.81M,,497.81M,1.130B,1.130B,,2.083B,123.75M,,123.75M,113.84M,334.82M,,,5.863M,52.54M,547.81M,2.631B,1.486M,2.297B,1.591B,636.53M,,,-94.65M,3.158B
