,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-10,197.46M,20.31M,,20.31M,,50.83M,50.83M,-37.15M,,78.43M,,21.75M,-147.14M,-37.98M,10.05M,69.93M,,-20.61M,-9.724M,-135.47M,202.15M,-35.49M,,-34.48M,,0.00,0.00,,-35.49M,-4.662M,,-4.662M,74.17M,-42.08M,32.09M,-16.56M,10.87M,1.052B,177.53M,8.454M,1.238B,74.17M,-0.001M,-4.661M,-42.08M
2020-07,252.91M,21.08M,,21.08M,,54.08M,54.08M,-36.69M,,61.84M,,16.57M,-5.134M,7.056M,-15.46M,122.83M,,-25.54M,-59.01M,24.75M,399.42M,-40.48M,,-39.57M,,-49.87M,2.151M,,-88.19M,-105.78M,,-105.78M,24.88M,-20.00M,4.876M,-29.88M,-130.78M,858.42M,180.45M,13.12M,1.052B,24.88M,0.00,-105.78M,-20.00M
2020-04,109.92M,16.31M,,16.31M,,52.85M,52.85M,-19.99M,,56.44M,,14.52M,161.83M,-18.79M,-14.59M,53.82M,,-11.45M,-26.07M,144.76M,379.92M,-27.12M,,-26.06M,,-75.79M,-0.262M,,-103.18M,-94.69M,,-94.69M,83.38M,-100.00M,-16.62M,-2.863M,-114.17M,702.28M,162.57M,-6.437M,858.42M,83.38M,80.00M,-174.69M,-100.00M
2020-01,104.06M,23.20M,,23.20M,,52.23M,52.23M,-17.69M,,51.88M,,13.76M,-246.36M,-5.302M,8.697M,-132.81M,,-20.98M,174.28M,-222.49M,9.82M,-55.67M,,-54.60M,,-75.39M,-2.50M,,-133.56M,192.74M,,192.74M,14.98M,-80.00M,-65.02M,-34.24M,93.48M,730.53M,-30.26M,2.013M,702.28M,14.98M,196.49M,-3.75M,-80.00M
2019-10,160.71M,0.00,,0.00,,49.54M,49.54M,-72.96M,,40.18M,,15.53M,-97.94M,22.04M,-11.56M,25.92M,,0.00,87.07M,25.53M,221.25M,-77.78M,,-75.77M,,-36.60M,-3.245M,,-117.64M,-3.751M,,-3.751M,49.01M,-120.00M,-70.99M,15.17M,-59.58M,688.68M,44.04M,-2.193M,730.53M,49.01M,0.00,-3.751M,-120.00M
2019-07,99.93M,-0.308M,,-0.308M,,49.29M,49.29M,13.82M,,39.45M,,17.80M,65.89M,10.93M,-19.68M,115.29M,,0.00,-26.96M,145.47M,370.46M,-54.15M,,-53.40M,,0.00,2.185M,,-51.96M,-149.61M,,-149.61M,24.00M,-100.00M,-76.00M,-39.14M,-264.75M,633.05M,53.75M,1.882M,688.68M,24.00M,4.137M,-153.75M,-100.00M
2019-04,118.21M,-3.744M,,-3.744M,,51.01M,51.01M,-17.27M,,36.91M,,15.63M,232.53M,-34.53M,-8.52M,58.61M,,0.00,-98.46M,149.62M,352.82M,-40.71M,,-39.96M,,0.00,4.176M,,-36.53M,-250.07M,,-250.07M,76.99M,-80.00M,-3.006M,-22.58M,-275.66M,594.21M,40.63M,-1.789M,633.05M,76.99M,3.68M,-253.75M,-80.00M
2019-01,153.51M,0.00,,0.00,,51.83M,51.83M,-6.215M,,38.46M,,12.79M,-209.05M,-15.83M,-10.03M,-219.10M,,0.00,58.10M,-395.90M,-144.02M,-29.74M,,-29.01M,,0.00,0.00,,-29.74M,72.27M,,72.27M,6.358M,-29.18M,-22.83M,-11.36M,38.09M,725.00M,-135.68M,4.882M,594.21M,6.358M,185.08M,-112.81M,-29.18M
2018-10,254.33M,0.00,,0.00,,58.96M,58.96M,-215.82M,,37.49M,,-103.39M,-54.09M,-17.31M,-2.886M,105.53M,,,-34.44M,-3.194M,130.92M,-28.74M,0.00,-28.51M,,-5.956M,-2.916M,,-37.62M,-152.18M,,-152.18M,51.11M,-33.00M,18.11M,29.86M,-104.21M,743.16M,-10.90M,-7.26M,725.00M,51.11M,5.635M,-157.81M,-33.00M
2018-07,79.41M,0.00,,0.00,,53.42M,53.42M,-33.37M,,37.25M,,37.25M,63.76M,-7.443M,-3.324M,75.27M,,,24.19M,152.46M,289.17M,-22.81M,0.00,-21.86M,,-3.15M,-0.151M,,-26.11M,97.19M,,97.19M,13.75M,-132.00M,-118.25M,-61.99M,-83.06M,572.77M,179.99M,-9.599M,743.16M,13.75M,165.00M,-67.81M,-132.00M
2018-04,102.47M,-0.097M,,-0.097M,,52.91M,52.91M,-7.294M,,32.96M,,32.96M,-70.65M,-25.19M,8.062M,8.101M,,,-40.92M,-120.58M,63.37M,-21.25M,1.662M,-18.63M,,-35.19M,0.00,,-54.78M,-47.81M,,-47.81M,46.49M,-55.00M,-8.511M,18.36M,-37.96M,607.92M,-29.37M,-5.782M,572.77M,46.49M,0.00,-47.81M,-55.00M
