,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,428.00M,,-15.00M,,-326.00M,-341.00M,418.00M,418.00M,82.00M,1.00M,21.00M,82.00M,,,,0.00,,-508.00M,-508.00M,-10.00M,602.00M,-1.115B,,-1.115B,-89.00M,0.00,13.00M,-439.00M,-542.00M,0.00,-542.00M,-3.00M,-501.00M,-504.00M,-1.00M,,-1.00M,-305.00M,-36.00M,-341.00M,-164.00M,-1.552B,4.93B,-1.389B,5.00M,3.546B,-4.00M,1.875B,-2.417B,-501.00M,73.00M,241.00M
2020-06,528.00M,,-13.00M,,-233.00M,-246.00M,412.00M,412.00M,149.00M,,14.00M,-75.00M,,,,,,36.00M,36.00M,-1.109B,-291.00M,-1.188B,,-1.188B,-54.00M,0.00,14.00M,4.035B,1.903B,-3.998B,-2.095B,2.00M,-7.00M,-5.00M,891.00M,,891.00M,-298.00M,-35.00M,-333.00M,-22.00M,-1.272B,2.454B,2.472B,4.00M,4.93B,893.00M,313.00M,-2.408B,-7.00M,1.235B,277.00M
2020-03,867.00M,,123.00M,,-263.00M,-140.00M,412.00M,412.00M,-243.00M,,22.00M,124.00M,,,,,,208.00M,208.00M,68.00M,1.318B,-1.01B,,-1.01B,-86.00M,0.00,-17.00M,-1.181B,186.00M,2.127B,2.313B,11.00M,-57.00M,-46.00M,,,,-269.00M,-36.00M,-305.00M,43.00M,2.114B,217.00M,2.251B,-14.00M,2.454B,11.00M,3.746B,-1.433B,-57.00M,68.00M,263.00M
2019-12,245.00M,,-2.00M,,-95.00M,-97.00M,395.00M,395.00M,177.00M,0.00,19.00M,24.00M,,,,-88.00M,,557.00M,269.00M,101.00M,970.00M,-1.118B,,-1.118B,-348.00M,0.00,5.00M,-1.154B,-140.00M,-232.00M,-372.00M,1.073B,-3.00M,1.07B,0.00,,0.00,-259.00M,-35.00M,-294.00M,75.00M,-100.00M,497.00M,-284.00M,4.00M,217.00M,1.073B,139.00M,-1.167B,-3.00M,-118.00M,285.00M
2019-09,773.00M,,13.00M,,-266.00M,-250.00M,402.00M,402.00M,24.00M,43.00M,17.00M,23.00M,,,,-323.00M,,-566.00M,-889.00M,108.00M,414.00M,-939.00M,,-939.00M,-58.00M,0.00,3.00M,-1.172B,-990.00M,1.332B,342.00M,737.00M,-5.00M,732.00M,0.00,,0.00,-251.00M,-36.00M,-287.00M,173.00M,964.00M,294.00M,206.00M,-3.00M,497.00M,737.00M,1.527B,-1.185B,-5.00M,308.00M,252.00M
2019-06,390.00M,,-4.00M,,-118.00M,-188.00M,389.00M,389.00M,-36.00M,,18.00M,-14.00M,,,,,,106.00M,106.00M,88.00M,753.00M,-868.00M,,-868.00M,-1.297B,0.00,571.00M,-1.657B,2.292B,-941.00M,1.351B,9.00M,-4.00M,5.00M,0.00,,0.00,-251.00M,-35.00M,-286.00M,-42.00M,992.00M,207.00M,88.00M,-1.00M,294.00M,9.00M,1.829B,-478.00M,-4.00M,48.00M,257.00M
2019-03,591.00M,,-7.00M,,-101.00M,-108.00M,383.00M,383.00M,24.00M,,21.00M,-7.00M,,,,,,-46.00M,-46.00M,93.00M,951.00M,-783.00M,,-783.00M,-94.00M,0.00,337.00M,-610.00M,-533.00M,497.00M,-36.00M,11.00M,-14.00M,-3.00M,,,,-232.00M,-36.00M,-268.00M,-27.00M,-381.00M,246.00M,-40.00M,1.00M,207.00M,11.00M,801.00M,-837.00M,-14.00M,16.00M,257.00M
2018-12,841.00M,,,44.00M,-126.00M,-595.00M,376.00M,376.00M,86.00M,-182.00M,33.00M,76.00M,,,,-79.00M,,190.00M,146.00M,76.00M,857.00M,-890.00M,,-890.00M,-247.00M,0.00,1.567B,322.00M,-37.00M,-799.00M,-836.00M,11.00M,-1.00M,10.00M,-1.00M,,-1.00M,-232.00M,-36.00M,-268.00M,50.00M,-1.215B,288.00M,-36.00M,-6.00M,246.00M,10.00M,469.00M,-506.00M,-1.00M,38.00M,218.00M
2018-09,269.00M,,,-35.00M,-73.00M,-108.00M,337.00M,337.00M,73.00M,4.00M,50.00M,-107.00M,,,,0.00,,292.00M,292.00M,220.00M,1.03B,-713.00M,,-713.00M,-98.00M,0.00,-53.00M,-1.052B,93.00M,-551.00M,-458.00M,171.00M,0.00,171.00M,566.00M,,566.00M,-229.00M,-24.00M,-253.00M,-74.00M,-12.00M,327.00M,-34.00M,-5.00M,288.00M,737.00M,1.051B,-958.00M,0.00,-18.00M,203.00M
2018-06,-502.00M,,,26.00M,3.00M,29.00M,406.00M,406.00M,-603.00M,1.30B,-15.00M,136.00M,,,,,,-12.00M,-12.00M,-76.00M,663.00M,-962.00M,,-962.00M,-206.00M,0.00,60.00M,-1.038B,-266.00M,117.00M,-149.00M,812.00M,-1.00M,811.00M,0.00,,0.00,-222.00M,-29.00M,-251.00M,49.00M,399.00M,307.00M,24.00M,-4.00M,327.00M,812.00M,1.458B,-1.724B,-1.00M,69.00M,244.00M
