,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,566.70M,408.10M,974.80M,393.60M,393.60M,37.80M,566.40M,201.80M,806.00M,,,,143.20M,2.318B,0.0,11.80M,424.80M,2.603B,167.90M,140.70M,,3.348B,-1.930B,1.417B,1.190B,53.50M,1.243B,5.20M,55.30M,67.90M,2.789B,5.107B,226.90M,226.90M,,226.90M,,,,,108.00M,448.40M,,150.70M,150.70M,,,32.10M,494.10M,942.50M,41.40M,4.820B,3.404B,4.094B,-7.80M,4.164B
2020-06,791.30M,347.00M,1.138B,346.10M,346.10M,37.70M,484.40M,176.10M,698.20M,,,,154.80M,2.337B,0.0,11.80M,413.40M,2.539B,172.70M,118.90M,,3.256B,-1.876B,1.380B,1.190B,62.90M,1.253B,24.10M,42.60M,36.00M,2.735B,5.072B,200.90M,200.90M,,200.90M,,,,,105.60M,401.10M,,155.80M,155.80M,,,32.50M,488.90M,890.00M,41.80M,4.657B,3.352B,3.860B,-7.60M,4.182B
2020-03,912.40M,161.50M,1.074B,367.60M,367.60M,22.20M,387.00M,239.70M,648.90M,,,,130.40M,2.221B,0.0,11.80M,402.90M,2.397B,171.30M,207.70M,,3.191B,-1.812B,1.379B,1.190B,85.40M,1.275B,34.10M,39.60M,33.00M,2.761B,4.982B,169.50M,169.50M,,169.50M,,,,,114.30M,362.20M,,151.90M,151.90M,,,32.00M,476.90M,839.10M,41.90M,4.601B,3.307B,3.800B,-7.50M,4.143B
2019-12,928.20M,262.20M,1.190B,426.80M,426.80M,22.80M,376.50M,205.10M,604.40M,,,,124.90M,2.346B,0.0,11.80M,392.00M,2.385B,159.10M,157.00M,,3.104B,-1.754B,1.35B,1.190B,96.50M,1.286B,38.20M,39.90M,31.00M,2.745B,5.092B,138.50M,138.50M,,138.50M,,,,,114.80M,333.20M,,150.90M,150.90M,,,30.90M,491.30M,824.50M,42.60M,4.495B,3.252B,3.514B,-8.00M,4.267B
2019-09,851.30M,203.30M,1.055B,465.30M,465.30M,24.40M,336.20M,249.10M,609.70M,,,,105.00M,2.235B,0.0,11.70M,354.40M,2.345B,,172.50M,,2.884B,-1.678B,1.206B,1.190B,107.90M,1.298B,27.60M,40.80M,33.30M,2.605B,4.840B,190.50M,190.50M,,190.50M,,,,,107.50M,374.00M,,0.00,0.00,,,30.90M,343.30M,717.30M,42.50M,4.313B,3.188B,3.413B,-7.90M,4.122B
2019-06,742.80M,192.20M,935.00M,557.80M,557.80M,20.30M,349.20M,211.30M,580.80M,,,,132.70M,2.206B,0.0,11.70M,349.60M,2.315B,,185.90M,,2.862B,-1.632B,1.230B,1.190B,114.10M,1.304B,35.10M,33.70M,33.20M,2.636B,4.842B,218.90M,218.90M,,218.90M,,,,,92.40M,396.50M,,,,,,30.40M,345.90M,742.40M,42.90M,4.177B,3.153B,3.266B,-7.80M,4.100B
2019-03,816.30M,141.10M,957.40M,543.80M,543.80M,20.30M,332.90M,201.80M,555.00M,,,,103.90M,2.160B,0.0,11.70M,262.60M,2.262B,,188.50M,,2.725B,-1.556B,1.170B,1.190B,129.90M,1.320B,33.90M,49.20M,32.80M,2.605B,4.766B,167.90M,167.90M,,167.90M,,,,,100.10M,338.30M,,,,,,30.60M,346.30M,684.60M,43.20M,4.099B,3.126B,3.179B,-8.10M,4.081B
2018-12,1.086B,13.40M,1.099B,524.40M,524.40M,21.50M,301.50M,170.10M,493.10M,,,,91.90M,2.208B,0.0,11.70M,258.70M,2.183B,,163.30M,,2.617B,-1.476B,1.141B,1.190B,130.10M,1.320B,2.70M,34.70M,32.50M,2.530B,4.739B,156.50M,156.50M,,156.50M,,,,,130.00M,357.30M,,,,,,29.80M,343.30M,700.60M,43.50M,3.951B,3.088B,3.036B,-8.20M,4.038B
2018-09,733.30M,294.10M,1.027B,655.80M,655.80M,20.20M,340.70M,129.30M,490.20M,,,,88.80M,2.262B,0.0,11.60M,238.00M,2.121B,,179.00M,,2.550B,-1.409B,1.141B,1.190B,143.70M,1.334B,22.80M,36.50M,33.00M,2.567B,4.829B,229.90M,229.90M,,229.90M,,,,,74.60M,389.70M,,,,,,31.70M,342.20M,731.90M,44.40M,3.733B,3.061B,2.732B,-8.80M,4.097B
2018-06,1.158B,384.40M,1.542B,468.40M,468.40M,19.60M,305.20M,178.00M,502.80M,,,,117.70M,2.631B,0.0,11.60M,219.70M,1.929B,,223.20M,,2.384B,-1.349B,1.035B,883.00M,59.90M,942.90M,106.30M,30.90M,37.20M,2.152B,4.783B,230.20M,230.20M,,230.20M,,,,,49.00M,358.30M,,,,,,32.20M,342.10M,700.40M,44.90M,3.515B,3.028B,2.497B,-8.80M,4.083B
