,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,222.72M,,-3.046M,2.688M,-0.358M,19.81M,10.34M,30.15M,30.15M,2.616M,,11.66M,-28.36M,109.02M,20.73M,8.728M,-45.80M,,,7.934M,100.61M,,342.51M,-62.86M,,-62.86M,0.00,-56.51M,0.00,-119.36M,,,,0.00,0.00,-16.60M,-16.60M,13.77M,-0.216M,-3.049M,725.43M,220.10M,-0.349M,945.18M,,,,0.00
2020-06,188.91M,,-5.126M,-0.099M,-5.225M,19.82M,12.84M,32.66M,32.66M,-5.338M,,10.91M,28.04M,-204.26M,-19.55M,-9.859M,171.46M,,,29.57M,-32.63M,,222.90M,-47.31M,,-47.31M,0.00,-16.25M,0.546M,-63.01M,,,,-9.426M,-9.426M,-16.58M,-16.58M,0.005M,-0.449M,-26.45M,593.49M,133.43M,-1.496M,725.43M,,,,-9.426M
2020-03,176.19M,,4.657M,,4.657M,18.49M,13.39M,31.88M,31.88M,-1.825M,,10.46M,-10.78M,-126.78M,15.82M,-39.62M,-20.04M,,,-0.913M,-171.54M,,43.10M,-36.70M,,-36.70M,0.149M,-73.66M,,-110.21M,,,,-79.04M,-79.04M,-16.69M,-16.69M,12.75M,-30.92M,-113.90M,773.92M,-181.00M,0.571M,593.49M,,,,-79.04M
2019-12,125.07M,,-1.875M,7.728M,5.853M,19.33M,12.97M,32.30M,32.30M,-6.479M,,9.075M,-3.952M,-3.651M,-13.26M,-7.666M,46.11M,,,11.53M,33.06M,,216.33M,-38.59M,,-38.59M,-57.77M,206.60M,0.00,110.24M,,,,-131.22M,-131.22M,-15.04M,-15.04M,0.032M,-0.191M,-146.41M,593.94M,180.15M,-0.169M,773.92M,,,,-131.22M
2019-09,135.86M,,-0.417M,0.00,-0.417M,17.63M,11.87M,29.50M,29.50M,-3.492M,,10.71M,-8.939M,12.69M,-11.70M,0.949M,18.98M,,,11.95M,32.88M,,199.15M,-37.09M,,-37.09M,0.00,56.74M,2.639M,22.29M,,,,-121.56M,-121.56M,-15.25M,-15.25M,14.19M,-0.104M,-122.72M,495.11M,98.71M,0.119M,593.94M,,,,-121.56M
2019-06,97.40M,,-0.913M,0.448M,-0.465M,17.23M,12.03M,29.26M,29.26M,-0.691M,,8.635M,-12.66M,-37.77M,0.47M,1.581M,46.73M,,,9.371M,20.38M,,145.26M,-33.24M,,-33.24M,-15.00M,20.01M,0.00,-28.24M,,,,-90.75M,-90.75M,-15.39M,-15.39M,0.821M,-0.128M,-105.45M,483.73M,11.57M,-0.19M,495.11M,,,,-90.75M
2019-03,109.14M,,-2.828M,,-2.828M,16.65M,12.94M,29.59M,29.59M,1.206M,,9.474M,1.979M,-41.71M,-2.917M,-18.65M,-76.13M,,,6.455M,-132.94M,,18.02M,-25.71M,,-25.71M,-6.97M,-228.54M,0.273M,-260.95M,,,,-156.47M,-156.47M,-15.63M,-15.63M,14.27M,-41.93M,-199.76M,926.75M,-442.70M,-0.329M,483.73M,,,,-156.47M
2018-12,143.79M,,3.914M,-3.512M,0.402M,17.48M,12.90M,30.38M,30.38M,3.898M,,8.25M,9.28M,59.87M,4.619M,-29.68M,-49.71M,,,3.556M,-11.35M,,186.38M,-26.11M,,-26.11M,-169.47M,399.55M,0.00,203.96M,,,,-261.22M,-261.22M,-16.00M,-16.00M,0.014M,-0.182M,-277.38M,814.02M,112.96M,-0.222M,926.75M,,,,-261.22M
2018-09,119.98M,,-1.182M,0.267M,-0.915M,16.77M,12.73M,29.51M,29.51M,7.13M,,7.702M,-1.309M,101.60M,-12.83M,-30.36M,17.44M,,,-0.695M,75.14M,,240.58M,-25.61M,,-25.61M,,317.06M,9.046M,300.50M,,,,-201.47M,-201.47M,-16.64M,-16.64M,10.28M,-0.09M,-207.92M,480.38M,333.16M,0.472M,814.02M,,,,-201.47M
2018-06,101.04M,,-0.479M,-0.071M,-0.55M,16.82M,10.97M,27.79M,27.79M,8.616M,,8.081M,-4.399M,-38.66M,-0.266M,2.32M,24.35M,,,0.874M,-11.38M,,131.85M,-27.87M,,-27.87M,25.36M,-41.83M,,-44.34M,,,,-226.52M,-226.52M,-17.09M,-17.09M,0.027M,-0.122M,-243.71M,637.87M,-156.20M,-1.289M,480.38M,,,,-226.52M
2018-03,86.97M,,1.241M,,1.241M,16.34M,9.204M,25.54M,25.54M,8.696M,,9.544M,-5.836M,-140.75M,-21.02M,-0.679M,-58.81M,,,9.644M,-211.61M,,-81.93M,-34.80M,,-34.80M,-25.36M,523.04M,,462.89M,,,,-134.28M,-134.28M,-17.59M,-17.59M,10.65M,-33.20M,-174.41M,429.84M,206.55M,1.478M,637.87M,,,,-134.28M
2017-12,-105.92M,,,-4.12M,-4.998M,16.88M,9.64M,26.52M,26.52M,37.78M,,8.477M,6.085M,-4.961M,21.19M,-5.108M,196.27M,,,-29.55M,177.84M,,147.47M,-32.13M,,-32.13M,0.00,-42.39M,0.00,-74.52M,,,,-48.48M,-48.48M,-13.72M,-13.72M,0.031M,-0.297M,-62.47M,418.68M,10.49M,0.678M,429.84M,,,,-48.48M
2017-09,103.42M,,,0.00,0.00,16.77M,9.901M,26.67M,26.67M,2.884M,,8.308M,-8.194M,138.57M,31.92M,2.937M,-27.76M,,,29.22M,174.88M,,309.83M,-27.28M,,-27.28M,0.00,-406.14M,5.064M,-428.36M,,,,-57.49M,-57.49M,-13.80M,-13.80M,9.247M,-0.146M,-62.20M,598.35M,-180.72M,1.052M,418.68M,,,,-57.49M
2017-06,174.98M,,,-2.504M,-2.504M,16.33M,11.34M,27.67M,27.67M,-0.086M,,8.367M,1.614M,-90.40M,54.00M,3.321M,42.13M,,,8.645M,17.70M,,230.31M,-23.90M,,-23.90M,0.00,137.58M,,113.68M,,,,-56.60M,-56.60M,-13.90M,-13.90M,0.131M,-0.149M,-70.52M,324.75M,273.47M,0.129M,598.35M,,,,-56.60M
2017-03,85.22M,,,,,16.14M,11.07M,27.21M,27.21M,-3.477M,,8.945M,-0.311M,-123.79M,-62.15M,1.104M,6.735M,,,-3.333M,-181.44M,,-61.12M,-22.07M,,-22.07M,0.00,148.46M,,126.39M,,,,-37.73M,-37.73M,-14.02M,-14.02M,15.08M,-13.34M,-50.01M,307.88M,15.27M,1.595M,324.75M,,,,-37.73M
2016-12,66.35M,,,-2.003M,-3.053M,16.34M,8.952M,25.30M,25.30M,-23.17M,0.00,7.738M,5.723M,-27.34M,-14.34M,-5.921M,60.61M,,,-57.01M,-44.00M,,37.23M,-19.02M,,-19.02M,,-353.31M,0.00,-372.33M,,,,-61.24M,-61.24M,-12.07M,-12.07M,68.24M,-98.20M,347.53M,297.94M,12.43M,-2.481M,307.88M,,,,-61.24M
2016-09,63.79M,,,0.662M,0.662M,16.27M,9.095M,25.36M,25.36M,-24.51M,-4.179M,7.555M,9.026M,183.89M,18.38M,0.384M,-29.32M,,,-52.69M,120.64M,,201.38M,-19.66M,,-19.66M,,-232.44M,0.00,-252.10M,,,,-28.31M,-28.31M,-12.12M,-12.12M,2.189M,3.322M,-34.92M,381.10M,-85.64M,2.481M,297.94M,,,,-28.31M
2016-06,-223.55M,,,-0.669M,-0.669M,15.98M,16.71M,32.69M,32.69M,-15.96M,342.46M,7.532M,-4.702M,-95.68M,30.92M,-12.51M,-7.328M,,,119.91M,35.32M,,180.86M,-26.26M,,-26.26M,,-65.54M,5.051M,-86.75M,,,,-28.78M,-28.78M,-12.17M,-12.17M,8.756M,-0.18M,-32.38M,319.36M,61.74M,0.00,381.10M,,,,-28.78M
2016-03,49.99M,,,-1.193M,-1.193M,16.19M,20.47M,36.66M,36.66M,-5.496M,,7.925M,0.407M,-42.55M,-0.702M,-1.148M,1.294M,,,-13.84M,-56.94M,,35.72M,-20.33M,,-20.33M,,91.05M,,70.72M,,,,-28.00M,-28.00M,-12.25M,-12.25M,9.14M,-20.67M,-51.78M,264.70M,54.65M,0.00,319.36M,,,,-28.00M
2015-12,-0.641M,,0.00,17.73M,17.73M,15.65M,20.43M,36.08M,36.08M,5.347M,0.00,7.371M,-6.565M,33.85M,-17.82M,-12.50M,-25.05M,,,10.26M,-11.25M,,50.47M,-23.15M,,-23.15M,0.00,35.90M,0.00,12.75M,,,,-73.11M,-73.11M,-12.28M,-12.28M,1.385M,-8.733M,-92.73M,294.22M,-29.51M,,264.70M,,,,-73.11M
