,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-10,866.66M,0.00,0.00,,,218.97M,218.97M,-24.40M,,31.26M,,-16.36M,99.41M,-1.246B,-13.67M,4.147B,,17.84M,,3.004B,,4.080B,-123.69M,,-123.69M,,-1.666M,,-125.36M,0.00,0.00,28.19M,0.00,28.19M,0.00,0.00,0.00,28.19M,6.620B,3.983B,-21.23M,10.58B,28.19M,0.00,0.00,0.00
2020-07,-214.22M,12.55M,12.55M,,,220.06M,220.06M,-40.10M,,39.18M,,-7.409M,-90.44M,1.248B,-0.452M,2.047B,,143.49M,,3.347B,,3.357B,-99.38M,,-99.38M,,1.67M,,-97.72M,-1.00B,-1.00B,22.09M,0.00,22.09M,0.00,0.00,-0.078M,-977.99M,4.288B,2.282B,51.02M,6.620B,22.09M,0.00,-1.00B,0.00
2020-04,-887.49M,26.42M,26.42M,,,219.46M,219.46M,-48.46M,,-11.53M,,34.47M,-224.26M,-136.03M,-39.58M,-2.159B,,65.58M,,-2.493B,,-3.160B,-210.52M,,-210.52M,,-10.58M,,-221.10M,4.988B,4.988B,37.44M,-201.50M,-164.06M,-278.25M,-278.25M,-55.64M,4.491B,3.217B,1.109B,-37.84M,4.288B,37.44M,4.988B,,-201.50M
2020-01,984.79M,9.801M,9.801M,,,219.91M,219.91M,-48.35M,,38.37M,,-60.62M,226.09M,1.405B,11.10M,-561.18M,,-32.06M,,1.049B,,2.193B,-230.40M,,-230.40M,,-3.656M,0.00,-464.22M,,,56.82M,-361.60M,-304.78M,-276.47M,-276.47M,-0.126M,-581.38M,2.060B,1.147B,9.157M,3.217B,56.82M,,,-361.60M
2019-10,828.26M,3.038M,3.038M,,,219.56M,219.56M,4.265M,,31.19M,,33.01M,-66.90M,-1.141B,11.41M,1.045B,,6.772M,,-145.04M,,974.28M,-414.69M,,-414.69M,,-2.842M,0.00,-417.54M,0.00,0.00,72.81M,-490.64M,-417.83M,-277.64M,-277.64M,0.00,-695.47M,2.186B,-138.72M,12.52M,2.060B,72.81M,0.00,0.00,-490.64M
2019-07,758.96M,0.911M,0.911M,,,215.63M,215.63M,29.76M,,29.67M,,-30.30M,-128.81M,-73.30M,-85.50M,25.33M,,7.644M,,-254.63M,,750.00M,-261.11M,,-261.11M,,0.18M,7.419M,-253.51M,0.00,0.00,42.70M,-302.46M,-259.75M,-278.69M,-278.69M,0.008M,-538.44M,2.235B,-41.94M,-6.733M,2.186B,42.70M,0.00,0.00,-302.46M
2019-04,700.18M,2.304M,2.304M,,,212.20M,212.20M,8.098M,,25.73M,,-5.769M,-73.37M,-487.08M,11.72M,-262.41M,,17.64M,,-793.50M,,149.24M,-316.91M,,-316.91M,,-9.80M,,-326.71M,0.00,0.00,59.77M,-397.29M,-337.52M,-238.76M,-238.76M,-23.30M,-599.58M,3.030B,-777.06M,-18.12M,2.235B,59.77M,0.00,,-397.29M
2019-01,841.54M,3.079M,3.079M,,,218.43M,218.43M,-72.96M,,26.20M,,-10.33M,74.36M,977.15M,111.55M,-558.31M,,,,604.75M,,1.611B,-252.18M,,-252.18M,,-2.155M,-0.001M,-254.33M,,,15.63M,-815.60M,-799.97M,-240.27M,-240.27M,-1.706M,-1.042B,2.712B,314.42M,4.044M,3.030B,15.63M,,,-815.60M
2018-10,762.25M,5.969M,5.969M,,,204.91M,204.91M,2.597M,,27.41M,,74.90M,-64.71M,-1.057B,51.02M,909.72M,,,,-160.96M,,917.09M,-299.06M,,-299.06M,,0.903M,0.001M,-298.16M,,,76.12M,-601.39M,-525.27M,-241.45M,-241.45M,-3.182M,-769.90M,2.873B,-150.97M,-9.983M,2.712B,76.12M,,,-601.39M
2018-07,739.63M,6.861M,6.861M,,,204.02M,204.02M,-25.56M,,25.91M,,-17.54M,10.61M,-160.41M,-145.76M,198.03M,,,,-97.53M,,835.78M,-308.96M,,-308.96M,,431.74M,26.65M,149.43M,,,78.92M,-594.60M,-515.68M,-243.58M,-243.58M,-0.368M,-759.62M,2.681B,225.59M,-33.98M,2.873B,78.92M,,,-594.60M
