,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,11.46B,11.46B,9.85B,1.61B,598.00M,,124.00M,1.00M,-123.00M,,598.00M,1.012B,1.00M,124.00M,-123.00M,-2.00M,-123.00M,887.00M,192.00M,695.00M,,-3.00M,692.00M,692.00M,1.327B,316.00M,1.011B,1.95,,1.95,1.95,1.9,,1.9,1.9,363.00M,363.00M,0.42
2020-06,10.02B,10.02B,8.709B,1.313B,538.00M,,122.00M,3.00M,-119.00M,,538.00M,775.00M,3.00M,122.00M,-119.00M,11.00M,-119.00M,667.00M,140.00M,527.00M,,0.00,527.00M,527.00M,1.084B,295.00M,789.00M,1.48,,1.48,1.48,1.44,,1.44,1.44,362.00M,364.00M,0.42
2020-03,10.89B,10.89B,9.867B,1.021B,520.00M,,119.00M,3.00M,-116.00M,,520.00M,501.00M,3.00M,119.00M,-116.00M,106.00M,-116.00M,491.00M,124.00M,367.00M,,-3.00M,364.00M,364.00M,903.00M,293.00M,610.00M,1.03,,1.03,1.03,1.0,,1.0,1.0,363.00M,365.00M,0.42
2019-12,10.82B,10.82B,9.375B,1.44B,614.00M,,120.00M,3.00M,-117.00M,,614.00M,826.00M,3.00M,120.00M,-117.00M,16.00M,-117.00M,725.00M,164.00M,561.00M,,-4.00M,557.00M,557.00M,1.133B,288.00M,845.00M,1.56,,1.56,1.56,1.52,,1.52,1.52,363.00M,367.00M,0.42
2019-09,10.88B,10.88B,9.745B,1.139B,535.00M,,123.00M,2.00M,-121.00M,,535.00M,604.00M,2.00M,123.00M,-121.00M,-17.00M,-121.00M,466.00M,94.00M,372.00M,,-3.00M,369.00M,369.00M,878.00M,289.00M,589.00M,1.03,,1.03,1.03,1.01,,1.01,1.01,363.00M,366.00M,0.375
2019-06,10.88B,10.88B,9.549B,1.336B,555.00M,,121.00M,2.00M,-119.00M,,555.00M,781.00M,2.00M,121.00M,-119.00M,62.00M,-119.00M,724.00M,43.00M,681.00M,,-5.00M,676.00M,676.00M,1.131B,286.00M,845.00M,1.9,,1.9,1.9,1.84,,1.84,1.84,363.00M,367.00M,0.375
2019-03,10.44B,10.44B,9.251B,1.192B,557.00M,,119.00M,5.00M,-114.00M,,557.00M,635.00M,5.00M,119.00M,-114.00M,7.00M,-114.00M,528.00M,98.00M,430.00M,,-4.00M,426.00M,426.00M,920.00M,273.00M,647.00M,1.2,,1.2,1.2,1.17,,1.17,1.17,364.00M,366.00M,0.375
2018-12,10.19B,10.19B,8.838B,1.355B,548.00M,,99.00M,2.00M,-97.00M,,548.00M,807.00M,2.00M,99.00M,-97.00M,3.00M,-97.00M,713.00M,161.00M,552.00M,,-1.00M,551.00M,551.00M,1.062B,250.00M,812.00M,1.54,,1.54,1.54,1.5,,1.5,1.5,364.00M,366.00M,0.375
2018-09,9.999B,9.999B,8.66B,1.339B,520.00M,,87.00M,1.00M,-86.00M,,520.00M,819.00M,1.00M,87.00M,-86.00M,24.00M,-86.00M,757.00M,220.00M,537.00M,,0.00,537.00M,537.00M,1.09B,246.00M,844.00M,1.5,,1.5,1.5,1.47,,1.47,1.47,362.00M,366.00M,0.3
2018-06,10.05B,10.05B,8.752B,1.299B,502.00M,,89.00M,2.00M,-87.00M,,502.00M,797.00M,2.00M,89.00M,-87.00M,13.00M,-87.00M,723.00M,181.00M,542.00M,,-1.00M,541.00M,541.00M,1.05B,238.00M,812.00M,1.52,,1.52,1.52,1.47,,1.47,1.47,365.00M,369.00M,0.3
2018-03,9.773B,9.773B,8.758B,1.015B,521.00M,,86.00M,2.00M,-84.00M,,521.00M,494.00M,2.00M,86.00M,-84.00M,13.00M,-84.00M,423.00M,107.00M,316.00M,,-1.00M,315.00M,315.00M,739.00M,230.00M,509.00M,0.88,,0.88,0.88,0.85,,0.85,0.85,366.00M,370.00M,0.3
2017-12,10.23B,10.23B,8.786B,1.443B,521.00M,,88.00M,2.00M,-86.00M,,521.00M,922.00M,2.00M,88.00M,-86.00M,6.00M,-86.00M,842.00M,-790.00M,1.632B,,-1.00M,1.631B,1.631B,1.159B,229.00M,930.00M,4.54,,4.54,4.54,4.4,,4.4,4.4,366.00M,371.00M,0.225
2017-09,10.14B,10.14B,8.815B,1.33B,659.00M,,94.00M,2.00M,-92.00M,,659.00M,671.00M,2.00M,94.00M,-92.00M,1.00M,-92.00M,580.00M,185.00M,395.00M,,-1.00M,394.00M,394.00M,892.00M,218.00M,674.00M,1.1,,1.1,1.1,1.07,,1.07,1.07,366.00M,367.00M,0.225
2017-06,9.85B,9.85B,8.648B,1.202B,505.00M,,71.00M,2.00M,-69.00M,,505.00M,697.00M,2.00M,71.00M,-69.00M,-11.00M,-69.00M,617.00M,169.00M,448.00M,,-1.00M,447.00M,447.00M,875.00M,187.00M,688.00M,1.24,,1.24,1.24,1.21,,1.21,1.21,366.00M,370.00M,0.225
2017-03,9.083B,9.083B,8.036B,1.047B,476.00M,,56.00M,1.00M,-55.00M,,476.00M,571.00M,1.00M,56.00M,-55.00M,3.00M,-55.00M,519.00M,178.00M,341.00M,,-1.00M,340.00M,340.00M,754.00M,179.00M,575.00M,0.95,,0.95,0.95,0.92,,0.92,0.92,365.00M,370.00M,0.225
2016-12,9.182B,9.182B,7.699B,1.483B,501.00M,,58.00M,2.00M,-56.00M,,501.00M,982.00M,2.00M,58.00M,-56.00M,-14.00M,-56.00M,912.00M,318.00M,594.00M,,-1.00M,593.00M,593.00M,1.147B,177.00M,970.00M,1.64,,1.64,1.64,1.59,,1.59,1.59,367.00M,373.00M,0.225
2016-09,9.156B,9.156B,8.067B,1.089B,503.00M,,58.00M,1.00M,-57.00M,,503.00M,586.00M,1.00M,58.00M,-57.00M,2.00M,-57.00M,531.00M,139.00M,392.00M,,-1.00M,391.00M,391.00M,768.00M,179.00M,589.00M,1.06,,1.06,1.06,1.03,,1.03,1.03,376.00M,378.00M,0.15
2016-06,9.403B,9.403B,8.179B,1.224B,457.00M,,60.00M,2.00M,-58.00M,,457.00M,767.00M,2.00M,60.00M,-58.00M,2.00M,-58.00M,711.00M,226.00M,485.00M,,-1.00M,484.00M,484.00M,949.00M,178.00M,771.00M,1.29,,1.29,1.29,1.25,,1.25,1.25,382.00M,388.00M,0.15
2016-03,9.17B,9.17B,7.987B,1.183B,479.00M,,64.00M,1.00M,-63.00M,,479.00M,704.00M,1.00M,64.00M,-63.00M,3.00M,-63.00M,644.00M,210.00M,434.00M,,-2.00M,432.00M,432.00M,884.00M,176.00M,708.00M,1.14,,1.14,1.14,1.1,,1.1,1.1,388.00M,393.00M,0.15
2015-12,9.152B,9.152B,7.951B,1.201B,425.00M,,67.00M,2.00M,-65.00M,,425.00M,776.00M,2.00M,67.00M,-65.00M,1.00M,-65.00M,712.00M,251.00M,461.00M,,0.00,461.00M,461.00M,951.00M,172.00M,779.00M,1.18,,1.18,1.18,1.15,,1.15,1.15,395.00M,400.00M,0.15
2015-09,10.51B,10.51B,9.52B,986.00M,436.00M,,72.00M,3.00M,-69.00M,,436.00M,550.00M,3.00M,72.00M,-69.00M,4.00M,-69.00M,485.00M,226.00M,259.00M,,-1.00M,258.00M,258.00M,744.00M,187.00M,557.00M,0.65,,0.65,0.65,0.63,,0.63,0.63,405.00M,410.00M,0.1
2015-06,10.07B,10.07B,9.085B,986.00M,423.00M,,73.00M,3.00M,-70.00M,,423.00M,563.00M,3.00M,73.00M,-70.00M,25.00M,-70.00M,518.00M,174.00M,344.00M,,-1.00M,343.00M,343.00M,768.00M,177.00M,591.00M,0.86,,0.86,0.86,0.83,,0.83,0.83,405.00M,414.00M,0.1
2015-03,9.979B,9.979B,8.99B,989.00M,442.00M,,71.00M,1.00M,-70.00M,,442.00M,547.00M,1.00M,71.00M,-70.00M,6.00M,-70.00M,483.00M,172.00M,311.00M,,-1.00M,310.00M,310.00M,726.00M,172.00M,554.00M,0.78,,0.78,0.78,0.75,,0.75,0.75,404.00M,415.00M,0.1
2014-12,10.82B,10.82B,9.861B,956.00M,447.00M,,77.00M,2.00M,-75.00M,,447.00M,509.00M,2.00M,77.00M,-75.00M,1.00M,-75.00M,435.00M,125.00M,310.00M,,-1.00M,309.00M,309.00M,687.00M,175.00M,512.00M,0.77,,0.77,0.77,0.74,,0.74,0.74,406.00M,416.00M,0.075
2014-09,10.10B,10.10B,9.393B,712.00M,406.00M,,54.00M,1.00M,-53.00M,,406.00M,306.00M,1.00M,54.00M,-53.00M,-35.00M,-53.00M,218.00M,82.00M,136.00M,,1.00M,137.00M,137.00M,420.00M,148.00M,272.00M,0.33,,0.33,0.33,0.32,,0.32,0.32,381.00M,391.00M,0.075
2014-06,9.682B,9.682B,9.045B,637.00M,286.00M,,25.00M,1.00M,-24.00M,,286.00M,351.00M,1.00M,25.00M,-24.00M,-17.00M,-24.00M,310.00M,52.00M,258.00M,,2.00M,260.00M,260.00M,463.00M,128.00M,335.00M,0.75,,0.75,0.75,0.73,,0.73,0.73,350.00M,356.00M,0.075
2014-03,9.032B,9.032B,8.381B,651.00M,290.00M,,25.00M,3.00M,-22.00M,,290.00M,361.00M,3.00M,25.00M,-22.00M,2.00M,-22.00M,341.00M,131.00M,210.00M,,3.00M,213.00M,213.00M,493.00M,127.00M,366.00M,0.64,,0.64,0.64,0.6,,0.6,0.6,343.00M,356.00M,0.075
2013-12,8.761B,8.761B,8.076B,685.00M,273.00M,,28.00M,2.00M,-26.00M,,273.00M,412.00M,2.00M,28.00M,-26.00M,-3.00M,-26.00M,383.00M,131.00M,252.00M,,2.00M,254.00M,254.00M,538.00M,127.00M,411.00M,0.76,,0.76,0.76,0.72,,0.72,0.72,341.00M,354.00M,0.075
2013-09,8.894B,8.894B,8.225B,669.00M,253.00M,,36.00M,2.00M,-34.00M,,253.00M,416.00M,2.00M,36.00M,-34.00M,1.00M,-34.00M,383.00M,124.00M,259.00M,0.00,2.00M,261.00M,261.00M,551.00M,132.00M,419.00M,0.77,0.0,0.77,0.77,0.7,0.0,0.7,0.7,346.00M,370.00M,0.05
2013-06,8.731B,8.731B,8.049B,682.00M,263.00M,,36.00M,2.00M,-34.00M,,263.00M,419.00M,2.00M,36.00M,-34.00M,,-34.00M,385.00M,136.00M,249.00M,-4.00M,4.00M,249.00M,253.00M,549.00M,128.00M,421.00M,0.73,-0.01,0.73,0.72,0.69,-0.01,0.69,0.68,353.00M,369.00M,0.05
2013-03,8.383B,8.383B,7.915B,468.00M,232.00M,,36.00M,2.00M,-34.00M,,232.00M,236.00M,2.00M,36.00M,-34.00M,19.00M,-34.00M,221.00M,53.00M,168.00M,-62.00M,-11.00M,95.00M,157.00M,386.00M,129.00M,257.00M,0.45,-0.18,0.45,0.27,0.43,-0.18,0.43,0.26,353.00M,366.00M,0.05
2012-12,8.366B,8.366B,7.827B,539.00M,235.00M,,37.00M,1.00M,-36.00M,,235.00M,304.00M,1.00M,37.00M,-36.00M,,-36.00M,268.00M,96.00M,172.00M,-4.00M,5.00M,173.00M,177.00M,435.00M,130.00M,305.00M,0.51,-0.01,0.51,0.5,0.49,-0.01,0.49,0.48,355.00M,362.00M,0.05
2012-09,8.315B,8.315B,7.725B,590.00M,236.00M,,40.00M,3.00M,-37.00M,,236.00M,354.00M,3.00M,40.00M,-37.00M,6.00M,-37.00M,323.00M,120.00M,203.00M,-22.00M,4.00M,185.00M,207.00M,493.00M,130.00M,363.00M,0.59,-0.06,0.59,0.53,0.57,-0.06,0.57,0.51,360.00M,364.11M,0.04
2012-06,8.261B,8.261B,7.695B,566.00M,224.00M,,215.00M,2.00M,-213.00M,,224.00M,342.00M,2.00M,215.00M,-213.00M,3.00M,-213.00M,132.00M,53.00M,79.00M,-6.00M,3.00M,76.00M,82.00M,471.00M,124.00M,347.00M,0.23,-0.02,0.23,0.21,0.22,-0.02,0.22,0.21,361.00M,361.00M,0.04
