,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,5.939B,5.939B,72.00M,2.426B,2.498B,,,2.498B,12.00M,3.227B,1.933B,347.00M,1.586B,,,-6.00M,79.00M,1.58B,1.58B,133.00M,2.279B,0.99,,,0.99,0.99,0.99,,,0.99,0.99,1.506B,1.507B,0.42
2020-06,5.814B,5.814B,67.00M,2.38B,2.447B,,,2.447B,81.00M,3.20B,759.00M,64.00M,695.00M,,,-6.00M,72.00M,689.00M,689.00M,131.00M,1.231B,0.41,,,0.41,0.41,0.41,,,0.41,0.41,1.506B,1.507B,0.42
2020-03,5.748B,5.748B,74.00M,2.333B,2.407B,,,2.407B,50.00M,3.223B,1.439B,260.00M,1.179B,,,-8.00M,78.00M,1.171B,1.171B,129.00M,2.332B,0.72,,,0.72,0.72,0.72,,,0.72,0.72,1.518B,1.519B,0.42
2019-12,5.643B,5.643B,117.00M,2.274B,2.391B,,,2.391B,26.00M,3.207B,1.847B,354.00M,1.493B,,,-7.00M,72.00M,1.486B,1.486B,130.00M,2.895B,0.91,,,0.91,0.91,0.9,,,0.9,0.9,1.557B,1.557B,0.42
2019-09,5.895B,5.895B,109.00M,2.27B,2.379B,,,2.379B,25.00M,3.281B,2.384B,467.00M,1.917B,,,-9.00M,79.00M,1.908B,1.908B,127.00M,3.54B,1.16,,,1.16,1.16,1.15,,,1.15,1.15,1.575B,1.578B,0.42
2019-06,5.795B,5.795B,111.00M,2.231B,2.342B,,,2.342B,17.00M,3.305B,2.277B,449.00M,1.828B,,,-7.00M,72.00M,1.821B,1.821B,125.00M,3.423B,1.09,,,1.09,1.09,1.09,,,1.09,1.09,1.59B,1.592B,0.37
2019-03,5.55B,5.55B,89.00M,2.221B,2.31B,,,2.31B,5.00M,3.259B,2.086B,378.00M,1.708B,,,-9.00M,79.00M,1.699B,1.699B,120.00M,3.178B,1.01,,,1.01,1.01,1.0,,,1.0,1.0,1.602B,1.605B,0.37
2018-12,5.801B,5.801B,115.00M,2.21B,2.325B,,,2.325B,5.00M,3.303B,2.153B,291.00M,1.862B,,,-6.00M,72.00M,1.856B,1.856B,121.00M,3.161B,1.1,,,1.1,1.1,1.1,,,1.1,1.1,1.613B,1.617B,0.37
2018-09,5.669B,5.669B,106.00M,2.154B,2.26B,,,2.26B,10.00M,3.251B,2.282B,460.00M,1.822B,,,-7.00M,76.00M,1.815B,1.815B,118.00M,3.154B,1.06,,,1.06,1.06,1.06,,,1.06,1.06,1.629B,1.633B,0.37
2018-06,5.611B,5.611B,111.00M,2.163B,2.274B,,,2.274B,10.00M,3.197B,2.199B,441.00M,1.758B,,,-8.00M,,1.75B,1.75B,115.00M,2.95B,1.02,,,1.02,1.02,1.02,,,1.02,1.02,1.642B,1.646B,0.3
2018-03,5.44B,5.44B,97.00M,2.168B,2.265B,,,2.265B,5.00M,3.168B,2.044B,362.00M,1.682B,,,-7.00M,,1.675B,1.675B,113.00M,2.667B,0.97,,,0.97,0.97,0.96,,,0.96,0.96,1.652B,1.657B,0.3
2017-12,5.545B,5.545B,251.00M,2.105B,2.356B,,,2.356B,10.00M,3.175B,1.311B,-375.00M,1.686B,,,-4.00M,,1.682B,1.682B,118.00M,1.866B,0.97,,,0.97,0.97,0.97,,,0.97,0.97,1.659B,1.665B,0.3
2017-09,5.516B,5.516B,92.00M,2.017B,2.109B,,,2.109B,9.00M,3.176B,2.158B,589.00M,1.569B,,,-6.00M,,1.563B,1.563B,117.00M,2.686B,0.89,,,0.89,0.89,0.88,,,0.88,0.88,1.672B,1.678B,0.3
2017-06,5.397B,5.397B,109.00M,1.994B,2.103B,,,2.103B,9.00M,3.049B,2.063B,551.00M,1.512B,,,-12.00M,,1.50B,1.50B,116.00M,2.533B,0.85,,,0.85,0.85,0.85,,,0.85,0.85,1.684B,1.69B,0.28
2017-03,5.239B,5.239B,90.00M,1.99B,2.08B,,,2.08B,29.00M,2.98B,1.985B,499.00M,1.486B,,,-13.00M,69.00M,1.473B,1.473B,117.00M,2.398B,0.82,,,0.82,0.82,0.82,,,0.82,0.82,1.694B,1.701B,0.28
2016-12,5.237B,5.237B,107.00M,1.742B,1.849B,,,1.849B,6.00M,3.093B,2.04B,549.00M,1.491B,,,-13.00M,80.00M,1.478B,1.478B,117.00M,2.288B,0.82,,,0.82,0.82,0.82,,,0.82,0.82,1.70B,1.706B,0.28
2016-09,5.338B,5.338B,102.00M,1.932B,2.034B,,,2.034B,10.00M,2.893B,2.082B,566.00M,1.516B,,,-14.00M,61.00M,1.502B,1.502B,117.00M,2.509B,0.84,,,0.84,0.84,0.84,,,0.84,0.84,1.71B,1.716B,0.28
2016-06,5.397B,5.397B,149.00M,1.873B,2.022B,,,2.022B,3.00M,2.845B,2.078B,542.00M,1.536B,,,-14.00M,79.00M,1.522B,1.522B,117.00M,2.485B,0.83,,,0.83,0.83,0.83,,,0.83,0.83,1.725B,1.731B,0.255
2016-03,4.984B,4.984B,77.00M,1.861B,1.938B,,,1.938B,3.00M,2.835B,1.905B,504.00M,1.401B,,,-15.00M,61.00M,1.386B,1.386B,119.00M,2.291B,0.77,,,0.77,0.77,0.76,,,0.76,0.76,1.737B,1.743B,0.255
2015-12,5.035B,5.035B,95.00M,1.52B,1.615B,,,1.615B,1.00M,2.969B,2.045B,556.00M,1.489B,,,-13.00M,65.00M,1.476B,1.476B,123.00M,2.207B,0.8,,,0.8,0.8,0.8,,,0.8,0.8,1.746B,1.754B,0.255
2015-09,5.094B,5.094B,99.00M,1.809B,1.908B,,,1.908B,-1.00M,2.768B,2.037B,534.00M,1.503B,,,-14.00M,62.00M,1.489B,1.489B,118.00M,2.386B,0.81,,,0.81,0.81,0.81,,,0.81,0.81,1.758B,1.766B,0.255
2015-06,4.988B,4.988B,96.00M,1.774B,1.87B,,,1.87B,0.00,2.716B,2.025B,528.00M,1.497B,,,-14.00M,60.00M,1.483B,1.483B,120.00M,2.377B,0.8,,,0.8,0.8,0.8,,,0.8,0.8,1.771B,1.779B,0.255
2015-03,4.852B,4.852B,70.00M,1.792B,1.862B,,,1.862B,0.00,2.698B,1.923B,479.00M,1.444B,,,-13.00M,60.00M,1.431B,1.431B,120.00M,2.286B,0.77,,,0.77,0.77,0.76,,,0.76,0.76,1.781B,1.789B,0.245
2014-12,5.114B,5.114B,129.00M,1.701B,1.83B,,,1.83B,1.00M,2.744B,2.022B,521.00M,1.501B,,,-13.00M,62.00M,1.488B,1.488B,128.00M,2.38B,0.79,,,0.79,0.79,0.79,,,0.79,0.79,1.785B,1.795B,0.245
2014-09,4.934B,4.934B,78.00M,1.682B,1.76B,,,1.76B,-3.00M,2.692B,2.009B,523.00M,1.486B,,,-15.00M,60.00M,1.471B,1.471B,127.00M,2.374B,0.78,,,0.78,0.78,0.78,,,0.78,0.78,1.798B,1.807B,0.245
2014-06,5.133B,5.133B,96.00M,1.676B,1.772B,,,1.772B,0.00,2.689B,2.056B,547.00M,1.509B,,,-14.00M,61.00M,1.495B,1.495B,123.00M,2.414B,0.79,,,0.79,0.79,0.78,,,0.78,0.78,1.811B,1.821B,0.245
2014-03,4.758B,4.758B,79.00M,1.696B,1.775B,,,1.775B,5.00M,2.65B,1.908B,496.00M,1.412B,,,-15.00M,60.00M,1.397B,1.397B,123.00M,2.28B,0.73,,,0.73,0.73,0.73,,,0.73,0.73,1.818B,1.828B,0.23
2013-12,4.833B,4.833B,103.00M,1.667B,1.77B,,,1.77B,1.00M,2.677B,1.874B,403.00M,1.471B,,,-15.00M,61.00M,1.456B,1.456B,131.00M,2.265B,0.76,,,0.76,0.76,0.76,,,0.76,0.76,1.824B,1.834B,0.23
2013-09,4.835B,4.835B,85.00M,1.656B,1.741B,,,1.741B,-3.00M,2.658B,1.972B,542.00M,1.43B,,,38.00M,61.00M,1.468B,1.468B,129.00M,2.382B,0.76,,,0.76,0.76,0.76,,,0.76,0.76,1.832B,1.843B,0.23
2013-06,4.892B,4.892B,96.00M,1.667B,1.763B,,,1.763B,6.00M,2.616B,1.973B,529.00M,1.444B,,,40.00M,,1.484B,1.484B,129.00M,2.395B,0.76,,,0.76,0.76,0.76,,,0.76,0.76,1.843B,1.853B,0.23
2013-03,4.818B,4.818B,73.00M,1.679B,1.752B,,,1.752B,5.00M,2.653B,1.945B,558.00M,1.387B,,,41.00M,64.00M,1.428B,1.428B,131.00M,2.403B,0.73,,,0.73,0.73,0.73,,,0.73,0.73,1.858B,1.867B,0.195
2012-12,5.056B,5.056B,103.00M,1.606B,1.709B,,,1.709B,3.00M,2.727B,1.927B,552.00M,1.375B,,,45.00M,64.00M,1.42B,1.42B,141.00M,2.396B,0.72,,,0.72,0.72,0.72,,,0.72,0.72,1.872B,1.881B,0.195
2012-09,5.122B,5.122B,96.00M,1.614B,1.71B,,,1.71B,1.00M,2.726B,2.025B,593.00M,1.432B,,,42.00M,64.00M,1.474B,1.474B,139.00M,2.526B,0.74,,,0.74,0.74,0.74,,,0.74,0.74,1.886B,1.897B,0.195
2012-06,5.013B,5.013B,80.00M,1.583B,1.663B,,,1.663B,-19.00M,2.658B,1.942B,564.00M,1.378B,,,37.00M,64.00M,1.415B,1.415B,141.00M,2.512B,0.71,,,0.71,0.71,0.71,,,0.71,0.71,1.888B,1.898B,0.195
2012-03,4.873B,4.873B,109.00M,1.587B,1.696B,,,1.696B,0.00,2.634B,1.832B,527.00M,1.305B,,,33.00M,46.00M,1.338B,1.338B,140.00M,2.43B,0.68,,,0.68,0.68,0.67,,,0.67,0.67,1.901B,1.91B,0.195
2011-12,5.024B,5.024B,112.00M,2.094B,2.206B,,,2.206B,-33.00M,2.617B,1.855B,527.00M,1.328B,,,22.00M,14.00M,1.35B,1.35B,144.00M,2.458B,0.69,,,0.69,0.69,0.69,,,0.69,0.69,1.902B,1.914B,0.125
2011-09,4.746B,4.746B,102.00M,1.30B,1.402B,75.00M,-9.00M,1.468B,0.00,2.566B,1.742B,490.00M,1.252B,,,21.00M,36.00M,1.273B,1.279B,143.00M,2.376B,0.65,0.0,,0.6534,0.65,0.64,0.0,,0.6434,0.64,1.915B,1.922B,0.125
2011-06,4.634B,4.634B,90.00M,1.479B,1.569B,75.00M,-450.00M,1.194B,-8.00M,2.488B,1.637B,458.00M,1.179B,,,24.00M,36.00M,1.203B,1.527B,141.00M,2.268B,0.61,0.0,,0.7787,0.61,0.6,0.0,,0.768,0.6,1.921B,1.929B,0.125
2011-03,4.47B,4.47B,65.00M,1.263B,1.328B,75.00M,-6.00M,1.397B,1.00M,2.452B,1.395B,366.00M,1.029B,,,17.00M,,1.046B,1.050B,137.00M,2.043B,0.52,0.0,,0.5223,0.52,0.52,0.0,,0.5223,0.52,1.918B,1.928B,0.125
2010-12,4.668B,4.668B,106.00M,1.435B,1.541B,,,1.541B,-14.00M,2.446B,1.271B,315.00M,956.00M,,,18.00M,127.00M,974.00M,974.00M,149.00M,1.918B,0.49,,,0.49,0.49,0.49,,,0.49,0.49,1.915B,1.924B,0.05
2010-09,4.534B,4.534B,108.00M,1.404B,1.512B,90.00M,-476.00M,1.126B,-9.00M,2.424B,1.154B,260.00M,894.00M,,,14.00M,37.00M,908.00M,1.277B,90.00M,1.807B,0.46,0.0,,0.6528,0.46,0.45,0.0,,0.6421,0.45,1.913B,1.92B,0.05
2010-06,4.467B,4.467B,86.00M,1.379B,1.465B,91.00M,-522.00M,1.034B,-21.00M,2.357B,951.00M,199.00M,752.00M,,,14.00M,-96.00M,766.00M,1.179B,91.00M,1.589B,0.45,0.0,,0.6659,0.45,0.45,0.0,,0.6649,0.45,1.912B,1.921B,0.05
2010-03,4.27B,4.27B,60.00M,1.30B,1.36B,97.00M,-394.00M,1.063B,-34.00M,2.352B,824.00M,161.00M,663.00M,,,6.00M,21.00M,669.00M,986.02M,97.00M,1.465B,0.34,0.0,,0.506,0.34,0.34,0.0,,0.5052,0.34,1.91B,1.919B,0.05
2009-12,3.042B,3.042B,105.00M,1.031B,1.136B,107.00M,,1.243B,-158.00M,2.31B,710.00M,108.00M,602.00M,,,0.00,,602.00M,602.00M,107.00M,1.374B,0.3,0.0,,0.3,0.3,0.3,0.0,,0.3,0.3,1.908B,1.916B,0.05
2009-09,4.20B,4.20B,137.00M,975.00M,1.112B,94.00M,,1.206B,-76.00M,2.107B,691.00M,86.00M,605.00M,,,-2.00M,,603.00M,603.00M,94.00M,1.441B,0.31,0.0,,0.31,0.31,0.3,0.0,,0.3,0.3,1.908B,1.917B,0.05
2009-06,3.797B,3.797B,,976.00M,976.00M,95.00M,312.00M,1.383B,293.00M,2.054B,585.00M,100.00M,485.00M,,,-14.00M,,471.00M,212.33M,95.00M,1.371B,0.12,0.0,,-0.0211,0.12,0.12,0.0,,-0.0206,0.12,1.833B,1.84B,0.05
