,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-08,34.75B,34.75B,27.94B,6.803B,6.21B,,157.00M,-157.00M,6.21B,593.00M,157.00M,-157.00M,101.00M,-157.00M,537.00M,208.00M,356.00M,,16.00M,373.00M,373.00M,1.174B,480.00M,694.00M,0.43,,,0.43,0.43,0.43,,,0.43,0.43,866.50M,867.10M,0.4675
2020-05,34.63B,34.63B,28.19B,6.438B,8.265B,,155.00M,-155.00M,8.265B,-1.827B,155.00M,-155.00M,209.00M,-155.00M,-1.773B,-40.00M,-1.726B,,18.00M,-1.708B,-1.708B,-1.14B,478.00M,-1.618B,-1.95,,,-1.95,-1.95,-1.95,,,-1.95,-1.95,875.40M,875.40M,0.4575
2020-02,35.82B,35.82B,28.31B,7.513B,6.308B,,162.00M,-162.00M,6.308B,1.205B,162.00M,-162.00M,53.00M,-162.00M,1.097B,160.00M,952.00M,,-5.00M,946.00M,946.00M,1.751B,492.00M,1.259B,1.07,,,1.07,1.07,1.07,,,1.07,1.07,884.50M,885.50M,0.4575
2019-11,34.34B,34.34B,27.08B,7.263B,6.262B,,166.00M,-166.00M,6.262B,1.001B,166.00M,-166.00M,48.00M,-166.00M,882.00M,32.00M,841.00M,,3.00M,845.00M,845.00M,1.525B,477.00M,1.048B,0.95,,,0.95,0.95,0.95,,,0.95,0.95,891.40M,892.60M,0.4575
2019-08,33.95B,33.95B,26.73B,7.227B,6.408B,,175.00M,-175.00M,6.408B,819.00M,175.00M,-175.00M,65.00M,-175.00M,708.00M,26.00M,686.00M,,-9.00M,677.00M,677.00M,1.409B,526.00M,883.00M,0.75,,,0.75,0.75,0.75,,,0.75,0.75,899.60M,900.70M,0.4575
2019-05,34.59B,34.59B,27.14B,7.453B,6.235B,,187.00M,-187.00M,6.235B,1.218B,187.00M,-187.00M,166.00M,-187.00M,1.198B,156.00M,1.037B,,-12.00M,1.025B,1.025B,1.907B,522.00M,1.385B,1.13,,,1.13,1.13,1.13,,,1.13,1.13,909.90M,911.20M,0.44
2019-02,34.53B,34.53B,26.77B,7.754B,6.32B,,181.00M,-181.00M,6.32B,1.434B,181.00M,-181.00M,102.00M,-181.00M,1.356B,226.00M,1.139B,,18.00M,1.156B,1.156B,2.037B,500.00M,1.537B,1.25,,,1.25,1.25,1.24,,,1.24,1.24,928.40M,930.70M,0.44
2018-11,33.79B,33.79B,26.15B,7.641B,6.28B,,161.00M,-161.00M,6.28B,1.361B,161.00M,-161.00M,65.00M,-161.00M,1.265B,180.00M,1.10B,,23.00M,1.123B,1.123B,1.916B,490.00M,1.426B,1.18,,,1.18,1.18,1.18,,,1.18,1.18,948.20M,951.40M,0.44
2018-08,33.44B,33.44B,25.87B,7.575B,6.228B,,159.00M,-159.00M,6.228B,1.347B,159.00M,-159.00M,473.00M,-159.00M,1.661B,159.00M,1.514B,,-2.00M,1.512B,1.512B,2.29B,470.00M,1.82B,1.55,,,1.55,1.55,1.55,,,1.55,1.55,974.80M,978.20M,0.44
2018-05,34.33B,34.33B,26.55B,7.78B,6.235B,,157.00M,-157.00M,6.235B,1.545B,157.00M,-157.00M,52.00M,-157.00M,1.44B,109.00M,1.346B,,-4.00M,1.342B,1.342B,2.039B,442.00M,1.597B,1.35,,,1.35,1.35,1.35,,,1.35,1.35,992.10M,995.30M,0.4
2018-02,33.02B,33.02B,24.92B,8.096B,6.321B,,151.00M,-151.00M,6.321B,1.775B,151.00M,-151.00M,214.00M,-151.00M,1.838B,503.00M,1.349B,,0.00,1.349B,1.349B,2.431B,442.00M,1.989B,1.36,,,1.36,1.36,1.36,,,1.36,1.36,991.00M,995.50M,0.4
2017-11,30.74B,30.74B,23.40B,7.341B,5.91B,,149.00M,-149.00M,5.91B,1.431B,149.00M,-149.00M,-246.00M,-149.00M,1.036B,227.00M,822.00M,,-1.00M,821.00M,821.00M,1.601B,416.00M,1.185B,0.82,,,0.82,0.82,0.81,,,0.81,0.81,1.006B,1.011B,0.4
