,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,703.00M,,703.00M,1.927B,,290.00M,2.217B,117.00M,117.00M,,,320.00M,3.357B,,,,,,32.11B,-19.27B,12.85B,6.504B,450.00M,6.954B,425.00M,1.19B,21.42B,24.77B,884.00M,884.00M,1.259B,2.143B,167.00M,167.00M,496.00M,496.00M,,2.806B,2.037B,10.26B,10.26B,1.468B,1.468B,2.00M,1.049B,14.81B,17.62B,6.00M,10.95B,5.104B,8.891B,,,-16.00M,7.155B
2020-06,2.663B,,2.663B,1.888B,,219.00M,2.107B,118.00M,118.00M,,,218.00M,5.106B,,,,,,31.95B,-19.03B,12.92B,6.512B,472.00M,6.984B,439.00M,1.173B,21.51B,26.62B,904.00M,904.00M,1.184B,2.088B,3.19B,3.19B,494.00M,494.00M,,5.772B,2.03B,9.598B,9.598B,1.367B,1.367B,2.00M,959.00M,13.95B,19.73B,6.00M,10.80B,5.04B,8.909B,,,-41.00M,6.891B
2020-03,3.125B,,3.125B,1.846B,,322.00M,2.168B,116.00M,116.00M,,,226.00M,5.635B,,,,,,31.66B,-18.76B,12.90B,6.498B,494.00M,6.992B,451.00M,1.20B,21.54B,27.18B,1.031B,1.031B,1.155B,2.186B,387.00M,387.00M,497.00M,497.00M,,3.07B,1.991B,13.06B,13.06B,1.387B,1.387B,2.00M,920.00M,17.36B,20.43B,6.00M,10.72B,5.026B,8.916B,,,-91.00M,6.743B
2019-12,3.561B,,3.561B,1.949B,,370.00M,2.319B,106.00M,106.00M,,,223.00M,6.209B,0.0,16.57B,3.174B,11.81B,,31.55B,-18.66B,12.89B,6.532B,521.00M,7.053B,483.00M,1.105B,21.53B,27.74B,1.065B,1.065B,1.327B,2.392B,218.00M,218.00M,534.00M,534.00M,,3.144B,1.93B,13.28B,13.28B,1.407B,1.407B,2.00M,912.00M,17.53B,20.67B,6.00M,10.59B,5.049B,8.571B,,,-8.00M,7.068B
2019-09,2.915B,,2.915B,2.01B,,270.00M,2.28B,109.00M,109.00M,,,256.00M,5.56B,,,,,,31.30B,-18.50B,12.80B,6.55B,543.00M,7.093B,494.00M,1.157B,21.55B,27.11B,903.00M,903.00M,1.358B,2.261B,211.00M,211.00M,517.00M,517.00M,,2.989B,1.917B,13.15B,13.15B,1.331B,1.331B,2.00M,938.00M,17.33B,20.32B,6.00M,10.36B,5.026B,8.578B,,,-33.00M,6.785B
2019-06,2.25B,,2.25B,2.017B,,243.00M,2.26B,104.00M,104.00M,,,222.00M,4.836B,,,,,,31.28B,-18.62B,12.66B,6.512B,547.00M,7.059B,333.00M,1.093B,21.15B,25.99B,908.00M,908.00M,1.296B,2.204B,116.00M,116.00M,526.00M,526.00M,,2.846B,1.90B,12.62B,12.62B,1.289B,1.289B,1.00M,861.00M,16.67B,19.52B,6.00M,10.09B,4.962B,8.568B,,,-22.00M,6.466B
2019-03,57.00M,,57.00M,1.83B,,251.00M,2.081B,105.00M,105.00M,,,245.00M,2.488B,,,,,,30.74B,-18.36B,12.39B,6.479B,570.00M,7.049B,334.00M,1.112B,20.88B,23.37B,899.00M,899.00M,1.158B,2.057B,1.043B,1.043B,512.00M,512.00M,,3.612B,1.866B,9.323B,9.323B,1.297B,1.297B,2.00M,858.00M,13.34B,16.96B,6.00M,9.924B,4.978B,8.44B,,,-53.00M,6.415B
2018-12,61.00M,,61.00M,1.931B,,344.00M,2.275B,102.00M,102.00M,,,207.00M,2.645B,0.0,15.90B,2.998B,11.31B,,30.21B,-18.26B,11.94B,6.43B,572.00M,7.002B,406.00M,655.00M,20.00B,22.65B,1.037B,1.037B,1.117B,2.154B,432.00M,432.00M,522.00M,522.00M,,3.108B,1.828B,9.594B,9.594B,1.291B,1.291B,1.00M,553.00M,13.27B,16.37B,6.00M,9.797B,4.993B,8.434B,,,-87.00M,6.275B
2018-09,83.00M,,83.00M,1.943B,,399.00M,2.342B,103.00M,103.00M,,,147.00M,2.675B,,,,,,29.99B,-18.17B,11.82B,6.39B,554.00M,6.944B,419.00M,738.00M,19.92B,22.59B,940.00M,940.00M,1.171B,2.111B,447.00M,447.00M,512.00M,512.00M,,3.07B,1.832B,9.569B,9.569B,1.245B,1.245B,2.00M,634.00M,13.28B,16.35B,6.00M,9.464B,4.927B,8.142B,,,-16.00M,6.239B
2018-06,47.00M,,47.00M,1.838B,,351.00M,2.189B,100.00M,100.00M,,,135.00M,2.471B,,,,,,29.68B,-18.05B,11.62B,6.346B,553.00M,6.899B,254.00M,765.00M,19.54B,22.01B,829.00M,829.00M,1.131B,1.96B,828.00M,828.00M,517.00M,517.00M,,3.305B,1.81B,8.968B,8.968B,1.25B,1.25B,2.00M,625.00M,12.65B,15.96B,6.00M,9.166B,4.935B,8.004B,,,-49.00M,6.054B
