,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-10,134.71B,134.71B,100.34B,34.37B,28.59B,,541.00M,25.00M,-516.00M,28.59B,5.778B,25.00M,541.00M,-516.00M,1.853B,-516.00M,7.115B,1.914B,5.201B,,-66.00M,5.135B,5.135B,10.43B,2.771B,7.656B,1.81,,1.81,1.81,1.8,,1.8,1.8,2.833B,2.849B,0.54
2020-07,137.74B,137.74B,102.69B,35.05B,28.99B,,658.00M,23.00M,-635.00M,28.99B,6.059B,23.00M,658.00M,-635.00M,3.222B,-635.00M,8.646B,2.207B,6.439B,,37.00M,6.476B,6.476B,12.08B,2.771B,9.304B,2.29,,2.29,2.29,2.27,,2.27,2.27,2.832B,2.848B,0.54
2020-04,134.62B,134.62B,102.03B,32.60B,27.37B,,592.00M,43.00M,-549.00M,27.37B,5.224B,43.00M,592.00M,-549.00M,721.00M,-549.00M,5.396B,1.322B,4.074B,,-84.00M,3.99B,3.99B,8.779B,2.791B,5.988B,1.41,,1.41,1.41,1.4,,1.4,1.4,2.831B,2.849B,0.54
2020-01,141.67B,141.67B,107.75B,33.92B,28.60B,,652.00M,41.00M,-611.00M,28.60B,5.322B,41.00M,652.00M,-611.00M,962.00M,-611.00M,5.673B,1.379B,4.294B,,-153.00M,4.141B,4.141B,9.153B,2.828B,6.325B,1.46,,1.46,1.46,1.45,,1.45,1.45,2.835B,2.856B,0.53
2019-10,127.99B,127.99B,95.90B,32.09B,27.37B,,633.00M,44.00M,-589.00M,27.37B,4.718B,44.00M,633.00M,-589.00M,244.00M,-589.00M,4.373B,1.052B,3.321B,,-33.00M,3.288B,3.288B,7.729B,2.723B,5.006B,1.16,,1.16,1.16,1.15,,1.15,1.15,2.843B,2.861B,0.53
2019-07,130.38B,130.38B,97.92B,32.45B,26.87B,,641.00M,56.00M,-585.00M,26.87B,5.583B,56.00M,641.00M,-585.00M,-85.00M,-585.00M,4.913B,1.233B,3.68B,,-70.00M,3.61B,3.61B,8.276B,2.722B,5.554B,1.27,,1.27,1.27,1.26,,1.26,1.26,2.853B,2.869B,0.53
2019-04,123.92B,123.92B,93.03B,30.89B,25.95B,,673.00M,48.00M,-625.00M,25.95B,4.945B,48.00M,673.00M,-625.00M,837.00M,-625.00M,5.157B,1.251B,3.906B,,-64.00M,3.842B,3.842B,8.544B,2.714B,5.83B,1.34,,1.34,1.34,1.33,,1.33,1.33,2.869B,2.886B,0.53
2019-01,138.79B,138.79B,104.91B,33.89B,27.82B,,669.00M,64.00M,-605.00M,27.82B,6.067B,64.00M,669.00M,-605.00M,202.00M,-605.00M,5.664B,1.851B,3.813B,,-126.00M,3.687B,3.687B,9.064B,2.731B,6.333B,1.27,,1.27,1.27,1.27,,1.27,1.27,2.896B,2.912B,0.52
2018-10,124.89B,124.89B,93.12B,31.78B,26.79B,,593.00M,59.00M,-534.00M,26.79B,4.986B,59.00M,593.00M,-534.00M,-1.876B,-534.00M,2.576B,759.00M,1.817B,,-107.00M,1.71B,1.71B,5.784B,2.615B,3.169B,0.58,,0.58,0.58,0.58,,0.58,0.58,2.924B,2.941B,0.52
2018-07,128.03B,128.03B,95.57B,32.46B,26.71B,,554.00M,51.00M,-503.00M,26.71B,5.75B,51.00M,554.00M,-503.00M,-4.849B,-503.00M,398.00M,1.125B,-727.00M,,-134.00M,-861.00M,-861.00M,3.606B,2.654B,952.00M,-0.29,,-0.29,-0.29,-0.29,,-0.29,-0.29,2.946B,2.946B,0.52
2018-04,122.69B,122.69B,91.71B,30.98B,25.83B,,530.00M,43.00M,-487.00M,25.83B,5.154B,43.00M,530.00M,-487.00M,-1.845B,-487.00M,2.822B,546.00M,2.276B,,-142.00M,2.134B,2.134B,6.03B,2.678B,3.352B,0.72,,0.72,0.72,0.72,,0.72,0.72,2.95B,2.967B,0.52
2018-01,136.27B,136.27B,102.64B,33.63B,29.16B,-1.004B,536.00M,37.00M,-499.00M,29.16B,4.467B,37.00M,536.00M,-499.00M,-1.004B,-499.00M,2.964B,601.00M,2.363B,,-188.00M,2.175B,2.975B,6.202B,2.702B,3.50B,0.74,,1.011,0.74,0.73,,0.9989,0.73,2.956B,2.977B,0.51
2017-10,123.18B,123.18B,91.55B,31.63B,26.87B,-1.344B,583.00M,42.00M,-541.00M,26.87B,4.764B,42.00M,583.00M,-541.00M,-1.344B,-541.00M,2.879B,975.00M,1.904B,,-155.00M,1.749B,2.637B,6.12B,2.658B,3.462B,0.59,,0.888,0.59,0.58,,0.8765,0.58,2.981B,2.996B,0.51
2017-07,123.36B,123.36B,91.52B,31.83B,25.86B,-788.00M,613.00M,38.00M,-575.00M,25.86B,5.969B,38.00M,613.00M,-575.00M,-788.00M,-575.00M,4.606B,1.502B,3.104B,,-205.00M,2.899B,3.427B,7.837B,2.618B,5.219B,0.96,,1.136,0.96,0.96,,1.135,0.96,3.008B,3.021B,0.51
2017-04,117.54B,117.54B,87.69B,29.85B,24.62B,,598.00M,35.00M,-563.00M,24.62B,5.237B,35.00M,598.00M,-563.00M,0.00,-563.00M,4.674B,1.522B,3.152B,,-113.00M,3.039B,3.039B,7.823B,2.551B,5.272B,1.0,,1.0,1.0,1.0,,1.0,1.0,3.035B,3.047B,0.51
2017-01,130.94B,130.94B,97.74B,33.19B,26.99B,0.00,585.00M,30.00M,-555.00M,26.99B,6.205B,30.00M,585.00M,-555.00M,,-555.00M,5.65B,1.664B,3.986B,,-229.00M,3.757B,3.757B,8.941B,2.706B,6.235B,1.23,,1.23,1.23,1.22,,1.22,1.22,3.062B,3.076B,0.5
2016-10,118.18B,118.18B,87.48B,30.70B,25.58B,0.00,609.00M,24.00M,-585.00M,25.58B,5.119B,24.00M,609.00M,-585.00M,,-585.00M,4.534B,1.332B,3.202B,,-168.00M,3.034B,3.034B,7.612B,2.469B,5.143B,0.98,,0.98,0.98,0.98,,0.98,0.98,3.089B,3.10B,0.5
2016-07,120.85B,120.85B,89.48B,31.37B,25.20B,0.00,588.00M,22.00M,-566.00M,25.20B,6.165B,22.00M,588.00M,-566.00M,,-566.00M,5.599B,1.71B,3.889B,,-116.00M,3.773B,3.773B,8.704B,2.517B,6.187B,1.21,,1.21,1.21,1.21,,1.21,1.21,3.109B,3.119B,0.5
2016-04,115.90B,115.90B,86.54B,29.36B,24.08B,,585.00M,24.00M,-561.00M,24.08B,5.275B,24.00M,585.00M,-561.00M,,-561.00M,4.714B,1.498B,3.216B,,-137.00M,3.079B,3.079B,7.687B,2.388B,5.299B,0.98,,0.98,0.98,0.98,,0.98,0.98,3.144B,3.154B,0.5
2016-01,129.67B,129.67B,97.00B,32.67B,26.03B,,565.00M,17.00M,-548.00M,26.03B,6.642B,17.00M,565.00M,-548.00M,,-548.00M,6.094B,1.346B,4.748B,,-174.00M,4.574B,4.574B,9.09B,2.431B,6.659B,1.44,0.0,1.44,1.44,1.43,0.0,1.43,1.43,3.165B,3.175B,0.49
2015-10,117.41B,117.41B,87.45B,29.96B,24.25B,,573.00M,21.00M,-552.00M,24.25B,5.714B,21.00M,573.00M,-552.00M,,-552.00M,5.162B,1.748B,3.414B,,-110.00M,3.304B,3.304B,8.10B,2.365B,5.735B,1.03,,1.03,1.03,1.03,,1.03,1.03,3.21B,3.219B,0.0
2015-07,120.23B,120.23B,90.06B,30.17B,24.10B,,567.00M,24.00M,-543.00M,24.10B,6.069B,24.00M,567.00M,-543.00M,,-543.00M,5.526B,1.891B,3.635B,,-160.00M,3.475B,3.475B,8.432B,2.339B,6.093B,1.08,,1.08,1.08,1.08,,1.08,1.08,3.221B,3.231B,0.49
2015-04,114.83B,114.83B,86.48B,28.34B,22.66B,,843.00M,19.00M,-824.00M,22.66B,5.68B,19.00M,843.00M,-824.00M,,-824.00M,4.856B,1.573B,3.283B,,58.00M,3.341B,3.341B,8.018B,2.319B,5.699B,1.03,,1.03,1.03,1.03,,1.03,1.03,3.231B,3.243B,0.98
2015-01,131.56B,131.56B,99.12B,32.45B,24.50B,,623.00M,37.00M,-586.00M,24.50B,7.949B,37.00M,623.00M,-586.00M,,-586.00M,7.363B,2.175B,5.188B,0.00,-222.00M,4.966B,4.966B,10.28B,2.292B,7.986B,1.54,0.0,1.54,1.54,1.53,0.0,1.53,1.53,3.227B,3.243B,0.48
2014-10,119.00B,119.00B,89.25B,29.75B,23.49B,,676.00M,20.00M,-656.00M,23.49B,6.265B,20.00M,676.00M,-656.00M,,-656.00M,5.609B,1.783B,3.826B,0.00,-115.00M,3.711B,3.711B,8.639B,2.354B,6.285B,1.15,0.0,1.15,1.15,1.15,0.0,1.15,1.15,3.229B,3.24B,0.0
2014-07,120.12B,120.12B,90.01B,30.12B,23.38B,,570.00M,32.00M,-538.00M,23.38B,6.74B,32.00M,570.00M,-538.00M,,-538.00M,6.202B,2.113B,4.089B,270.00M,-266.00M,4.093B,3.823B,9.049B,2.277B,6.772B,1.22,0.05,1.22,1.27,1.21,0.05,1.21,1.26,3.23B,3.241B,0.48
