,NetIncome,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",OtherNoncashItems,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,-709.00M,,,4.983B,-748.00M,,863.00M,4.389B,-3.291B,,-3.291B,100.00M,-1.919B,1.401B,-3.709B,-1.00M,-927.00M,-928.00M,,0.00,0.00,-3.716B,-3.716B,150.00M,-4.494B,12.58B,-3.814B,70.00M,8.832B,,-894.00M,-34.00M,0.00,573.00M,617.00M
2020-06,-1.169B,,,4.916B,-2.287B,,-1.46B,0.00,-4.417B,,-4.417B,43.00M,-796.00M,89.00M,-5.081B,14.72B,-4.881B,9.838B,,0.00,0.00,-3.715B,-3.715B,154.00M,6.277B,11.41B,1.196B,-32.00M,12.58B,,9.924B,-86.00M,0.00,396.00M,157.00M
2020-03,-770.00M,,,5.819B,2.167B,,-942.00M,6.274B,-5.945B,,-5.945B,86.00M,-728.00M,220.00M,-6.367B,8.464B,4.296B,12.76B,,-305.00M,-305.00M,-3.719B,-3.719B,49.00M,8.785B,3.089B,8.692B,-369.00M,11.41B,,14.30B,-1.535B,-305.00M,1.372B,468.00M
2019-12,5.73B,,,4.923B,3.859B,,-1.641B,6.352B,-6.704B,,-6.704B,3.092B,-1.373B,721.00M,-4.264B,32.00M,-692.00M,-660.00M,,-173.00M,-173.00M,-3.716B,-3.716B,93.00M,-4.456B,5.351B,-2.368B,106.00M,3.089B,,-452.00M,-208.00M,-173.00M,-5.259B,-1.055B
2019-09,3.247B,,,4.873B,-591.00M,,1.55B,9.079B,-6.285B,,-6.285B,460.00M,-802.00M,477.00M,-6.15B,6.976B,-5.018B,1.958B,,0.00,0.00,-3.716B,-3.716B,92.00M,-1.666B,4.213B,1.263B,-125.00M,5.351B,,1.989B,-31.00M,0.00,1.375B,423.00M
2019-06,3.391B,,,4.631B,-832.00M,,-1.243B,5.947B,-6.173B,,-6.173B,33.00M,-820.00M,83.00M,-6.877B,43.00M,4.322B,4.365B,,0.00,0.00,-3.715B,-3.715B,-102.00M,548.00M,4.586B,-382.00M,9.00M,4.213B,,4.393B,-28.00M,0.00,2.091B,210.00M
2019-03,2.406B,,,4.571B,-896.00M,,2.257B,8.338B,-5.199B,,-5.199B,107.00M,-910.00M,209.00M,-5.793B,0.00,2.999B,2.999B,,-421.00M,-421.00M,-3.505B,-3.505B,-117.00M,-1.044B,3.042B,1.501B,43.00M,4.586B,,6.776B,-3.777B,-421.00M,1.793B,422.00M
2018-12,6.206B,,,5.028B,1.439B,,-1.331B,8.607B,-6.094B,,-6.094B,884.00M,-868.00M,494.00M,-5.584B,46.00M,-2.318B,-2.272B,,-196.00M,-196.00M,-3.502B,-3.502B,469.00M,-5.501B,5.669B,-2.478B,-149.00M,3.042B,,-1.58B,-692.00M,-196.00M,-6.74B,-839.00M
2018-09,6.446B,,,4.658B,-953.00M,,957.00M,11.11B,-5.204B,,-5.204B,1.491B,-409.00M,215.00M,-3.907B,0.00,-1.299B,-1.299B,,-1.00M,-1.00M,-3.503B,-3.503B,-156.00M,-4.959B,3.43B,2.242B,-3.00M,5.669B,,-1.276B,-23.00M,-1.00M,2.314B,362.00M
2018-06,3.986B,,,4.589B,538.00M,,-1.333B,7.78B,-4.927B,,-4.927B,307.00M,-566.00M,90.00M,-5.096B,0.00,568.00M,568.00M,,-2.00M,-2.00M,-3.502B,-3.502B,-308.00M,-3.244B,4.125B,-560.00M,-135.00M,3.43B,,952.00M,-384.00M,-2.00M,2.309B,477.00M
