,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,3.242B,,3.242B,842.00M,,1.293B,2.072B,107.00M,48.00M,823.00M,,978.00M,,,,249.00M,6.541B,,,,1.388B,412.00M,,,1.80B,-1.087B,713.00M,3.996B,240.00M,4.236B,,,1.899B,,573.00M,1.39B,8.811B,15.35B,1.018B,,,1.018B,815.00M,1.833B,,,,,1.218B,,1.218B,,,,,3.327B,,3.836B,,3.836B,,,,2.011B,,4.00M,,512.00M,6.359B,9.686B,428.00M,6.258B,2.719B,150.00M,214.00M,,,-3.593B,5.662B
2020-06,2.272B,,2.272B,776.00M,,1.235B,1.951B,94.00M,46.00M,782.00M,,922.00M,,,,246.00M,5.391B,,,,1.389B,418.00M,,,1.807B,-1.077B,730.00M,3.939B,250.00M,4.189B,,,1.908B,,563.00M,1.344B,8.734B,14.12B,916.00M,,,916.00M,813.00M,1.729B,,,,,1.793B,,1.793B,,,,,3.791B,,2.185B,,2.185B,,,,1.933B,,4.00M,,521.00M,4.639B,8.43B,427.00M,6.223B,2.722B,0.00,214.00M,,,-3.681B,5.691B
2020-03,2.622B,,2.622B,969.00M,,1.363B,2.272B,72.00M,43.00M,709.00M,,824.00M,,,,259.00M,5.977B,,,,1.39B,426.00M,,,1.816B,-1.055B,761.00M,3.941B,263.00M,4.204B,,,1.929B,,604.00M,1.309B,8.807B,14.78B,1.122B,,,1.122B,930.00M,2.052B,,,,,1.05B,,1.05B,,,,,3.373B,,3.238B,,3.238B,,,,2.029B,,7.00M,,530.00M,5.797B,9.17B,427.00M,6.252B,2.712B,0.00,214.00M,,,-3.784B,5.607B
2019-12,2.74B,,2.74B,1.091B,,1.469B,2.532B,71.00M,47.00M,576.00M,,694.00M,59.00M,0.00,,113.00M,6.14B,0.0,12.00M,794.00M,3.132B,364.00M,23.00M,135.00M,4.46B,-3.351B,1.109B,3.90B,497.00M,4.397B,46.00M,,2.091B,1.00M,617.00M,195.00M,8.907B,15.05B,1.053B,66.00M,86.00M,1.205B,297.00M,1.502B,76.00M,,,1.049B,1.049B,89.00M,1.138B,158.00M,158.00M,,212.00M,3.435B,9.00M,3.233B,265.00M,3.498B,37.00M,,37.00M,2.059B,,7.00M,,137.00M,5.804B,9.239B,429.00M,6.312B,2.782B,76.00M,214.00M,,,-3.646B,5.801B
2019-09,922.00M,,922.00M,1.045B,,1.45B,2.439B,74.00M,61.00M,623.00M,,758.00M,,,,221.00M,4.34B,,,,1.457B,442.00M,,,1.899B,-1.083B,816.00M,3.853B,203.00M,4.056B,1.517B,,2.037B,,688.00M,1.206B,10.32B,14.66B,1.07B,,,1.07B,930.00M,2.00B,,,,,1.602B,,1.602B,,,,,3.923B,,3.23B,,3.23B,,,,1.934B,,31.00M,,473.00M,5.637B,9.56B,435.00M,5.552B,3.00B,68.00M,214.00M,,,-3.85B,5.069B
2019-06,712.00M,,712.00M,1.10B,,1.497B,2.541B,74.00M,55.00M,659.00M,,788.00M,,,,196.00M,4.237B,,,,1.495B,455.00M,,,1.95B,-1.096B,854.00M,3.887B,212.00M,4.099B,1.472B,,2.064B,,739.00M,1.219B,10.45B,14.68B,1.052B,,,1.052B,946.00M,1.998B,,,,,866.00M,,866.00M,,,,,3.176B,,3.962B,,3.962B,,,,1.85B,,30.00M,,490.00M,6.302B,9.478B,439.00M,5.391B,3.124B,131.00M,214.00M,,,-3.647B,5.176B
2019-03,723.00M,,723.00M,1.067B,,1.514B,2.527B,74.00M,55.00M,730.00M,,859.00M,,,,204.00M,4.313B,,,,1.501B,469.00M,,,1.97B,-1.087B,883.00M,3.889B,208.00M,4.097B,1.452B,,2.08B,,753.00M,1.221B,10.49B,14.80B,1.054B,,,1.054B,1.022B,2.076B,,,,,555.00M,,555.00M,,,,,2.929B,,4.268B,,4.268B,,,,1.829B,,36.00M,,496.00M,6.593B,9.522B,444.00M,5.27B,3.282B,103.00M,214.00M,,,-3.652B,5.241B
2018-12,1.081B,,1.081B,1.097B,,1.552B,2.607B,70.00M,49.00M,710.00M,,829.00M,59.00M,1.00M,,102.00M,4.713B,0.0,12.00M,793.00M,3.269B,45.00M,26.00M,178.00M,4.323B,-3.383B,940.00M,3.858B,558.00M,4.416B,43.00M,,2.157B,0.00,756.00M,1.568B,10.16B,14.87B,1.073B,69.00M,110.00M,1.252B,257.00M,1.509B,98.00M,,,961.00M,961.00M,0.00,961.00M,155.00M,155.00M,,180.00M,3.251B,11.00M,4.269B,0.00,4.269B,51.00M,,51.00M,1.832B,,34.00M,,189.00M,6.37B,9.621B,446.00M,5.072B,3.321B,55.00M,214.00M,,,-3.565B,5.219B
2018-09,1.157B,,1.157B,1.115B,,1.565B,2.623B,81.00M,60.00M,817.00M,,958.00M,,,,232.00M,4.97B,,,,441.00M,527.00M,,,968.00M,,968.00M,3.899B,232.00M,4.131B,1.362B,,2.161B,,797.00M,964.00M,10.38B,15.35B,1.121B,,,1.121B,835.00M,1.956B,,,,,410.00M,,410.00M,,,,,2.736B,,4.815B,,4.815B,,,,2.135B,,34.00M,,231.00M,7.181B,9.917B,470.00M,4.997B,3.93B,284.00M,214.00M,,,-3.711B,5.402B
2018-06,1.263B,,1.263B,1.101B,,1.593B,2.637B,92.00M,52.00M,803.00M,,947.00M,,,,233.00M,5.08B,,,,438.00M,564.00M,,,1.002B,,1.002B,3.897B,244.00M,4.141B,1.344B,,2.183B,,917.00M,889.00M,10.48B,15.56B,1.153B,,,1.153B,832.00M,1.985B,,,,,412.00M,,412.00M,,,,,2.754B,,4.813B,,4.813B,,,,2.152B,,31.00M,,215.00M,7.18B,9.934B,469.00M,4.974B,3.92B,,214.00M,,,-3.772B,5.591B
