Date,Open,High,Low,Close,Volume
1998-06-01,2.5125799953489376,3.0083733723575907,2.420143942008341,2.7940897941589355,428860500.0
1998-06-11,,,,,
1998-09-01,2.8320114191683974,4.0420912609420006,2.751339429716824,3.8000752925872803,416639100.0
1998-09-11,,,,,
1998-12-01,3.835072334582051,3.938027296584254,2.6167719508893192,2.685408592224121,447550600.0
1998-12-11,,,,,
1999-03-01,2.734143614189358,2.9331477380069377,2.2885474239021684,2.669250965118408,556101200.0
1999-03-11,,,,,
1999-06-01,2.698708016008686,3.0092562642041747,2.4668903096092363,2.6199774742126465,379493600.0
1999-06-11,,,,,
1999-09-01,2.6652288692338124,2.7845674753189087,1.5027824469975062,1.8563783168792725,629728400.0
1999-09-13,,,,,
1999-12-01,1.8756500980802364,1.9607034438165718,1.338471072377066,1.4459068775177002,788587100.0
1999-12-13,,,,,
2000-03-01,1.4734399806369436,2.0983974956439444,1.3867670405994763,1.9068046808242798,817967200.0
2000-03-16,,,,,
2000-06-01,1.9533950851744963,2.5422175271170477,1.719735385990944,2.224440336227417,534430300.0
2000-06-16,,,,,
2000-09-01,2.2781338871208225,3.010561065861129,1.983260607368232,2.905928611755371,489816300.0
2000-09-13,,,,,
2000-12-01,2.944223661209913,3.796498931560151,2.8667440911780733,3.7329657077789307,527934800.0
2000-12-13,,,,,
2001-03-01,3.8332627646993727,4.232299284535997,3.2574879921439535,4.0382795333862305,484759000.0
2001-03-13,,,,,
2001-06-01,4.096980373028917,4.096980373028917,3.414150411818286,3.763505458831787,401461400.0
2001-06-13,,,,,
2001-09-01,3.8254429038828466,4.15132002291213,3.587857768980449,3.7861127853393555,416100300.0
2001-09-13,,,,,
2001-09-17,,,,,
2001-12-01,3.876532907206094,4.436549766847343,3.6964395289054193,4.330467224121094,340105100.0
2001-12-20,,,,,
2002-03-01,4.373412290819613,4.785605626454014,4.268490189124644,4.7672858238220215,361570500.0
2002-03-13,,,,,
2002-06-01,4.8202251005172725,4.865691056278447,3.393101622241156,4.209803581237793,626279200.0
2002-06-26,,,,,
2002-09-01,4.262918999780746,4.297022481872955,3.0181467819387318,3.2159461975097656,675181800.0
2002-09-12,,,,,
2002-12-01,3.301012251146997,3.6432113409715505,3.084977422271447,3.3398985862731934,500860400.0
2002-12-19,,,,,
2003-03-01,3.4178847352013015,3.727724036863682,2.431315180062107,3.6250293254852295,900104800.0
2003-03-12,,,,,
2003-06-01,3.739598864725339,4.206043580389483,3.459911060609569,3.6833040714263916,508087300.0
2003-06-11,,,,,
2003-09-01,3.7234159370622577,4.716386998538873,3.640895045166172,4.715480327606201,389915800.0
2003-09-11,,,,,
2003-12-01,4.803076351401842,5.314728735064521,4.720105951219594,5.305509567260742,360635700.0
2003-12-18,,,,,
2004-03-01,5.370233140854342,5.5046755658612,4.177989067119267,4.4786176681518555,459413100.0
2004-03-11,,,,,
2004-06-01,4.56251474836106,4.856291640209402,4.372646277739231,4.623915195465088,353786200.0
2004-06-14,,,,,
2004-09-01,4.704066533145556,5.7109861023668875,4.263359821392018,5.507877826690674,473459900.0
2004-09-13,,,,,
2004-12-01,5.6099845559435355,6.660033570206755,5.49331236082747,6.382937431335449,413922500.0
2004-12-22,,,,,
2005-03-01,6.48775132797349,6.70817524801081,6.169907649488744,6.6068196296691895,389234200.0
2005-03-11,,,,,
2005-06-01,6.68925438265995,7.0793446006821465,6.3290175662649375,7.035558700561523,403800100.0
2005-06-13,,,,,
2005-09-01,7.1115991794423055,7.603406789358307,6.899387627985871,7.320793628692627,515411100.0
2005-09-13,,,,,
2005-12-01,7.439955060285863,8.001307232259753,7.17453288592379,7.311820030212402,489323900.0
2005-12-23,,,,,
2006-03-01,7.419575141945656,7.659015923068877,7.024960978814874,7.434989929199219,467602600.0
2006-03-13,,,,,
2006-06-01,7.535102009499088,8.830603634178518,7.204733512421746,8.677886009216309,552822200.0
2006-06-13,,,,,
2006-09-01,8.828137705121886,8.988898331226498,7.880389839777277,8.848101615905762,700225200.0
2006-09-13,,,,,
2006-12-01,8.94067481567672,9.60849162350766,8.617914336866775,8.94810676574707,531032300.0
2006-12-22,,,,,
2007-03-01,8.937976614496293,9.417371480503142,7.175906818895496,7.625271797180176,844702500.0
2007-03-13,,,,,
2007-04-02,,,,,
2007-06-01,10.262156272915501,10.420923593360774,9.111813648014701,10.018232345581055,781413800.0
2007-06-13,,,,,
2007-09-01,10.117765436419072,11.305774688720703,9.716903118566446,11.305774688720703,663211600.0
2007-09-12,,,,,
2007-12-01,11.396976226911407,11.73157397494953,10.447719178079945,10.780843734741211,746126400.0
2007-12-21,,,,,
2008-03-01,10.842862251706388,11.28193560719288,2.969322096428494,3.313138246536255,1265058300.0
2008-03-17,,,,,
2008-03-31,,,,,
2008-06-01,10.885294933773144,10.899926041605452,9.675817925620459,10.256172180175781,827612400.0
2008-06-11,,,,,
2008-09-01,10.44833602293181,10.80436134189138,7.090825656128227,7.951218605041504,1446161200.0
2008-09-11,,,,,
2008-12-01,8.035523133922128,8.854141631710483,7.242015262763678,7.754279613494873,1404613900.0
2008-12-22,,,,,
2009-03-01,7.817553378196297,9.038405456253114,7.437961003035464,8.766534805297852,1085798600.0
2009-03-12,,,,,
2009-06-01,8.9934200473844,9.652623710332747,8.423156584942141,9.56368350982666,1039056800.0
2009-06-11,,,,,
2009-09-01,9.741060982931883,10.386199164421704,9.213220375273185,10.028973579406738,1082585500.0
2009-09-11,,,,,
2009-12-01,10.297900040961368,11.210372406303046,10.270743544640885,10.92794132232666,851272200.0
2009-12-28,,,,,
2010-03-01,11.141057789116406,12.10216031414122,10.60527105809963,11.207341194152832,1014909500.0
2010-03-11,,,,,
2010-06-01,11.376494517056242,12.91583241201235,10.971997319986533,12.539424896240234,1072623000.0
2010-06-11,,,,,
2010-09-01,12.91925583234729,14.988622713959785,12.833508778637679,13.719563484191895,826864000.0
2010-09-13,,,,,
2010-12-01,14.069591474388776,14.75506309718619,13.55839291779079,14.73763656616211,696479100.0
2010-12-23,,,,,
2011-03-01,15.02760477235378,16.56693202245635,14.266788618511077,16.549238204956055,780299200.0
2011-03-11,,,,,
2011-06-01,16.816155790619106,16.840101306793887,13.888744216903445,16.277368545532227,937245600.0
2011-06-13,,,,,
2011-09-01,16.552139977345266,17.43864434308564,15.34382176421721,17.420429229736328,898054300.0
2011-09-13,,,,,
2011-12-01,17.625932033974756,18.748366988784465,17.268232969515562,18.563350677490234,788679600.0
2011-12-22,,,,,
2012-03-01,18.86165816003247,20.393346618427106,18.611586696665466,20.12451934814453,642389600.0
2012-03-13,,,,,
2012-06-01,20.247195619410064,22.997518936448763,19.98737255473864,21.52096176147461,758294100.0
2012-06-13,,,,,
2012-09-01,21.82667610164281,22.23087448707529,19.25392551417645,21.691944122314453,681016900.0
2012-09-12,,,,,
2012-12-01,22.05105836922742,23.05190274799322,20.107861820925425,21.804096221923828,587031800.0
2012-12-21,,,,,
2013-03-01,22.088687681194887,24.77648635300743,21.963521547045726,23.781736373901367,632139700.0
2013-03-13,,,,,
2013-06-01,24.065355217749737,25.01301908471604,22.10328643241969,22.610488891601562,594304400.0
2013-06-12,,,,,
2013-09-01,23.017367312782294,25.739996106560422,22.780911677034744,24.983335494995117,496305400.0
2013-09-12,,,,,
2013-12-01,25.347191773366582,26.422446619232,23.14874632412375,24.83353614807129,562810900.0
2013-12-23,,,,,
2014-03-01,25.014725499151602,28.86367777556351,24.855219664312415,28.82206916809082,481981600.0
2014-03-12,,,,,
2014-06-01,29.252580284941477,30.707128224144576,28.289906388551024,30.271467208862305,410975000.0
2014-06-12,,,,,
2014-09-01,30.673378763947643,35.8543092565807,30.50281197957272,35.719276428222656,428522400.0
2014-09-11,,,,,
2014-12-01,36.05434930209293,40.70768146825043,34.89640948271561,40.48472595214844,407891200.0
2014-12-22,,,,,
2015-03-01,40.90541338834847,41.20335641508105,35.629638228414485,37.20655822753906,446285800.0
2015-03-12,,,,,
2015-06-01,37.646852696776655,41.390250783769034,34.72553365163604,39.32771301269531,458185500.0
2015-06-11,,,,,
2015-09-01,39.10965337471185,45.80102445162197,38.35297918234633,42.72981643676758,408594900.0
2015-09-11,,,,,
2015-12-01,43.232866075774886,46.88434044567624,42.10068509446641,46.16454315185547,382833200.0
2015-12-22,,,,,
2016-03-01,47.047211063256306,49.621819258694465,45.04052863990835,48.19063949584961,389508700.0
2016-03-11,,,,,
2016-06-01,48.65729700083049,53.600964863311646,48.642014836746064,50.49875259399414,367547900.0
2016-06-13,,,,,
2016-09-01,50.79520758913505,51.881856613595374,46.87246758333521,49.26926803588867,411273700.0
2016-09-13,,,,,
2016-12-01,49.41165767505347,58.459959465724076,48.54806480563467,58.288795471191406,380592500.0
2016-12-20,,,,,
2017-03-01,58.865410488483576,60.09798814072338,54.79083579561169,59.22654724121094,404991800.0
2017-03-13,,,,,
2017-06-01,59.418012576693364,61.562694992210055,47.49167219014862,50.17450714111328,463794300.0
2017-06-13,,,,,
2017-09-01,50.66352585434482,54.53310102107186,48.49337070207801,54.118221282958984,446905000.0
2017-09-14,,,,,
2017-12-01,54.80053992221186,59.977399408635804,50.663891554436944,50.76065444946289,461916800.0
2017-12-20,,,,,
2018-03-01,51.05536026201098,54.13088535311797,43.862859983021224,45.351806640625,569427000.0
2018-03-14,,,,,
2018-06-01,45.976795655304706,50.42563232421072,45.376490882035796,48.12309265136719,449056300.0
2018-06-14,,,,,
2018-09-01,48.816780079530226,54.97715270635512,44.038331643494345,45.645023345947266,533525100.0
2018-09-13,,,,,
2018-12-01,46.11846216222406,47.4084290694834,35.748132335938365,44.18772506713867,767829900.0
2018-12-24,,,,,
2019-03-01,45.14261250201289,49.608022606208856,41.739991261008434,42.04854202270508,600296700.0
2019-03-22,,,,,
2019-06-01,42.813001785511986,45.60345247657837,37.875380197548544,38.023162841796875,568006600.0
2019-06-13,,,,,
2019-09-01,38.5867524068046,44.0259831799909,34.70158612523697,43.88470458984375,668361700.0
2019-09-13,,,,,
2019-12-01,44.99979825665401,46.60178997596301,34.712844100525935,36.33283615112305,552612500.0
2019-12-24,,,,,
2020-03-01,37.01702362030485,40.21004085930642,28.316286090324198,35.72700881958008,829857700.0
2020-06-01,36.756681371584975,41.79544971620758,35.807213649354686,41.11860275268555,491618400.0
2020-09-01,41.930442810801715,43.015924679174944,34.41850607490234,38.260929107666016,547535700.0
2020-12-01,39.275970719984684,42.98993799444955,39.109379087578326,40.177513122558594,241748400.0
2020-12-24,,,,,
